"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2541c63e-9704-4f3a-b0f3-5145924cfbef","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone 1 - West"
"d1327429-a71d-4654-9cc0-998570e53a33","","checklist-sectioned","work-in-progress","ITP - Concrete Pours - 103 - Rev B","checklist","FALSE","FALSE","Zone 1 - East","ITP - Concrete Pours - 103 - Rev 1"
"0d59ea50-7545-465c-9ca5-8c029a91dd9d","","checklist-sectioned","work-in-progress","ITP - Pavement - Type A - 104.1 - Rev 2","checklist","FALSE","FALSE","Zone 1 - East","ITP - Pavement - Type A - 104.1 - Rev 2"
"8e3fded3-5adc-4bd4-99c4-3e9f2c9cd471","","checklist-sectioned","work-in-progress","ITP - Pavement - Type B - 104.2 - Rev 2","checklist","FALSE","FALSE","Zone 1 - East","ITP - Pavement - Type B - 104.2 - Rev 2"
"ce7a1d79-8ebb-4b39-af56-d6de583f1e0e","","checklist-sectioned","work-in-progress","ITP - Pavement - Type C - 104.3 - Rev 2","checklist","FALSE","FALSE","Zone 1 - East","ITP - Pavement - Type C - 104.3 - Rev 2"
"2ae300ef-9f5f-4fd3-8871-66e69b62c88b","","folder-normal","not-started","","step","TRUE","FALSE","Mid Zone"
"f6ae9008-2e34-4200-9e17-1397fd1970c2","","checklist-sectioned","not-started","ITP - Earthworks - 101 - Rev 2","checklist","FALSE","FALSE","Mid Zone","ITP - Earthworks - 101 - Rev 2"
"be3fe991-c5c5-4c03-8c02-9ccd15b8e50c","","checklist-sectioned","not-started","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Mid Zone","ITP - Stormwater - 102 - Rev A"
"62624780-0f8a-45fe-8245-234565c820b5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone 2"
"4adeeae7-00eb-49b1-91fb-aaeb83d18ae8","","checklist-sectioned","work-in-progress","10adf77ebd75e8ab10535a8f278dca9567f3c6d140ffc6d94a892c662bf44193","checklist","FALSE","FALSE","Zone 2","ITP - Earthworks - 101 - Rev 2"
"1354de3a-6274-482e-830a-a0eeb8b7aa01","","checklist-sectioned","work-in-progress","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Zone 2","ITP - Stormwater - 102 - Rev A"
"9bb44726-4ee9-4a3e-adb3-e92cf4ea87e8","","folder-normal","not-started","","step","TRUE","FALSE","Tie In Hamilton"
"5d7e5650-011e-400e-8177-9dedf44a5b01","","checklist-sectioned","not-started","ITP - Earthworks - 101 - Rev 2","checklist","FALSE","FALSE","Tie In Hamilton","ITP - Earthworks - 101 - Rev 2"
"9a92714f-16b2-45f0-87d2-024d88a06591","","checklist-sectioned","not-started","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Tie In Hamilton","ITP - Stormwater - 102 - Rev A"
"f52cb294-3f0e-417e-9ef1-eb45dce1c5cd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tie in Tauranga"
"1e92b790-c34f-4a51-8c13-25e2f2bce6b0","","checklist-sectioned","work-in-progress","8b7ce359d751544a6be2bcd5068b5e20dee33f4ffd25d5bacfd2895a8cfb104d","checklist","FALSE","FALSE","Tie in Tauranga","ITP - Earthworks - 101 - Rev 2"
"4c6a3bd9-351b-4fd6-b039-9f9a698294c8","","checklist-sectioned","not-started","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Tie in Tauranga","ITP - Stormwater - 102 - Rev A"
"ab2bc646-65cc-447c-9788-5aa15013bb7e","","folder-normal","not-started","","step","TRUE","FALSE","Tie in Tirau"
"e708cf64-844d-4760-be9c-12b22e149e78","","checklist-sectioned","not-started","ITP - Earthworks - 101 - Rev 2","checklist","FALSE","FALSE","Tie in Tirau","ITP - Earthworks - 101 - Rev 2"
"003b2f32-8870-4193-ba09-29cba81f9388","","checklist-sectioned","not-started","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Tie in Tirau","ITP - Stormwater - 102 - Rev A"
