"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"511a4e79-c9bb-465f-afda-d3cbe46312e0","","pass","Job Details Checklist","checklist","FALSE","FALSE","Job Details"
"3510a042-1e82-40bd-a855-5deebcf1bbde","","fail","","folder","TRUE","FALSE","Project QA"
"8095f039-3e93-4ff8-afd8-e320cb54eece","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P32"
"34c08886-c0aa-402b-b11c-a481cb6b1b3b","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P33"
"1a658529-3255-45f5-8d47-4c70bba542cf","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P34"
"9c168753-f8a2-440d-92a6-2b443a56094c","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P35"
"7a8679ea-d8f1-4a16-bd5b-739653763ab7","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P36"
"3a298d74-ef17-4819-9fa5-e1def3a32bda","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P37"
"4bf95bc4-3352-4b95-a276-be7833ff00fb","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P38"
"aee4075b-c142-4366-ae1b-af465f28b226","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P39"
"fc0413ff-a0da-4e13-b2db-72e7d4619be4","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P52"
"40dee69b-b1ed-4750-b4da-c614bf20a4dc","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P53"
"ad5e375f-a55b-4119-8571-82d827b9fb9a","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P54"
"69a755ac-aec0-45c6-91aa-cf8df35ff19f","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P55"
"a05d40d7-ce1d-4137-956f-7e10c566244c","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P56"
"1141a295-b891-45a0-b5a2-755a94ab2836","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P57"
