"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0b618510-27be-41d8-af08-167496d93385","","folder-normal","","","step","TRUE","FALSE","Site QA"
"a365e86e-1ef8-4363-8f82-492c23808435","","folder-normal","","","step","TRUE","FALSE","Site QA","Basement"
"b917df06-6bb6-4de8-ab75-d363d5df20b4","","folder-normal","","","step","TRUE","FALSE","Site QA","Ground Floor"
"1c7ce0e0-a484-4d77-975d-39aa1aa8cbb4","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 1"
"e289125a-451e-4e11-8999-185a2365e548","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 2"
"a2049b69-0a75-45b0-8915-503015d97955","","folder-normal","","","step","TRUE","FALSE","Site QA","Crane Base"
"6e618494-6245-4ef9-bc75-2c055782ca29","","folder-normal","","","step","TRUE","FALSE","Site QA","Pool & Spa"
"45710d2f-d666-43f2-a51e-78b767661ee1","","folder-normal","","","step","TRUE","FALSE","OH&S"
"0e88bd7e-2cca-4105-b6bc-291add4a5a53","","folder-normal","","","step","TRUE","FALSE","Variations"
"3266673d-04fe-4f6d-955f-826d44c4d542","","folder-normal","","","step","TRUE","FALSE","Daily Full Activity Time Sheets"
"3e0f7708-e289-49aa-b923-86617c8fdd0e","","folder-normal","","","step","TRUE","FALSE","Daily Full Activity Time Sheets","May"
"00a0402f-6652-4fe5-9a02-31c9bcb0aaac","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -6/6"
"d7d10165-2b33-4e5e-8c4b-fba65d59f8e9","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -7/6"
"19d16fee-f7ae-4888-a3c6-43a1b70cae81","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -8/6"
"7461796b-d371-4650-80d8-bbbac2177c11","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -9/6"
"28ced702-3403-4aca-903e-360310709bfd","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -10/6"
"de21224e-dcaf-4692-a518-5ed2458bcf68","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -15/6"
"e0d785f6-1e98-4ab4-80d7-57638fd59b49","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -16/6"
"6ea53c0b-18ca-4380-a8d4-a620953cc898","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -28/6"
"fc195278-3fca-4597-9b4a-4451b967dbbd","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -29/6"
"40605d00-0686-47a6-9932-b45e9b27e741","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -30/6"
"b56508d2-c0c2-4cc8-971d-0f5abf9757e1","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -1/7"
