"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"914dcbd1-623d-40ad-9184-25400a8f8fe1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Pre-pour & Concrete Delivery"
"f69fbe5f-e586-4013-be58-cc4f03aedb34","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC01"
"7db0bc7f-419c-49e0-9d19-75eda5a7ffb4","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC05","Concrete Delivery"
"f99d1930-50b4-4b08-9cf5-61f7d28af353","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC06"
"d4eb2ccf-6330-48b4-a621-3766554c3713","","checklist-sectioned","not-started","cb4533c196e0fa975a9e0dc78c392df5749b28ef0f54384ca251055a648a334b","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC06","Pre-Pour"
"47a720c6-b230-4487-8b3d-fd838b57dfdd","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC06","Concrete Delivery"
"66bd1424-207c-4638-856a-7589f32e7d7e","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC07"
"62d04ba8-4842-43be-8121-e68fc740f7b6","","checklist-sectioned","not-started","cb4533c196e0fa975a9e0dc78c392df5749b28ef0f54384ca251055a648a334b","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC07","Pre-Pour"
"9101a289-e10c-4ee4-8409-22c151da9452","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC07","Concrete Delivery"
"368e8d75-e84a-4012-b094-d47ec590e7f8","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC08"
"f863d559-45c1-4091-8814-5b853fef8ae4","","checklist-sectioned","not-started","cb4533c196e0fa975a9e0dc78c392df5749b28ef0f54384ca251055a648a334b","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC08","Pre-Pour"
"32eb10fd-b498-496c-9e0f-867d8176fd07","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC08","Concrete Delivery"
"35f4e473-dfc5-4560-8c7e-f628c01d289e","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC09"
"c9de2491-51e6-49ab-a701-76eccf2982b7","","checklist-sectioned","not-started","cb4533c196e0fa975a9e0dc78c392df5749b28ef0f54384ca251055a648a334b","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC09","Pre-Pour"
"a2307857-d011-4dee-8cfa-ad75727d0021","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC09","Concrete Delivery"
"acd1dcb7-7285-4213-a14d-8f6d094dff42","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC10"
"9af04032-0281-4b14-96d1-78e479710d70","","checklist-sectioned","not-started","cb4533c196e0fa975a9e0dc78c392df5749b28ef0f54384ca251055a648a334b","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC10","Pre-Pour"
"6a13e800-f330-4d07-a206-fce8452f3f71","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC10","Concrete Delivery"
"8baa7cb2-e656-48a1-a5b6-7fb6c44fc7e5","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC11"
"3ba2a0e5-e884-4018-8cd2-1aed87ab562c","","checklist-sectioned","not-started","cb4533c196e0fa975a9e0dc78c392df5749b28ef0f54384ca251055a648a334b","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC11","Pre-Pour"
"f17ada2a-c1a6-4feb-932b-86d33f51b2ee","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC11","Concrete Delivery"
"3f1517ad-06fa-4bce-8992-eaa21d374489","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC12"
"92234450-61fd-485f-8e93-f59291905c3a","","checklist-sectioned","not-started","cb4533c196e0fa975a9e0dc78c392df5749b28ef0f54384ca251055a648a334b","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC12","Pre-Pour"
"3da6d91a-82dc-4a01-946c-f2770a7fe9ce","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC12","Concrete Delivery"
"93ecad2c-c1fa-448c-9c10-c88cace77e19","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC13"
"6c26ef8a-1dfe-44a4-923d-ab683461262a","","checklist-sectioned","not-started","cb4533c196e0fa975a9e0dc78c392df5749b28ef0f54384ca251055a648a334b","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC13","Pre-Pour"
"c8e7ed23-5a45-489f-b1af-44928dd6cffe","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC13","Concrete Delivery"
"3726ac1a-e308-4ab9-aa63-929bcf77317a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Transport To Site"
