"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"17e05133-448f-494b-b96a-f033204070ee","","checklist-flat","work-in-progress","SYS - ITP01 - Ceramic Tiling (old version)","checklist-flat","FALSE","FALSE","Site QA","Tiling","Ground Level","LG.DR.03"
"84ad4944-7d3b-5039-bb3d-374343347b99","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):8881caa1-0891-4ea3-b9a6-bfa997b2752b","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.03","Ensure floor / substrate is clean of debris, dust and redundant materials"
"92d50176-1c2b-5454-8cdc-fccd152197e0","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):08920616-7f21-475f-afd8-789cd990c252","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.03","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"0e0e0890-1264-5245-9abf-ae1eb6b42ab2","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):37c3f9a9-0203-477b-b4f0-06d834a19d42","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.03","Screed area and ensure it reaches required strength"
"9268dc10-210b-5145-8a49-b32179046674","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):9ca2c930-c7b1-4b83-b35c-e985aea20446","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.03","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"f7c5ca5e-7415-55b7-b438-c11dff0498a2","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):618d0e7a-f8d4-4f32-be25-38fa11a21cf1","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.03","Flood testing - 1-2 flood tests per area"
"f1762e03-306e-56ba-a51a-81edbf4dea23","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):3b1d4f06-3bc4-496f-b45c-b464b47b837f","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.03","Fix floor & wall tiles using mapei ultralite s1"
"f47ddfb2-74a6-5552-b1d4-b41ffbad0c18","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):51b6ee26-9956-4598-8b02-8a80667f586e","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.03","Grout using mapei keracolor ff"
"f337000a-55bb-5414-bd20-af012e03f099","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):ec972d5e-934a-419f-8378-64ad703045c5","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.03","Using silicone colour to match grout"
"ed1d5124-65a0-5935-8797-18d04d941478","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):7dd74a02-a720-4299-932e-38706341b671","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.03","Area cleaned and removed all redundant materials"
"aae27b54-3be0-4f60-904f-f858bfcfb5e8","","checklist-flat","work-in-progress","SYS - ITP01 - Ceramic Tiling (old version)","checklist-flat","FALSE","FALSE","Site QA","Tiling","Ground Level","LG.DR.05"
"5fe2a0bd-2589-5d32-95d6-d232e286ba4d","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):8881caa1-0891-4ea3-b9a6-bfa997b2752b","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.05","Ensure floor / substrate is clean of debris, dust and redundant materials"
"1fd4372b-db1f-5094-a790-aed383859176","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):08920616-7f21-475f-afd8-789cd990c252","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.05","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"d992d657-c108-5585-866f-ab13c124737e","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):37c3f9a9-0203-477b-b4f0-06d834a19d42","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.05","Screed area and ensure it reaches required strength"
"1ff87b46-5fb1-548b-9fab-beaa9caf0b9e","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):9ca2c930-c7b1-4b83-b35c-e985aea20446","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.05","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"686f5352-5aac-58e9-a873-6d5cd1e4f8ff","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):618d0e7a-f8d4-4f32-be25-38fa11a21cf1","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.05","Flood testing - 1-2 flood tests per area"
"d80c9714-a12e-55fd-81a5-da75975d3c62","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):3b1d4f06-3bc4-496f-b45c-b464b47b837f","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.05","Fix floor & wall tiles using mapei ultralite s1"
"08d1d793-3c21-5d6c-8d7c-8b69cc9f931d","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):51b6ee26-9956-4598-8b02-8a80667f586e","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.05","Grout using mapei keracolor ff"
"7ec69e2a-4c90-53a1-acd5-73371cae8fb2","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):ec972d5e-934a-419f-8378-64ad703045c5","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.05","Using silicone colour to match grout"
"174c535a-6dc9-568c-9c52-04068eff1fdd","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):7dd74a02-a720-4299-932e-38706341b671","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.05","Area cleaned and removed all redundant materials"
"eb42ef50-dda4-451c-9650-765aa9f2f626","","checklist-flat","not-started","ITP01 - Ceramic Tiling","checklist-flat","FALSE","FALSE","Site QA","Tiling","Ground Level","LG.DR.09"
"a5a0d281-2d7b-56f8-9d40-5a52cff8fbbc","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:6848c40a-4cdd-4ecc-991b-c5d7676d8aac","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.09","Ensure floor / substrate is clean of debris, dust and redundant materials"
"cc444e69-abf6-5222-82fe-267adb78bd0c","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:772e9aa5-5a07-428e-90c7-580e486d11cb","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.09","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"7e7ecc3f-e2f4-5c0c-bf4f-fe84b1324894","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:f1e1128d-4199-4a18-8731-91117ea2969a","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.09","Screed area and ensure it reaches required strength"
"69b8cf5c-7feb-56ff-869c-3c20f6ffe037","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:7a83e1e9-2617-4a2d-9433-0182813596cd","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.09","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"f53a875f-94ed-586f-8ebf-b45643dbac01","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:ed875435-e7a3-48e6-b6a8-8f7d4e9a1d38","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.09","Flood testing"
"e4387446-53c7-562f-9434-4440618e8436","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:4dd93d1e-b8f8-420f-97df-eb1171b6547a","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.09","Fix floor & wall tiles using mapei ultralite s1"
"a1500b0d-0dfc-5d4b-8e0a-cba1fdb623d2","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:000eec2f-8f6a-4af4-94e9-f3586b994c31","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.09","Grout using mapei keracolor ff"
"43d12b84-6801-5cf4-90dd-ef2bd91e0933","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:623d38e4-8e84-4da5-8510-045cf2d162cb","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.09","Using silicone colour to match grout"
"dfcd95fe-f12e-573c-9173-f31a0b1f0b59","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:2815bcc3-0139-4a7f-83af-a456ac723bd6","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.09","Area cleaned and removed all redundant materials"
"e6dc2b23-393a-4b67-97af-e886ba1ac9ab","","checklist-flat","work-in-progress","SYS - ITP01 - Ceramic Tiling (old version)","checklist-flat","FALSE","FALSE","Site QA","Tiling","Ground Level","LG.DR.11"
"3e3159f9-00a0-54df-bf87-834afc7c96f8","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):8881caa1-0891-4ea3-b9a6-bfa997b2752b","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.11","Ensure floor / substrate is clean of debris, dust and redundant materials"
"88bd6597-f13d-513b-a112-83fea38f6010","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):08920616-7f21-475f-afd8-789cd990c252","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.11","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"9ec5d754-d608-5f5a-b579-66d960d04537","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):37c3f9a9-0203-477b-b4f0-06d834a19d42","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.11","Screed area and ensure it reaches required strength"
"027d795c-1883-57cd-9b97-d63aa3c7fed7","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):9ca2c930-c7b1-4b83-b35c-e985aea20446","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.11","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"9a0ec678-d81f-59cc-9fce-9e81228d53d6","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):618d0e7a-f8d4-4f32-be25-38fa11a21cf1","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.11","Flood testing - 1-2 flood tests per area"
"b5ec5fb7-b005-5588-ac1b-c95b5ad12cfa","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):3b1d4f06-3bc4-496f-b45c-b464b47b837f","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.11","Fix floor & wall tiles using mapei ultralite s1"
"51bf9a3f-c83c-5412-aaab-1a9cd80ccf07","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):51b6ee26-9956-4598-8b02-8a80667f586e","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.11","Grout using mapei keracolor ff"
"5e5a2024-068f-544e-8e3c-8224a3f629b1","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):ec972d5e-934a-419f-8378-64ad703045c5","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.11","Using silicone colour to match grout"
"30fbcce5-61b1-5ced-a2dd-bb6d787daa94","","checkpoint-status","not-started","SYS - ITP01 - Ceramic Tiling (old version):7dd74a02-a720-4299-932e-38706341b671","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.DR.11","Area cleaned and removed all redundant materials"
"c6788567-a99d-4d53-acf4-84cedcd87c2e","","checklist-flat","work-in-progress","SYS - ITP01 - Ceramic Tiling (old version)","checklist-flat","FALSE","FALSE","Site QA","Tiling","Ground Level","LG.AM.02"
"aec66b8a-536e-5998-9078-9ead75395c45","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):8881caa1-0891-4ea3-b9a6-bfa997b2752b","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.AM.02","Ensure floor / substrate is clean of debris, dust and redundant materials"
"8cd6281d-3617-522e-8b10-35aa1d395a33","","checkpoint-status","pass","SYS - ITP01 - Ceramic Tiling (old version):08920616-7f21-475f-afd8-789cd990c252","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.AM.02","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
