"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5ee26e90-09ed-427d-bc2b-5df00db3341d","","folder-normal","","","step","TRUE","FALSE","B1"
"664a5051-4a93-4a92-bfe0-92bd873a0b09","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C07"
"8dc11f02-6e23-4fbd-9e59-f688ee2067f0","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C08"
"8fade81e-3e92-4194-a3aa-e67db7a3a2c4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C09"
"d1607a1f-8584-491a-8e85-164f9c106f39","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C10"
"4c8dd77c-5256-45c0-bdc4-11649756c995","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C11"
"e500420b-b576-4369-bbcb-09a0b19bdeba","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C12"
"e3a41fdb-7e54-4e13-a12c-1a12b22f83f9","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C13"
"c93e4a37-0b2e-4a6b-be11-0977c2cb12f3","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C14"
"64dfcc62-493f-4523-a531-90a850c9b6ea","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C15"
"f9fb1bd6-9fb2-4838-92a6-161e1d5b6a18","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C16"
"103ede4c-2b15-4676-a29a-386d67c30b7f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C17"
"408403a7-ea71-4c24-8aa0-617aad75fcfa","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP01"
"032b5f6f-19a0-49a1-b2d0-820164ca56d7","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP03"
"a6f39961-33a8-437d-a532-4dbeb23d63b4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP04"
"8b7f208b-8b55-47e8-aea2-e7b8994d4e2a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP06"
"2b799225-0f8f-41b2-9811-d8578896184a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP07"
"686e0607-1a27-48c3-8cf2-b2e1b245c7ec","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP08"
"7fb22e77-abe8-451f-b926-1c39b740593d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP09"
"391893c4-2c93-4381-9791-e6b042a1e0ee","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP10"
"08deeda8-06e5-4a82-b7c2-e12e5f760619","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P01"
"2f6c62dc-818a-45f8-8389-c98dbeb13f17","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P02"
"dc72db83-2c8e-4368-ab1f-4bc95368d372","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P03"
"e925610c-339b-4b86-8f2e-84629fc4caae","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P04"
"29864dff-08d4-4ae5-b37f-d879e1369d69","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P05"
"4e0d25da-e056-4de7-9e80-bc2829cde71b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P06"
"d5a176d2-f178-4571-af4f-d9896ae7670c","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P07"
"33837674-0186-4647-95f7-fa9a34ea1448","","folder-normal","","","step","TRUE","FALSE","Ground Floor"
"bad035cf-c1e4-467c-ac8d-1805930f530f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-C03"
"8e8293f4-de5e-4bd8-a487-fcf021ee2790","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-C04"
"81b597d0-749e-4196-bb93-ffa1cd33d0a1","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-C05"
"569b60ed-fa3c-4116-9182-6db99e0cd8f2","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground Floor","G-C06"
"caf95184-860f-4ea2-9c57-6152f04da852","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C07"
"4b227ea8-91a0-4771-8fc8-d20b8f2bfc1e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C07A"
"cda94f55-b31d-4668-bcb7-0d579972f00e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C09"
"472c14d0-4343-4303-9f0a-86fc27f5cf56","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-C18"
"c76e02e8-9a9c-47e3-85b0-7bcd7dc2e1b8","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-C19"
"aa250797-8505-4a39-a602-c9e24ba861c2","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-CP02"
"49c655fc-8dd6-4ebf-ab48-a87a6c2bf553","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground Floor","G-CP05"
"b3efc880-783b-4e07-9ff3-a4eb27785b7e","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-CP06"
"b56b713a-7fe6-4f75-ae26-ee21d8821c97","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-CP07"
"4d7dcdbe-99ea-4b54-9b5e-2a42e2491ed0","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-CP08"
"d6e95262-dec2-427b-9d62-fd2a93e1c5f4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-CP09"
"9f713583-5191-42f2-aeaf-94b259d6b327","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground Floor","G-CP10"
"bafc5baf-7e6f-43e0-aa93-2647ea2a8db4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P08"
"8177e2d5-e30f-4413-a060-d216466a1592","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P09"
"82ef1679-5ddb-4ca2-890d-5ef1245e3772","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P10"
"d172fd08-17dd-4e9a-bb62-21d1f5e4bb0e","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P11"
"8bf2f71d-7fdf-4505-aa99-25ee55b7fd0b","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground Floor","G-P12"
"04d15c09-0089-4c23-a88c-dbe7a7cb9d19","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground Floor","G-P13"
"91ab3f73-9cc0-4203-805b-6365d0eb8aaf","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P14"
"0cef9e8d-c3c6-4906-b82f-d8c05922a601","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground Floor","G-P15"
"7295c955-cfce-45d7-8054-41cb6179172a","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground Floor","G-P16"
"939c45df-8ec2-405a-8f18-9f390c6e3f90","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground Floor","G-P17"
"6bcadb20-1d22-4b51-8315-7abe335fbae8","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground Floor","G-P18"
"64b71982-9e1c-4745-851b-a430512e3fc4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P19"
"5438e333-1453-4bd1-9b1b-5e0062ff354c","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground Floor","G-P20"
"2c59cba6-2499-4e84-bfcf-eadab43bf1b4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P21"
"012579ca-2fbd-43b3-99df-c242933b2a0f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P22"
"ecff3fca-fe10-4fba-9483-b569114bb739","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P23"
"b69a1f51-e1b3-4059-9bea-a42898d43e33","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P24"
"ac8be594-8f64-4043-b133-ce1b10bd6cd2","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P25"
"488ae9b3-a917-4e4b-b9a5-1790f62b132f","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground Floor","G-P26"
"88387465-c273-47d7-be96-48cb9b6545ae","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P26(2)"
"edcfa0a2-d1f6-4784-829b-9f28e91422e2","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P27"
"b5bae7f0-cf51-4d78-8a7c-c58821115528","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P28"
"db0ef9af-3f3a-4880-9edb-d1f05b51fe3b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P29"
"6290b6d5-e2b6-4459-9206-e3b96f40b2bb","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P30"
"3f1f821a-fb82-44e8-a287-e1cee5ac414c","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P31"
"c781e98e-7732-44b2-ba25-0db18885cc9f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P32"
"3fd13d1a-04b4-4626-a675-06f144946e4f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P33"
"3e3f9584-5a98-4996-89cb-faba05393153","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P34"
"3aff51ac-2f97-4a11-9952-fb6c8b1fd417","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P35"
"d4c8604d-c78f-4568-bbd6-65acfbafd350","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P36"
"7ab0b52a-3bda-47e2-b541-2854bd3f77be","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P37"
"6ca8a6c4-76a5-4799-968b-6e5c56413945","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P38"
"5b28bbfd-b3b7-4079-b7d2-db031dcd1eb0","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P39"
"37663fab-f3b6-4c9b-b91f-d365ab78807f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P40"
"ca05a2d1-5325-49e4-805f-48d9aa7e1a33","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P41"
"42cd7e27-c10e-4c77-914b-25782c666afb","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P42"
"f59f1329-c110-49af-93f6-d066ac7b8dcc","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P43"
"a81b39ae-53da-41b4-b85b-17b9653fe31e","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P44"
"a51b679a-ce98-45e6-937a-814aae9397cc","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-P45"
"be104b4b-928f-4cda-b914-d78b2014e591","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P46"
"ac9faa4f-6161-489c-ae7d-fbd7f12ed98b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P47"
"f5dfba15-172b-4e28-beaf-629b4fc9ef8f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P48"
"4973d061-a96a-414e-a012-415c230322e7","","folder-normal","","","step","TRUE","FALSE","Level 2"
"ba4a4ee3-5cd4-490f-beb5-3074108793a3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA01"
"0e023fda-8edd-4e84-a370-e7269ca21fd1","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA01A"
"95c0f57c-d488-4963-a040-eeb0cf13a6e4","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA06"
"4fe7bb83-7d9b-421e-9b6b-99f00d15979e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA06A"
"3dd82dcb-2964-4bfc-9a4f-a36d66be7a61","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA07"
"aaf13ccb-578f-4fe7-8615-5a744eb1297d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA07A"
"934004c6-7b99-4107-a20a-1e14d16bdee2","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA09"
"49640cf9-48f7-4b2b-84ed-0da5fb4c65fd","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA09A"
"b1aceec7-cc1a-4764-8a18-f65a8c6e4069","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA09B"
"823f5735-566f-4e34-98a5-e7844307e1bb","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA09C"
"c65342ee-0531-44ed-a35d-abf85bb4a347","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA09D"
"1c4d524e-bdaa-4d02-a873-06684bfc315b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA12"
"09099056-e683-4ed1-af4a-621eeeca341b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA12A"
"4a823403-1c02-4e28-afb6-e89473ccfdc5","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA13"
"fdb7d0bc-e2dc-4a61-bd18-31f462b6382f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA14"
"10ef3159-7bee-4262-9faa-bba313b57fcf","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA15"
"8da6f1f6-05a6-445b-bd2a-3f57581acb1c","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA16"
"eb2fd85d-2a0e-4e89-906d-682713f448b7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA17"
"e29c09a0-a675-42e7-b7c4-15c4f2fa68b3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA18"
"a1d8b624-d394-4880-9eeb-d21ccad7e994","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA19"
"b275fd0c-e45e-4553-8c5f-57fabdd9d32d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA20"
"03b1d7c8-8341-4c19-bbef-95f461981cbc","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA21"
"0d33037a-3275-4198-ba29-08abec207a69","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA22"
"3b176d5e-72e5-48a9-8d2b-648c44af9b3c","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA23"
"3df4c9e1-9581-46cd-a991-14838e88ae57","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA24"
"8372336a-a81c-4e4c-a5aa-21bc4feb8443","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-CP06"
"7dc034fd-39ec-47ab-b7f3-b7739ee56c0a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-CP07"
"40017b46-d4a7-4c91-a178-c10afcf3d548","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-CP08"
"ea271705-41e4-4183-9c1f-02ec9080cda9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-CP09"
"8baf053f-b62b-40dd-a782-95b117db3907","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-CP10"
"f83d96c2-0490-4d39-8cc9-758c84296b6a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P30"
"e035a3c2-dbe2-424a-a5d2-c408aa0c0216","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P31"
"2e79b118-55d3-4c44-a2cf-08d847176761","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P32"
"94ebad4c-a82c-4c25-8c4a-1dd83f159ab6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P33"
"edec5516-4b83-4596-ac66-323747fd737e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P34"
"a7cc1381-8bc9-485b-8d98-d1785979274f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P35"
"59f67976-be44-4c2d-b825-a3a2c71d2c8f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P36"
"764f97f1-fb23-443a-8d6b-97c3583d3c40","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P36A"
