"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9c19783f-566b-4a4e-bd12-a14a09a5ee0f","","fail","","folder","TRUE","FALSE","Site QA"
"ab6f9ee6-6599-4c7c-8d66-d37492459fe8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0"
"900ff461-11fa-4f6a-86cd-8b68c64abe01","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-11"
"08940a1f-16a4-4684-87f9-fc58a038fac5","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-14"
"f9b61224-4f69-4b4c-a74d-013eb2668fcf","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-05"
"da567a9b-1f56-4893-a4cf-0ae225139d64","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-20"
"a382850d-c717-4697-bfe1-4a00c6991e2e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-01"
"531bd1d2-ab9f-4b07-a023-f1c07a6c2881","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-02"
"f56d05c9-43d8-4f3e-abee-cfb4a1d2166f","","not-applicable","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-09"
"7e5850ee-4427-4f1d-9a70-8862c221f6fa","","not-applicable","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-08"
"d52461cb-dd44-4a9f-9c6f-f8fd5e01880b","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-15"
"5a2f074d-c8e5-4296-947c-1572c91fdac6","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-17"
"89c806f5-746c-4a79-9f5f-eee35d609665","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-16"
"217d7f46-73c3-453b-9592-8878cf305745","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-08"
"93dc93af-67be-4969-b94e-7971dff01c2f","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-03"
"47f35541-c84d-4b0a-91f7-2b6dc8cbf9d7","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-04"
"683d76c6-7d0e-4296-a460-63dd0e805f3c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-07"
"8c5237ad-9ab1-423f-8aa5-bebcfb79e7ec","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-13"
"88cf0d76-0839-461a-a203-1beb67f84077","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-12"
"d16a61c6-b347-4035-986f-8bd203912e09","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-02 (H) "
"ce10004c-c1cd-4f7e-8e61-3a1638bbb47f","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-05 (H) "
"026042ce-50b7-4a90-a97f-92212eaa4b0b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-10"
"60000d3b-21ed-4a71-a400-d01e779c335e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-11"
"f429de31-e4a8-4d31-b6d5-00f81da5d4b1","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-09"
"916e6466-3844-4d66-b436-670c3fa5fac8","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-06"
"b21ef44b-7405-4e7a-b6ad-9f1d9c5cb6d9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. B0-01"
"32bb767a-0277-4dbc-87a6-203da51701a1","","fail","","folder","TRUE","FALSE","Site QA","Level 1 "
"6c2fb295-8a3b-49c6-915e-0067b98ef2e6","","work-in-progress","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B5-05"
"a9544e36-58ab-40db-acc2-23e48a7271a5","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-02"
"59b62518-3d19-40c4-85d4-dae599dfdaf1","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-08"
"cd7020e9-1b63-4252-9a9f-e1dc6bca1855","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-20"
"aa1c36e4-83ee-40f8-984c-7aa9ff512d7c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-33"
"247713f7-d0f7-48ae-99d4-847c842c1b3c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-36"
"b5c10f89-c195-49e6-81f8-0ea599b24e48","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-16"
"a3a283c2-2379-40d1-8528-74c22bb932f4","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-18"
"c19b1df1-ca18-4a43-bf04-cad3a2c99f6b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-22"
"812ff372-b1a3-43e1-ab7c-a1d27162ee42","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-29"
"74d3fa9b-1540-446f-b416-6fdd1f3fed2e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-04 "
"dd2a20c7-e3a4-4821-848a-1869d8f181d9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-37"
"06bef037-1165-4435-9e8c-d3aedece57fb","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-32"
"52df4fe5-e8ba-4dc4-ae72-a408c3e469a6","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-26"
"1cd9a820-36e1-4aaa-8a99-547aa4830a76","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-07"
"f6b95da8-37c9-4027-9b92-a1e607ada1ec","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-13"
"56360e72-ca7a-4040-baf4-b65bbb9eecc8","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-14"
"290ca177-7786-4311-8c65-58b2da3a4c21","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-17"
"7af8cc99-a95c-4bcc-802b-3889239b3908","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-05"
"4f7441aa-1a0d-46b6-88dd-443ac73fd70b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-11"
"a7c525c3-6189-4c78-8b01-990684d20851","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-12"
"4a6b37fa-3663-4258-9c72-63d8f6a4bc83","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-15"
"ee5c5f75-b295-414a-a6f2-72deaa93212b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-21 "
"750eb9e4-b80c-4ef4-8a30-f31d63c5d843","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-27"
"fd98cd5e-3d67-457c-9b14-07f781831e22","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-01"
"f5152b96-15ea-4bd7-ac35-498fe2c74c11","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-25"
"8ebfe843-25fe-4d22-b3b4-62e38ab4c5d2","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-28"
"23b82fd1-4530-4862-b4d1-9bddabf498cf","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-23"
"1df59445-de76-48b0-b5a7-3ed419ebd7e2","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-06 "
"760f4a33-3ed2-4f60-9659-630cf3c20066","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-31 "
"e841754b-b4bb-4350-8620-153fc35a7a84","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No A1-19"
"91a7c0c2-8f1b-4c9b-a28b-0ed09b5398a2","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-10"
"54d9cb71-040f-46a2-8abb-5c681de07ec6","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-09"
"591a3fab-0f98-48d4-8090-c73effe447d6","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-03"
"ebba6a19-bbc1-4728-87ac-82f9525414aa","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-34 "
"19f1b281-0fc9-4c85-8e95-fc0384976ab1","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-35"
"68f3e5dc-70d8-4ef3-9382-f20c042ab808","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-24 "
"08174a6b-fd3d-49e9-aaae-ce68669c2f4b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-30"
"82866e0e-4c6a-4618-87c1-90f254b1091c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. A1-38"
"87a92d3e-c62a-4103-bcdc-cb9c64461b71","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-26"
"183d8946-d5da-4b7f-976a-1a341eb58df0","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-21"
"80bf95e2-e735-425c-8f3a-44517337667d","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-07"
"b67f7721-a37f-42ee-9397-15b1b4500781","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-10"
"deaf7af1-8976-4c35-9727-1b3288b0d5bc","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-11 (H)"
"efe98799-b578-4125-9b97-a06b018cf412","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-18"
"bd62aee3-1969-4bbb-a2db-a81d95a8b790","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-22"
"217c791c-ff31-415b-8b6d-10aed0dc939e","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-05"
"235606e3-3d3c-4ea2-98af-343b82e2c18e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-08"
"3d4e43d5-55b0-4b56-bb63-7ed29752f5f9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-09"
"e492cc7d-ca43-4efb-b8fc-25c2d7c55a4c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-12"
"2a40468c-f70b-41f0-b9fb-009bfd3e7a37","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-25"
"43163134-e97f-42c0-bcac-61a71f23be59","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-31"
"b3f5595f-8e02-4768-93a9-20626c347643","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-32"
"2210c50c-77a7-41a1-bdc2-31c67d687200","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-14"
"f7051969-dba6-49ef-877a-f8cbfa57151c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-19"
"82f9f3f4-5a1f-4ad6-8c55-a7b2d57111b2","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-30"
"2438ef19-bd59-4b23-991c-ac498a8a3206","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-17"
"2f0598bd-c6a0-49c0-a6a4-9838498cdce2","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-23 (H)"
"ce615b83-2c19-4aac-9694-35424cac2939","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-06"
"2940f931-f2ae-4f1f-ae8a-fd976db7a10e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-29"
"e96b2131-e342-4d86-ae41-92f243045c5c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-20"
"fdb2ab93-bfde-4006-9bc7-6e5f639b2b24","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-15"
"060606cd-712e-4c71-9a97-b874517fbd58","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-16"
"ae7e7edb-ee96-4e02-8a55-1dfdd7e08773","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-01"
"b99747fe-0b03-4b44-aded-9a61d9db2fb7","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-04"
"fb5b66b9-e9ec-4e5b-a88d-9214ec45b396","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-13"
"2d6e7964-5427-4cbd-b831-19e640931927","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-33"
"e38fb81b-9e04-4441-9472-a3c702ada942","","fail","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-27"
"9a760ad8-e41f-4bc7-bd1b-b6b6655c8a6b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-28"
"1ed7f1a7-c834-40b9-a3d4-a6347c08f5a2","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-03"
"9a6ff197-2570-4999-94fb-3f4782de67fb","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-02"
"f2f2562e-b61c-407f-a190-4484775cce2b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 1 ","Level 1 Window No. B1-24"
"808ed2b3-f4fa-430c-ad88-820d874ba808","","fail","","folder","TRUE","FALSE","Site QA","Level 2"
"3bc264b1-b27d-42f6-bf95-cf8e1cf4d761","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 2","Level 2 Window No. A2-03"
"4ac456ed-2316-4307-8f14-d7e121807757","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 2","Level 2 Window No. A2-09"
"c392c954-9014-4852-88d8-08d211f97209","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 2","Level 2 Window No. A2-21"
