"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b671ea60-744a-4ab4-a5e5-fb328a1dd446","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","44 - Gridline J-K – Low Voltage 1 x 80."
"f2240275-77aa-4b26-9e9f-e5792fa89968","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","45 - Gridline J-K – Low Voltage 1 x 80."
"be8d605b-6be9-40db-a2fd-e35c18286794","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","46 - Gridline K-L – Low Voltage 2 x 150."
"bf374c38-058c-4e52-b198-86e60b74dae8","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","47 - Gridline L – Comms 1 x 100."
"eab9c27a-1623-42c7-9e6f-5640dc80ec32","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","48 - Gridline L – Low Voltage 1 x 150."
"e9e34ea4-f1ca-4044-b9a6-44a0505c413f","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","49 - Gridline L – Low Voltage 1 x 80."
"5ccd1e9a-3bca-4765-9534-3be3f9fa72c4","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","50 - Gridline L – Comms 1 x 100."
"8880f015-b279-41d9-8637-5fe4bd4b1d1e","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","51 - Gridline H-I – Comms 4 x 100."
"01eff681-a063-4f84-b63a-c48d95b3a8f9","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","52 - Gridline I-K – Comms 4 x 100."
"ac25a3b9-bcfe-47d7-8649-7fa6e172e7f3","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","53 - Gridline H – Low Voltage 1 x 100."
"fa02d261-4626-4d79-8f3d-24fe6e56e46b","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","54 - Gridline H-L – Low Voltage 1 x 100."
"46ed1f14-92a6-405f-a4e0-ec5cac406763","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","55 - Gridline J-L – Comms 1 x 100."
"437cd900-7f22-43b9-bbb6-8500850a7718","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","56 - Gridline K-L – Low Voltage 1 x 80."
"316bd7ea-a8dc-445e-a403-152a7b0d021d","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","57 - Gridline K-L – Low Voltage 1 x 80."
"e5906e64-13bf-4caf-86d7-a5ac1757b532","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","58 - Gridline K-L – Comms 4 x 100."
"7f710c33-e037-45f7-a0e6-220ed07aa10d","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","59 - Gridline K-L – Low Voltage 1 x 80."
"ad5870d1-c8b1-47b2-bb37-8b3241e0d30c","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","60 - Gridline K-L – Low Voltage 1 x 80."
"bc89a4cf-5f07-430e-ac33-cbb8421cf4af","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","61 - Gridline K-L – Low Voltage 1 x 80."
"fffb7e2d-4efd-4b2d-b7aa-bf0e7653a057","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","62 - Gridline K-L – Low Voltage 1 x 80."
"8af38104-0951-4cd1-8fd6-37e0a874a640","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","63 - Gridline K-L – Low Voltage 1 x 80."
"34058bd7-083b-4492-9378-3d428964533f","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","64 - Gridline K-L – Comms 1 x 100."
"3b2dc13e-14e3-4d00-803a-ec957c032261","","not-started","Master HV Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","65 - Gridline G-H – High Voltage 6 x 150"
"d20a5a0c-668d-4e92-b9f3-edf8546be0ae","","not-started","Master HV Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","66 - Gridline H-K – High Voltage 6 x 150."
"f21ccd48-d4ff-4287-a8b5-8e1a3e8cad25","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","67 - Gridline H – Low Voltage 1 x 100."
"c09d7a90-9b81-4f67-8b91-d7aba84a9448","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","68 - Gridline G-H – Low Voltage 1 x 100."
