"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ef662650-7569-466d-a771-076e1bd3ab87","","not-started","","folder","TRUE","FALSE","Cladding QA"
"6fdd0fee-a870-4e46-852e-e3b6449b81ed","","not-started","","folder","TRUE","FALSE","Cladding QA","Level 34"
"fb31271b-11a5-4b2d-a4f4-22233aec85c9","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 31","Soffit"
"c941cee9-f37b-4373-ad78-ef5bdce42376","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 31","East"
"508f7122-b461-4d72-afc0-e1dc81217b77","","not-started","","folder","TRUE","FALSE","Cladding QA","Level 30"
"0817ec63-033c-473c-9679-c339d85bdebe","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 30","East"
"4e8da049-e71b-4675-bbb2-129f5be06de5","","work-in-progress","","folder","TRUE","FALSE","Window QA"
"8250dd05-1d69-455f-af50-2dd946264f1e","","not-started","","folder","TRUE","FALSE","Window QA","Level 34"
"fa991c3d-2163-444d-b2d5-de88d560f561","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 34","DE34.1"
"dfece88f-f975-4b14-8159-59db15dd48f2","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 34","WE34.1"
"86c0ded0-9ca0-4371-9b47-e98465410a70","","not-started","","folder","TRUE","FALSE","Window QA","Level 33"
"b4da0695-ab91-4203-bfa6-fdad6c8640d7","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 33","WE33.1"
"637be297-90ca-443b-b654-b23225aa7a3a","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 33","WE33.2"
"b28941ba-b317-4c61-9480-a5e66ef9a2b9","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 33","WE33.3"
"bf38684e-50ef-455b-bd3f-c7f850ec862d","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 33","WE33.4"
"ddaeba09-1334-493d-81fe-07a7b29d12c8","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 33","WE33.5-1"
"0c8514f6-aab2-4fc8-b1f3-2247b9ad4ebc","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 33","WE33.5-2"
"1c54b131-dd59-4145-aebf-6cb8bfea8b67","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 33","WE33.6"
"66c101bd-efe4-4585-95d6-a7b1c095ccf0","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 33","WE33.7"
"10053d58-1d14-4b38-abd5-cf8c63ca0689","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 33","WE33.8"
"39730635-f04f-4295-9a53-a415f1a8a3c8","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 33","WE33.9"
"607f0b04-0e48-46ec-a59e-1d41e1b75676","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 33","WE33.10"
"f08a5e11-f2cb-4ecc-bc46-ef4e956c7454","","work-in-progress","","folder","TRUE","FALSE","Window QA","Level 32"
"fc373b44-8163-4960-b630-41eb3bd4add4","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.1-1"
"efd8286a-c1f2-4c62-82e4-4a5f53b2cc78","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.1-2"
"b4234342-8c39-4678-b8ba-685618f8d97e","","work-in-progress","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.2"
"14eb8ed4-085d-4c94-9ac2-87eb0fbd25b1","","work-in-progress","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.3"
"a1c22268-d447-472d-8a77-ca28f0e2a4cd","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.4"
"a70dda7c-4172-4a27-8df7-250b5d21ab28","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.5"
"3d0bd3d3-4b23-4d52-9f25-a919d3fae22f","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.6"
"833cb7f1-5779-4bb9-a8ee-ca65e12b6de5","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.7"
"4df727e6-06ff-4f98-9b48-1ec6fe61d107","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.8"
"d965c5b5-bb0b-4b6a-94a8-ec3077eef3bc","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.9"
"f8697cd8-028d-4e89-a418-65828d785171","","work-in-progress","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.10"
"be5d0c93-2283-4b19-b9f3-41eaffa9af21","","work-in-progress","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 32","WE32.11"
"e1326c1a-1130-48ec-ad66-26f66833279f","","work-in-progress","","folder","TRUE","FALSE","Window QA","Level 31"
"e753e099-2e9f-43f8-8144-b8cf1a30278d","","work-in-progress","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 31","WE31.1"
"fe5fccf2-40a8-4ef4-b6a5-65f4d18c0944","","work-in-progress","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 31","WE31.2"
"1f051360-8dcc-4052-bb1f-0c3a0cf958d7","","work-in-progress","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 31","WE31.3"
"417f00ea-93ad-4690-bf3f-bd39a6177c86","","work-in-progress","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 31","WE31.4"
"2d4da982-21df-41d0-a128-8d68de61b0aa","","work-in-progress","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 31","WE31.5"
"f0b4f20c-20d4-4cc7-9d69-3bb4af6ef2e6","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 31","WE31.6"
"09582839-2b3d-46e1-ba0e-6d56a0bdd9bf","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 31","WE31.7"
"5501294f-51dd-41c2-9a5b-f148d8bc0cbd","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 31","WE31.8"
"8dda9f1d-91e1-4392-80f3-ec156f8891e1","","not-started","","folder","TRUE","FALSE","Window QA","Level 30"
"232bba2e-05e9-4971-8910-24d2d119bb8d","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 30","WE30.1"
"b82a3bb5-d4d1-4f9f-9773-b808a971fb1e","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 30","WE30.2"
"3f2c5161-6393-41ff-b9d6-24be241ac28c","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 30","WE30.3"
"724e3781-d467-41d7-a2aa-c3838291c972","","not-started","QA - Joinery Checklist","checklist","FALSE","FALSE","Window QA","Level 30","WE30.4"
"1af1d27e-6668-4cdd-8ab6-5e3a84358658","","not-started","","folder","TRUE","FALSE","Balcony and Parapet Flashing QA"
"e8cfebd9-2e88-4756-98e4-c133970c2143","","not-started","","folder","TRUE","FALSE","Balcony and Parapet Flashing QA","level 35"
"d00c3fba-5c7e-4beb-8b89-6488b6108fc6","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 35","North"
"f38c48b3-728f-45b7-9fac-604b5c3d1992","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 35","east"
"9234e6c0-d4d4-4a93-85c7-908a1e5a1ea2","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 35","south"
"e5ee7830-455d-4254-b233-f1e0b66efbb7","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 35","west"
"06981450-4e16-41ad-9cf9-8ab0b4725af0","","not-started","","folder","TRUE","FALSE","Balcony and Parapet Flashing QA","level 34"
"733aab73-0b5c-40d9-a6b1-5159432239bd","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 34","North"
"246be050-e0bf-4193-a666-3614b6c6b1e9","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 34","east"
"8d473d6b-2ec0-49bf-aab8-d0fe59637bea","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 34","south"
"518d0f9b-f3c6-4e8a-869f-e0806bc3d2bd","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 34","west"
"988baa20-2f66-4998-9190-5bd453fa2c5b","","not-started","","folder","TRUE","FALSE","Balcony and Parapet Flashing QA","level 33"
"d9bcef52-f965-4d64-b57c-914276c2697e","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 33","North"
"8c6935eb-a53d-4e88-acd3-0caea04bdb2b","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 33","east"
"431a3006-1ef9-49cd-b4ea-f65256734104","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 33","south"
"2501db66-ffde-47d1-87ee-af242821ea01","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 33","west"
"1eda376c-a954-431f-acf9-cd4766b32572","","not-started","","folder","TRUE","FALSE","Balcony and Parapet Flashing QA","level 32"
"4e50f941-bba6-41b8-9a78-43bfd37d4ab3","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 32","North"
"13867362-7dc8-4c8c-be46-978fd060ab80","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 32","east"
"f6774223-7da8-4d42-8e5f-9f63608e33b7","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 32","south"
"4113b84c-b418-4bcb-9757-2f328d84eecb","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 32","west"
"5d079f9c-deeb-44b8-8e16-6ad7d201a6d3","","not-started","","folder","TRUE","FALSE","Balcony and Parapet Flashing QA","level 31"
"32a2281a-7b37-430a-bfda-e0eb417534e3","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 31","North"
"7c221ced-41e1-4668-b4dd-3181896726ce","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 31","east"
"1c5e12c9-1dbd-4304-b587-7dd09eca449a","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 31","south"
"8a52db6f-28b8-49a3-abe7-91e27ea9407d","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 31","west"
"f462322b-8de4-4cb2-84d2-69e5800aaac4","","not-started","","folder","TRUE","FALSE","Balcony and Parapet Flashing QA","level 30"
"9a95b9fe-133a-47af-9acb-e3c978ea0ab5","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 30","North"
"be479a9a-4415-44cb-815f-85272e39edea","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 30","east"
"31aee3e9-a748-4682-8c75-b8e32d806aed","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 30","south"
"b143d839-8857-4d51-9e36-259309c9c380","","not-started","Precinct Flashing Checklist","checklist","FALSE","FALSE","Balcony and Parapet Flashing QA","level 30","west"
"4484518f-6a98-45e0-ab9c-e9bdb2295a0f","","work-in-progress","","folder","TRUE","FALSE","Gib and wrap"
"f75f7952-eab9-4fb1-b848-9fbf7b826faf","","not-started","","folder","TRUE","FALSE","Gib and wrap","level 34"
"dda79e7d-a032-4ecc-8ac4-bcc078ba069b","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 34","North"
"8bc373ae-af14-480f-9ddc-50dadc1e28d7","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 34","east"
"dd00afc4-bf67-4328-b3b8-3274af39213b","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 34","west"
"95b4a422-dfb5-422c-a70b-059bac46693e","","not-started","","folder","TRUE","FALSE","Gib and wrap","level 33"
"1b6f16c6-adc2-4e30-8923-4f2bd5e73d0b","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 33","soffit"
"91f1ae1a-bc68-4959-b44f-9625d8c906b3","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 33","North"
"5aa5a198-35dc-47e1-83fa-a09d92da1a45","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 33","east"
"4ed41413-453a-4f98-976c-7bab55cb242f","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 33","south"
"c087e30d-bec0-467b-8c94-44ad6483ae4d","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 33","west"
"131ac47d-e053-459b-b3a9-175f5e35442d","","work-in-progress","","folder","TRUE","FALSE","Gib and wrap","level 32"
"79b8d53c-f696-4d25-bb9c-2cdb07a34129","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 32","soffit"
"b80313f9-dc4e-44e3-80a3-6cdc06cbb187","","work-in-progress","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 32","North"
"4f5a2b03-8354-4317-b8fd-77ab402dcf13","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 32","east"
"8947bbae-b0c0-4a4a-b5ff-dcd551da2552","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 32","south"
"bdb62b6b-7d8c-41e6-95a4-05f8329b1486","","work-in-progress","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 32","west"
"2a08b48a-e7f2-41d9-a580-121af9d6aa9b","","not-started","","folder","TRUE","FALSE","Gib and wrap","level 31"
"279af808-f8d6-4a52-bbea-758d16c20ebe","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 31","soffit"
"6efa8ad9-36ba-48a1-864f-bf99429283e5","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 31","east"
"e4007e92-5cd6-4d98-be71-ce50bad93e2f","","not-started","","folder","TRUE","FALSE","Gib and wrap","level 30"
"9c9bfc44-43ce-4505-b9f5-5d7affdb5f79","","not-started","Precinct Gib/Wrap Checklist","checklist","FALSE","FALSE","Gib and wrap","level 30","east"
"6f4c718c-9101-4848-b4d7-8fe3097ab774","","not-started","","folder","TRUE","FALSE","Siderise"
"6caa663b-b6f9-4c56-907e-471b42286ca2","","not-started","","folder","TRUE","FALSE","Siderise","level 33"
"0c3dd9b5-b8ac-4f9c-9624-afcbb78d9a6a","","not-started","","folder","TRUE","FALSE","Siderise","level 33","North FC2-001"
"84464d1e-8bd0-4cbd-bb93-cfe5edcaccd6","","not-started","Horizontal siderise","checklist","FALSE","FALSE","Siderise","level 33","North FC2-001","grid E-D horizontal"
"0df6cb35-ff97-4798-8cbb-a01da122fc93","","not-started","Vertical siderise","checklist","FALSE","FALSE","Siderise","level 33","North FC2-001","grid E vertical"
"6ca2171f-7486-426a-9d57-5c5ad63f0faf","","not-started","Vertical siderise","checklist","FALSE","FALSE","Siderise","level 33","North FC2-001","Grid D Vertical"
"169576b1-1b15-4357-9ecc-2ebc05d4efdf","","not-started","Vertical siderise","checklist","FALSE","FALSE","Siderise","level 33","North FC2-001","Grid C vertical"
"54d0e066-f86e-48ed-af57-55456f0797aa","","not-started","","folder","TRUE","FALSE","Siderise","level 33","South FC2-002"
"054cda6e-7d37-460f-9ea4-a2592a407840","","not-started","Vertical siderise","checklist","FALSE","FALSE","Siderise","level 33","South FC2-002","Grid C vertical"
"a685c0c0-2713-44c5-9174-94c0e68a0dc2","","not-started","","folder","TRUE","FALSE","Siderise","level 33","East FC2-003"
"06c8ad4b-635f-4a81-80b9-af01c0dc1244","","not-started","Horizontal siderise","checklist","FALSE","FALSE","Siderise","level 33","East FC2-003","Grid 2-3 Horizontal"
"18d6d7b0-0a13-4587-b423-23a9f4499aa9","","not-started","Vertical siderise","checklist","FALSE","FALSE","Siderise","level 33","East FC2-003","Grid 2 vertical"
"719bce4e-4a89-4e5c-a8f5-1b25ebac74b2","","not-started","Vertical siderise","checklist","FALSE","FALSE","Siderise","level 33","East FC2-003","Grid 3 vertical"
"c7571992-b41c-4151-9808-d84cb368d2d5","","not-started","","folder","TRUE","FALSE","Siderise","Level 32"
"0007ad9e-5b07-448e-a818-5de9a325f59d","","not-started","","folder","TRUE","FALSE","Siderise","Level 32","South FC2-002"
"dc4aad13-4eef-4d89-a5e0-1ff46b8bd879","","not-started","Vertical siderise","checklist","FALSE","FALSE","Siderise","Level 32","South FC2-002","Grid C vertical"
"9e5d10df-c033-46eb-8965-9df113363227","","not-started","","folder","TRUE","FALSE","Siderise","Level 32","West FC2-003"
"aac0934b-09bd-48fd-a27b-4bb8fd337e25","","not-started","Vertical siderise","checklist","FALSE","FALSE","Siderise","Level 32","West FC2-003","Grid 3 vertical"
"30275cd8-71e7-4de3-b2bb-927efc1b761b","","not-started","","folder","TRUE","FALSE","Siderise","Level 30"
"60aaea06-78c3-4d10-a2fb-58b8d81c28e6","","not-started","","folder","TRUE","FALSE","Siderise","Level 30","East FC2-003"
"93d7cd49-bbb6-4452-ae94-77f8af250a48","","not-started","Vertical siderise","checklist","FALSE","FALSE","Siderise","Level 30","East FC2-003","Grid 2 vertical"
"425de9ca-cfb6-4418-a53b-84dc02ae3424","","not-started","Vertical siderise","checklist","FALSE","FALSE","Siderise","Level 30","East FC2-003","Grid 3 vertical"
"dfe79288-0a1c-40f5-acba-615c9f82ab87","","not-started","","folder","TRUE","FALSE","Siderise","Level 30","North FC2-001"
"7e5c8b00-4205-462b-8c2d-33449c9db179","","not-started","Vertical siderise","checklist","FALSE","FALSE","Siderise","Level 30","North FC2-001","Grid G vertical"
