"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
,,"Bed runner",,"bed runner","bedroom"
,,"Inspected Quantity","Inspected Quantity","bed runner","bedroom"
,,"Bed scatter cushions",,"bed scatter cushions","bedroom"
,,"Inspected Quantity","Inspected Quantity","bed scatter cushions","bedroom"
,,"Headboard",,"bedroom","headboard"
,,"Inspected Quantity","Inspected Quantity","bedroom","headboard"
,,"Digital clock radio with Bluetooth capability",,"digital clock radio with bluetooth capability","bedroom"
,,"Inspected Quantity","Inspected Quantity","digital clock radio with bluetooth capability","bedroom"
,,"Bedside wireless charging unit",,"bedside wireless charging unit","bedroom"
,,"Inspected Quantity","Inspected Quantity","bedside wireless charging unit","bedroom"
,,"Electric blanket if no heat pump",,"electric blanket if no heat pump","bedroom"
,,"Inspected Quantity","Inspected Quantity","electric blanket if no heat pump","bedroom"
,,"Framed prints with glass (min. 600x600mm)",,"bedroom","framed prints with glass (min. 600x600mm)"
,,"Inspected Quantity","Inspected Quantity","bedroom","framed prints with glass (min. 600x600mm)"
,,"Bedside lamps",,"bedside lamps","bedroom"
,,"Inspected Quantity","Inspected Quantity","bedside lamps","bedroom"
,,"Pillows",,"pillows","bedroom"
,,"Inspected Quantity","Inspected Quantity","pillows","bedroom"
,,"Pillow protector",,"pillow protector","bedroom"
,,"Inspected Quantity","Inspected Quantity","pillow protector","bedroom"
,,"Full length mirror",,"full length mirror","bedroom"
,,"Inspected Quantity","Inspected Quantity","full length mirror","bedroom"
,,"Bedside tables",,"bedside tables","bedroom"
,,"Inspected Quantity","Inspected Quantity","bedside tables","bedroom"
,,"Smart LCD 42” TV on bracket with tidy cable management",,"smart lcd 42” tv on bracket with tidy cable management","bedroom"
,,"Inspected Quantity","Inspected Quantity","smart lcd 42” tv on bracket with tidy cable management","bedroom"
,,"Check compendium",,"bedroom","check compendium"
,,"Inspected Quantity","Inspected Quantity","bedroom","check compendium"
,,"Collateral - check for current Quest spec",,"collateral - check for current quest spec","bedroom"
,,"Inspected Quantity","Inspected Quantity","collateral - check for current quest spec","bedroom"
,,"Lounge chair",,"lounge chair","bedroom"
,,"Inspected Quantity","Inspected Quantity","lounge chair","bedroom"
,,"Scatter cushions",,"scatter cushions","bedroom"
,,"Inspected Quantity","Inspected Quantity","scatter cushions","bedroom"
,,"Side table or coffee table",,"side table or coffee table","bedroom"
,,"Inspected Quantity","Inspected Quantity","side table or coffee table","bedroom"
,,"Floor lamp",,"floor lamp","bedroom"
,,"Inspected Quantity","Inspected Quantity","floor lamp","bedroom"
,,"Dining tables (800mm)",,"bedroom","dining tables (800mm)"
,,"Inspected Quantity","Inspected Quantity","bedroom","dining tables (800mm)"
,,"Dining chairs",,"bedroom","dining chairs"
,,"Inspected Quantity","Inspected Quantity","bedroom","dining chairs"
,,"Decorative mirror",,"decorative mirror","bedroom"
,,"Inspected Quantity","Inspected Quantity","decorative mirror","bedroom"
,,"Towel rail (chrome)",,"towel rail (chrome)","bathroom"
,,"Toilet roll holder (chrome)",,"toilet roll holder (chrome)","bathroom"
,,"Shower caddy in shower. Must be high quality and durable",,"bathroom","shower caddy in shower. must be high quality and durable"
,,"Quest bathroom amenities - shower gel, soap, shampoo & conditioner",,"quest bathroom amenities - shower gel, soap, shampoo & conditioner","bathroom"
,,"Shower condition: silicone, shower slide and glass",,"bathroom","shower condition: silicone, shower slide and glass"
,,"Chrome hooks on back of bathroom door",,"chrome hooks on back of bathroom door","bathroom"
,,"Vanity must be minimum 900mm to accommodate toilet bag",,"vanity must be minimum 900mm to accommodate toilet bag","bathroom"
,,"Condition of cabinets and top (silicone, mixer, plug)",,"condition of cabinets and top (silicone, mixer, plug)","bathroom"
,,"Lighting above mirror in bathroom",,"lighting above mirror in bathroom","bathroom"
,,"Paint",,"paint","bathroom"
,,"Ceiling",,"ceiling","bathroom"
,,"Floor",,"floor","bathroom"
,,"Toilet",,"toilet","bathroom"
,,"Extraction fan",,"extraction fan","bathroom"
,,"Clothes dryer - check there are no energy labels",,"bathroom","clothes dryer - check there are no energy labels"
,,"Washing machine - check there are no energy labels",,"washing machine - check there are no energy labels","bathroom"
,,"Hair dryer (JVD Ibiza Hair Dryer HD82299-BK)",,"hair dryer (jvd ibiza hair dryer hd82299-bk)","bathroom"
,,"Inspected Quantity","Inspected Quantity","hair dryer (jvd ibiza hair dryer hd82299-bk)","bathroom"
,,"Toilet brush set",,"toilet brush set","bathroom"
,,"Inspected Quantity","Inspected Quantity","toilet brush set","bathroom"
,,"5L pedal bin",,"bathroom","5l pedal bin"
,,"Inspected Quantity","Inspected Quantity","bathroom","5l pedal bin"
,,"Balcony",,"overall","balcony"
,,"Collateral",,"collateral","overall"
,,"Door security",,"door security","overall"
,,"Windows",,"windows","overall"
,,"Walls",,"overall","walls"
,,"Ceiling",,"ceiling","overall"
,,"Lighting",,"lighting","overall"
,,"Hard flooring",,"overall","hard flooring"
,,"Soft flooring",,"overall","soft flooring"
,,"Must have blackout drapes",,"overall","must have blackout drapes"
,,"Must have sheer curtains",,"overall","must have sheer curtains"
,,"Housekeeping",,"housekeeping","overall"
,,"Air conditioning / heating",,"air conditioning / heating","overall"
,,"Videos & Other Attachments",,"other","videos & other attachments"

"One Bedroom Progress"
,"Scope",,
,"Rows"
,,"One Bedroom","dynamic","one bedroom","quest carlaw park"
,"Columns"
,,"Dessert Spoon (stainless steel)",,"dessert spoon (stainless steel)","kitchen"
,,"Inspected Quantity","Inspected Quantity","dessert spoon (stainless steel)","kitchen"
,,"Teaspoon (stainless steel)",,"kitchen","teaspoon (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","teaspoon (stainless steel)"
,,"Fork (stainless steel)",,"kitchen","fork (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","fork (stainless steel)"
,,"Knife (stainless steel)",,"kitchen","knife (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","knife (stainless steel)"
,,"Soup Spoon (stainless steel)",,"kitchen","soup spoon (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","soup spoon (stainless steel)"
,,"Kitchen knives 3-Pce set: cooks, bread & vegetable/paring knives (stainless steel)",,"kitchen","kitchen knives 3-pce set: cooks, bread & vegetable/paring knives (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","kitchen knives 3-pce set: cooks, bread & vegetable/paring knives (stainless steel)"
,,"30cm Stirring wooden spoon",,"30cm stirring wooden spoon","kitchen"
,,"Inspected Quantity","Inspected Quantity","30cm stirring wooden spoon","kitchen"
,,"Heavy duty twist type can opener (chrome)",,"heavy duty twist type can opener (chrome)","kitchen"
,,"Inspected Quantity","Inspected Quantity","heavy duty twist type can opener (chrome)","kitchen"
,,"Metal whisk (chrome)",,"kitchen","metal whisk (chrome)"
,,"Inspected Quantity","Inspected Quantity","kitchen","metal whisk (chrome)"
,,"Grater (stainless steel)",,"kitchen","grater (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","grater (stainless steel)"
,,"Tongs (stainless steel)",,"kitchen","tongs (stainless steel)"
,,"Salad servers",,"kitchen","salad servers"
,,"Inspected Quantity","Inspected Quantity","kitchen","salad servers"
,,"Waiters friend/corkscrew & bottle opener (chrome)",,"waiters friend/corkscrew & bottle opener (chrome)","kitchen"
,,"Inspected Quantity","Inspected Quantity","waiters friend/corkscrew & bottle opener (chrome)","kitchen"
,,"Vegetable peeler",,"kitchen","vegetable peeler"
,,"Inspected Quantity","Inspected Quantity","kitchen","vegetable peeler"
,,"Potato masher",,"potato masher","kitchen"
,,"Inspected Quantity","Inspected Quantity","potato masher","kitchen"
,,"Slotted turner / egg lifter",,"kitchen","slotted turner / egg lifter"
,,"Inspected Quantity","Inspected Quantity","kitchen","slotted turner / egg lifter"
,,"Slotted spoon",,"slotted spoon","kitchen"
,,"Inspected Quantity","Inspected Quantity","slotted spoon","kitchen"
,,"Solid serving spoon",,"solid serving spoon","kitchen"
,,"Inspected Quantity","Inspected Quantity","solid serving spoon","kitchen"
,,"Baking dish (clear)",,"kitchen","baking dish (clear)"
