type,name,values,prefix,postfix,usage count,user addable,template name
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
checklist-flat,Boiler Fit off Checklist,,,,,,Boiler Fit off Checklist
checkpoint,Boiler installed in final location,,,,,,
checkpoint,Power supply fit off,,,,,,
checkpoint,Control cabling fit-off,,,,,,
checkpoint,"Conduit, decktites installed, penetrations watersealed",,,,,,
checkpoint,Ready for energisation,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
checklist-flat,Remote sensor Fit off Checklist,,,,,,Remote sensor Fit off Checklist
checkpoint,Wall plastered/painted,,,,,,
checkpoint,Remote sensor cable Fit off on wall,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and room is clean,,,,,,
,,,,,,,
checklist-flat,BMS Control Point Wall Mounted off Checklist,,,,,,BMS Control Point Wall Mounted off Checklist
checkpoint,Wall plastered/painted,,,,,,
checkpoint,Fit off on wall,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and room is clean,,,,,,
,,,,,,,
checklist-flat,BMS Control Point Field off Checklist,,,,,,BMS Control Point Field off Checklist
checkpoint,Control point fitoff,,,,,,
checkpoint,Any penetrations sealed,,,,,,
checkpoint,Labels installed,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and room is clean,,,,,,
,,,,,,,
checklist-flat,BMS Control Point MSSB fit off Checklist,,,,,,BMS Control Point MSSB fit off Checklist
checkpoint,Terminals fit-off,,,,,,
checkpoint,MSSB left neat and tidy,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and room is clean,,,,,,
,,,,,,,
checklist-flat,DOL FAN PBO Fit-off Checklist,,,,,,DOL FAN PBO Fit-off Checklist
checkpoint,Fan Fitoff,,,,,,
checkpoint,Local switch fitoff,,,,,,
checkpoint,"Conduit, decktites installed, penetration watersealed",,,,,,
checkpoint,Ready for energisation,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
checklist-flat,Circuit Energisation from switchboard Checklist,,,,,,Circuit Energisation from switchboard Checklist
checkpoint,Power cable terminated at Equipment,,,,,,
checkpoint,Power cable terminated at switchboard,,,,,,
checkpoint,All AS3000 Tests complete and passed,,,,,,
checkpoint,Protection devices match equipment (CB's O/L etc.),,,,,,
checkpoint,Circuit energised,,,,,,
checkpoint,Voltage Tested at equipment,,,,,,
,,,,,,,
checklist-flat,Circuit Energisation from Isolator Checklist,,,,,,Circuit Energisation from Isolator Checklist
checkpoint,Isolator installed in correct position,,,,,,
checkpoint,Power cable terminated by others,,,,,,
checkpoint,Power cable terminated at Equipment,,,,,,
checkpoint,All AS3000 Tests complete and passed,,,,,,
checkpoint,Circuit energised by others,,,,,,
checkpoint,Voltage Tested at equipment,,,,,,
,,,,,,,
checklist-flat,Central Controller Commissioning Checklist,,,,,,Central Controller Commissioning Checklist
checkpoint,Power supply tested,,,,,,
checkpoint,Central controller online,,,,,,
,,,,,,,
checklist-flat,VSD/EC FAN Commissioning Checklist,,,,,,VSD/EC FAN Commissioning Checklist
checkpoint,Check all terminations,,,,,,
checkpoint,Power supply tested Voltage,,,,,,
checkpoint,"AOM, local switch tested",,,,,,
checkpoint,Run light tested,,,,,,
checkpoint,Fault light tested,,,,,,
checkpoint,Speed tested,,,,,,
checkpoint,Rotation tested,,,,,,
checkpoint,AMP Draw tested,,,,,,
checkpoint,Labels installed on all equipment,,,,,,
,,,,,,,
