"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"afe50533-b6f8-4211-941b-1ab5803b103a","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"696a6906-bf8d-4f7c-bc3c-a94b419c210d","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","B01"
"dc09ae32-9a2c-4296-a0c6-a5eea39df01a","","checklist-flat","","1 - Production Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","Level B double T","230508-13"
"54aea912-68d2-41e3-aab5-68a0a8ce3a00","","checklist-flat","","1 - Production Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","Level B double T","230511-37"
"aed0be94-36f0-45e0-b8de-03a6c6564a0d","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","Level B double T","230515-24"
"ad0c9476-e3fe-4ab5-95f1-cdd60a6246ad","","checklist-flat","","1 - Production Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","Level B double T","230517-14"
"aebb37de-5eb1-4ec3-8f91-680eee7f3b14","","checklist-flat","","1 - Production Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","Level B double T","230512-29"
"459e9568-1f50-40c3-9808-21b5b483511a","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Dispatch "
"fb3f4077-a9fe-4936-8ab3-307e491a96c7","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D003"
"cc13867e-d128-4382-8f0f-f33b1190630d","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D002"
"c583eaf4-1a2c-45b8-a307-049c7ba29e0d","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","3 - DispatchD001"
"2c354376-4739-4e48-a76e-3e90ef989e31","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D004"
"74e4ee30-5669-4454-becb-e5e0c3040993","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","3 - DispatchD005"
"f67a684f-55f2-4022-8bd9-e48234a4b130","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D006"
"bf31fb43-d469-4389-a2ce-b606e7582777","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D007"
"8b82b500-fe2d-4a56-9b70-763a2ed66778","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D008"
"1504a283-18a9-4ee8-a1ba-0466b6fea9ee","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D009"
"12f4b7a4-9412-4b26-8634-42e5b47efb8d","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D010"
"d5133194-c6de-4189-92f9-b2c7d4f25f62","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D012"
"9b5ec9cb-b585-441c-be87-db97edefa143","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D014"
"83d7eb5b-1f68-419a-a778-ad3e2af4cf4c","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D013"
"a9664e36-c315-4998-bda5-0916c03afaea","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D018"
"8581a9d4-467c-4b44-914f-0ca56afcf85f","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D017"
"01f4774b-e7ae-42de-8597-411e63c1a3c8","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D015"
"cb10567a-eb84-41c9-91e2-728a0fbf448b","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D016"
"4291b21d-3385-4590-be58-da1e15b4e1a3","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D019"
"30395570-adef-459d-a613-4604ca41d2d2","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D020"
"59d1f9b4-8630-4da0-9c3c-ad8fcbd8c61e","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D021"
"aea7ea90-2c10-4d9e-942d-6ba83c47040f","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D022"
"a8df9505-400a-41dd-aa51-3d2244568f72","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D024"
"102fc95c-8f5d-4877-be7e-3eda3ebea97c","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D023"
"f0673c9d-f6d7-412c-8263-0102eb1f2140","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D025"
"cc4f6a06-adca-40b1-b47a-a401a7c27230","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D035"
"56121216-76ec-4020-9ad1-28c802ef7175","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D028"
"6ebd3e03-e41d-425c-bd53-4a9511ea85e6","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D029"
"5195f72a-bc29-4698-8a63-45a536cfdcec","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D026"
"a31c47c2-336e-4e52-bdb6-bcef01081e96","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D027"
"791a7a83-840d-47eb-b41b-b1e017f44dac","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D030"
"eeb600a0-d4ea-4b8f-b662-14f437064399","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D032"
"0be7ae8d-9e82-4bfa-99ab-17c0ffa40972","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D033"
"69ca54bc-598b-47d6-8123-ebe6e1232164","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D031"
"0b7a0761-aea5-4aa9-a274-254048551b4b","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D034"
"23f08b5d-ec29-4b3a-b06d-91c1f80aebde","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D036"
"9edc6ea9-bcdd-43a3-aaf2-817224d43768","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D037"
"a6ab8dd4-709a-4dc3-b006-2c1c0a6deee0","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D038"
"ce5a3e24-dbfb-4aae-a68c-c3d8ce43a167","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","Dispatch ","D039"
"b4cac080-a1e9-4623-92f2-7d10cf200beb","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","GE"
"21eebdbc-c240-40e3-bb2c-9a3084fb5618","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GE","230615-38"
"32f7b9dd-05cd-4675-adc4-c5380374cc38","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GE","230617-07"
"dd257ae5-28aa-452b-ae56-56f327522d6d","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GE","230621-24"
"1c12e2fb-2ea2-46eb-9031-381df90d9a02","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","GE","Curing photos"
"5172d782-0800-49e4-8bc7-d8e72ec397f7","","checklist-flat","","1 - Production Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","GE","Curing photos","1 - Production"
"348cc547-38d4-4b86-a510-d29413068efb","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GE","230802-25"
"57cbfe9f-47df-4fed-89ec-d270178da119","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GE","230804-20"
"22317adb-aa05-464d-8a96-6d2807e3db6e","","checklist-flat","","Precast Compliance Documents","checklist-flat","FALSE","FALSE","Precast Compliance Documents"
