"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Regent Street Progress"
,"Scope",,
,"Rows"
,,"Basement 02 -Fire Pump Room",,"basement","fire pump room","basement 02","regent street"
,,"507 -Balcony",,"507","level 5","balcony","regent street"
,,"508 -Laundry",,"508","level 5","regent street","laundry"
,,"508 -Ensuite",,"508","level 5","ensuite","regent street"
,,"508 -Bathroom",,"508","level 5","regent street","bathroom"
,,"508 -Balcony",,"508","level 5","balcony","regent street"
,,"601 -Laundry",,"601","level 6","regent street","laundry"
,,"601 -Ensuite",,"601","level 6","ensuite","regent street"
,,"601 -Bathroom",,"601","level 6","regent street","bathroom"
,,"601 -Balcony",,"601","level 6","balcony","regent street"
,,"602 -Laundry",,"602","level 6","regent street","laundry"
,,"602 -Bathroom",,"602","level 6","regent street","bathroom"
,,"602 -Balcony",,"602","level 6","balcony","regent street"
,,"603 -Laundry",,"603","level 6","regent street","laundry"
,,"603 -Bathroom",,"603","level 6","regent street","bathroom"
,,"603 -Balcony",,"603","level 6","balcony","regent street"
,,"604 -Laundry",,"604","level 6","regent street","laundry"
,,"604 -Bathroom",,"604","level 6","regent street","bathroom"
,,"604 -Balcony",,"604","level 6","balcony","regent street"
,,"605 -Laundry",,"605","level 6","regent street","laundry"
,,"605 -Bathroom",,"605","level 6","regent street","bathroom"
,,"605 -Balcony",,"605","level 6","balcony","regent street"
,,"606 -Laundry",,"606","level 6","regent street","laundry"
,,"606 -Ensuite",,"606","level 6","ensuite","regent street"
,,"606 -Bathroom",,"606","level 6","regent street","bathroom"
,,"606 -Balcony",,"606","level 6","balcony","regent street"
,,"607 -Laundry",,"607","level 6","regent street","laundry"
,,"607 -Ensuite",,"607","level 6","ensuite","regent street"
,,"607 -Bathroom",,"607","level 6","regent street","bathroom"
,,"607 -Balcony",,"607","level 6","balcony","regent street"
,,"608 -Laundry",,"608","level 6","regent street","laundry"
,,"608 -Bathroom",,"608","level 6","regent street","bathroom"
,,"608 -Balcony",,"608","level 6","balcony","regent street"
,,"701 -Laundry",,"701","level 7","regent street","laundry"
,,"701 -Ensuite",,"701","ensuite","level 7","regent street"
,,"701 -Bathroom",,"701","level 7","regent street","bathroom"
,,"701 -Balcony",,"701","level 7","balcony","regent street"
,,"702 -Laundry",,"702","level 7","regent street","laundry"
,,"702 -Bathroom",,"702","level 7","regent street","bathroom"
,,"702 -Balcony",,"702","level 7","balcony","regent street"
,,"703 -Laundry",,"703","level 7","regent street","laundry"
,,"703 -Bathroom",,"703","level 7","regent street","bathroom"
,,"703 -Balcony",,"703","level 7","balcony","regent street"
,,"704 -Laundry",,"704","level 7","regent street","laundry"
,,"704 -Bathroom",,"704","level 7","regent street","bathroom"
,,"704 -Balcony",,"704","level 7","balcony","regent street"
,,"705 -Laundry",,"705","level 7","regent street","laundry"
,,"705 -Bathroom",,"705","level 7","regent street","bathroom"
,,"705 -Balcony",,"705","level 7","balcony","regent street"
,,"706 -Laundry",,"706","level 7","regent street","laundry"
