"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"de8f3ae9-a915-4614-8397-fe4fc091ba6c","","not-started","","folder","FALSE","FALSE","Site QA"
"f5e27e60-86f5-4332-97e0-8dae764fd965","","not-started","","folder","TRUE","FALSE","Site QA","Building A > Level 1"
"f6baf4ff-bc74-4a4b-a7e8-2a5d1095e73a","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.189 - MMGE-048"
"9e2a28b2-437b-49a3-a678-9d13f3851d34","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.190 - MMLA-602"
"fbd430da-01a5-46f9-9825-68ecc9e50c44","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.204 - MMGE-546"
"8b85c725-0995-481a-9457-f51a3a15b791","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.244 - FQSM-039"
"0e24031e-9c4d-4da3-9bc6-e3c00969b010","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.244 - MMGE-048"
"17279dea-5a5e-440b-ac6d-5169f6d22171","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.244 - MMLA-602"
"30cff675-479c-4fad-a070-10ebe85d5654","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.245 - MMGE-048"
"a4f58e29-752e-4328-8e70-4f1df4a3fd5e","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.245 - MMGE-566"
"f9c16b4b-d615-4ef6-8816-3679a46b1b58","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.246 - FQSM-039"
"b012f57d-5661-445c-b5fd-d40d2210946a","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.454 - FQBS-052.1"
"8c580d37-add7-48bf-ad12-4ab7c9adf3b8","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.454 - FQTA-013"
"7215eaac-278f-4a8f-820d-9dd8f993cfd2","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.454 - MMGE-048"
"af7569d8-7653-40d9-b12b-209b426ae9d0","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.454 - MMGE-130.1"
"795f49fc-1dcb-4a7c-8715-d0eccdca6ea5","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.456 - FQBS-052.1"
"a4f5154f-fc12-4c5a-937d-e1966949758c","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.456 - FQTA-013"
"df2d50d5-83e1-43e6-9f81-6028f28680a8","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.456 - MMGE-048"
"f6fe3350-c201-4e51-b97c-7d96bc43d386","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.456 - MMGE-130.1"
"b410db50-e6f3-47cd-a116-790fad4da993","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.459 - FQBS-052.1"
"2410ff75-5cfe-45d5-8576-c2c413770ce3","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.459 - FQTA-013"
"a45d761d-8309-437b-a848-64406d161c21","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.459 - MMGE-048"
"5fa4586e-09d4-445f-94f2-841b6f022cb2","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.459 - MMGE-130.1"
"f6975e0e-ab76-454b-8e9c-c3fb7fec0d57","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.460 - MMGE-048"
"0da72028-b108-44bd-9a3e-66396827b19d","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.460 - MMGE-130.1"
"26642ee8-ef93-4cce-bfd6-db81072636e0","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.461 - FQBS-052.1"
"beef6564-8970-47a6-8cf1-146c18c69e1e","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.461 - FQTA-013"
"e95ba631-6f9e-44c8-9c7e-c5b8eea71616","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.461 - MMGE-048"
"e1176a4c-62c5-442f-9ba1-282f111b5e75","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.461 - MMGE-130.1"
"0b9c0808-f150-4f43-a4d7-5ca8b064ec36","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.463 - MMGE-048"
"fb91e353-a4af-4cf5-b9d9-5a8be0ccea10","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.463 - MMGE-119.2"
"444ed6f6-8230-46ad-9163-c04b1bdb1fa1","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.469 - MMGE-124.1"
"4c3f6fcd-fd03-45b1-870b-576ad66373e4","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.469 - MMGE-134"
"d3caa210-2c36-41bf-ab61-4339eec6ecc3","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.469 - MMGE-549"
"1a1d7548-f883-40f9-b079-dfd6d71782f4","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.479 - FQBS-053"
"c0c9f665-f01f-495a-a0ee-2b9324db69a8","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.479 - MMGE-119.2"
"561696ac-740f-49ee-bf96-fbac3ed14413","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.480 - MMGE-024"
"d3d51958-6671-415f-bf3e-602ed1f5d27c","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.481 - MMHA-027.2"
"fe1648b5-0801-4936-ad41-cc2159ee3aa3","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.482 - MMGE-048"
"d3fdb965-cb14-4345-8c7e-4de3c064d4d1","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.483 - MMGE-048"
"ddb1e976-0d2d-48a6-9d33-c5aba4b86a11","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.483 - MMGE-130.1"
"81d3f249-dbdc-4aea-a0ee-d2b4fd6059ef","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.483 - MMGE-614.6"
"475641a5-0b61-4c18-89fe-3eaa495b7fc1","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.484 - FQBS-052.1"
"74f3f141-7dd8-4083-be75-abe7e48f577d","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.484 - MMGE-048"
"0a8d8efe-7ef8-4611-a12b-29c6bce6f774","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.484 - MMHA-017"
"2c814ec4-3f6d-465b-ac19-51d64fc69eaa","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.485 - MMGE-048"
"4ee21077-3d16-47c8-a972-69abc3dc5b2c","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.485 - MMGE-130.1"
"6f8dca5d-9538-4b76-890d-0c1500941d2a","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.485 - MMGE-614.6"
"98c2b2db-bc12-4e6f-80c9-5008b221237e","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.488 - MMGE-048"
"a2e2bc8c-f3bb-4b7e-bc27-e22b160a3fb8","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.488 - MMGE-130.1"
"161e1149-ce8f-4a5f-af9b-a9746a9c7ee0","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.488 - MMGE-614.6"
"a6467342-ac5b-4d0c-a1c9-d1f99aa3d5a2","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.489 - MMGE-048"
"576ea1e5-1d0c-4d37-a26b-29d3324cf83c","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.489 - MMGE-130.1"
"4f20beb9-62c2-4fb2-a201-5742feafc858","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.489 - MMGE-614.6"
"ffede823-a7c0-4b21-8e6c-253b019921bc","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.491 - MMGE-048"
"8b90c1de-195e-4626-978e-a2653e02cd50","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.491 - MMGE-130.1"
"98653cc8-5ac3-4649-9bd4-16fe76c0a988","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.491 - MMGE-614.6"
"772cc324-6fb2-4af6-9f14-2abcde375595","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.493 - MMGE-048"
"57422155-9663-4d57-8e23-ba2c8238b651","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.493 - MMGE-130.1"
"135f9894-efe3-47af-8bbc-e10d0e0db9fd","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.493 - MMGE-614.6"
"97aa5b28-3771-4716-ba04-c58804b65e18","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.494 - MMGE-048"
"9ba7c5d8-6b50-40c0-a44b-b780dad19156","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.494 - MMGE-130.1"
"f239c88c-48c7-476b-8c82-48ce6a0ab6a0","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.494 - MMGE-614.6"
"31073195-149c-4934-a2a4-4acd3f314f0f","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.495 - MMGE-048"
"ef04db0b-78f7-41ea-98d5-a996547d5a79","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.495 - MMGE-130.1"
"08ac6348-b23b-4d35-8bd5-fe7706f65b6c","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.495 - MMGE-614.6"
"c985f81b-529b-46c1-95eb-e1b91db3f7a6","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.502 - MMBE-045"
"7c13cbb7-498d-4d6b-8231-297e36340c43","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.502 - MMGE-025"
"e379fa7d-1073-47d6-b560-2c0e8b559121","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.503 - MMGE-045"
"f68f035a-a838-42c4-bbf9-17da50327ae8","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.505 - FQBS-052.1"
"5f7d9618-cf86-44b4-9e9d-18867b0e2523","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.505 - MMGE-130.1"
"784d93a0-fb43-4259-8bf0-96d811075fab","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.506 - FQBS-052.1"
"dfbadf89-947a-4273-8c1c-37076f8d418e","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.506 - MMGE-130.1"
"00d1a0ca-c09f-405c-b7ae-3d4d8b64df24","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.507 - FQBS-052.1"
"047a1dc4-5cf7-4752-b1f3-2b605a3f1b7d","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.507 - MMGE-130.1"
"52b1d016-e9e4-42c3-ba38-1283919c8d4e","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.509 - FQBS-052.1"
"2b57adeb-fb56-440a-9768-caf84b13f96a","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.509 - MMGE-130.1"
"8bb0b985-e446-454e-8516-ab2a729f49ce","","not-started","","folder","TRUE","FALSE","Site QA","Building E > Level 1"
"96547473-9b12-4279-9b55-b2642c55846d","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building E > Level 1","01.E.012 - MMGE-048"
"8af972bb-bc0f-4aa8-a4e8-85647e382e3b","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building E > Level 1","01.E.013 - FQBS-051"
"23930288-0b70-4be4-94dd-fc7b0c4da946","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building E > Level 1","01.E.014 - MMGE-124.1"
"ca6e487e-483e-45a4-8f71-6da9a7aa46d6","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building E > Level 1","01.E.014 - MMGE-119.2"
"e8efb50e-9cb3-402a-b7f3-3a0ee740c040","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building E > Level 1","01.E.016 - MMGE-124.1"
"4ece7398-ecb6-4315-8100-389b4e100a80","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building E > Level 1","01.E.016 - MMGE-119.2"
"c2f99391-1f1f-438f-8b36-e5a98ece5eb7","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building E > Level 1","01.E.017 - FQBS-051"
"b258f0ee-2353-49dd-88cd-c4c18ddc28e3","","not-started","","folder","TRUE","FALSE","Site QA","Building A > Level 2"
"22e11c3f-57c7-4b91-98b6-d597e7277ba5","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 2","02.A.006 - MMGE-119.2"
"fab44578-ea9e-4e74-8240-45d763747262","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 2","02.A.045 - MMGE-048"
"e1b3ae65-af0a-4f78-80b4-dc1e446efac7","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 2","02.A.070 - FQSM-015"
"ddb14f21-e02d-490a-b6f5-af98f393c315","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 2","02.A.070 - MMLA-602"
"21b728aa-fc8c-4af7-8d97-7f4ab11176f9","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 2","02.A.070 - FQSM-016.1"
"d60964e9-a04d-471a-b2bf-97e316c441c0","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 2","02.A.070 - MMGE-614.4"
"b2087170-8f0a-4d14-9ce1-7e76056edb6e","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 2","02.A.071 - FQSM-043"
"e43154df-fb08-4022-af52-26eaddabe797","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 2","02.A.071 - FQTA-013"
