"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6d2bfa92-11de-43ec-a104-a2d8a152bb53","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Level 1","W.1-06"
"4de4e06f-38d3-4c8b-992a-6a45fce579cc","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Level 1","W.1-05"
"7651ffce-60d4-4c48-b9d1-77ca0acc5fb8","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Level 1","W.1-04"
"5437e461-0b63-4395-85fa-f017bf03f8b9","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Level 1","W.1-03"
"3d36ed71-6ea0-4f8f-bddd-8c022f3e629a","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Level 1","W.1-02"
"c2338598-a7c3-4395-9130-27906f7f35b9","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Level 1","W.1-01"
"05a334f4-2926-401c-aa31-1b716732a252","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Level 1","W.1-06.2"
"6642b5ac-97a5-46c5-84c3-5a0203bb14c5","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Level 1","W.1-10"
"bb0e0b7e-66f7-4e71-b193-a1db84cf5c12","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Level 1","W.1-10.1"
"1964b3d6-f30c-4f85-8763-9eabbd5e4730","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Level 1","W.1-08"
"014ec1eb-f329-4c50-aa91-124608ddd187","","folder-normal","not-started","","step","TRUE","FALSE","Part B","Internal"
"485717b9-1c8a-4daa-914b-1da14f187c7f","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Internal","W.0-17.6"
"8182ac9d-8315-4f2b-bcb2-8cada51ffbb5","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Internal","W.0-32.1"
"f27d1426-4b71-46a8-a87f-85d7555dd90f","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Internal","W.0-35.1"
"6194c9e6-5ca6-4dfc-b931-075de07a87e7","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Internal","W.0-40.1"
"c9ba7f1a-c049-4621-8ab1-db1dd94849c6","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Internal","W.0-43.1"
"77e84dbd-cd09-4b81-8545-874abfd376a6","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Internal","W.0-48.1"
"0023cbf4-375d-4b25-bb2f-fdb23d9b1510","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Internal","W.0-51.1"
