"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e2b74a8f-6084-4f06-84a0-48ca67f3ad0e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Keller Site QA"
"fe38be8d-d5e3-41e1-b84f-fa33aaf6a0a5","","folder-normal","pass","","step","TRUE","FALSE","Keller Site QA","Retention Piles"
"e783b960-df05-4986-841d-7b76051ae0f2","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","16"
"c0b7694b-b4a1-4afa-b576-983bb4419684","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","17"
"249d61f1-5403-40f5-9d24-2bc64dbe8153","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","18"
"a71dd213-b962-4837-805f-0b49b67e03a2","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","19"
"cfd65a92-861d-44db-92a4-691923991b82","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","20"
"949fa83c-3fed-4f6b-829c-23c7246a9813","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","21"
"cb9c95d7-b2f3-4e54-a531-3190d63d3ca9","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","22"
"dbb8c267-daec-4504-acaf-e6bf887cce1b","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","23"
"6667ccc2-0de4-439c-9ad6-3d7ad36f6409","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","24"
"844fde80-2d90-4e93-8c3e-7614a2cb7285","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","25"
"738b759d-5b04-4420-92fb-9e6449a56911","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","26"
"bf435436-20f7-44ef-847c-753f5f536e55","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","27"
"f821ab2e-90d0-4e6a-9b0b-0509d78c66f4","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","28"
"00af7efe-69a9-44cb-9380-ee08acd2c84a","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","29"
"5dc6f60a-dca5-4864-80c8-0a67400a2159","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","30"
"346e780f-4be9-4c54-b526-82f6ed48f721","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","31"
"64b2c389-f593-4f8b-9c57-3e3175b8ec57","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","32"
"5f63a1c1-05a9-483d-9d97-412c82293159","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","33"
"7f5d68e3-d197-4fa3-aafe-1e2e0166b206","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","34"
"36c163f4-fc23-488d-9a9b-5e3bd20432d4","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","35"
"a98ef3d3-fb72-4b22-b085-d45a771deeb3","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","36"
"3c7f4a71-151b-4a82-add4-a22865769399","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","37"
"062b9385-1cc8-4310-87f2-7062dcb4de29","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","38"
"3ba2e310-c4fb-44a1-ba23-5afa10b43dc6","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","39"
"15500596-9550-4a3f-9c44-0aa7574f6745","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","40"
"79e765ff-5ee4-4093-997a-94d183c7bd81","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","41"
"f04fb736-efb9-45ec-8011-957cb3078ed7","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","42"
"600c38f4-e7f5-4f18-8d1d-b2b54669be05","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","43"
"16e824ad-3a27-4a32-96f6-56be25f01ba7","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","44"
"c82c631a-8729-420d-a4b1-6784fc15f738","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","45"
"b13c9922-fcfa-4627-9ef0-8db45931aa52","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","46"
"96fa6d98-8b60-4569-ad39-44132a5b145e","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","47"
"eadbd64c-c7a5-49ad-8922-92e0b52757cb","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","48"
"9bb6c570-2fc6-4e4c-b479-186f37083419","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","49"
"f8ed8acf-75b8-4709-af44-80c9dc58438c","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","50"
"7c6e8ec1-aa8d-4e8f-b517-50725ed19578","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","51"
"33378a94-514d-4831-bea5-cea6e67bbd76","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","52"
"97ff9962-820e-4d96-b6a0-bd6b852a1840","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","53"
"eacf779c-5709-4df5-9e61-d254d71c4545","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","54"
"2644a9c8-ba69-4f79-a4f1-ae4a4bb862a5","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","55"
"c7444b9d-99ae-4bf8-9c93-7987c0c12189","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","56"
"7e964ecf-04dc-486d-87d0-faa47cd35dca","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","57"
"23118959-daef-49e9-a71a-ed4e8bff5e20","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","58"
"302a1590-59b7-4f8d-a5b4-4edcb0256259","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","59"
"34e70081-effc-48a1-9f1b-ed6b4f416fbc","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","60"
"f543945f-a90d-4586-a6e4-dd468964a53f","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","61"
"17fa3304-7331-4dfe-82c3-0dfd2d68bbbe","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","62"
"78bc3e28-bf93-4b03-b43c-d65b205c484c","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","63"
"23ee10b2-fc1e-4106-a8db-b5c07d705907","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","64"
"cb7709de-0a27-43ea-a6e2-52de60197f47","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","65"
"c47dfd93-59e3-4e36-bcc1-567556e1293c","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","66"
"3c70674b-ba03-4fa8-b078-b76b9f87de83","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","67"
"15c8fb73-e0fa-4bbe-8984-25d2e777274e","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","68"
"65d7f23c-0aa6-4226-a264-0efd0198db61","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","69"
"87bf18c5-ad4e-4a5d-aff3-c68dc1840eb3","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","70"
"2bee61d0-da29-449d-9a01-5e6aee79121b","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","71"
"cbc723d1-0e43-42be-87c9-af68788e518d","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","72"
"8be11c27-030d-435e-91f2-bfff97b9fce8","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","73"
"9bf59ca5-0a2f-4090-abd2-45bff84318b7","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","74"
"fe1b9338-a48c-404a-bdd7-766480231333","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","75"
"cf1a3679-ac1c-4daa-8b01-9c3e1652fa48","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","76"
"c909a7bc-15cc-43df-9aa0-a581b7500b68","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","77"
"8324cea5-2269-4cb4-9f36-53242e7602ea","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","78"
"0f16d27e-ad91-4258-b6a3-262dcb4085a6","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","79"
"998af75d-d601-4ebf-95f4-5ae8df162ea1","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","80"
"29d1ac2a-c8d1-4154-b192-03dfdd6d0241","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","81"
"90cb4394-700e-4204-9654-316eeb58f5b5","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","82"
"958fd3aa-8576-40bb-969f-136f605d7b5c","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","83"
"0373447d-d79b-4998-a654-2f2204a0231c","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","84"
"1813dec4-2333-47ff-a8c4-436f2aaa2aa6","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","85"
"6d6398d3-5c90-43b9-a206-fad1fef025b6","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","86"
"4b260584-9141-46fd-96ff-c33f33583156","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","87"
"d414ea16-8817-426d-b6da-1049ce85842b","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","88"
"71572e3a-1bd6-47f9-89fa-ecd0cc86f1fa","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","89"
"95484503-c8d3-4f24-aca2-ad5be719db7f","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","90"
"fe6c8d19-52c8-4eba-b463-09b754f08d9d","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","91"
"677a6984-a392-4984-9ecd-151b2d0c04db","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","92"
"0c1dfa1a-f48d-49e2-a5cf-f5fa141a467c","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","93"
"8be37725-6d7a-4b15-bd71-c7de67dd3e5c","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","94"
"ffea732f-9f83-4dc9-851c-07ee1f490f43","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","95"
"af97bc57-d3f4-4f25-9d0e-abfe7e5f8e64","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","96"
"5801041c-4c3b-4eda-85cc-99b7c4e26937","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","97"
"0118d5df-44dd-4d94-b356-23a99023843f","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","98"
"91fdd3bb-c904-4312-801a-4ec84215cad3","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","99"
"79da5124-ab9a-43f3-a34a-3258073315b0","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","100"
"e46f9e17-091c-4617-8d56-9d94cb77a056","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","101"
"41347ca2-daab-4bc7-ab65-3f7e5adb9e53","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","102"
"e89a093d-22a6-4774-94ef-5f0cf174ef11","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","103"
"1437e431-60a1-4d3e-bf70-3e9ad10d0f34","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","104"
"5561eb5e-b293-4ffd-bf68-3724b8c9d6dc","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","105"
"49240ba8-cd8c-4842-82d8-80bdbf82c1a6","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","106"
"345063c6-04ea-4c1e-b5be-df363dedee64","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","107"
"fc9a9c61-8b17-4154-9b7b-48afb7eaefc6","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","108"
"d977a85e-cd31-42a2-9fc0-2ee88017182a","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","109"
"b113edf2-801d-4b0f-9cf1-c8b98008ad06","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","110"
"40c4955e-30ac-471d-9e80-820456826bb0","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","111"
"b0eb7c08-ee6c-47f6-9384-6e5e85abc500","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","112"
"998a535a-fdb5-4886-8ae4-b0535782d0af","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","113"
"96d7c324-9921-4bd1-b528-eee1e2d9fa73","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","114"
"6c613464-eefc-457a-8784-b42d061e6355","","folder-normal","work-in-progress","","step","TRUE","FALSE","Keller Site QA","Foundation Piles"
"0afe2da6-f310-4aeb-9f7a-4ebb2c1b3c7f","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","1"
"b86f3b21-2d82-45ed-95a5-a06535d8f89d","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","2"
"27e8c7db-8ba6-48d7-984a-981569368576","","checklist-flat","work-in-progress","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","3"
"d97f5ca0-aaae-45e9-b13b-58dba28218ee","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","4"
"27ea8c5e-ca20-428f-b7e3-c992d9082a6c","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","5"
"9c61a110-1f9a-4717-8ec7-c7cf9d8c0818","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","6"
"2ffb3fe9-c6e4-4dd5-8e7c-a6452e241559","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","7"
"f1cca0cd-7ab3-442d-94ff-34e0c32af1f5","","checklist-flat","work-in-progress","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","8"
"627a5f25-5f21-4c77-b910-d0242d9ddf6b","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","9"
"041dd587-3a96-4872-b57f-75610eddcdb7","","checklist-flat","work-in-progress","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","10"
"53dfde9c-627e-48e6-90d2-d4907b0fbe07","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","11"
"688c5431-1ae5-4f40-953b-49f81aa68122","","checklist-flat","work-in-progress","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","12"
"96d01ffe-4386-4836-a952-ea5bf3b722d3","","checklist-flat","work-in-progress","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","13"
"fcb3a455-9a71-4760-9035-488b39a98e39","","checklist-flat","work-in-progress","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","13A"
"1dca07d2-eaaa-4312-ad2b-3a6ef23c44cb","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","14"
"439f7599-1ef3-4370-90f0-447777a57ac8","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","15"
"903a75b5-d725-4b3e-a1b2-8e6017206ab8","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","16"
"47e8f123-8aa0-4d29-a4f3-f2a66fd4d0c1","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","17"
"aee1c5db-4166-4122-91f4-c5d309eb70ec","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","18"
"85aa06a1-1c4f-40a8-a6a1-481f7067b476","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","19"
"ce70557e-0540-4fdd-871a-bd05861752eb","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","20"
"6c337f2a-5163-44b3-b07b-45bfa4cfbb4e","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","21"
"ef3531dc-beed-40b8-b77f-4a54c6816ea1","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","22"
"831a9bac-db1e-46da-80ac-52fa21dbda2d","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","23"
"361f02db-034d-44e9-bbbb-39e5e02ae237","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","24"
"0a57b412-2f5f-464a-acb6-66e5583446b2","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","25"
"8ed0b246-a438-4911-ace4-b84902b37c30","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","26"
"1a00fb13-ffa9-4cfe-926b-5b53620ff36b","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","27"
"eac2c9c7-f3a5-403c-87f2-5f744dd7adb3","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","28"
"17f5a20e-5653-4848-8f4b-0d40d8c21f4a","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","29"
"f0e13c95-bae2-4a0b-aa37-3188282769a4","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","30"
"a93b97dd-ca29-4753-8175-0175b62da66a","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","31"
"62400b18-5330-4842-8dc7-46d4e7ec4187","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","32"
"da74a4ce-0767-47b3-b5e0-76c782b889e2","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","33"
"75f038a4-eaa9-4a64-853b-b66fdccaf529","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","34"
"4f87021f-5da4-4792-ad1f-ed9e234fdbb8","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","35"
"94fb9ab5-935a-493c-8f7d-36dcbb2cafd3","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","36"
"1ffae08b-2f27-44d4-9e8e-2d0415e7db8a","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","37"
"ceda8841-92a5-4df6-8dcd-8481115cf692","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","38"
"ddc84502-3c43-4448-9109-2ad93fe3a7b1","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","39"
"238797d9-e4fb-45df-888b-3179acb6a897","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","40"
"ebc2587a-b851-4bb3-9678-d945ea013534","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","41"
"f7c1344e-a27c-4260-97fe-9262fd20665b","","checklist-flat","not-started","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","42"
"009ff40e-045f-4e26-be34-77c60ca2890b","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","43"
"d8c8b52c-40ac-4a3b-bc87-642b03478dae","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","44"
"10a04a21-8015-4f75-beb8-722d91487c0a","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","45"
"3529d395-b09d-49fa-a0e6-21f87d11502a","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Foundation Piles","46"
