"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e0971b0d-b7f6-4b3c-96f1-d15ade057c49","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"5b4e0eb0-bad6-4594-b898-5526142256ac","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P01"
"95c35055-bb30-4172-9d32-07c2f7739684","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P09","Concrete Delivery Checklist"
"2935015c-49f0-4c72-8eed-28cec6ceb646","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P10"
"83b06b18-ee2d-409b-9dba-aa08200cfe73","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P10","Pre-Pour Checklist 1"
"ba940be1-1d33-45ce-a6e8-fbdad164e896","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P10","Concrete Delivery Checklist"
"9832f22c-e346-463b-9643-1221e2668370","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P11"
"b17bae98-2b6b-4b19-8d91-1a7eb27cafbc","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P11","Pre-Pour Checklist 1"
"30ab2f7f-5979-4609-8901-0e082e669abc","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P11","Concrete Delivery Checklist"
"0548c218-f4ad-4c74-91a2-9984fb9f314b","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P12"
"2bbb0b81-e3bf-41ee-8a40-7ad9a95bdcef","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P12","Pre-Pour Checklist 1"
"02e005a6-cba0-47bd-9024-7aedbf17f41c","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P12","Concrete Delivery Checklist"
"be29b22d-4dcd-4010-bf55-30803363b5be","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P13"
"948c85b3-8fd8-4ae7-b73a-7306c3808d54","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P13","Pre-Pour Checklist 1"
"08d0df88-1b2b-49c1-a100-30703e7d63ff","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P13","Concrete Delivery Checklist"
