"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2dba1e85-7dca-453c-92b8-a45bf5328af2","","folder-normal","","","step","TRUE","FALSE","Basement 1"
"9e31c7dd-476f-4f13-9de1-d7c917708357","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-08"
"9253b586-9933-43d8-9535-55cba4462954","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-09"
"bf1cad3e-003f-412e-b1ec-9315d33e71be","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-10"
"f76f219d-ec60-46be-ad14-8f60e26dac0a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-11"
"021dff31-02da-4b4f-97a9-197eba97482b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-12"
"445e848b-5ada-455b-a225-767404b6199d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-13"
"05121e1d-d19f-4eb3-85ed-bef26849134f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-14"
"6edd81b0-6892-4521-a365-5d04f8d18d74","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-15"
"7e1a814b-fe74-4ec4-8de6-c0459f13d7e4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-15A"
"72178279-257c-440c-922b-3c98e330342a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-16"
"3a7bfdcf-53a3-4cf4-920e-cfe0ec26e61a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-17"
"b0bca75e-6bcd-41b9-a12e-6dd97e74dfa8","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-18"
"06c083f0-ed34-4c81-b925-993d89857054","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-19"
"f83714e2-94b6-4a09-a7ae-a1fb3a0bcc7b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-20"
"e42048f6-7147-4e5d-acd2-2cab1c59f1c2","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-21"
"5e11fdcb-4e24-41e9-b6c4-f8f57b0bcce5","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-22"
"fe1f61cd-ac6a-4ddb-81a6-4b14c67f307e","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-23"
"6a3b3e60-fcfd-4bed-9231-a41a96d6b7ee","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-24"
"7125b717-e951-4e13-8525-6f0dba4bc83a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-25"
"b3894605-08a0-4c8a-a6ff-07ae2737c0dc","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-28"
"7358e89e-ec18-4ea7-aa93-94dfebaf11cf","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-29"
