"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8087e01d-514b-47c1-badf-f5eb7fb8b695","","folder-normal","","","step","TRUE","FALSE","Footings Ground"
"3710f621-f3f5-42e7-ade2-3f1a1a0fa91d","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 1"
"fc824496-f90d-4d6c-b6fe-1f1dae97da0b","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 4","Ground Floor Slab"
"f3d15582-cabb-4003-b2d8-8614a06c5b97","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 5"
"b2184b60-5cf5-4c5f-842a-5683cfcbbf7a","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 5","Footing"
"387010d5-5d97-4394-821d-d80a042d7c7c","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 5","Precast Install"
"f9fda3af-16c1-4368-b01e-ae8197553d30","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 5","Ground Floor Slab"
"25f77a23-6c50-4a74-8fb3-b1c18fbb44cf","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 6"
"bed89737-3a91-4103-8046-e0b8b17f5d7e","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 6","pad"
"21263617-25ab-4c2e-bc7a-6cd929b8eb87","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 6","Precast Install"
"416ba0aa-2c5e-4a0a-a5d6-1e00d0024d42","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 6","Ground Floor Slab"
"7f718274-4857-4273-94f0-a5367147a821","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 7"
"98fb0bdf-de49-4cfe-ac2c-0dbdc51eb9d4","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 7","pad"
"532f1f5d-fa17-42d7-810f-16b35c89e10f","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 7","Precast Install"
"010c5042-4de8-447c-bbca-be264aae4115","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 7","Ground Floor Slab"
"1dbfb134-8a47-4287-9c84-7c36b9c286df","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 8"
"790f61eb-74a6-4ecc-86b8-6d6ae76c459f","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 8","Footing"
"fe4f8e0a-8520-4360-8979-96fd352c644b","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 8","Precast Install"
"969050bb-deb6-48c9-936b-0ca07bf0d91f","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 8","Ground Floor Slab"
"1190a73e-dcdf-4399-a418-6015a46858bb","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 9"
"5e92b57b-5c5d-4759-b363-2eb9b7b903e9","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 9","pad"
"235a43d3-84f4-4152-8409-d4945d8b3c46","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 9","Precast Install"
"0ad9cc44-dd41-44aa-8cb6-9d9b2d8816bf","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 9","Ground Floor Slab"
"ed8c425a-cfad-4d26-9203-fb6a7bc15aa2","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 10"
"83846aff-305b-49c2-ba81-a95242717d71","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 10","Footing"
"cca99212-081c-4275-ae02-b6bacaa8f699","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 10","Precast Install"
"f749cc7f-0dd2-425d-9653-e50d5d282e65","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 10","Ground Floor Slab"
"36338f85-e4d1-42f3-8f38-c5061e7e2dd5","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 11"
"f69fc62f-1cc5-4882-a0d6-8f6dc99ade02","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 11","pad"
"bd4d1677-a37e-4f52-85c7-8bef8f335db1","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 11","Precast Install"
"b7005970-b28b-417a-8674-cbd7902e4842","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 11","Ground Floor Slab"
"ae0d497b-6913-43cd-bd36-13a30f02ce72","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 12"
"208bf095-079c-4907-b6cd-0cd223704ae4","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 12","pad"
"cbf92dcc-6ad9-41ca-8ad3-410d50d0f784","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 12","footing"
"b2dba983-772b-4ca9-bc0b-507f3bd6197d","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 12","Precast Install"
"e23f6f61-1d93-4ff9-aa53-e4416519df68","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 12","Ground Floor Slab"
"867f6ce4-f105-4dd4-97b6-c3f116a92c88","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 13"
"bd7a9687-ae06-43b1-98dc-9510157d889e","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 13","pad"
"4d875817-c5af-4986-9774-40b7063e7ad9","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 13","Precast Install"
"1b988c92-95ff-402a-bf1b-053211103a76","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 13","Ground Floor Slab"
"ec3d9761-8dc8-484a-87a1-08687584ccd0","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 14"
"b398dace-b8ba-4871-b9f5-23a57cc4689c","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 14","Footing"
"2636fc6d-cf6b-45cd-bd2d-558b0b611cda","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 14","Precast Install"
"5875419d-03fd-43c2-9bce-c0586b3fafe7","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 14","Ground Floor Slab"
"5738d31a-4847-436e-b817-9d7fad7ddef4","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 15"
"4a245535-9ffe-42cd-83d9-856a8d4b2c07","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 15","pad"
"b6ff65fb-d6a7-4b2c-a4b6-822a7e6fe176","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 15","Precast Install"
"607a8520-d080-4eb3-a1f1-014f833287eb","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 15","Ground Floor Slab"
"d3e42984-adcf-4fb6-bbe9-8cf40cae7131","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 16"
"c960d97d-fc65-41f0-8029-e22edb4d1f8e","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 16","Footing"
"932eb479-1bc8-4be1-b218-e2e6628f4dac","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 16","Precast Install"
"0746f69d-8627-4768-b288-fdb499af11ec","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 16","Ground Floor Slab"
"87983938-1fd7-4ca1-9ff4-d027271e0140","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 17"
"b6b795a4-62f5-4aed-87e1-1329c474baef","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 17","Footing"
"76a31d25-30e4-480b-a6fc-cfeb042dc56c","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 17","Precast Install"
"643f9a25-367e-457a-9e31-e73f527d27c1","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 17","Ground Floor Slab"
"cad335a2-f86a-431f-87d3-e792ce7b54d7","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 18"
"abe67446-b184-4468-9de1-d5cd547d7417","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 18","pad"
"a47caf80-9088-474b-98a6-be514d659bd7","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 18","Precast Install"
"588776ce-2c5d-4ee0-af07-d93bb5537935","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 18","Ground Floor Slab"
"9cdd7e17-56d2-4914-a19b-3a80dae45a2d","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 19"
"820e355b-fae7-42a9-9f5f-cba02468817a","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 19","footing"
"212500f2-0ca2-4091-b3db-2a2390a4e0f3","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 19","Precast Install"
"20dfbc89-53f5-4bf0-8e26-5366e5d2e354","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 19","Ground Floor Slab"
"c7cc4d2c-92d1-43ab-a86d-68f86dc2678d","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 20"
"8c013929-eaf5-4c7e-a598-eec49e95a243","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 20","pad"
"f65344d4-1f6a-4435-b6b6-aa0da05db493","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 20","Precast Install"
"db653473-8c7e-4c42-9b44-67dd941c190a","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 20","Ground Floor Slab"
"319bab63-f4ce-4c1a-bc93-116ac2a4b9c3","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 21"
"cad600f7-243c-4eec-a16b-16dd8fdd4fba","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 21","pad"
"079df9f1-a926-4274-aabd-2f84894f0713","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 21","footing"
"604eef44-5caf-4ced-aa09-ef6859738259","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 21","Precast Install"
"3004738e-4f20-4cae-b314-8e22fb3300eb","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 21","Ground Floor Slab"
"9de3f8d4-b933-42cf-a585-3ecc4a6de945","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid A"
"d8e59b07-08b0-4c8a-872f-ba426cc8b0bc","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid A","Footing"
"8686879f-88eb-41e7-91a5-1aaba8193b62","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid A","Precast Install"
"030c23f3-abeb-43f5-af22-121d036f1c32","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid A","Ground Floor Slab"
"8bb94101-2242-4260-a255-159c972945f5","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid b"
"293ba9db-c6fa-4d6b-a225-4fac088af2b3","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid b","Pad"
"bba1ddb7-3593-4d1a-9acb-0316efb42cd0","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid b","Precast Install"
"178ea69a-e4f7-4db6-aaf6-1304722984c0","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid b","Ground Floor Slab"
"b09cdfce-20ff-42eb-abd2-f4473acfa3b5","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid c"
"21117a6b-a275-4e43-9fb7-b7e69338d9a7","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid c","Pad"
"300eecbc-948b-4a92-883d-d7b3c97be74d","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid c","Precast Install"
"393400a1-7ac3-492a-a679-df97876c9c2d","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid c","Ground Floor Slab"
"8b357607-1501-426d-a381-18104478766c","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid d"
"419ae166-4aa5-4a98-a5a8-a4b4ea96ea1f","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid d","Pad"
"dbd52d4e-d9ca-4efb-87aa-f81f8b0f8e03","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid d","Precast Install"
"5891c843-b7a0-435f-a4be-f0906986e16d","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid d","Ground Floor Slab"
"09287592-5382-421d-8726-27742d7449bd","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid e"
"f3edeba4-1103-4be7-adf2-68a11524f072","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid e","pad"
"d15a7789-2864-44a3-8138-c0badfba49c4","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid e","Precast Install"
"d1d6862e-983e-470d-8891-ef30b286ce63","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid e","Ground Floor Slab"
"fafcf8d9-fb12-416a-8b6f-aadbf3887942","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid f"
"0c2f27c9-f638-46df-a310-ada09b5741d4","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid f","footing"
"316065ac-61ef-474e-83fd-b287e276aefe","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid f","Precast Install"
"c7cdd067-bb5c-461b-8c4c-c5104fed6eff","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid f","Ground Floor Slab"
"3f147572-7333-4976-970c-3391c7988786","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab"
"ced16f35-8758-42fd-87f7-845881ba6ac6","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 1"
"5c03fa29-2516-4483-9109-8166bc8a8a20","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 1","Upper Floor Slab"
"e57e74d8-aceb-4738-afe6-cd0981a35e85","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 1","Precast Install"
"69ab68b6-38fd-48ff-8527-9fd11147a675","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 2"
"24f2b9db-db26-4e58-a57e-c05c1754709b","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 2","Upper Floor Slab"
"e1802313-dfbd-455f-8463-90ca5337cfe6","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 2","Precast Install"
"1160613d-f253-4d9a-94de-840bb9f9db0f","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 3"
"9db6a96c-644f-477e-8f97-2cc503f3bbbc","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 3","Upper Floor Slab"
"6d33a591-cbac-4405-9a9b-a665e389220d","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 3","Precast Install"
"38f06927-5ef6-4988-a118-7fff2a3107e8","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 4"
"29e10d1b-b6ee-4ce1-8e05-667559467aba","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 4","Upper Floor Slab"
"61b12599-f0a7-474e-815c-649dc42142e8","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 4","Precast Install"
"af576f3b-ad58-4a57-85ac-d6a54971b3ed","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 5"
"590fd29e-d451-4a23-aa4c-e65d1f9638c1","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 5","Upper Floor Slab"
"86831f0d-26db-4fd9-9916-1abdf2538282","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 5","Precast Install"
"474a829d-715b-401d-ad9a-208a051206d0","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 6"
"e52212b5-5150-420e-ade4-8c814ca2300a","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 6","Upper Floor Slab"
"b6c54236-ffc2-4a2d-a403-d974eab35d3e","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 6","Precast Install"
"4ff4855a-af9b-4e9f-9607-ca84ee6972e9","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 7"
"740958b9-f78d-4b77-ac8c-da9c210da6f8","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 7","Upper Floor Slab"
"4fba8cae-3f99-4417-ac63-0b97cf87a1d1","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 7","Precast Install"
"b91ee5be-1c4f-4c20-9c3e-7859cd071209","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 8"
"f46153d2-baf9-4b58-9eff-d6a72fee814d","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 8","Upper Floor Slab"
"3ba2c23f-1649-4dab-874f-79bcdb8d6e13","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 8","Precast Install"
"f8b23fd5-1749-4267-b58c-6e0a2fa7a56d","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 9"
"4207b871-1c22-4894-a22f-250441b52611","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 9","Upper Floor Slab"
"88a82b54-1583-4e60-8e30-d4618130187e","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 9","Precast Install"
"fe7bb957-94f2-4669-9d37-86f45ac4627c","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 10"
"6cd65074-2a5d-4db1-b50a-5c40b29538a7","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 10","Upper Floor Slab"
"255dbc83-c3ee-42b2-8284-ce9225c0c9ef","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 10","Precast Install"
"6991e7d7-8939-4b45-94d4-e4d36daff8fe","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 11"
"bc3ed159-c6e7-4368-bb94-f45ffc0f9794","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 11","Upper Floor Slab"
"e8252a27-939a-4401-ad8d-1bc730be889e","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 11","Precast Install"
"6d46ae19-4166-4282-aadc-563be91edf2e","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 12"
"22170e8d-4846-4f38-8745-19e9a3ebbfbb","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 12","Upper Floor Slab"
"9399064d-c9ce-47e7-809c-2a1bfc5bd15c","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 12","Precast Install"
"97202cef-9b34-4caa-840b-e4c4d8c1b3dd","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 13"
"2122b68b-6b79-410c-b44e-eb2b5e6c3d85","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 13","Upper Floor Slab"
"93e0040c-5611-4494-bff7-33c128882efb","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 13","Precast Install"
"ee45b8ae-bff8-4468-ba8e-b9776a6bde76","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 14"
"7901e7bd-9ea7-4051-96cf-f6c0b7d30304","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 14","Upper Floor Slab"
"e05ac56f-84ea-4e18-aa8d-64aadf3c85e7","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 14","Precast Install"
"ae4efd12-032b-4353-b8ee-2b509afba6bd","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 15"
"7bab884f-8673-4038-8f8f-4f520e483074","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 15","Upper Floor Slab"
"f20cbda7-7153-4cbe-8830-1fe15b6c4724","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 15","Precast Install"
"648b0190-bfee-41f9-8e42-14c1ce3be2cf","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 16"
"675a833d-6453-4aa8-9bc9-23b49742fe5b","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 16","Upper Floor Slab"
"6ee9a906-a22b-421a-8550-40281e8e2e63","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 16","Precast Install"
"2b28c5ae-ed8b-43a6-89ac-e83ce4f7d1b3","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 17"
"10895c42-686e-493d-9e2b-727736045cf7","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 17","Upper Floor Slab"
"2701a830-ef9c-4c24-8c15-3ab50c6bd045","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 17","Precast Install"
"830a1fe3-7517-4de2-99cb-2e74e2f9384f","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 18"
"1be0e27b-d0a3-484d-a07a-9c011e59ddde","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 18","Upper Floor Slab"
"0e6dc6a1-e733-468e-895a-23d30f9663e7","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 18","Precast Install"
"23884322-8b00-4d8c-9d99-63465a113889","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 19"
"c9d2975c-be18-4ec4-9a87-4c260ede449e","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 19","Upper Floor Slab"
"ecdb24c3-3815-48ef-895b-da295237c571","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 19","Precast Install"
"2c8278e6-e4e4-4090-a128-5191bd8d51b0","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 20"
"8313ee05-ab73-4558-9a91-579137df1665","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 20","Upper Floor Slab"
"7e3b873b-47fe-420f-bf61-7068e793aa16","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 20","Precast Install"
"d5b205e6-184f-49b7-90e0-889dd418bdbc","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid 21"
"dade285b-0488-496f-aa28-fb06f805d700","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 21","Upper Floor Slab"
"b62143a8-7af4-4c8d-b4dc-b48ac21c13c4","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 21","Precast Install"
"11536474-60ad-48d6-824b-dcf75df6bcbc","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid A"
"58df01bc-4c52-443c-ab74-5df11bc40065","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid A","Upper Floor Slab"
