"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ed961fdb-d0d9-431b-8fa7-26333d4bdb9c","","folder-normal","fail","","step","TRUE","FALSE","Ground"
"0bfd2e94-5783-4397-a903-cf7788a19e18","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W202.02"
"48e8e44e-ddc3-443c-b296-653cb687960f","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","D201.07"
"947c45bc-cf94-44bf-adc2-a8cfa3f46683","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W201.01"
"f7ad1afa-633f-4cc5-a2cb-09b632f776d3","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W201.02"
"bd1723ff-77b1-453f-91ff-d0a7fea3c34d","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W210.01"
"6206a819-ce00-4b41-9276-4f58695adba1","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W206.01"
"35b89a04-3eb6-48a4-9498-fdccdb9ac8c2","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W206.02"
"3b84fcd7-67f9-441c-82a3-55b184d26c7c","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","D206.07"
"341b888e-a2d0-4b5c-b9d3-abb209a87026","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W205.01"
"9d191dfd-9137-4a38-868f-0aceae52e413","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W205.02"
"a4e26c5a-3d1d-47d8-af03-53ae083c20b0","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","D205.06"
"79409baf-8b0e-49da-a9d0-2bde84c2fc5b","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W204.01"
"1dd83d2c-729c-49c4-8f85-50ab5836e3dc","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","D204.07"
"fe4be655-d6b6-450f-9fb4-202abd1d8d8b","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W203.01"
"0e3efa07-9df8-4976-802f-3c715b707f49","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","D203.07"
"3ba0c75c-188f-4e91-abd2-1dae71705d66","","folder-normal","fail","","step","TRUE","FALSE","Level 3"
"bf77bb4e-3803-430e-ab19-044d4b1acf8c","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","D302.06"
"9632f284-bcf4-46e7-b44a-10064bc982db","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","W302.01"
"7f48263f-fc53-4fb4-af1b-7538ee63d328","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","W302.02"
"671c5612-48d8-43d3-9638-c4255139bb7d","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","D301.07"
"b1e0695f-d512-487e-91f4-cebef73b09b7","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","W301.01"
"47d8ade9-2d1b-484c-b726-5d7c5f19a858","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","W301.02"
"659ee042-0af6-461d-93cb-8a897b200617","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","W310.01"
"dd295fc2-35f7-4b4d-9495-5b442b828812","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","W306.01"
"295bac80-8f3c-426b-86ab-4436b1025ac0","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","W306.02"
"cc8414fd-1bd5-42f2-b3bd-7f5927050025","","checklist-flat","fail","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","D306.07"
"a8e77bda-34c4-4098-88e7-6a0325c83a91","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","W305.01"
"07dd8201-2e5e-4ad2-93af-c1b344278d60","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","W305.02"
"fb4a4b81-f7b1-41b2-a15f-ff141d4b2a48","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","D305.06"
"6068aa6a-2b79-412b-aee9-f19508fe1c88","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","W304.01"
"c7a4e38f-fee5-43b5-8a4d-55625c8f7b49","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","D304.07"
"655350ae-9105-48d5-af09-00ad82a65fbf","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","W303.01"
"5338fcac-00d3-4181-ae8f-f5aec302a7cb","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 3","D303.07"
"c2406d6a-5406-4ac5-9e77-c974556189b9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 4"
"c3cb3c81-5fb6-4300-b08a-0c4abe87a7eb","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","D402.06"
"22bf6cd2-47fd-421c-ad9a-309b6d11241d","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","W402.01"
"b2d5f43b-abc3-45ad-b7c1-2c73a3ae0566","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","W402.02"
"5bf5970f-c784-43ac-b168-485357adb790","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","D401.07"
"95e7bc1f-c336-4478-bc42-9252d9a43764","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","W401.01"
"57839d18-9728-4001-b7f7-7d9dfbddf090","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","W401.02"
"10e3e1cf-dbe5-4c26-8fed-7297fb8f043e","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","W410.01"
"45b9e451-5a1f-4878-baac-33a3a13b5e2b","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","W406.01"
"9892d27d-8833-4f6f-925e-33122e8dd3ce","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","W406.02"
"281a83a6-bb03-4dba-a020-1cbefd213ee5","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","D406.07"
"e560d244-c173-42ab-9c9b-ea7e2792e149","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","W405.01"
"5853ecd4-fe7f-4a46-bb25-67f34e7bd6a2","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","W405.02"
"48d837a7-d7d1-4140-bdfe-bf5e566caaff","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","D405.06"
"8323b266-5cbe-4d88-aa72-fca4b3600bfa","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","W404.01"
"c69420dc-7700-48f2-820e-59933db2c497","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","D404.07"
"3d43033b-7688-45b0-85b2-f0e636144c0d","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","W403.01"
"8765047a-73e4-4f29-891b-fbe7d393c64d","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 4","D403.07"
"42f5506b-97d0-419b-886c-1cc11d1e5a76","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 5"
"f36db7cf-6ae3-4c43-88cb-5e3a0b837580","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","D502.06"
"43dd5aca-f6ce-46eb-ac60-0100c5f6f649","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","W502.01"
"22d83812-28a5-4522-8ac7-cf422df99b70","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","W502.02"
"fb9d45f6-0d88-46dd-9770-5fa106251b4c","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","D501.02"
"dfa6095f-bc3f-4192-af79-035ec4b7b216","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","W501.01"
"e5550c46-a5f6-4f2b-80fb-d34a55a745c3","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","W501.02"
"654a46e7-fdac-4880-9f57-014254fca144","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","W510.01"
"0969b243-dfb9-415c-a5fe-a0d802bb26bf","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","W506.01"
"1a404f80-371e-4d8e-90ea-babbcb869442","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","W506.02"
"b81c34b1-6293-431d-b4c8-46b53957391c","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","D506.02"
"2322d3cd-0648-4572-9041-7a626a92781e","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","W505.01"
"c3fe3dae-b3c9-417d-924d-519a20d1c874","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","W505.02"
"818e7aa7-f8c6-4c92-ac17-a1393fa5933c","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","D505.06"
"0ef645c8-4c19-43ba-8235-df0441b15394","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","W504.01"
"2542d06b-061b-471d-823a-20d5afc2de9e","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","D504.07"
"e946f939-858f-47ad-a2cd-6757bc492688","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","W503.01"
"df55e1f3-0d6f-47b2-bb17-d82dd108605b","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 5","D503.07"
"932ed443-e606-4853-b591-5e7935ab8939","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 6"
"623dd77d-7238-43ab-9326-ae8e5c8f50c2","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","D602.06"
"14087b0f-f0fb-40bb-880c-a29255168237","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","W602.01"
"89f566e8-92c1-4cd6-bca8-dde5ebd471b6","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","W602.02"
"49cbc14d-10de-4059-baac-e951d097ba3d","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","D601.02"
"a97bf623-f2b1-41b9-a89e-aafb897901c8","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","W601.01"
"550b56f2-905b-4631-8f0f-7030e7c00a8f","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","W601.02"
"db3ca4b2-a0c9-42d8-bacd-d755418b1c52","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","W610.01"
"8c92a9d3-b8a9-44a8-8330-4cad42f77e37","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","W606.01"
"3e410b90-386f-45ad-ae3b-eca9f3f49aab","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","W606.02"
"75e286dd-c817-43e7-b67a-faab87919b5e","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","D606.02"
"06af7b48-009a-43aa-9a12-1c84b8ad0adb","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","W605.01"
"f17e9404-9912-4d46-b9d0-46be7c879c7c","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","W605.02"
"7e8895a0-8e52-4e1b-8dad-1d2c285eea84","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","D605.06"
"b9e630e6-83f5-4efa-b59c-398499ae7a5c","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","W604.01"
"ac233017-5bbb-4782-b944-9f8e3bd6b212","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","D604.07"
"e0c5947d-f55a-486e-8902-0693c7c09177","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","W603.01"
"7283e0cc-9f69-4b7f-a0f2-579ce0399730","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 6","D603.07"
"73cd9423-3f0b-4b74-bbfc-5b9e03e3cb91","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 7"
"a75a6ef9-834b-4ae5-868f-1097d9e11cec","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","D702.06"
"582bfb4c-c676-4688-a5d9-ce8b495e17d2","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","W702.01"
"e71e692d-514b-4b59-9e19-e7f3e542a3a3","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","W702.02"
"58a2df18-f2aa-4117-908d-909608ce4d3d","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","D701.02"
"a36fc844-ca6a-4479-821f-91266410f8b5","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","W701.01"
"aff1a2c7-519d-4e8d-b29d-a29280ebd909","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","W701.02"
"f3eb509d-c4ca-4a33-9af4-406537ec7f8f","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","W710.01"
"dadb6872-aa5b-4c2d-b844-ee94a1179e5b","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","W706.01"
"13bd567c-a450-4861-a72c-41731d54d1fe","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","W706.02"
"7988a8af-696f-45c4-b1d7-d21de5bfcb8a","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","D706.02"
"33f73bae-3b33-4b5f-89c6-8f44b71f97df","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","W705.01"
"e3b7292d-69bd-4877-a0a6-4ce2aa88c1f2","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","W705.02"
"45d2d17c-f4a3-48c4-b503-e5e6b66e8a48","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","D705.06"
"a2e67058-adb7-4ec1-841c-a0009444bf92","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","W704.01"
"c59b008b-1a72-4f26-b298-54da154b61e4","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","D704.07"
"f1167e5d-6594-494a-850d-9a20e7779e5e","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","W703.01"
"c7d39f6f-a8ce-448b-9ea9-9cafdd61ecc5","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 7","D703.07"
"cf6cc717-0bd2-4277-b991-8c8e4beae964","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 8"
"ef7281bd-66ad-4923-b587-e60fe2c5b03f","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","D802.06"
"0a4e8db1-c9c8-40b3-8bcd-232836bad811","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","W802.01"
"3fcc52a4-a2ec-4b3d-ba1d-201c15640c54","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","W802.02"
"97390afb-76de-4df3-9be4-7b9d20986ea0","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","D801.02"
"db372958-5d41-470b-8c78-2140aa66fb5f","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","W801.01"
"63509669-d320-420a-a1d4-8ac21a96ad82","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","W801.02"
"df1a8bf5-c70a-4fd0-af03-890a25cc702d","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","W810.01"
"de7545f7-0a8a-4329-8d83-26f777c69dcf","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","W806.01"
"19f2a5a3-08d7-44d0-bbac-8aafb8e67244","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","W806.02"
"e0f01da8-4f76-4b19-83d5-aa648040f9b9","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","D806.02"
"d73f0b09-2085-44f9-b0a8-c686033e3a33","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","W805.01"
"dfc72329-2f18-4694-8eb8-730911d5434c","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","W805.02"
"7c5fca3e-a923-484f-a4a7-75bfe57bdcc3","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","D805.06"
"61e3d495-f749-43bf-a9d2-dd70d18028fe","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","W804.01"
"882377f1-8c5d-4d32-8596-fdf35a6bff2c","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","D804.07"
"bc05f475-0acc-4f9f-9f2e-5f86a19f8109","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","W803.01"
"fb888129-6d3b-49b6-a1d4-dca26062871c","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 8","D803.07"
"6aadf379-8272-4643-88ba-6885e2493522","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 9"
"ac3ad5aa-4f66-4203-a207-e8a9c64f1c35","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","D902.06"
"cf0a0edd-ea48-4388-a956-6f0c37f97fb3","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","W902.01"
"0304d4b3-c363-4329-8b72-0d8be7d1c195","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","W902.02"
"493b5dd1-fe80-424a-806c-6b960c7c31a9","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","D901.02"
"185d5014-4271-488b-a7fe-3c0b5ea7e8ee","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","W901.01"
"86c3fdc2-fed8-41a1-9680-d1f2d6a854f3","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","W901.02"
"82647d6d-a45e-429e-ada3-ab798fabcf13","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","W910.01"
"46b3bd88-ac57-4f39-8aad-18c25b2d9b99","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","W906.01"
"f7b2b412-3c35-40d4-8430-855bf30182f8","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","W906.02"
"d0f3d450-e2d7-4f37-a128-060e0615ea32","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","D906.02"
"ef7cfa4e-e8db-4aad-97a3-92a1cef20c11","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","W905.01"
"459fdb43-e41b-44ca-bf54-9294617461aa","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","W905.02"
"45619036-a92d-42eb-a7be-d1b638524d41","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","D905.06"
"a8c30a6d-a95a-4539-bcb6-b3b6a8ba54f6","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","W904.01"
"5f7bfeba-3402-4a9b-8033-fa770a812681","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","D904.07"
