"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ee12ca29-bd6e-5a62-a8fa-832448953e14","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W005.02","Installed / Fixed As Per Shop Drawings"
"7538a6f9-9767-5fd1-a12a-c57a60b59c89","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W005.02","Airseals Completed (photo)"
"8d58134f-5614-5492-b528-99f71c4f879b","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W005.02","Site Glazing Completed"
"7164d4c1-1445-555e-95fe-bf2b20874d5a","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W005.02","Trade clean/protected"
"f9cd7fd4-c5e5-5c76-8564-618fa2a8d706","","checklist-flat","fail","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140","checklist-flat","FALSE","FALSE","Ground","D005.01"
"e02cad3c-4304-42d4-a0fd-7b23bf2dc743","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Opening and sill acceptable. All elements approved as per drawings"
"dc697cd9-da12-5557-b1b4-758715bac594","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","D005.01","Opening wrapped & prepared correctly by others"
"9c85865f-d0f7-559c-a482-99c4cc108070","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","D005.01","External flashings installed as per shop drawings"
"b61e519a-bde0-5a0a-a79a-15950413af0a","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","D005.01","Installed / Fixed As Per Shop Drawings"
"d662a049-fefb-516b-9ddb-50c6772a34ce","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","D005.01","Airseals Completed (photo)"
"93af7e1f-c4b1-5959-89c2-f6c031154eef","","checkpoint-status","fail","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","D005.01","Site Glazing Completed"
"edcd2822-5b20-5b03-9963-daf3afb46d7e","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","D005.01","Trade clean/protected"
"1e811d67-a40d-5595-bf1c-7fefd5b2986f","","checklist-flat","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140","checklist-flat","FALSE","FALSE","Ground","W005.01"
"9be4aecd-4b70-4cfd-ab32-8e142a577d77","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.01","Opening and sill acceptable. All elements approved as per drawings"
"2e0135b2-cc6c-5a5a-925c-19ec2867f5f0","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W005.01","Opening wrapped & prepared correctly by others"
"9d9fb0cc-4999-5650-8979-c1dcae7fa7a7","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W005.01","External flashings installed as per shop drawings"
"06f8ef9e-ecb0-5362-a77e-46d8e0922a34","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W005.01","Installed / Fixed As Per Shop Drawings"
"dc8f9a50-9d55-5d83-b2fd-8544fb393a7f","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W005.01","Airseals Completed (photo)"
"e3820f06-2a6f-56b6-a515-ff29f20b351d","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W005.01","Site Glazing Completed"
"9f0df2e2-da22-544f-8ee1-6098d11664b7","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W005.01","Trade clean/protected"
"993196fc-61ae-5427-b093-ec1e9b6c0d47","","checklist-flat","work-in-progress","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140","checklist-flat","FALSE","FALSE","Ground","D004.06"
"54d006ba-1328-4210-afb5-9a61504cc3d3","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D004.06","Opening and sill acceptable. All elements approved as per drawings"
"f21bf467-bffc-507d-a243-f92e60b40ae2","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","D004.06","Opening wrapped & prepared correctly by others"
"94a0c831-fb20-5f2b-843c-1ab1b96dfd8c","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","D004.06","External flashings installed as per shop drawings"
"87cb4754-2a2f-59a9-a729-f71d63d88270","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","D004.06","Installed / Fixed As Per Shop Drawings"
"38775b32-9fa9-5f64-b9e3-8ce9024f93fa","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","D004.06","Airseals Completed (photo)"
