"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b72e7188-a52c-4896-8fa2-02af962698d4","","fail","","folder","TRUE","FALSE","Site QA"
"6658d9e8-e377-4fbd-bd74-f59af60e30b9","","work-in-progress","","folder","FALSE","FALSE","Site QA","L1"
"4cc48e9e-2574-4d8d-afeb-99524420d167","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-013"
"ad5e1cc5-1c2d-4079-8136-d5ae28445a9a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-014"
"1deccd4e-1187-448b-a017-9ed6e66d591e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-015"
"097cfb3e-56b1-42d4-8ad0-fa93d8f5f9b8","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-016"
"1a1fedce-05fd-4c64-bdfc-b67a60a85958","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-017"
"ae519a09-e4bf-4ac6-918d-18b50b281567","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-018"
"4d0d1011-927e-40bb-9299-dddd3707e5e6","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-019"
"e8b0577d-9b8f-4fdf-b208-f9c8b12a3342","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-020"
"c1a0210b-1b8f-4c4d-a3be-2eeca237ce7d","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-021"
"9afee05e-a1ec-4d3e-abe6-e071f94c89b7","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-022"
"4fbe30fe-e808-45b9-851d-b8c6436bf5c6","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-023"
"39a03b05-c02d-495b-9eba-d15a1082c007","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-024"
"27bc4026-131f-4f11-ab6a-5d7edf56b287","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-025"
"c36f37ee-c227-4183-b097-b1659e1bec94","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-026"
"715ac147-7a3c-4229-b140-953355e2f2e5","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-027"
"07ca2ca9-1398-417d-b73c-e2be65ad94a3","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-028"
"a37f4db4-fc8a-44d2-98e0-30654f2dccfb","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-029"
"fae4b071-2c43-41fe-bbdd-6fc8a6015e80","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-030"
"4d9b23a4-a4ee-42dd-bbdd-4c7612ffdc77","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-031"
"b75d684e-c674-4237-9c20-8796d5118349","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-032"
"016d6aa9-0bb6-463a-943c-5d2efe9e0179","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-033"
"c017ff93-4ba2-4d4c-9687-18a2eb1b2213","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-034"
"28f0cde2-f14a-40e0-aced-6d525e200c97","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-035"
"1d5e9d0f-720c-4d31-8c39-3ddea3b43934","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-036"
"888033fc-5a3e-445a-ab69-a3575af222dc","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-037"
"ae75b575-3254-4861-a6b3-2f5ff80e5231","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-038"
"3a7000b2-b012-4ba6-929e-7e1fa55301fc","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-039"
"be0f4c3b-bc71-4a87-9c44-30a9a742b696","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-040"
"2321ce46-9b73-4164-bc07-c9186ad36583","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-041"
"6f93e4b1-0755-4f7c-a8e1-4f1bdbfa6179","","work-in-progress","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-042"
"fa4db88f-fd01-4dca-b321-9baf2fe9c689","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-043"
"42ec7167-e545-4968-98b5-fed074869abb","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-044"
"d265bb87-07b0-49f9-8df1-b8d76b221958","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-045"
"90940864-7b0f-4fd9-a21d-43bc1288c87a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-046"
"994a4d9e-7000-4e84-8e0a-88a9fb76e31c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-047"
"b52b1c19-3dec-46fc-88ce-d4fe985ea80c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-048"
"c45df7f4-3f1b-4ad2-a990-071163e4326e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-049"
"0cecd9f4-9101-43a7-9ace-9305f2d99132","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-050"
"8d4713de-bbab-4110-b997-b702469e08cf","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-051"
"42a4742a-e2b7-443c-9207-f9e42f94c37e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-052"
"b803f469-6fcd-4d75-9e71-d89cf409f5b3","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-053"
"70a30825-e9c2-4e02-96e8-719ec12c7d63","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-054"
"d32ba8cc-809e-42f8-96f0-04b34c9180f2","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-055"
"050990c2-7de5-40aa-af21-d2df6e573172","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-056"
"3392fcd5-541c-4a0c-85a0-5e9d4a8a2d59","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-057"
"3b503c10-75b0-4d21-8cb3-3722a9e8f8ff","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-058"
"d1177a71-b5b0-4533-86d3-efa5136a34a7","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-059"
"198d47ce-b49b-4e4d-aa5d-4d6adaf26cb5","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-060"
"47d51e77-a207-4acf-8363-19f4b83abd63","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-061"
"fa542316-930b-4de2-bb40-a77a5a9283d9","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-062"
"38694a7b-3c64-43b8-95c0-4e3ba0a27737","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-063"
"75a372a2-1661-42ca-bd13-74e734d7ca8b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-064"
"a01f99ae-ee3c-4170-9d93-13facebd49bb","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-065"
"d39c755d-aa3d-4d9e-b513-2072c0a8e15d","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-066"
"444e58c0-9b20-4345-8519-0819e92096f4","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-067"
"8d0979f0-f7c7-49fb-b9c6-e922fb1f517f","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-068"
"ca72d9a9-6ca4-43aa-88c2-d6cada84f196","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-069"
"c91345a6-3612-450e-82c5-dc9f5cb241a5","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-070"
"54871d29-ad42-4931-ba5f-88e3cdb4dba7","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-071"
"8c6d9eb4-20fe-436d-9d3f-3c70641acc15","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-072"
"a0b9f910-b1a6-4a7a-b6a2-18276110b2cc","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-073"
"b6c6b7f0-d4d1-44f2-8f3d-be2fa989e88b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-074"
"367541f1-4d64-472e-a83e-3985163a4ab9","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-075"
"25c3d878-6ee4-424b-8ce7-71ed3457e509","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-076"
"206852cd-f11d-4bcb-be46-2c5ad0bba263","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-077"
"31a33c1a-4836-49c7-9255-855bb0a4ef6c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-078"
"7baa0912-fb55-4ca1-85f4-fad9cd9e7d66","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-079"
"af652a7a-e28a-40c2-b532-b707459992d4","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-080"
"bb48ddca-4c26-4d8e-90cc-8fe930f92963","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-081"
"f59f7947-9306-4c13-8c2e-278f01caef83","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-082"
"23bacdb2-a25d-4d47-98d2-293fe406478a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-083"
"ad2e00e5-cbe1-42f6-8877-3cda5068e8ec","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-084"
"4dfad5c1-db97-4793-a8ce-897c89d13e1c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-085"
"56281b6a-3354-4b8c-bf7f-3e8f31010ffe","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-086"
"8f47e946-8caa-4c0c-a563-536fc7352565","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-087"
"224c58e8-7b05-4795-a9a3-1685e5a8e5d9","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-088"
"f5dceb38-82dd-4c19-b3e3-2f1d1cdd2f83","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-089"
"9df4c8db-a0cf-4b62-8cdb-bc38ecbe62db","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-090"
"10760052-29df-4437-8b3d-72ae6d1f5419","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-091"
"e98d3086-96b3-453d-88e8-c9c58f2a9410","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-092"
"9db88ba3-dfc3-4d8e-9f6f-4e146a56293e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-093"
"5d8c7eb3-520f-4779-bb54-19c4cbf6a7bc","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-094"
"b3d4a916-c72e-42bf-9dfd-769d96f79a55","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-095"
"1232f61a-4682-46b8-adc0-715ecb98022e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-096"
"db6bf0d2-83fe-4806-bf15-0ae9113b7cef","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-097"
"78ecc027-32a9-4e31-b7f5-33a5eba605dd","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-098"
"8cd94bfe-62f8-4ed9-8ea2-0fe4b49e417a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-099"
"563c0b02-b11a-426f-9b10-ad4505400269","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-100"
"34a5d0d3-7f6d-46fd-a352-d7c8157063d0","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-101"
"b2207fb7-cadf-4f29-98f6-f2d9849b6537","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-102"
"90862352-a94d-4452-91cc-71f9a379b1ec","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-103"
"61b6a72a-9d69-4d0b-8ec8-d0efc787ee43","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-104"
"3bc649ec-2682-406e-a993-187d6288370c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-105"
"64f9b361-6245-4b55-a362-0af533f1c69b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-106"
"18ebd71c-d3f0-4363-a7fb-13dcf5ec1e67","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-107"
"83d668e4-3d11-419e-9bba-0d8e6601eacc","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-108"
"be29fd57-bc13-4841-8918-10abe8271f45","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-109"
"200eca1a-c423-49f7-b880-18ab25d2245b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-110"
"18868a66-a8b7-47e6-88df-767544637dec","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-111"
"3e57cd17-2306-4a41-bcbe-cc7d004a85f8","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-112"
"989afb2b-f462-4fce-bc56-501dcdc140be","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-113"
"476dc835-ede6-46df-93f5-fc0a98a9ec81","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-114"
"e7e79cf8-bc6a-4ae4-941f-08ea8e1ecbe7","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-115"
"42f58ba9-45f0-42d2-8cfd-bb94a02dcaf5","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-116"
"758463ff-31d4-4141-bf28-8b3fdffd9a90","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-117"
"e68e3afd-af54-42e4-8045-60689c8ab58a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-118"
"7b6f665b-2b41-4862-bdd5-2cbebc5ee0f8","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-119"
"9c930c37-57de-42b3-8781-84cb1640933b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-120"
"3b25636b-380d-4e25-8339-e1e1e491ccbd","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-121"
"d89235b0-7ea7-4147-956c-5ca72cd75a6e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-122"
"a0da1d23-a2d4-411d-9510-3a09c3e68633","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-123"
"7441c152-92de-4b84-97af-73a2a4d69911","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-124"
"3149f2d2-95fe-411e-93e4-b145a21f5428","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-125"
"98b14822-cd2b-4992-8521-59a802353c10","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-126"
"4b25ae47-88af-429b-a810-f14d4634412f","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-127"
"928f7eaf-8487-45d8-a0d3-7f74423ad83d","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-128"
"478d04f6-d403-405e-9719-ce109c144648","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-129"
"a09949da-1140-4678-a148-b0053f8a490e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-130"
"42cabd36-040b-49b4-b333-bc5ee50a7202","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-131"
"c32b734f-c090-413c-ae05-e7c3521b69e8","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-132"
"5fdcd98a-92d6-4a98-a006-bb855ef29244","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-133"
"20393e71-34f0-4d11-b5b4-7c98fdd899d6","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-134"
"202a8cd5-5f41-427e-92a2-f76f9eadbc4b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-135"
"d5f1d5a8-4825-414d-8b27-fd57978bdbce","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-136"
"6f842597-c82f-4d68-8690-54ebbc6604cd","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-137"
"9a7f94fc-3dd2-4581-9d30-b2212f2ea2d0","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-138"
"9a44efde-c403-4a3b-acf9-a1e7be1c86d4","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-139"
"e2b94a14-6584-4a41-85d4-786e1719eff3","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-140"
"6e0e6d0a-5d0b-41f1-a18c-1043a4611d2b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-141"
"1c93156e-5ba4-4828-b7dc-9c103e70c56b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-142"
"6c2e9981-fdcf-4a32-ae81-f8f398edcc75","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-143"
"b9abd36b-21dd-4e11-ab25-dd9a28ff3495","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-144"
"6484c955-227c-4d0e-92b7-c810a91671b1","","not-started","Curtain Wall Facade System Post-Install Sign Off","checklist","FALSE","FALSE","Site QA","L1","Post-Install Sign Off"
"465acebc-506f-4dee-8885-e7aa6e01c315","","fail","","folder","TRUE","FALSE","Site QA","L2"
"00c7a1e4-5e22-45d4-8252-f295a23a3372","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-001"
"93aa24d8-ca8e-48cf-a5ef-3797f3403867","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-002"
"c94df7b7-d408-413b-9477-55437a31bcb4","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-003"
"1f6baaab-1e01-40c5-8ec5-b81c98e49064","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-004"
"eb46ccd9-0be2-4385-b586-1a4afec29dbd","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-005"
"5985b1dc-ef46-4d2f-a850-ab2526638b3d","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-006"
"a54ad9ce-2daf-4ffd-b236-7905a5f3adeb","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-007"
"269dd589-2ea7-4334-a833-1d7a84d82ed5","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-008"
"01801454-dd86-4e9a-9816-c25d3ac45cc5","","fail","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-009"
"b3570444-215f-439b-8fe1-4715ea538d43","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-010"
"1525a980-2870-4fc7-9aa2-e9a0b964ebe9","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-011"
"4af20b1f-fee7-43bc-bba9-e90c7926c74c","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-012"
"45a6a3c4-8745-4a6b-bfa5-67c13d9870b2","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-013"
"3bf4d070-e32b-4c47-a9f8-72622766ffe8","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-014"
"40c6b7ec-1e41-459c-985f-78673bd95b75","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-015"
"747e75e8-5326-4e5c-ba3f-19fdc60644c7","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-016"
"19aba980-e9bc-4301-877f-3f2244a75fa7","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-017"
"fe94d4ab-a389-47c6-9601-6d73d95b9656","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-018"
"8f31aab5-d216-4736-b6e9-a14a171b44c2","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-019"
"e2eb4e0e-e67b-4918-aced-b883d7ae6b6b","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-020"
"ed703e71-e3a0-4de8-ad25-cfea9eac4ca1","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-021"
"b92e8616-0476-4305-86f9-bf794e56d84d","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-022"
"a6c8962b-78aa-443e-8c10-27562cfad6af","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-023"
"591b296a-7c04-4d3d-b8c0-9ff0eb15ce43","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-024"
"dc27fc9e-501e-4ac0-8433-d9e0b7527773","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-025"
"e25d5a6d-6ac3-4a26-a87d-20ca565fb8af","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-026"
"63fb3cee-dbd8-4d35-8955-b2d450e511a9","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-027"
"c8a0c164-9ad6-453e-9193-de22486d98a9","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-028"
"815fcd91-04e0-413b-b534-d57712621ae2","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-029"
"026856f7-a0b4-41ee-a513-8fd2a607a85c","","pass","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","L2-030"
