"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"57233f04-9df0-4932-80da-8ac73eacfd56","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"397d6ed8-296f-44d8-8ee2-f3cf590cecc9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1"
"cd3b842e-6d4f-4b9e-a2bd-cc4f40b5f5b0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing"
"12ab81b8-0223-403f-b523-3094fe834dbc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 101"
"65f676cc-065b-44af-9720-937bcbfb9f3a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Rough-in"
"ee52b123-64d6-407f-994b-643e1f9922d9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off"
"88fb40be-a51d-4c75-8ba4-797d446304d9","","no-status-not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Commissioning","COM Commission Water Meter"
"40a848bf-b963-4ba4-a83b-48f077956ae2","","no-status-not-started","COM Commission Gas Meter","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Commissioning","COM Commission Gas Meter"
"2cb5f747-5c1c-4b19-9b09-9c8a3e931924","","no-status-not-started","COM Commission Backflow Prevention Device","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Commissioning","COM Commission Backflow Prevention Device"
"4ed7c750-c699-43e0-811d-a4799de268eb","","no-status-not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Commissioning","COM Commissioning Final Handover"
"9ce56716-d6c5-45da-9516-586431bef99c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 102"
"3ff4f43d-c5cc-4696-a624-40cf9afaedfd","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Rough-in"
"bcb79278-be92-442d-a5ea-b8aec47823f0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Fit-off"
"92e1de8c-af15-492c-9e08-c7acdd27261f","","no-status-not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"943ff633-d146-4ba7-b6e2-fc58e7ddf47e","","no-status-not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Fit-off","FO Fit-off Dishwasher"
"2c2dfb3a-75d1-4e79-83d2-6f2ba86c0d7c","","no-status-not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Fit-off","FO Fit-off Gas Appliance"
"91e17d14-a8ff-4809-b999-35248a604ac9","","no-status-not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Fit-off","FO Fit-off Laundry Trough & Tapware"
"44ef6790-1f2e-4923-99ef-f5fb88b099dd","","no-status-not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Fit-off","FO Fit-off Washing Machine Stops"
"0f1174bc-7ee0-4f5f-aa27-9122e057322f","","no-status-not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Fit-off","FO Fit-off Toilet & Cistern"
"99ed9f1b-1591-4762-843e-18f4a1422c51","","no-status-not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Fit-off","FO Fit-off Wash Basin & Tapware"
"a29f92a4-d460-4465-b15a-68f017321eee","","no-status-not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Fit-off","FO Fit-off Shower & Tapware"
"7a73e9a2-a9ae-4fdd-8536-f12e36ab2ddf","","no-status-not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Fit-off","FO Fit-off Hot Water Unit"
"20cf83ec-4995-4cf6-acdf-6aaa77a11a78","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Testing"
"6bfd64b8-0e30-4eee-bb01-e9d0af39f943","","no-status-not-started","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Testing","TST Test Water Service Pipework"
"b8a4380a-e2d6-4f06-9724-135599323d6d","","no-status-not-started","TST Test Gas Services Pipework","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Testing","TST Test Gas Services Pipework"
"2cfb241c-8a2f-40c3-85b5-c58d0ab82904","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Commissioning"
"f641db79-d66c-481c-930c-0f594e495532","","no-status-not-started","COM Commission Rain Water Storage Tank & Pump","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Commissioning","COM Commission Rain Water Storage Tank & Pump"
"ee418a78-1e00-4eff-864c-665fb789a8ad","","no-status-not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Commissioning","COM Commission Hot Water Unit"
"ff875dcf-a423-4d2b-9d76-a63d6567d774","","no-status-not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Commissioning","COM Commission Gas Appliance"
"bb5f0abc-d259-4bf9-8be3-2636de1e1a17","","no-status-not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Commissioning","COM Commission Water Meter"
"1dc5bb40-094f-4840-b982-0cbdeff43647","","no-status-not-started","COM Commission Gas Meter","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Commissioning","COM Commission Gas Meter"
"7fecb5b2-64a8-483a-b304-bfc9b1aceac8","","no-status-not-started","COM Commission Backflow Prevention Device","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Commissioning","COM Commission Backflow Prevention Device"
"4104a595-3aec-492e-ae98-3c9bae063cd0","","no-status-not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 102","Commissioning","COM Commissioning Final Handover"
"b9f3ef5d-4730-441b-bfbb-6ab0ad14597b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 103"
"be3ea4d8-d56d-4079-97d8-d70e2aea824f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Rough-in"
"6a86e533-db71-4b2a-81a8-721f487cfd42","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Fit-off"
"6b2de3a7-c9ce-465a-8089-0a9f2311dc62","","no-status-not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"f79a7821-7ca6-4961-8d7b-0338afd08ebf","","no-status-not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Fit-off","FO Fit-off Dishwasher"
"6613d050-6372-4a97-a0c3-651330dea0a9","","no-status-not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Fit-off","FO Fit-off Gas Appliance"
"19cc4ff7-0d7b-453d-a917-b124b85f850d","","no-status-not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Fit-off","FO Fit-off Laundry Trough & Tapware"
"fe3f0d66-7a41-4d66-8eef-e3ac5943208e","","no-status-not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Fit-off","FO Fit-off Washing Machine Stops"
"70f2e93e-b779-40cc-9f4b-ed9e17e263c7","","no-status-not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Fit-off","FO Fit-off Toilet & Cistern"
"fb140e54-bece-489f-8a5a-083be26443ba","","no-status-not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Fit-off","FO Fit-off Wash Basin & Tapware"
"baa6c104-b936-4dba-b114-939da20baa97","","no-status-not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Fit-off","FO Fit-off Shower & Tapware"
"ac6f38ba-4b6f-4803-a67e-a4a43cbdc824","","no-status-not-started","FO Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Fit-off","FO Fit-off Bath & Tapware"
"d63116ee-d4d9-471e-997d-da912b221c9c","","no-status-not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Fit-off","FO Fit-off Hot Water Unit"
"5ad472ef-6dc7-4989-b3d7-d3315c0b75da","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Testing"
"f9a2f41d-dcfb-4457-b74e-fe83428a88fc","","no-status-not-started","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Testing","TST Test Water Service Pipework"
"5d3758b7-680d-439c-aa54-aabdcc0c3dbd","","no-status-not-started","TST Test Gas Services Pipework","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Testing","TST Test Gas Services Pipework"
"a52ccf24-ca9c-4a4c-8aa0-496b2ffe53c3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Commissioning"
"d564cc2c-dc92-4029-b369-f0046f022c00","","no-status-not-started","COM Commission Rain Water Storage Tank & Pump","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Commissioning","COM Commission Rain Water Storage Tank & Pump"
"10702261-37e2-4b98-b0ef-ffc4e2f2701b","","no-status-not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Commissioning","COM Commission Hot Water Unit"
"1eee2428-46a5-4dd4-a09e-863f06ec4886","","no-status-not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Commissioning","COM Commission Gas Appliance"
"e4747bd2-102a-4cf1-8b17-470728c718b7","","no-status-not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Commissioning","COM Commission Water Meter"
"8e85f82f-659f-41c6-b90d-e5ef88184440","","no-status-not-started","COM Commission Gas Meter","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Commissioning","COM Commission Gas Meter"
"5f3c6a2a-de49-4f0f-a8bc-053d6781de56","","no-status-not-started","COM Commission Backflow Prevention Device","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Commissioning","COM Commission Backflow Prevention Device"
"103489a9-291d-457b-a662-4812d26dadac","","no-status-not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 103","Commissioning","COM Commissioning Final Handover"
"8e618d35-5084-44d1-8549-fc3d46c9916c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 104"
"26b2df60-404e-4ef4-9e83-41dc4107d07a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Rough-in"
"cb9657fa-e2dc-40b4-b739-ddcc17fecae7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Fit-off"
"e6186486-87fd-4369-889f-aa65dc2ca79a","","no-status-not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"216f6cf9-b0fe-4679-a369-f091c2a54270","","no-status-not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Fit-off","FO Fit-off Dishwasher"
"21ae2a54-5102-46ef-9310-519772f1b2f4","","no-status-not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Fit-off","FO Fit-off Gas Appliance"
"d6178b74-61c1-48ca-a574-8cc5ef2c656a","","no-status-not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Fit-off","FO Fit-off Laundry Trough & Tapware"
"583be292-9df2-44b5-aa2b-2bc8b8803388","","no-status-not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Fit-off","FO Fit-off Washing Machine Stops"
"2b79d39a-5ac5-418f-b50a-a40f5875230b","","no-status-not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Fit-off","FO Fit-off Toilet & Cistern"
"d7064e38-9856-4471-8807-52ba98a6cbe1","","no-status-not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Fit-off","FO Fit-off Wash Basin & Tapware"
"76839407-bbf2-4d8a-b7c3-bb6cf72da6d7","","no-status-not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Fit-off","FO Fit-off Shower & Tapware"
"65d4b4a2-87a9-4a9c-8d88-11e44c60d8de","","no-status-not-started","FO Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Fit-off","FO Fit-off Bath & Tapware"
"78b25bb9-02e4-4566-94b2-7dda03f83a6f","","no-status-not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Fit-off","FO Fit-off Hot Water Unit"
"c3bb4afd-c57b-4bba-9fa7-656a7c3c3272","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Testing"
"9646e41c-665b-493a-8daf-cef4d1e2c814","","no-status-not-started","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Testing","TST Test Water Service Pipework"
"36bfd7b9-4b9f-4f33-ab59-ba568053cb90","","no-status-not-started","TST Test Gas Services Pipework","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Testing","TST Test Gas Services Pipework"
"6ecdaf6b-c221-4496-81c3-68ed6001bc16","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Commissioning"
"442a9bc8-ed14-4659-abda-f89399c8c9ec","","no-status-not-started","COM Commission Rain Water Storage Tank & Pump","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Commissioning","COM Commission Rain Water Storage Tank & Pump"
"f557a009-d515-42b4-9c79-26bc04108e45","","no-status-not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Commissioning","COM Commission Hot Water Unit"
"c3fe6d48-e8e3-4fa9-a000-f0ef7f22def0","","no-status-not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Commissioning","COM Commission Gas Appliance"
"e51ebd64-67a1-4fe5-b2b7-e863c36ac04b","","no-status-not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Commissioning","COM Commission Water Meter"
"60aba085-cff4-4372-8511-d0a780effdd2","","no-status-not-started","COM Commission Gas Meter","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Commissioning","COM Commission Gas Meter"
"76ba3f4b-ed53-48f8-b26c-1e5f85a1f7bf","","no-status-not-started","COM Commission Backflow Prevention Device","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Commissioning","COM Commission Backflow Prevention Device"
"2509ac53-76e0-4e50-a61e-cf1a8f71b032","","no-status-not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 104","Commissioning","COM Commissioning Final Handover"
"619ef3b4-fabe-4acb-9da0-aab47c9f3098","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 105"
"b9be6ec6-60b2-4fa9-a7e8-7e87006fa546","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Rough-in"
"6e051bb6-a689-419d-b5d9-e4d71cf762a0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Fit-off"
"1c715383-e862-4109-b93c-e8b422f55b74","","no-status-not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"36b9d4de-8c59-4392-8666-4b2b1f8987b5","","no-status-not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Fit-off","FO Fit-off Dishwasher"
"ff1d0801-4466-460b-83be-f375c3f3db04","","no-status-not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Fit-off","FO Fit-off Gas Appliance"
"0d137c52-8353-4d61-a8ee-006f01230f40","","no-status-not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Fit-off","FO Fit-off Laundry Trough & Tapware"
"60e7cba6-cee7-48c4-8dd6-6e0f61351a61","","no-status-not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Fit-off","FO Fit-off Washing Machine Stops"
"8d2fe9ba-cfaa-4626-af20-504e173c5b2e","","no-status-not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Fit-off","FO Fit-off Toilet & Cistern"
"7006f702-98d5-4a24-be22-82a8cf55697f","","no-status-not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Fit-off","FO Fit-off Wash Basin & Tapware"
"5fb2bc69-945f-4cd6-92cd-96ad7ef7132a","","no-status-not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Fit-off","FO Fit-off Shower & Tapware"
"82b7ee2e-1873-451b-88e5-cfaae3a51ee1","","no-status-not-started","FO Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Fit-off","FO Fit-off Bath & Tapware"
"ede8aa20-0a19-4654-84fc-f180c9f36715","","no-status-not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Fit-off","FO Fit-off Hot Water Unit"
"30b3697a-0571-4257-ae11-9bef11970c23","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Testing"
"53c8729c-13c5-4461-a775-71629a196ef7","","no-status-not-started","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Testing","TST Test Water Service Pipework"
"9949cef5-1c7b-4ae5-b258-79c5e207b83e","","no-status-not-started","TST Test Gas Services Pipework","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Testing","TST Test Gas Services Pipework"
"c1d8bdc9-8e6c-41a9-9ca2-f988abc6ff3a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Commissioning"
"843ff47a-9277-428c-8e28-aab742c73473","","no-status-not-started","COM Commission Rain Water Storage Tank & Pump","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Commissioning","COM Commission Rain Water Storage Tank & Pump"
"17c25acd-f408-40f1-8f59-ac79b7d3de65","","no-status-not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Commissioning","COM Commission Hot Water Unit"
"50930c34-dde9-41d1-9a85-1fbe3d054aee","","no-status-not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Commissioning","COM Commission Gas Appliance"
"40d9c20c-ba70-4aa3-99d1-f7aa14a7e96c","","no-status-not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Commissioning","COM Commission Water Meter"
"57a3f24a-7412-4de2-9498-10201288cb28","","no-status-not-started","COM Commission Gas Meter","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Commissioning","COM Commission Gas Meter"
"37c0fe5f-981f-4ff9-9b5d-033a624a0cb0","","no-status-not-started","COM Commission Backflow Prevention Device","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Commissioning","COM Commission Backflow Prevention Device"
"fbe0075c-0f3b-4eb4-bf01-e154cc808bdf","","no-status-not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 105","Commissioning","COM Commissioning Final Handover"
"0da4566d-d13f-49d1-9b07-9f5f9cc19615","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 106"
"1dfe1fa9-9218-4545-a609-905fd4d0cdaa","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 106","Rough-in"
"23e149c6-3d12-44af-98db-6a94cc03b20d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 106","Fit-off"
"6643f0ad-acfb-4e12-b6c4-6292880a65b1","","no-status-not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 106","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"0b407901-f7c5-45b9-ada3-b7ac555a4c18","","no-status-not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 106","Fit-off","FO Fit-off Dishwasher"
"d8c21e74-2e23-4bbb-8db8-19fc719501d9","","no-status-not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 106","Fit-off","FO Fit-off Gas Appliance"
"79df3d43-9fa2-4425-b2f5-a8d8fd5eb0d2","","no-status-not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 106","Fit-off","FO Fit-off Laundry Trough & Tapware"
"0eda0360-5a28-456d-89c0-a81db7c43cc7","","no-status-not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 106","Fit-off","FO Fit-off Washing Machine Stops"
