"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2298f92e-ccdf-4878-8a4d-85c43af3124d","","not-started","","folder","TRUE","FALSE","On Site QA"
"72c2d0eb-05d4-4d4a-bfef-66cf29ab6960","","not-started","","folder","TRUE","FALSE","On Site QA","Building C"
"e8ede555-c02f-46e1-9e1b-c4ba784712f5","","not-started","","folder","TRUE","FALSE","On Site QA","Building C","First Floor"
"c7c17825-465b-4bec-9296-cd1733c97a5e","","not-started","","folder","TRUE","FALSE","On Site QA","Building C","First Floor","Apt F.1"
"26ed6c73-2ce3-4cf5-8e49-6b1b9b23ef80","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","Second Floor","Apt S.1","Screen"
"261a84f5-3470-441f-ad6b-43e5792acea7","","not-started","","folder","TRUE","FALSE","On Site QA","Building C","Second Floor","Apt S.2"
"d5edb941-626d-451a-bce0-20e96b1c7738","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","Second Floor","Apt S.2","Balustrade (Small Deck)"
"1cf56d53-a968-4e15-accc-f290562c5c8f","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","Second Floor","Apt S.2","Balustrade (Big Deck)"
"ad38536f-e23c-49dc-8dcf-e052ceceb647","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","Second Floor","Apt S.2","Screen"
"45297ca7-6f25-4f1a-923c-68ba55cee622","","not-started","","folder","TRUE","FALSE","On Site QA","Building C","Second Floor","Apt S.3"
"8a548691-1ffd-4f00-8cc8-8badee9ff996","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","Second Floor","Apt S.3","Balustrade (Small Deck)"
"98e3d085-2c1c-486e-a720-ab9a5aa13ef0","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","Second Floor","Apt S.3","Balustrade (Big Deck)"
"fc5ebf4a-ea17-4350-9cef-1aa6bad77595","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","Second Floor","Apt S.3","Screen"
"575d7ef8-185b-4d31-80ca-1cfd99571d18","","not-started","Stair Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","Stair 1"
"03e9f6ce-10a2-4e4f-9ce0-b4791f66de40","","not-started","Stair Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","Stair 2"
"3821ae35-873f-4ace-83b1-9f511fc4c977","","not-started","","folder","TRUE","FALSE","On Site QA","Building A"
"24d7a412-80e1-419e-a86c-d1375bedabf6","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building A","Screen 1"
"2c35adc5-cd97-4fc9-b570-5caa2374d5d4","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building A","Screen 2"
"8927fc55-3ba8-4b41-8b72-bf45138d38c2","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building A","Screen 3"
"08a49442-729d-4ee4-a921-d23bd226d41a","","not-started","","folder","TRUE","FALSE","On Site QA","Building B"
"593e2cc5-4aa9-49db-9f06-2d4ce81dd8a2","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building B","Screen 1"
"39a92349-4af8-4979-a62f-a3c6356c41e4","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building B","Screen 2"
