"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5cf37458-8d0a-447f-a5ba-4c267d3689d0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"4bc3dbf0-f25e-4605-bf69-af6ce9e1ce95","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C"
"ce08f1f7-c926-4a15-8fdf-ac91b177af66","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D"
"31d4294b-04d7-41f8-9f7e-b5573209be1f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation"
"6c4b6316-27de-40e5-bfd5-3fcd4c6ecdd4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 3","Subcontractors"
"600dcad3-933d-4305-bc78-48e8cc2f7fb9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 4"
"697a4958-964f-4430-9509-99745a54d7b3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 4","Mechanical Installation Rough In & Fit Off ITPs"
"2d65b62e-228c-4ddb-bead-9c6720e65298","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 4","Subcontractors"
"ec0e128f-1ff3-4309-aa54-842ee7429646","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Plantroom"
"a6855616-f52e-49f4-a1bf-7b0b3d47f43d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Plantroom","Mechanical Installation Rough In & Fit Off ITPs"
"e4e210c1-dc1a-4d3f-bce1-52247b021c12","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Plantroom","Subcontractors"
"ba8b2fe9-fa83-4adc-a204-fda69b627c26","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Risers"
"5c6b095e-b1a9-4160-b94c-d091ec0ae270","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Risers","Mechanical Installation Rough In & Fit Off ITPs"
"3f59adab-5820-4a0b-95e5-a40f42a5c92d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Risers","Subcontractors"
"c4a88a6a-5e9a-466c-be08-efb1f09148d1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Miscellaneous"
"24530778-0d03-407a-aab0-ac6f81f7ab00","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Miscellaneous","Duct Leakage Test ITPs"
"767ffab6-4480-4da7-9524-45950ec66648","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Miscellaneous","Pipe Pressure Test ITPs"
"e51c1fd4-172c-43f6-a96b-553ec3799483","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Miscellaneous","Pipe Flushing and Cleaning Test ITPs"
"b30fc05d-37f5-4574-a23f-423febe2f54b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning"
"b31d4716-3ade-4d52-90fe-22b300fb99e4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D CCW Workbook"
"0a6be137-12d8-4ee3-bb2f-f01f2577aacf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D CHW Workbook"
"05cb81be-ba39-4884-96a9-585cd90b5599","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D HHW Workbook"
"46d68d0f-c673-4e5e-82dd-231244bbf004","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D NW Zone AHU Workbook"
"90649bf1-1902-4251-a07d-6fb14a3c7467","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D NE Zone AHU Workbook"
"67f3f0fa-0b85-4173-be31-04bcbf407eb6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D SW Zone AHU Workbook"
"dff53463-25da-4345-8779-b99055df51c5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D SE Zone AHU Workbook"
"2449f1e3-1984-49ff-919d-86cc32f5b1ae","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D C Zone AHU Workbook"
"44012710-9cd5-4615-b004-ee549a12dabe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D Lifts FCU Workbook"
"fd9544d2-09e1-4bb3-a5e9-fe4087665d5d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D LG Water Plant Exhaust Workbook"
"4aa46256-d518-4189-88d9-aae2b65a2567","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D G&LG General Exhaust Workbook"
"33eeb69b-d315-4be0-8d80-4b1f37959631","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D Sup. Outside Air Workbook"
"ac48f0d2-3445-4fed-8066-0109015143d1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D Sup. Gen. Exhaust Workbook"
"4525fdb7-6e62-4136-ab51-54c84f89a154","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D Central Toilet Exhaust Workbook"
"1edc5c48-fd87-46dd-a789-b6e1c6d2c31c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D LG MDB Exhaust Workbook"
"982498aa-b777-445a-b61f-3cb693dfa184","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D LGM Comms Exhaust Workbook"
"86faaf42-f043-4809-9a33-c3faf2794bc5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D G Loading Store Exh Workbook"
"8b4aa8d1-70db-4fb7-8b3d-8ee2ee3bca96","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D G Ten. 01 Exhaust Workbook"
"599f315a-3fe0-49aa-ad8b-a2a12dc5ef36","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D G Ten. 02 Exhaust Workbook"
"8a794ac7-adcb-4aaa-8bfc-97c9dd8e35cd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D G Ten. 03 Exhaust Workbook"
"94f22c3a-d45c-404f-8c39-7b8a692897c8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D G Ten. 04 Exhaust Workbook"
"a4d691e4-fbce-43d9-a0cf-2120240cabe9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Commissioning","Bld D G Ten. 05 Exhaust Workbook"
"c11bcda2-6a50-4ab9-bd1a-983a5629c37d","","checklist-flat","work-in-progress","Commissioning Workbook","checklist-flat","FALSE","FALSE","Site QA","Workbook2"
"050e7253-5100-4483-a575-8c7e46969307","","folder-normal","work-in-progress","","step","TRUE","FALSE","Demo / Training"
"ff8b3742-6c17-4097-ac7c-737376df3d17","","folder-normal","work-in-progress","","step","TRUE","FALSE","Demo / Training","Installation"
"cf8bb2ea-ee2e-4d8b-b48b-ecbe527c243c","","checklist-sectioned","not-started","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Demo / Training","Installation","Mechanical Installation Rough In & Fit Off"
"2ff53c26-0f3f-40a6-9003-5cf23e1a20f8","","checklist-sectioned","not-started","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Demo / Training","Installation","tIles X - Y"
"a8141986-4061-409e-8c7e-b85bae5025cf","","checklist-sectioned","not-started","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Demo / Training","Installation","Tile A - B"
"19e1814c-2322-4a54-9161-1205eb03acc5","","checklist-sectioned","work-in-progress","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Demo / Training","Installation","Tile X - Y"
"28f4755e-94c5-45f2-ba8e-ca0ccaff77ce","","checklist-sectioned","not-started","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Demo / Training","Installation","dfgadfg"
"88bfcb8a-fae8-4ce8-9afb-4031edcd3839","","checklist-sectioned","work-in-progress","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Demo / Training","Installation","Tile 50"
"fc797992-8954-41b2-962d-d2db8605d2d1","","checklist-sectioned","work-in-progress","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Tile 57"
