"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c36395ad-ce7c-4e84-886d-a58ea79afb40","","work-in-progress","","folder","TRUE","FALSE","Raleigh Road Bus Lane"
"8c4906a4-b981-4214-9591-2e8745043f3f","","pass","","folder","TRUE","FALSE","Raleigh Road Bus Lane","Midblock 1"
"af2392ea-b782-4dda-8907-eec1bc904a3d","","pass","","folder","TRUE","FALSE","Manurewa Project","Monuntfort St/Thompson Tce"
"b692b1cb-9269-4aab-81df-14f2231047a8","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Monuntfort St/Thompson Tce","ITP - Enabling Works - Footpath, Kerb and channel"
"a0bcd8b8-244f-46ee-a8cf-2d67a0a6fa72","","pass","","folder","TRUE","FALSE","Manurewa Project","Morrin St/Thompson Tce"
"9a3e4add-850b-45ee-8fe5-5e779ac4b869","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Morrin St/Thompson Tce","ITP - Enabling Works - Footpath, Kerb and channel"
"e6ae16c6-7d48-4e1b-ab6b-03395678c84f","","pass","","folder","TRUE","FALSE","Manurewa Project","Friedlanders Rd/Ruby St"
"de11b52f-be3b-4a84-b1c6-d48cca7c60dd","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Friedlanders Rd/Ruby St","ITP - Enabling Works - Footpath, Kerb and channel"
"cad7b75e-4121-4919-b7d9-7be8385f50e6","","work-in-progress","","folder","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements"
"0e4265cf-0321-469e-8042-511db8387c8d","","pass","","folder","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Gordon Road/Atkinson Avenue intersection"
"ac1cf3e3-519f-404f-a2c0-3562fb2945b1","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Gordon Road/Atkinson Avenue intersection","ITP - Enabling Works - Footpath, Kerb and channel"
"94637cf3-6870-41f3-926c-970390522f19","","pass","","folder","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","King Street/Atkinson Avenue intersection"
"ab7d543a-a145-4c44-8d0f-03c9f403c8e4","","pass","6fafa99927175b0f7b24e74c6435ba03a60baef9461f603fa0a3ef168c03381d","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","King Street/Atkinson Avenue intersection","ITP - Stormwater Drainage (Atkinson Ave)"
"7b0d43b1-7b91-41d5-9200-1eb685e1bd34","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","King Street/Atkinson Avenue intersection","ITP - Enabling Works - Footpath, Kerb and channel"
"93af8fae-6d43-4fc7-89aa-0d24f2b00b7d","","work-in-progress","","folder","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Princes Street/Atkinson Avenue intersection"
"e2b889ad-b16f-43a6-95de-206bb3befc2e","","not-started","Atkinson Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Princes Street/Atkinson Avenue intersection","ITP - Stormwater Drainage (Atkinson Ave)"
"11c5f7ba-3e1b-449c-9639-987f6c669bda","","not-started","ITP - Griffen Park / Hillsborough Rd - Traffic Island","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Princes Street/Atkinson Avenue intersection","Traffic Island"
"824e3134-7085-4268-86b6-db762c183581","","pass","Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Princes Street/Atkinson Avenue intersection","ITP - Enabling Works - Footpath, Kerb and channel"
"bc27ac7c-75a5-42ee-89a5-e64d9f55e783","","not-started","Atkinson Ave - ITP - Raised AC Table & Intersection","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Princes Street/Atkinson Avenue intersection","ITP - Raised AC Table & Intersection"
"09e31328-e305-4b4f-beaf-4a1f354aa9cf","","not-started","","folder","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Avenue Road/Atkinson Avenue intersection"
"9208012f-231d-4f9b-b781-8e6a2c428428","","not-started","Atkinson Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Avenue Road/Atkinson Avenue intersection","ITP - Stormwater Drainage (Atkinson Ave)"
"99c3d39e-a08d-4ac3-b864-3361c79af6ff","","not-started","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Avenue Road/Atkinson Avenue intersection","ITP - Traffic Islands"
"e7985f1a-e05e-4e0e-afcd-3bde4a044cf6","","not-started","Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Avenue Road/Atkinson Avenue intersection","ITP - Enabling Works - Footpath, Kerb and channel"
"2f9d1517-db9b-481b-a64f-366f54e14806","","not-started","Atkinson Ave - ITP - Raised AC Table & Intersection","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Avenue Road/Atkinson Avenue intersection","ITP - Raised AC Table & Intersection"
"191408ce-6458-4366-9b21-50ca7a265d2a","","not-started","","folder","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Great South Road/High Street/Atkinson Avenue intersection"
"f4a0e0e1-7bb0-4793-81e2-de374e33e6f0","","not-started","ITP - Griffen Park / Hillsborough Rd - Traffic Island","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Great South Road/High Street/Atkinson Avenue intersection","Traffic Island"
"3d5e75df-61e1-433b-a49e-2c7e60462f8c","","not-started","Atkinson Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Great South Road/High Street/Atkinson Avenue intersection","ITP - Stormwater Drainage (Atkinson Ave)"
"44d061e5-b359-4bcb-b95c-18d68315ba87","","not-started","Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Great South Road/High Street/Atkinson Avenue intersection","ITP - Enabling Works - Footpath, Kerb and channel"
"215ae5fa-b97d-4363-8db6-c21bf253d6d7","","not-started","Atkinson Ave - ITP - Raised AC Table & Intersection","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Great South Road/High Street/Atkinson Avenue intersection","ITP - Raised AC Table & Intersection"
"833cb4fc-9899-4c20-8c0e-3dc27226fc21","","not-started","","folder","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Atkinson Avenue mid block crossing"
"40b604f6-7c5c-4131-9bc7-d31a40a49471","","not-started","Atkinson Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Atkinson Avenue mid block crossing","ITP - Stormwater Drainage (Atkinson Ave)"
"27ce559e-0abf-46c2-837b-270c05945791","","not-started","Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Atkinson Avenue mid block crossing","ITP - Enabling Works - Footpath, Kerb and channel"
"ca3dbce4-af5e-49f9-ba83-a43b297b7eb9","","not-started","Atkinson Ave - ITP - Raised AC Table & Intersection","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Atkinson Avenue mid block crossing","ITP - Raised AC Table & Intersection"
"e9edb2fa-cb89-471d-b86a-5d5c09482f00","","not-started","","folder","TRUE","FALSE","Triangle/Makora"
"19bbbb8f-5c38-4829-8e93-0df0af014862","","not-started","Triangle/Mokora - Ducting and Traffic Signals","checklist","FALSE","FALSE","Triangle/Makora","ITP - Ducting and Traffic Signals"
"4c88fa09-f5e4-4e27-8c2c-f871ef0246d7","","not-started","Triangle/Mokora - Enabling Works - Footpath, Kerb and channel and VX","checklist","FALSE","FALSE","Triangle/Makora","ITP - Enabling Works - Footpath, Kerb and channel and VX"
"030c17f4-321b-4df9-a780-84637c656e00","","not-started","Triangle/Mokora - Pavement","checklist","FALSE","FALSE","Triangle/Makora","ITP - Pavement"
"88c5ca6d-e118-49ab-af69-5ed3112fbf96","","not-started","Triangle/Mokora - Stormwater Drainage","checklist","FALSE","FALSE","Triangle/Makora","ITP - Stormwater Drainage"
"a7e259f0-f667-4146-91c4-7dad2f4807fd","","not-started","","folder","TRUE","FALSE","Atkinson Ave"
"ca764839-27ce-46d6-be5a-89ac63c1d591","","not-started","","folder","TRUE","FALSE","Atkinson Ave","Princes st"
"8530ba4d-8be2-413e-8a12-9014c14bec10","","not-started","Atkinson Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Atkinson Ave","Princes st","ITP - Stormwater Drainage (Atkinson Ave)"
"6737e9cf-0118-4c19-8821-dcddfa39b233","","not-started","Atkinson Ave - ITP - Raised AC Table & Intersection","checklist","FALSE","FALSE","Atkinson Ave","Princes st","ITP - Raised AC Table & Intersection"
"2113e3da-569c-4a16-8ffc-2c10c7f393c1","","no-status-not-started","","folder","TRUE","FALSE","Atkinson Ave","Avenue rd"
"7c10d8d8-d86c-4d74-af49-07886c73f3fd","","no-status-not-started","","folder","TRUE","FALSE","Atkinson Ave","High st"
"0bd63131-d2a0-41c1-881c-d12c2cdd3f52","","work-in-progress","","folder","TRUE","FALSE","VRU 5"
"b301df81-a320-4ed0-8698-667172d31169","","pass","","folder","TRUE","FALSE","VRU 5","Sandspit Road"
"965e2aec-cad2-4bf3-97a7-e461a8f84092","","pass","Drainage Checklist","checklist","FALSE","FALSE","VRU 5","Sandspit Road","Drainage Checklist"
"d9157df3-555f-4e2e-a4eb-730e4cc9481f","","pass","ITP - Massey Road - Concrete Speedtable","checklist","FALSE","FALSE","VRU 5","Sandspit Road","Concrete Speedtable"
"2bb7bbdb-1526-40ce-8abf-1513d1444b6e","","pass","ITP - Mckenzie Road - Istands","checklist","FALSE","FALSE","VRU 5","Sandspit Road","Islands"
"21c62830-a31e-4f78-bdb0-9d43cabfd2c3","","pass","ITP - Massey Road - Enabling Works","checklist","FALSE","FALSE","VRU 5","Sandspit Road","Enabling Works"
"720dab0c-f710-4337-b0fe-6e798f6f5a3d","","pass","","folder","TRUE","FALSE","VRU 5","Tui Road"
"69802181-2c28-44d6-b4f5-c3081276a7f1","","pass","c1d74041f3e2ecb4f8fd2fd2ac389ff4d7295a11b2e17ed9ee42ce9e6f833758","checklist","FALSE","FALSE","VRU 5","Tui Road","Enabling Works - Footpath, Kerb and Channel"
"e4e30255-bb87-4f6b-9c03-34c8a833f2dd","","pass","Tui Rd - ITP - Storm Water Drainage","checklist","FALSE","FALSE","VRU 5","Tui Road","Storm Water Drainage"
"c7a4e29f-3c3c-40d3-a609-d6d43dea5ff2","","pass","Tui Rd - ITP - Raised Pedestrian Crossing","checklist","FALSE","FALSE","VRU 5","Tui Road","Raised Pedestrian Crossing"
"7d95583b-ac1d-4cf4-81a0-16bc2c897d7b","","pass","Tui Rd - ITP - Vulnerability Users Package 13","checklist","FALSE","FALSE","VRU 5","Tui Road","Traffic Islands"
"de4dbdd1-563e-4bd7-a814-623009a7f5fd","","pass","","folder","TRUE","FALSE","VRU 5","Sheehan Avenue"
"25430e34-760a-45c5-b2b5-ab95dc460941","","pass","Sheehan Ave - ITP - Enabling Works - Footpath, Kerb and Channel","checklist","FALSE","FALSE","VRU 5","Sheehan Avenue","Enabling Works - Footpath, Kerb and Channel"
"72210fdc-e0eb-4c2e-a923-696d7caa0a03","","pass","Sheehan Ave - ITP - Raised Speed Table","checklist","FALSE","FALSE","VRU 5","Sheehan Avenue","Raised Speed Table"
"de9ffa86-3da1-4d40-b226-a686cf79fd07","","pass","Sheehan Ave - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU 5","Sheehan Avenue","Traffic Islands"
"e6430bd5-b40f-4390-9646-78511107fd8f","","work-in-progress","","folder","TRUE","FALSE","VRU 5","Lincoln Road"
"41ae22ef-afcb-4c5e-9f2c-c05196d33047","","work-in-progress","Lincoln Rd - ITP - Enabling Works - Footpath, Kerb and Channel","checklist","FALSE","FALSE","VRU 5","Lincoln Road","Enabling Works - Footpath, Kerb and Channel"
"a2f755c5-3ebf-4eb8-8a3c-ec406673ce9e","","work-in-progress","Lincoln Rd - ITP - Raised Speed Table","checklist","FALSE","FALSE","VRU 5","Lincoln Road","Raised Speed Table"
"bc0e287e-45cb-4886-98cf-095165261170","","work-in-progress","Lincoln Rd - ITP - Stormwater Drainage","checklist","FALSE","FALSE","VRU 5","Lincoln Road","Stormwater Drainage"
"3e2d1b8e-528e-457c-b02a-6fcc65ea0596","","work-in-progress","Lincoln Rd - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU 5","Lincoln Road","Traffic Islands"
"e8c43c58-1287-40a6-be7b-c022084e265c","","work-in-progress","","folder","TRUE","FALSE","VRU 6 package"
"00565999-0c6e-415c-971b-7a64511c7467","","pass","","folder","TRUE","FALSE","VRU 6 package","Halsey/Maich RAB"
"340e9e3b-b491-41c8-b58c-8dba5160affb","","pass","Halsey/Maich RAB - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU 6 package","Halsey/Maich RAB","Enabling Works - Footpath, Kerb and channel"
"a52fe1a5-2984-421a-9ce0-59560adb5e4c","","pass","Halsey/Maich RAB - ITP - Stormwater Drainage","checklist","FALSE","FALSE","VRU 6 package","Halsey/Maich RAB","Stormwater Drainage"
"4b81661a-be5f-4cf0-b459-3282c80c3785","","pass","Halsey/Maich RAB - ITP - Concrete Speedtable","checklist","FALSE","FALSE","VRU 6 package","Halsey/Maich RAB","Concrete Speedtable"
"a1ef91cf-01ee-4b4c-b028-d551d02c226a","","pass","Halsey/Maich RAB - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU 6 package","Halsey/Maich RAB","Traffic Islands"
"52c48485-c1d4-409b-a4bb-b2921300602a","","pass","Halsey/Maich RAB - ITP - Pavement Construction","checklist","FALSE","FALSE","VRU 6 package","Halsey/Maich RAB","Pavement Construction"
"9b025f57-aafd-4874-aad1-8b5f68ffc2ff","","pass","Halsey/Maich RAB - ITP - Roundabout","checklist","FALSE","FALSE","VRU 6 package","Halsey/Maich RAB","Roundabout"
"d83b17e7-f0fa-435e-b485-96f1d56bbb7f","","work-in-progress","","folder","TRUE","FALSE","VRU 6 package","Ponsonby Speed table"
"838abe3d-8a43-4bd4-827b-726260962fd1","","pass","Ponsonby - ITP - Footpath Construction","checklist","FALSE","FALSE","VRU 6 package","Ponsonby Speed table","Footpath Construction"
"a3fba505-b25f-4141-b090-eecc54b965f6","","not-applicable","Ponsonby - ITP - Road Pavement","checklist","FALSE","FALSE","VRU 6 package","Ponsonby Speed table","Road Pavement"
"a54f5a98-2504-4b03-b2b9-98fc4ed4ad73","","work-in-progress","Ponsonby - ITP - Asphalt Surfacing","checklist","FALSE","FALSE","VRU 6 package","Ponsonby Speed table","Asphalt Surfacing"
"056c22b8-a0e1-43c7-8785-7eedb8a822e2","","not-applicable","Ponsonby - ITP - Stormwater Drainage","checklist","FALSE","FALSE","VRU 6 package","Ponsonby Speed table","Stormwater Drainage"
"ab9f2150-a866-42cb-98c9-9cfeaf7d8112","","not-applicable","Ponsonby - ITP - Earthworks and Retaining Wall","checklist","FALSE","FALSE","VRU 6 package","Ponsonby Speed table","Earthworks and Retaining Wall"
"1f918f42-f0c4-496f-8949-c1842a918473","","work-in-progress","Ponsonby - ITP - Kerbs & Channel","checklist","FALSE","FALSE","VRU 6 package","Ponsonby Speed table","Kerbs & Channel"
"59e9ac42-1aa3-478e-9260-2948b7a91aa9","","not-started","Ponsonby - ITP - Ducting and Streetlight Installation","checklist","FALSE","FALSE","VRU 6 package","Ponsonby Speed table","Ducting and Streetlight Installation"
"488fcd52-b3af-4a74-9756-0b6136a76003","","not-started","","folder","TRUE","FALSE","Richardson Road, Mount Roskill"
"3a9e6654-9129-4cbf-b0ce-7742d8bcecc4","","not-started","Richardson Road, Mount Roskill - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Richardson Road, Mount Roskill","ITP - Enabling Works - Footpath, Kerb and channel"
"a001f71e-0601-400d-b47b-c6b30d9890a4","","not-started","Richardson Road, Mount Roskill - ITP - Raised Pedestrian Crossing","checklist","FALSE","FALSE","Richardson Road, Mount Roskill","ITP - Raised Pedestrian Crossing"
"81be9867-0fec-4678-b6a1-9298919e5008","","not-started","Richardson Road, Mount Roskill - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Richardson Road, Mount Roskill","ITP - Stormwater Drainage"
"9e2627a7-b117-4004-b169-c87e2a7be8e2","","not-started","Richardson Road, Mount Roskill - ITP - Traffic Islands","checklist","FALSE","FALSE","Richardson Road, Mount Roskill","ITP - Traffic Islands"
"c856a19e-3bf1-427d-9b41-0d0762e6a352","","pass","","folder","TRUE","FALSE","Aspiring Avenue/Thomas Road Intersection"
"c5369247-67c2-4b97-84b7-cfc7c8504bd9","","pass","Aspiring Avenue/Thomas Road Intersection - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Aspiring Avenue/Thomas Road Intersection","ITP - Enabling Works - Footpath, Kerb and channel"
"bf916de5-bbce-4ea9-8578-9f80e856053a","","pass","Aspiring Avenue/Thomas Road Intersection - ITP - Pavement Construction","checklist","FALSE","FALSE","Aspiring Avenue/Thomas Road Intersection","ITP - Pavement Construction"
"10fde77d-6134-4ece-8647-c4efc5e307dc","","pass","Aspiring Avenue/Thomas Road Intersection - ITP - Roundabout","checklist","FALSE","FALSE","Aspiring Avenue/Thomas Road Intersection","ITP - Roundabout"
"ea747490-50d2-4b16-88a8-0e29d3c4f265","","pass","Aspiring Avenue/Thomas Road Intersection - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Aspiring Avenue/Thomas Road Intersection","ITP - Stormwater Drainage"
"2c9881b1-b77a-467f-b9fc-5e5cc4ff9e64","","pass","Aspiring Avenue/Thomas Road Intersection - ITP - Traffic Islands","checklist","FALSE","FALSE","Aspiring Avenue/Thomas Road Intersection","ITP - Traffic Islands"
"e12bb250-306d-4b84-bd68-ccf216e79d23","","work-in-progress","","folder","TRUE","FALSE","Devonport Town Centre"
"08a98184-a179-4ed5-962b-6bb1ccf94398","","work-in-progress","","folder","TRUE","FALSE","Devonport Town Centre","Victoria Road (Site 1)"
"4f299001-370d-4a75-824f-0dd43e772fbb","","pass","Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Road (Site 1)","ITP - Enabling Works - Footpath, Kerb and channel"
"0c81f02c-2ada-4758-8221-9dea3c8b152a","","not-started","Devonport Town Centre - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Road (Site 1)","ITP - Stormwater Drainage"
"3335bbb9-07db-4cbe-8226-8f79b1f5776a","","not-started","Devonport Town Centre - ITP - Raised Table","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Road (Site 1)","ITP - Raised Table"
"4dfc3bdb-53e7-410c-b1b0-64f96fa4e1e9","","not-started","Devonport Town Centre - ITP - Ducting","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Road (Site 1)","ITP - Ducting"
"8a19030a-fecd-46f3-a91a-fd1481fdfdfe","","not-started","Devonport Town Centre - ITP - Traffic Islands","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Road (Site 1)","ITP - Traffic Islands"
"8a98615f-da1e-47dd-b19f-7f40ed422799","","not-started","Devonport Town Centre - ITP - Construction Works - Signage & E-Signage","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Road (Site 1)","ITP - Construction Works - Signage & E-Signage"
"abec79c4-3ec2-495c-8203-43b84f3f2326","","work-in-progress","","folder","TRUE","FALSE","Devonport Town Centre","Calliope St (Site 2)"
"fff97f1e-3757-4d24-80b5-81794caed8f5","","work-in-progress","Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Devonport Town Centre","Calliope St (Site 2)","ITP - Enabling Works - Footpath, Kerb and channel"
"68633c14-ad25-48c8-81df-746dd15b2fea","","not-started","Devonport Town Centre - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Devonport Town Centre","Calliope St (Site 2)","ITP - Stormwater Drainage"
"f7010bf9-3111-4726-9de5-6461e9f8e304","","work-in-progress","Devonport Town Centre - ITP - Raised Table","checklist","FALSE","FALSE","Devonport Town Centre","Calliope St (Site 2)","ITP - Raised Table"
"0ec38541-ddf8-41c4-a597-e11e59ecc880","","not-started","Devonport Town Centre - ITP - Ducting","checklist","FALSE","FALSE","Devonport Town Centre","Calliope St (Site 2)","ITP - Ducting"
"fc537f2e-01b7-4939-a9fe-bfc1b0a3aa64","","not-started","Devonport Town Centre - ITP - Traffic Islands","checklist","FALSE","FALSE","Devonport Town Centre","Calliope St (Site 2)","ITP - Traffic Islands"
"c2c4d4ba-449e-400e-a9a1-45895f50c2ae","","not-started","Devonport Town Centre - ITP - Construction Works - Signage & E-Signage","checklist","FALSE","FALSE","Devonport Town Centre","Calliope St (Site 2)","ITP - Construction Works - Signage & E-Signage"
"fc563330-8fc1-4257-a2d3-802728112eb0","","work-in-progress","","folder","TRUE","FALSE","Devonport Town Centre","Kerr St Big (Site 3)"
"3fd84634-c72f-48b2-bfc9-4d5f2286e816","","work-in-progress","Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Big (Site 3)","ITP - Enabling Works - Footpath, Kerb and channel"
"51b182ab-167d-40b4-bc7f-db34cb2ffa10","","work-in-progress","Devonport Town Centre - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Big (Site 3)","ITP - Stormwater Drainage"
"42a9e788-0eeb-4436-b427-69929d46c752","","work-in-progress","Devonport Town Centre - ITP - Raised Table","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Big (Site 3)","ITP - Raised Table"
"b95bf96d-635d-4fa9-9b8f-efbb52e7c64f","","work-in-progress","Devonport Town Centre - ITP - Ducting","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Big (Site 3)","ITP - Ducting"
"b48de2a7-9dd9-4f00-a20a-e809ff2fb16d","","not-started","Devonport Town Centre - ITP - Traffic Islands","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Big (Site 3)","ITP - Traffic Islands"
"8da565e7-f867-4b03-9357-9ea47054a3ba","","not-started","Devonport Town Centre - ITP - Construction Works - Signage & E-Signage","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Big (Site 3)","ITP - Construction Works - Signage & E-Signage"
