"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"30263c2d-ebb1-4f75-adfe-35e104c76ce5","","folder-normal","","","step","TRUE","FALSE","Walloon"
"dc2a016d-bd14-4370-b87f-05aa952e60cf","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","13"
"4d5a36ca-2d0b-4d6b-adb5-ab8cc1964f3b","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","14"
"938261ee-6313-4da1-ae1c-acffe3453015","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","15"
"145fae79-77e4-464d-812c-0a843574b923","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","16"
"fbac9e9b-222e-4b43-8de7-f94652b1a0cd","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","17"
"26333603-8d33-4735-8097-c494d19184d0","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","18"
"d47e6aa6-f423-44c7-b244-690d3d524415","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","19"
"44f8005f-7931-4f61-bb3e-c8aa768d030c","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","20"
"199a7c42-62a8-4bde-94a5-3d67027170ed","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","21"
"ad6385e6-d07c-4f0c-b4fb-ae9a00742acc","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","101"
"a58f569c-e682-4b6b-8b27-4175920edcc5","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","102"
"b483c872-1c1b-4aa1-895e-f61b648af928","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","103"
"855bf0ae-a547-4b46-a0fb-41b4b57bb9f0","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","104"
"f1199e55-2170-4dc1-9754-73bf177dbc7a","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","105"
"cfe881d2-0928-4819-9e59-1517c1caee5f","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","106"
"78686212-ba25-4b2a-9d69-d0dc519ff631","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","107"
"feb5564a-f386-49f0-ae2d-e73bf4798a45","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","108"
"994b5077-7aeb-4e5c-8224-9c146c05426f","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","109"
"f03d607f-9313-4b8f-b35c-c51492d46e01","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","110"
"c054f451-f479-4cd6-bb35-74cb4c43afb3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","111"
"2ebb774a-00de-49d4-8962-b843f15e1e1d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","112"
"a3fb5517-3ab1-46d5-875a-0b980c7f0c5a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","113"
"fb9fe6fd-5143-42ea-a27e-440f30054f43","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","114"
"6f4639f1-280e-4761-9aea-1b2d7d8ee150","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","115"
"4118337b-8bc1-4e6c-9941-b607743787f9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","116"
"d62bee66-279b-4465-a902-f393744eae9d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","117"
"e3c592f4-1987-4023-b5ec-4bf881d539e9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","118"
"43b9bc15-a40e-4893-a8d8-68e4e873e910","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","119"
"5dce2f60-4874-4c51-99bf-057c6bc6d1e9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","120"
"5863d4f1-c01e-4236-b36a-4ef8fdcfc09e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","121"
"8c4de4f7-b47e-4fa3-86a5-91e09dae7ba5","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","122"
"7f5637f7-1838-48db-8da7-57b220fce511","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","123"
"ad4ccb8f-dc8f-43a4-a85d-e406745b5aab","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","124"
"a25f0e6e-449e-44c9-a2d9-3bf1967f8328","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","125"
"ba278e86-369d-4486-bb03-42444d307ac0","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","126"
"d9f33aeb-d9f9-4553-a844-f5467033cc4f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","127"
"f730c107-9029-48db-ab93-831b64a5c063","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","128"
"018c9f4b-1f60-4e99-a699-133b1fd886b9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","129"
"c1b29dab-e562-47f4-86c7-06b60e0112a6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","130"
"663ed16b-1043-4ef6-88f7-6898f1739dbc","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","132"
"83832aaf-3e6c-4e3b-ba62-8191e41f7b3c","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","133"
"43232148-6833-4524-8a5f-37ca46082743","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","LID"
"e380724f-e1ac-4700-870e-a207c0c9ec72","","folder-normal","","","step","TRUE","FALSE","Rosewood"
"527dc27c-edb2-41cb-92e6-a363abc018a0","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","1"
"6679503b-877f-49b0-bdfe-2b5b8342c6c7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","2"
"ef86b067-3f4d-4d09-9400-417908512c3b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","3"
"716758df-e5e1-4c73-bef5-c1f7b5e5c62a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","4"
"0f32b841-0a82-4f17-8f29-ef2557b572ed","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","5"
"a974ba07-c6e7-4288-8f07-3034803a5242","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","6"
"842465fd-4762-4802-abf7-5e2cfa890d58","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","7"
"3a7793b6-f2b0-4b00-8d37-5bdfda29b642","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","8"
"ea4e1f56-ad4b-4ec3-a184-cf8beadedd8e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","9"
"f8baa14b-39bb-4e51-809f-190415f3f0e7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","10"
"39b774c4-8243-4142-a143-89d3b1d50e68","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","11"
"45e0a166-9aab-4bfe-b944-ecdb8c267383","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","12"
"ed423fe3-91a6-49b2-9eff-93626165a669","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","13"
"c1b1fdde-d819-42b5-b04c-d9d4af512aa7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","14"
"31a71971-2c91-4198-b99a-cba30963d3fc","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","15"
"5534b703-e002-4453-924d-5b7d5b2f5e44","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","16"
"7718b486-68e0-4675-aa8c-f58721b14eaa","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","17"
"c2566adc-186a-4b19-9cf2-10eb568add05","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","18"
"c9afd2d4-b7b6-45a4-9d6e-63c652a56242","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","19"
"0b16aef8-72fd-467f-9fab-4a6ad9227e5d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","20"
"77bff6d8-fdc7-4122-9971-5b97b5eb0a92","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","21"
"e0e99721-d848-4696-8966-08243738844d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","22"
"871c0927-0685-47e0-a05f-d352e9148b48","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","23"
"464b050b-e565-454b-94c1-d10c757500f7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","24"
"28589b25-b973-4d27-ada7-d386d9f677c3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","101"
"ede50ea5-432c-4d8b-8354-7e7d1481d02c","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","102"
"82dfda18-a12a-4f25-beb5-16225c21fa35","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","103"
"14238919-f64f-4659-aba2-842435ab9b9b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","104"
"4d72d40c-e8b3-44bd-a1fa-29dabb9baaf4","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","105"
"5f892e2a-5f55-47ac-977c-3e16f4f1d655","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","106"
"117829d0-2bd1-4600-a848-5fd3206afb38","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","107"
"68eba371-dddf-4942-b57d-33ba59d0130b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","108"
"528fa19d-7987-4c6b-afb9-208ac3cb542b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","109"
"d6ae7688-c854-4fd4-9861-eb41542dc125","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","110"
"e0e47bbc-982e-4c13-ad53-e23f3b23046b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","111"
"a0d027cd-c1f3-4310-9d0d-e2276bea7406","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","112"
"bda426fe-89f0-4e42-8f20-dd54849c7d43","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","113"
"5752bee5-fc37-4327-8270-b11aa13f2b36","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","114"
"d3f1dc43-1740-4237-ab81-0466942c5300","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","115"
"5272083d-594b-4d94-bdfa-0f39ca46c115","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","116"
"2e31d43d-fda3-4f7a-8cee-34f44576e973","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","117"
"ba294693-f66c-4e84-89f3-d02ffa7e71cc","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","118"
"d4c0e93f-5072-4ff3-90d2-e760e2815538","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","119"
"4ee2f3dd-44bc-4d02-9d37-183489c54854","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","120"
"c8d671f1-05d0-42ef-ac7d-b921a441297d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","121"
"675cae24-409a-4444-915c-5b5070d35ed4","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","122"
"c5d6601c-7dcf-43a4-8e49-340c48b959fe","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","123"
"203fd70b-57ec-4dc0-a174-109b14497ff6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","124"
"7b7999f3-4ca9-463f-ad01-6b993a4040f0","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","125"
"11dbecd8-6aeb-4616-90fa-244f756564bd","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","126"
"4d74b38c-2e68-462c-b7ed-6b1dcdd2d444","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","127"
"a075dec8-70c3-476a-b235-fbf3b7d8692d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","128"
"49104004-77ce-41be-b29d-2f679d426c24","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","129"
"36a7ad72-9830-4afe-a8e2-7c68120633b2","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","130"
"15603794-e129-462a-a240-ae7f5a5d5813","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","131"
"23e3bce6-6d2f-4908-bdf4-65d89d79a20a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","132"
"dc7e427e-d82e-47e4-a3e0-968da8ccd21b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","133"
"8f412890-db58-4726-ac82-d845e2f64e66","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","134"
"c3c91dcd-a49a-46b8-99cb-9ee643c4b46b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","135"
"3998a6fb-8009-4e80-9a5c-d5b6f78d8150","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","136"
"2a09cc45-b6f3-49c7-bcf4-7f15d8bb9650","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","137"
"51f7de72-3bb3-4962-9b99-71768b7eb228","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","138"
"33960e19-1a8b-4828-9243-970aa1baaffb","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","139"
"67917f0c-1b9a-406a-8d42-e83a48ec50a9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","140"
"cda608cc-d0c9-41c9-b19b-9d1af395b6c6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","141"
"5b7b64bc-efbb-407d-882e-907effdd98f6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Rosewood","LID"
