"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0b0af740-cf58-4a22-b083-367881588de9","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Tom Woodyard"
"ee709ecd-cc6f-4eaf-b810-caebf9a09d8e","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Tom Waller"
"60d77492-e5d7-43e7-9d4f-e75d826b2dcd","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Wayne"
"beb47565-69e2-4d1f-941e-d8dc02a8dbbc","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Wormy"
"cea86c33-2da4-45c9-9007-35531ae2d6a6","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Zac"
"e98a5e4c-7e37-488d-9dee-23dd25ea6a87","","folder-normal","work-in-progress","","step","TRUE","FALSE","Timesheets","5th Jan - 11th Jan"
"8059afd9-a6a7-4b75-9ae8-7e05462c8b6e","","checklist-flat","work-in-progress","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Dave S"
"1929130e-253d-4e30-8295-35b41038123f","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Ben"
"fecaab6f-1d90-4af3-b9a6-9e1f81f72377","","checklist-flat","work-in-progress","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Joe"
"daae0552-a563-406e-8306-888958d696ae","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Billy J"
"00d0e4c4-41be-4c8a-bd4c-58c041d42cb4","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Barlow"
