"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"249d4d0e-d319-49f1-b005-31efffe9258c","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"96071ec2-8b54-4053-aed3-15f368f902ef","","work-in-progress","","folder","TRUE","FALSE","Site QA","ULG01 - UG04"
"02b3852c-c9d3-4ab5-941c-1b407592e299","","not-started","","folder","TRUE","FALSE","Site QA","U205 - U306"
"d8627d5a-5033-4865-873c-3824315ce04d","","not-started","Floor Plan","checklist","FALSE","FALSE","Site QA","U205 - U306","Floor Plan"
"d7ec274c-f175-4574-a732-3f361c67344b","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U205 - U306","U205"
"bb392bfb-9cc8-471f-9017-69f97e24a77c","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U205 - U306","U206"
"650b9392-7565-4934-ba5b-99d7f5f112c0","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U205 - U306","U207"
"e474e5d6-fdf6-4b96-8714-c060b95da4fe","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U205 - U306","U208"
"7b5e5f4a-73f4-429d-992e-29489701d9df","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U205 - U306","U301"
"20b1e13a-e220-4cbc-8fe3-6db150077bf2","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U205 - U306","U302"
"a2c934f8-2e2c-4444-a704-50666f883ec5","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U205 - U306","U303"
"39d02172-32a6-4a36-abf1-26073eaceb85","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U205 - U306","U304"
"3577171a-8b08-4b2e-a5a4-d7366dc3ccc0","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U205 - U306","U305"
"6a80f3df-17fb-494a-80a3-117a56648b3e","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U205 - U306","U306"
"159e4a65-8d8c-41ba-8518-7dd9906dd90f","","not-started","","folder","TRUE","FALSE","Site QA","U307 - 5FDINING"
"f22ad449-fca5-4c25-9eb4-da4f39d6eed0","","not-started","Floor Plan","checklist","FALSE","FALSE","Site QA","U307 - 5FDINING","Floor Plan"
"a8e40e26-d91e-4009-bcd2-a79482967612","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U307 - 5FDINING","U307"
"1a75534a-60da-40b8-a381-9ae465f9ac17","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U307 - 5FDINING","U401"
"4da33f86-7587-43b4-9bb6-9e71438f600d","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U307 - 5FDINING","U402"
"c3211b3c-570b-4658-9ece-cb6d75c31ed2","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U307 - 5FDINING","U403"
"42a68b6c-6ac6-4fc0-932e-8a59b32b3a06","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U307 - 5FDINING","UG05"
"3fa3f054-5db9-486c-9de2-af6b1d1dc612","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U307 - 5FDINING","ULG"
"c6b0c70b-2b3e-4e69-a9ee-a6f98317319f","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U307 - 5FDINING","GF"
"6856a761-87fd-466c-bc93-d35e5edcc54d","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U307 - 5FDINING","5FGYM"
"a16230b7-6a50-452d-8786-4db538f0582b","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U307 - 5FDINING","5FDINING"
