"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"16a2782d-ee4f-4d33-b468-deb50ecda756","","folder-normal","work-in-progress","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks"
"52d14ed4-c8e8-4b1e-b7a7-0b54fa29eeeb","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-011 - K5401A/B (incl. Lube Oil, Water Console)"
"ac37171f-3abc-4d7f-8119-72fb9ea86ea6","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-012 - PAU-04"
"9fb7eeb3-ef0e-48e5-b81d-24e223c1f56e","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-013 - R5402 & R5404"
"a97cb7e0-4114-4bf2-b5e0-755134cd1939","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Reconstruction"
"bd7cb280-ffac-4311-b504-aa0124e71562","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-005 Kerb and Channel"
"62f72e59-12d4-48ba-bbf0-681aa8eade61","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-006 Asphalt"
"2ead1ad8-584a-4674-9099-f088f9ea469a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-007 Linemarking"
"deda5346-3509-4829-ae32-f7c8573e4797","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-011 Electrical Pit and Conduit Installation"
"63bc9228-1fc6-4077-8687-77907cad88b2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-012 Subsurface Drainage"
"73201ea5-aea2-4dd4-9673-5620a87d80f9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-017 Stormwater Drainage (AOC and COC Lines)"
"9b9fc343-fa9e-4ab4-94de-56f4d3f57cb8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-020 Pavement Capping Layer"
"87f617ab-4cd0-4c47-abbb-b145a22ace1e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-021 Concrete Pavement Constructions"
"1845e6e1-9b08-4629-8c14-98bb62eff7e4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-027 Excavation, Laying, Backfilling Box Culverts and Headwalls"
"27670c8e-cc13-4b01-8196-0fee634f5ffc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-030 Unbound Flexible Pavement"
"0833bec1-8f30-4e95-af1c-b828633f9280","","folder-normal","work-in-progress","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings"
"8c1e6c48-9989-4342-a86c-11eb268aa30c","","checklist-sectioned","pass","25960f1a4311bab4cfababbdb7d24b5b3e88ee3a750b018ac57daa7fb7977e73","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","Blinding 21 Nov - R5401, PAU01 S, PAU02 N, C5401, C5404, C5402, Substation, CWT"
"0b0e96b5-e833-42df-9a29-c121adbc95f7","","checklist-sectioned","pass","367c10e24947ea2803488a11f426ce13fae9e7b81e06cdc7e07dd08849c1d0f4","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","Blinding 07 Dec - PAU02 S, PAU03, R5403, R5402, PAR01 E, PAR02"
"35c2ee62-c48d-4cb9-9ed5-8448ed7b61f2","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","Blinding 20 Dec - K5401A, K5401B, Water Console"
"ea377b33-ada0-4658-8a22-68c0e2494feb","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-004 - Cooling Water Tower Pile Cap"
"5e07385d-6bbd-48dd-96e7-ae1a45a3e1f6","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-005 - R5401/C5401 Pile Cap"
"aa5cdc4a-7c1c-4385-9e0e-8c2a00ba56c4","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-007 - PAU01 Pile Cap - Excluding F1 (B1) & F1A (A1)"
"64148f6c-4363-4c28-aaf0-c45ecfd58045","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-006 - C5402/C5404 Pile Caps"
"8f698c71-6a22-48c8-b70b-028a54a8e8df","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-008 - PAU02 Grid line B Pile Cap - Excluding F1(B1)"
"3aa557e9-474f-4117-addb-6b8657449d92","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-009 - PAR01 2A & 2B Pile Cap"
"1310c043-f846-4304-b0b6-5d67318b6f83","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-010 - PAR02 Pile Cap"
"ab729075-081d-4c48-b555-024ca0e58232","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-011 - BP01/02"
"e02fb7da-1ee3-48ed-9d29-73b46a4a5c3f","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-012 - 101-MH-001, 101-MH-002"
"9e6e8724-b8dc-45c0-860a-af066613e858","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-013 - 101-CB-005, 101-CB-006"
"19ee5a98-30cc-4297-829e-44c799b382f7","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-014 - CWT Stair Case Pile Caps"
"d3d86e9b-d274-47a8-b631-fd4a0536c977","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-015 - PAU02 Pile Cap GL A - Excluding F1A (A1)"
"505fb58a-b5ea-4683-bdec-499e6ad48442","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-016 - PAU03 Pile Cap GL B"
"04dc5819-9fdf-42d0-ba2a-5d17bc99d123","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-017 - K5401A Base Slab"
"1316b0e2-c479-437a-9323-145f8c29e1ce","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-018 - K5401B Base Slab"
"e885a3a8-fae5-4857-a3af-bf466ca44bdf","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-019 - PAU01 Pile Cap - F1 (B1) & F1A (A1)"
"efa225ba-2814-4f75-a705-4ca2732bc522","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-020 - PAU02 Pile Cap - F1 (B1) & F1A (A1)"
"e5bf8e08-9974-41da-8e42-9571e562d81e","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-021 - C5402/C5404 Tie Beam "
"774f4138-174a-45c4-b723-ceaf24b87162","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-022 - PAR01 2A & 2B PED1A"
"93f38ac8-311e-4319-b91a-919bc227cc7b","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-023 - PAR02 1A & 1B PED1A"
"1c71dd7a-113d-4d3e-b7d5-f364975eb98e","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-024 - R5402 / R5403 Foundation"
"41b9d250-eb67-47a4-bccc-f258c2602dea","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-025 - PAU-03 F1A Foundation"
"6c5ddb66-dd67-4581-840d-ac36ec53fdb3","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-026 - PAR-02 PED2"
"adfb2726-9652-4034-bc4d-03f6d7cc5d58","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-027 - Cooling Tower Basin Walls"
"37849772-942d-4d46-b796-15081a484836","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-028 - POC54 - Base"
"1c7d36a2-0664-4731-b7b8-84e86ef408fd","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings","VIVA-FRP-031-029 - Substation F1 Footings"
"11107674-27df-4102-b1ca-16c2839f626e","","folder-normal","work-in-progress","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-032 GRE Installation"
"cd177760-f86d-4565-9338-725264ac529e","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-032 GRE Installation Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-032 GRE Installation","VIVA-GRE-032-001 - Western External"
"41a5288b-8566-4c47-8006-9c292d914b44","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-032 GRE Installation Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-032 GRE Installation","VIVA-GRE-032-002 - Northern Brownfields Run"
"c97d67bb-916b-4ece-ab46-4eb1b93cfb61","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-032 GRE Installation Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-032 GRE Installation","VIVA-GRE-032-003 - West/South Internal"
"a60addcb-1e25-4dc9-b344-4d812eb6f26e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-033 HDPE Installation"
"bcfa88ef-37ea-440e-9eb8-523e0c9d4c2f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-034 Carbon Steel Installation"
"25820584-bb3d-47d1-a93d-de84a906a66f","","folder-normal","work-in-progress","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-035 Concrete Pile Cropping"
"931b9bcc-1617-4f15-8a59-316ffc078e34","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-035 Concrete Pile Cropping Rev A","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-035 Concrete Pile Cropping","INF-HSEQ CC0398-ITP Concrete Pile Cropping Rev A"
"3f604197-14ee-4b43-a10a-5986bebba2c3","","folder-normal","not-started","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-035 Concrete Pile Cropping","INF-HSEQ CC0398-ITP Concrete Pile Cropping Rev A (Lot 002)"
"eb9aa3b0-f969-4be9-b275-5fa69d63bd3a","","checklist-sectioned","not-started","INF-HSEQ CC0398-ITP-035 Concrete Pile Cropping Rev A","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-035 Concrete Pile Cropping","INF-HSEQ CC0398-ITP Concrete Pile Cropping Rev A (Lot 002)","INF-HSEQ CC0398-ITP Concrete Pile Cropping Rev A"
"735572b0-2e18-4f8f-bd3e-045badbb3764","","checklist-sectioned","not-started","INF-HSEQ CC0398-ITP-035 Concrete Pile Cropping Rev A","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-035 Concrete Pile Cropping","003"
"7a58f89a-957f-4f46-9a8c-31a4fe184b3d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Demo / Test"
"e3b104c3-1151-4e00-9aaf-1d8086d3ec1d","","checklist-flat","pass","[Rename] Document Upload Checklist","checklist-flat","FALSE","FALSE","Demo / Test","Lot Map X - Y"
"4deb6d31-628b-4de7-8150-14c9afd74bb7","","checklist-sectioned","not-started","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","Demo / Test","SYM-MREH-099-"
