"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6d8016be-169b-4248-b00e-7c7d20b7dc0e","","folder-normal","work-in-progress","","step","TRUE","FALSE","ITP 006 - In-Situ Pit Construction"
"bebc37f0-8481-465c-8eab-66058b5a597c","","checklist-sectioned","pass","95cb048885266090abdcbcf6a21b7711add3403dd57523c594ca19ab4b5a94cc","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-018 - EP135"
"f53808f4-1091-449a-9b12-528466f4e59a","","checklist-sectioned","pass","8b1f15079dd478b9448a08fd31c2688a0fe03ded0b5039c42f67026600593c94","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-019 - EP044"
"5ee69322-a8e6-494d-8ff2-5e1f5098b51d","Child Zulu-06-020 - CP011(7354bdd8-279d-412b-a1ed-d06f583c4553): Unknown tags: itp","checklist-sectioned","pass","231d2af86d84a6f224ef7be309c06756949055707aa881ba7b90141531e234b0","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-020 - CP011"
"615cce0e-1786-415f-bc60-2e1eae2fce16","Child Zulu-06-021 - EP090(a2ef117c-55d7-45dc-aee5-64b3056dc398): Unknown tags: itp","checklist-sectioned","pass","81e494aa44ef2149fe47d171471113517f60b45087f2d4f32c3a77a6ffd69f1b","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-021 - EP090"
"3e672fb1-a11b-4e33-a9da-86d21c1d4cd5","Child Zulu-06-022 - EP091(501b6a4a-dc32-405f-a34d-4772d0a51b1d): Unknown tags: itp","checklist-sectioned","pass","c4a68acb4a2eb5536f8f2ca63b426b5f5b6c366f68453762962cb42a9babc334","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-022 - EP091"
"e65173c9-ab8c-4ae9-979f-9b6c06b89070","Child Zulu-06-023 - CP027(702d7b5c-e486-4247-93ae-c6f6b26d5b98): Unknown tags: itp","checklist-sectioned","pass","8982a477de7bee137202d0b1b309c129aabb68610fd39c0657b9258c5f5cdc9b","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-023 - CP027"
"d9bd133f-2bd0-4cc6-97bf-a00b146a5f56","Child Zulu-06-024 - EP042(4328cffd-6af5-40d0-860e-765b3038e1b0): Unknown tags: itp","checklist-sectioned","pass","3dc790a7906f858cde528741ac56ec07e197fac753365b4e8ddac935a70b1e3d","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-024 - EP042"
"92501f13-c003-4c9c-b693-3d708e55a67f","Child Zulu-06-025 - EP040(675e40c9-09ec-4ecb-86a3-0a7274c13651): Unknown tags: itp","checklist-sectioned","pass","149f4c8b42df41af82b45cee024a89e101652b9e6be35f4f531ab3cb39a6c8b3","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-025 - EP040"
"9a5c863b-f4a3-43c6-859c-ec1d87a487a0","Child Zulu-06-026 - EP093(c7593f6e-4daa-49bd-8dc4-b81731dac881): Unknown tags: itp","checklist-sectioned","pass","617607c7e37f1fa8152a57b29b7be79c6dfb13088f4f76f797e2da2924bb15d1","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-026 - EP093"
"6e92b975-28c6-4ed4-bff4-99d3db8a857c","Child Zulu-06-027 - EP094(a0d471f6-ada2-4425-8c50-7ac35241069b): Unknown tags: itp","checklist-sectioned","pass","ffc1fe000916230daf82b614a8d3374bdeb055083af91dc4de0d46fef8853c22","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-027 - EP094"
"e15b09d9-2b38-467a-b0ca-bc580ec7bf55","Child Zulu-06-028 - EP138(ba77c7df-1cde-4335-b1db-e73500a12371): Unknown tags: itp","checklist-sectioned","pass","c63b0a1a0934944dfded31e116001c0340e324e36fc241004d495c06f94e2230","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-028 - EP138"
"4cbc1bb0-4560-4f07-ad52-b605a34aebf0","Child Zulu-06-029 - EP037A(df50fa57-8957-4e15-9d38-0a757385372c): Unknown tags: itp","checklist-sectioned","pass","b731a3a04d39bb45e2a568c30519f30e8209b623c374198c10e1b8d0d1c6b5d3","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-029 - EP037A"
"b43153ab-6205-4fb3-a301-07567282afe2","Child Zulu-06-030 - EP037(cb79d5c9-a10d-47e6-975c-185d1b5be427): Unknown tags: itp","checklist-sectioned","pass","b9b3afa2225a6b55a9a528babe3d154e2c20b7ddc6d95ec2b4e0105239827157","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-030 - EP037"
"28c9f714-3d67-4fbd-a64d-099f72e1516b","Child Zulu-06-031 - EP036(be0fb85c-a155-4e18-a6c3-b5baad4e9259): Unknown tags: itp","checklist-sectioned","pass","9bc703c8d4422d1aab12016819571f4286c240ab1b476737062abe1f7a6dbe19","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-031 - EP036"
"016d58c0-8b6c-485a-9acc-ed6e83687902","Child Zulu-06-032 - EP035(abc541d3-a628-4dd0-a050-f93174f03ad0): Unknown tags: itp","checklist-sectioned","pass","08b31e5e73ed15bbc6bd7ba4d3de020dca9228a13952aed90886608ee42d6cde","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-032 - EP035"
"ec3f16c4-5280-4bdc-a2e0-431218483c66","Child Zulu-06-033 - PR1.11(5cf5ff88-b9fc-411d-a98e-bd069eff473a): Unknown tags: itp","checklist-sectioned","pass","cebe78e06eb918ac1400c0f2b24fafafd630a1deb5d959e5cef1f3451d4cd4e7","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-033 - PR1.11"
"a328049b-6612-4ff1-8841-a09f8af7580b","Child Zulu-06-034 - PR1.10(a8c1cc33-e4e0-47f0-98b4-094ebc75a3b1): Unknown tags: itp","checklist-sectioned","pass","75d18b0f465127e7333511f73a5e0762e039a6952f7de872e0b637839a2fc8f6","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-034 - PR1.10"
"d38b8967-7cd2-49ea-b62e-eb3646a0f65f","Child Zulu-06-035 - EP139(5ee1089d-90bc-47cf-9cc3-f42fb6556bdc): Unknown tags: itp","checklist-sectioned","pass","25c261d688fc80761fbb60fe5828a87c0ec34e54ebfd6390a896560deb1c6a76","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-035 - EP139"
"44a1e2b8-751d-4b5b-a6cf-7fdd65aa16c4","Child Zulu-06-036 - WP3(1fff67c4-fe06-4c2a-af4c-715b3a847cf3): Unknown tags: itp","checklist-sectioned","pass","a291f30dc4e06d71ff30038959c4addd1b24f2fed77380c9ca14adf074b6d412","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-036 - WP3"
"47d5f0bf-92ca-4b3d-bb14-25a734146d53","Child Zulu-06-037 - WP1(f71d5ca6-28bd-4718-8a1f-8743a52c5cae): Unknown tags: itp","checklist-sectioned","pass","e6e8c6d737189216fa02799791a966d35f173638bf9d66f10853dbf834c61777","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-037 - WP1"
"61f1116e-5e05-4f2c-9d64-b08b0f39c21c","Child Zulu-06-038 - WP2(0f38bb12-2f3d-4b49-8ca1-28ff1a4b153d): Unknown tags: itp","checklist-sectioned","pass","f97bf9d4999d985064fd1147f4d68cb0f77ea1549eefd0debde934a8a1f6d50c","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-038 - WP2"
"c64d95e0-808c-49bb-83cf-2a8ffb30b1ea","Child Zulu-06-039 - PR1.6(c18d6597-0462-44af-91a7-8d20788436a6): Unknown tags: itp","checklist-sectioned","pass","55aed6021345dc966f3958e16374d6a0f603f7300b74ba990f18cb401118ab86","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-039 - PR1.6"
"7f720052-02a3-4551-8d2d-0edd3e6dbd41","Child ZULU-06-040 - EP050(cb5fff4b-c637-424b-b062-f367a59dfc52): Unknown tags: itp","checklist-sectioned","pass","b1c8c416620a5c2708e22075eb91bd5443f0fe78d891a41143324a12814f6097","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-040 - EP050"
"7b5c235b-1c0e-429b-aa10-8e847041e250","Child ZULU-06-041 - EP051(586d8bc5-61a6-4ed3-84f6-c04ebb7dcbe6): Unknown tags: itp","checklist-sectioned","pass","cb7a883da2404e235b9c2f7078c3365d4358293b9cc81bdee2e484c930548aee","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-041 - EP051"
"e12ed2f5-89a0-40b2-b1d6-300eaa7836fe","Child ZULU-06-042 - EP052(f714372b-4b7d-44fd-b257-91ac98a7c6ea): Unknown tags: itp","checklist-sectioned","pass","b2b575ac4c8219d0d2f6abbb33dce964584fd984d1ee3bf4eca26cbe46a50294","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-042 - EP052"
"ff4525cf-d1e0-45a4-bb91-4a7bdca05710","Child ZULU-06-043 - CP013(d98abf9e-0d7e-49e5-9e0b-a7fe1e6065ce): Unknown tags: itp","checklist-sectioned","pass","0059227644c180486e9738fbaa64ac694445dd3f7407ed8aa022cb7b99393488","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-043 - CP013"
"0ca5e261-482b-41a5-941c-0c1dc4c8457f","Child ZULU-06-044 - PR3.10(b22a913d-80c2-4496-9ac1-2ea0dbd4268a): Unknown tags: itp","checklist-sectioned","pass","199612479f51e691093499bad02652d1547fd469faae5066e3ac49f01449a94b","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-044 - PR3.1"
"de3705d1-4134-40ef-a596-7f23e69af61b","Child ZULU-06-045 - EP162(a8c12e26-5f4c-4ef5-bfa9-017e4b9b34eb): Unknown tags: itp","checklist-sectioned","pass","8cc44eb124f096621c9d86825874b671a3ee286e613a45175413cc88c9189afa","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-045 - EP162"
"233ccf6c-a33d-43ce-a071-80d720d7230c","Child ZULU-06-046 - EP104(b5950dda-cbb6-441b-aa4f-63ae5ad32c4b): Unknown tags: itp","checklist-sectioned","pass","9a7fc67fa987a3ecb2ae5ede01c261f389a0b66d0eb6948f5590cb363c1d974a","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-046 - EP104"
"698d0bf1-48fd-48b6-809e-cb3d65f37f5d","Child ZULU-06-047 - CP032(6376ab5f-6131-435c-8172-48b360693547): Unknown tags: itp","checklist-sectioned","pass","17273188ce2b2443a357ddc93930df0f8c01a2d9ad7d43dc15d8b4d2b549067a","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-047 - CP032"
"790fd951-554e-42e7-883c-7ca09c574fb9","Child ZULU-06-048 - PR1.2A(e69820f7-0488-4bb5-9936-71bd986ba252): Unknown tags: itp","checklist-sectioned","pass","a0d6105a0e2f75120bab5ea055f98879a82ed08308bb007d64295e5d75c065ab","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-048 - PR1.2A"
"8e58bf4f-af05-4259-90ac-da3cd5b1a673","Child ZULU-06-049 - EP161(973f7b2f-089b-465f-b843-60dd9a7fcc49): Unknown tags: itp","checklist-sectioned","pass","7eb1c54e2793946acfb53a8e9535bacc2357a58427217fb4f500c38aed9d0c1f","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-049 - EP161"
"38a62607-f710-4ad7-b3d2-962f402c66e2","Child ZULU-06-050 - PR1.7(17c7b519-fdb8-403d-b37f-33ee6750297b): Unknown tags: itp","checklist-sectioned","pass","798f82dd0d0cdd3cf6cde8cd395f54d8f024eb19048309fc039fdd6a42071564","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-050 - PR1.7"
"50eac630-884b-49ec-b66d-0c2a5e0eab20","Child ZULU-06-051 - EP088(32de5558-7fa2-4b38-b566-8e0e8fd17274): Unknown tags: itp","checklist-sectioned","pass","152ee006938b57bc2ac5a74cf37cba08de1360ac2ca249fd5c837e1447ca68b3","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-051 - EP088"
"10f84607-cd8d-45f7-8693-7bd3f271444b","Child ZULU-06-052 - EP089(c08f49c5-9660-45c5-9cea-d240391d6ed8): Unknown tags: itp","checklist-sectioned","pass","25747d6f39e11cbfa5b66457afc0c94880d16f889bfb5d5b5f3a65eeb172fc02","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-052 - EP089"
"81192e3b-d08d-4459-80bb-142f439cea38","Child ZULU-06-053 - CP026(24facfc5-684c-4b19-9ee9-605a99bdd56c): Unknown tags: itp","checklist-sectioned","pass","00e77faa8db81973111e596200a12d21e27a3533e6a3cd6f4802daa61df5285d","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-053 - CP026"
"7ac4e63e-3272-4696-b750-a93ea9cd9016","Child ZULU-06-054 - PR1.5A(7e5651bc-7dfa-4ca3-9476-a64f755d92db): Unknown tags: itp","checklist-sectioned","pass","3ae211844536e96fc5bad1dd4a60247411675a90b26e6766f6848835d62f23c4","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-054 - PR1.5A"
"2fe05dc0-288a-4fee-b329-80e28094c397","Child ZULU-06-055 - EP092(3765e00d-dbd1-4698-be7b-aabbfb466101): Unknown tags: itp","checklist-sectioned","pass","90509579f086e60c2687ef0afca846bc371ec94f2abdacc7b840fd845b4ff898","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-055 - EP092"
"5c08b439-ac51-4a7e-9078-06dbffd5b600","Child ZULU-06-056 - PR1.2(687ce8dd-8d2b-4fdb-b8f4-1f59082c0fe9): Unknown tags: itp","checklist-sectioned","pass","9bc71753ac7f777b084fe7e0d422c7dfdf6571d6808b3589e5685fe1a4c4cb87","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-056 - PR1.2"
"4dd90db3-1275-4851-9f1c-cbbedb21478a","Child ZULU-06-057 - CP037(43bb6682-f0e1-46aa-b80a-9355c0686791): Unknown tags: itp","checklist-sectioned","pass","06b794a930b1434791f25c068fb794bb5c4da8a7f0073316eb8d9aca3a953a68","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-057 - CP037"
"c64df9c6-00d0-4f8a-a0e2-68dd14d80424","Child ZULU-06-058 - EP132(b2409c57-69f4-4ef2-9200-a079bdcf7f75): Unknown tags: itp","checklist-sectioned","pass","257767ebc5cfa9e3edb24285e458710dd90a8d98bdc87c3ae15b08bf94daf3f7","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-058 - EP132"
"59a52875-31f8-4aa3-a555-94d3160016b0","Child ZULU-06-059 - EP133(be5cf446-fd87-40e5-a0cc-bc70d98f46c2): Unknown tags: itp","checklist-sectioned","pass","512c80d1d5474099c65a970523ac771497bf5ea98bdbc325c04f7733c99706a5","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-059 - EP133"
"1a3acb61-04b7-4b49-b0ca-9518da8924f2","Child ZULU-06-060 - EP134(5e13c9ab-0554-4cf7-8d5f-35754634afca): Unknown tags: itp","checklist-sectioned","pass","313b36e3854e52f268c0f7473fad704aac951e4d6f91a3bc272c9538f0bbeaf1","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-060 - EP134"
"dcc54f4e-d19b-4d62-8f4f-30376273e92b","Child Zulu-06-061 - EP125(b6e6aecb-5aad-44c1-8536-d649534f0710): Unknown tags: itp","checklist-sectioned","pass","282f21ed85ff431d06c572310b56d814415946e210ea1a112e0feda9b1a9ead7","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-061 - EP125"
"d22420fb-8453-42f7-80d4-600dcb0a647e","Child Zulu-06-062 - EP126(1e4c81aa-edea-49a3-850f-a7550e70b0c2): Unknown tags: itp","checklist-sectioned","pass","0f5a10db151abb4ec8454d772691d54cafb931db920c34fb5bfdda8504d7a2dd","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-062 - EP126"
"b4a82aa0-3ef1-44df-a5fa-ca584710480a","Child Zulu-06-063 - EP124(af300113-dee1-4bad-9679-4c7d95cb982a): Unknown tags: itp","checklist-sectioned","pass","f0aa931cd591c903b62abf7eedafa4661fada222a4741233643cc7901eb1576f","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-063 - EP124"
"fd21e440-4ea1-4142-9902-5f12a7140eeb","Child Zulu-06-064 - EP127(d0b0bb20-5153-483a-b1f1-87f5dee71777): Unknown tags: itp","checklist-sectioned","pass","cb143eb16c613b59326378fd9aaf0e0c68eaa9a922f33136a24de514dddf22fe","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-064 - EP127"
"bace0dda-b655-46bb-916c-347c464be38e","Child Zulu-06-065 - EP128(af0b9fd1-5dd4-48c1-aef6-f16dc6d9f798): Unknown tags: itp","checklist-sectioned","pass","bd0f34996fb4719890749cc4d76952b862fe9431fe4ca28d7f0abe7067fb5316","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-065 - EP128"
"29faff48-a0fc-4048-972b-edc8caa0f8ad","Child Zulu-06-066 - EP108(7ec20734-5ff3-451d-b257-15e4354f2581): Unknown tags: itp","checklist-sectioned","pass","8eec1a3733114b6e7af747bf34e1ae7478e235b9667d91fc6fc9ca61c326469f","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-066 - EP108"
"268dccb3-c4e8-44d7-a911-f61b86d93580","Child Zulu-06-067 - CP038(3e8d8295-89b2-4a1f-b7c5-64328790b738): Unknown tags: itp","checklist-sectioned","pass","7661e013050f664080518268cd996254d474666012c119972e6834c4cb06e35c","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-067 - CP038"
"7efd720d-44b6-4711-9df8-1bb8f2f60d96","Child Zulu-06-068 - EP105(3de3373f-64b2-4b95-bc0f-b8754a104321): Unknown tags: itp","checklist-sectioned","pass","0c7d9c9f5c9a14299d5299d47e086c0c1b289b74ce1099da9574b279130e76f3","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-068 - EP105"
"9440dc92-ecfd-4129-ab01-5911fb1f8e8a","Child Zulu-06-069 - EP106(638bf8b6-df58-4f41-8063-bca18c37b739): Unknown tags: itp","checklist-sectioned","pass","12f49e7cb7ccd149e983e665847ec5b0e32e2cc9d5c77b02c96523a1835339eb","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-069 - EP106"
"21acc537-3aa1-4387-95b9-6ec853d8e547","Child Zulu-06-070 - EP107(a08763ce-28f3-4a9a-9c72-58f8d2817be9): Unknown tags: itp","checklist-sectioned","pass","fcbc4d8a835a379a47e5729ad6b7076e53c79ddadbf1d93060517e1e6e1cc09a","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-070 - EP107"
"fea79c33-affc-46fd-b62a-37c17745b631","Child Zulu-06-071 - EP068(d1cd95db-c859-4f45-bfe8-17d4b491f37f): Unknown tags: itp","checklist-sectioned","pass","cb9affbb5b0f01554588f33c5aaa9c1529dc55f1ef538be7d3769139feb4a1b5","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-071 - EP068"
"749bdcf5-a72c-4985-84f5-6d936cbe5a12","Child Zulu-06-072 - EP069(cc4c58d8-1409-4f0a-ba7a-d499a4899f7b): Unknown tags: itp","checklist-sectioned","pass","40dc82bae079b8c1edd012c7392655c4a9b606a4aa9e105e88e349709294e875","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-072 - EP069"
