"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"79a84e2b-0c8e-4dee-bff7-5fe88c118794","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"5ad2258a-23ed-4537-8b7b-e8cdd2ada36c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Material Approvals"
"97e5c378-a2ff-4612-ba0b-5f3238dd1352","","no-status-not-started","","folder","TRUE","FALSE","Site QA","FRAB","Utilities"
"70ce624e-4ece-4774-b74f-520835197afa","","work-in-progress","","folder","TRUE","FALSE","Site QA","F2TG"
"e85628a9-af87-4512-85d0-d985f25453f7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","F2TG","Landscaping"
"72bb03a6-000f-478f-8ec2-908746ef791c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","F2TG","Traffic Services"
"996f78a6-3fa1-49df-8010-6510cc68f179","","no-status-not-started","","folder","TRUE","FALSE","Site QA","F2TG","Surfacing"
"dab6c480-7db9-4484-bfcd-cb9c0d458549","","work-in-progress","","folder","TRUE","FALSE","Site QA","F2TG","Structures"
"a7b9d8c2-8bfc-4336-ac32-c5effcf4312d","","work-in-progress","","folder","TRUE","FALSE","Site QA","F2TG","Structures","Bridge 7"
"6c9d41d6-c44c-48b7-9e78-6f2a8191a8fe","","work-in-progress","ITP-001 RC In-Situ","checklist","FALSE","FALSE","Site QA","F2TG","Structures","Bridge 7","CON-ITP-001 Concrete-LOT-001 - East & West Abutment Stitch Pours"
"afc229a9-d3aa-40ce-a96e-d5a23bd31d2f","","work-in-progress","ITP-001 RC In-Situ","checklist","FALSE","FALSE","Site QA","F2TG","Structures","Bridge 7","CON-ITP-001 Concrete-LOT-002 - East Side Settlement Slab Remediation"
"2cb79221-25b4-4fdd-a3df-9ae1954ffb0c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","AC & Surfacing"
"5def6bf4-e9b3-40fe-b65e-e198847bbdfe","","no-status-not-started","","folder","TRUE","FALSE","Site QA","AC & Surfacing","AC10"
"a131a10a-cd1b-4e15-9ade-1ac4fff4da1b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","AC & Surfacing","AC20"
"3127745a-18bd-4003-bfd3-ee043b95d593","","no-status-not-started","","folder","TRUE","FALSE","Site QA","AC & Surfacing","OGPA"
"c2d2118d-595a-4485-9ede-d6aee8e07be6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","AC & Surfacing","SMA"
"b5655112-e840-4257-9bdd-3b72aa859ffb","","no-status-not-started","","folder","TRUE","FALSE","Site QA","AC & Surfacing","DG7"
"6df765b9-dcb2-4575-84b4-f2d1056d6647","","no-status-not-started","","folder","TRUE","FALSE","Site QA","AC & Surfacing","G2/4 Chipseal"
"79604745-9475-43cb-946e-9ee588eb6ed3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","High Risk Temp Works"
"8dd938bf-5e41-45d9-a3f2-db261b05e9c9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Survey Data"
