"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"402accfd-a7b9-4157-8f5c-14f4f00e7424","","work-in-progress","","folder","TRUE","FALSE","Core 1"
"740f61a5-c813-41b6-87f5-c43e46598b2a","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 5","C05C06"
"f6b39361-a67a-46c5-ba8f-918f3c9ab372","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 5","C05C07"
"a156dc68-84a7-474e-9683-aa04669a7bec","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 5","C05C08"
"7a88f6c4-0100-4409-b0cb-f4ec3d120be7","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 5","C05C09"
"80baca28-c8b4-408e-88c0-108804077e8a","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 5","C05C10"
"4af3f510-6aab-44c8-ad08-da32cb82c550","","work-in-progress","","folder","TRUE","FALSE","Core 6"
"73927f73-7659-4d76-9756-03d09c96fd97","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 6","C06C01"
"e24c9c88-1490-482c-9d34-597c587d566f","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 6","C06C02"
"58491cfb-5c37-4817-89a6-674a47a3be23","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 6","C06C03"
"7c86a009-58cb-4bc5-b2cd-48239708d129","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 6","C06C04"
"11f9a6ab-ddef-4dfc-a32f-3131dea19d6e","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 6","C06C05"
"120379c2-e2bd-4543-b21f-920ebb488eed","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 6","C06C06"
"32a5b42b-b62d-42e8-8a61-62dbd5186253","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 6","C06C07"
"fe03f480-07e2-4311-9bfa-0adcc5b11ca1","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 6","C06C08"
"42b320ec-7653-4b8c-aac2-8f3773acf24f","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 6","C06C09"
"cb6d152a-9306-4deb-a769-b0fa1c8fe201","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 6","C06C10"
"dcc32113-5ef3-476c-bc9e-80ef0d537fd0","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 6","C06C11"
"f3bd5e4c-e4be-4dd2-bd03-b36806703d57","","work-in-progress","","folder","TRUE","FALSE","Core 7"
"5b5fa712-0702-4a56-81ca-8ffd0df6c6d9","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 7","C07C01"
"82825e74-03e4-4f17-819b-703ac462f73f","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 7","C07C02"
"9d2fba2e-9c8d-4208-9f0f-13a6a14540e9","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 7","C07C03"
"92c59d9d-905f-46fa-a71c-29ee7911cdb8","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 7","C07C04"
"5b97ae44-141d-4c55-a84f-ba089bcd0297","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 7","C07C05"
"497869cd-26bc-43d5-975d-8342ad313ed4","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 7","C07C06"
"94338b62-691f-4dc5-abc6-04fea48cf8e3","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 7","C07C07"
"a069ca62-4cd4-4a08-87ff-900b17fe09ad","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 7","C07C08"
"a048146a-7fe0-47df-b1c3-fec1d7ff3d07","","not-started","","folder","TRUE","FALSE","Core 2"
"67186a19-da01-4f80-9c87-a618f00efcd7","","not-started","","folder","TRUE","FALSE","Core 2","Cube"
"e8627141-bd27-4872-a1c5-40d518888c08","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 2","Cube","C02C04"
"81db5c4f-ddc0-4b25-868c-1f5423fc71a1","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 2","Cube","C02C05"
"b0f978b4-480d-4172-a5a7-169812884213","","not-started","","folder","TRUE","FALSE","Core 2","LANDING WALL"
"cdf46392-367f-4914-a5f9-60ab5c14f55e","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 2","LANDING WALL","C02C04W46"
"bb348b1d-4d50-4b86-a5dc-70ebbf9bce64","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 2","LANDING WALL","C02C04W47"
"272bb08f-c795-4630-9009-c4e099e4e162","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 2","LANDING WALL","C02C04W48"
"fdf98f34-1455-40a3-81c0-ce9a73cb07c6","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 2","LANDING WALL","C02C04W49"
"8e760344-c3ab-4d5d-9970-5b838cc8a382","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 2","LANDING WALL","C02C05W46"
"5ed92d59-0408-4915-b18f-d44a77915fa7","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 2","LANDING WALL","C02C05W47"
"193149ff-813e-45c0-9827-524d7fcf8a02","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 2","LANDING WALL","C02C05W48"
"2d286ed3-2730-4d83-bfd7-fbebdfa7c1db","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 2","LANDING WALL","C02C05W49"
