"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"802deb95-ea9a-42c2-839f-2cf2608008e4","","folder-normal","not-started","","step","TRUE","FALSE","Elevation / Zone 2"
"52bfde7a-8a00-4925-9cec-74896d6c7334","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 2","W.203-01"
"09a9befb-64d6-56c2-be93-3c121c2629e2","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 2","W.203-01 (2?)","Opening Prepared, Wrapped & Datums"
"c9a1ad09-5a71-5d66-817d-a96a6caf010f","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 2","W.203-01 (2?)","Seismic Installed As Per Shop Drawings"
"4b0390c8-96b7-55e3-8012-0eb07b8088e6","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 2","W.203-01 (2?)","Splicers & Soakers Sealed (provide photo reference)"
"ef93ea40-71b1-5bf1-8fe4-d7aa1d3ba1f7","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 2","W.203-01 (2?)","Panel Fitted & Locked Off"
"e9102f5c-0fee-5f59-9929-e7acbd5a507b","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 2","W.203-01 (2?)","Airseal and Internal Flashings (Photo)"
"6a203c3b-14ac-56ba-8d16-e686ce81e9df","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 2","W.203-01 (2?)","External Flashings / Weather Seals / Drainage"
"694485c8-98ef-5e0f-80b4-acfacc4b673b","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 2","W.203-01 (2?)","Site Glazing Completed"
"6f8639a6-e3bb-56a7-b1b1-048024be1021","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 2","W.203-01 (2?)","Trade Clean"
"b530c42e-2ea9-5d8f-9406-c8d8d8dd947a","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 2","W.203-01 (2?)","Wights - Sign Off"
"1aa022b5-1578-47f6-bfcc-d63da1a66d76","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 2","W.203-03"
"04a43b11-27c3-56d3-9f35-a39a1a5d3e7b","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 2","W.203-03","Opening Prepared, Wrapped & Datums"
"05519005-6743-51a0-8e6e-d9a75d8767d8","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 2","W.203-03","Seismic Installed As Per Shop Drawings"
"e18e3a45-96ff-5e5a-8063-f5815a55e24d","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 2","W.203-03","Splicers & Soakers Sealed (provide photo reference)"
"1b1387bb-d24e-57d6-92a9-54fa90c885bf","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 2","W.203-03","Panel Fitted & Locked Off"
"634d5427-9633-55bf-b6c0-f3611fb01152","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 2","W.203-03","Airseal and Internal Flashings (Photo)"
"742d9f48-9c50-560c-9466-1a6bb9469832","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 2","W.203-03","External Flashings / Weather Seals / Drainage"
"a7f8c047-ebdd-53f8-bb91-cbecb3e7564c","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 2","W.203-03","Site Glazing Completed"
"5b075cf0-7f18-5477-a737-45fe476c0ea3","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 2","W.203-03","Trade Clean"
"1250a894-fc99-5fbe-aede-06f5422d94b9","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 2","W.203-03","Wights - Sign Off"
"4128b33a-a9eb-43ce-9134-b1178bdcc1db","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 2","W.203-04"
"2afe6396-5737-52e7-8c02-e9f0bb44d14d","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 2","W.203-04","Opening Prepared, Wrapped & Datums"
"820772bd-33f0-5ab4-b16d-6656f96cf8c8","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 2","W.203-04","Seismic Installed As Per Shop Drawings"
"9061cfd1-015f-5ac6-8132-d45971e498c7","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 2","W.203-04","Splicers & Soakers Sealed (provide photo reference)"
"05afcca5-a594-5f5e-a0bc-55572a9c429e","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 2","W.203-04","Panel Fitted & Locked Off"
"2e4a27f8-8324-5fc0-92b3-96ea241f38c8","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 2","W.203-04","Airseal and Internal Flashings (Photo)"
"1757588e-6bcb-57cc-ae80-1b2c6be4a2d8","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 2","W.203-04","External Flashings / Weather Seals / Drainage"
"23914dcd-ac7c-5bcf-842d-a858387c2a06","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 2","W.203-04","Site Glazing Completed"
"6401374f-cb25-5c04-bd71-6bb68d78e6f6","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 2","W.203-04","Trade Clean"
"0785ed66-a67d-5217-ab1c-9317bc35c4f5","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 2","W.203-04","Wights - Sign Off"
"852eee83-7497-4806-a389-7d54d7e247e2","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 2","W.203-05"
"7b48b52e-3be2-5dfc-aaf5-a920eb33d611","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 2","W.203-05","Opening Prepared, Wrapped & Datums"
"49dd4bec-46a4-513b-af76-90756d711fa6","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 2","W.203-05","Seismic Installed As Per Shop Drawings"
"4a8dd671-0e77-540b-945e-b777bbddd9ab","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 2","W.203-05","Splicers & Soakers Sealed (provide photo reference)"
"1dbb6401-bfe1-54d5-ae8d-e9a50e192eee","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 2","W.203-05","Panel Fitted & Locked Off"
"64602737-5b9b-5b23-b7b9-473d20b6d7af","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 2","W.203-05","Airseal and Internal Flashings (Photo)"
"670b6625-2a79-56db-b900-19a39575a0e6","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 2","W.203-05","External Flashings / Weather Seals / Drainage"
"c04c092f-d058-5964-8262-9a28270ac0ac","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 2","W.203-05","Site Glazing Completed"
"3f704b60-28ab-5781-af80-cbdf392847f8","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 2","W.203-05","Trade Clean"
"e3915665-333c-5905-bcc2-643ce5d22a05","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 2","W.203-05","Wights - Sign Off"
"8121fa94-6a1e-4095-8425-2754a1545511","","folder-normal","not-started","","step","TRUE","FALSE","Elevation / Zone 3"
"c0be2cac-1abe-4484-b2eb-e5811b3b7531","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 3","W.301-01"
"50c8d1e1-7238-5065-b087-2eab4b737cda","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 3","W.301-01","Opening Prepared, Wrapped & Datums"
"c8b4bf45-810f-5051-81e8-340ffb688669","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 3","W.301-01","Seismic Installed As Per Shop Drawings"
"2dbebdbe-2bf7-5881-afba-7c85685b33b7","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 3","W.301-01","Splicers & Soakers Sealed (provide photo reference)"
"208cdbc5-4312-54b0-b7da-b679607967bc","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 3","W.301-01","Panel Fitted & Locked Off"
"0bc9449b-8cb4-5986-9a4d-e18625a0fde8","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 3","W.301-01","Airseal and Internal Flashings (Photo)"
"875e90ba-daf1-5530-a5eb-64fd223c90d6","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 3","W.301-01","External Flashings / Weather Seals / Drainage"
"8b6938f8-63ee-5579-b5d8-40cd1842ac15","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 3","W.301-01","Site Glazing Completed"
"ba4d5585-0a37-5352-bd33-c184be8dbaff","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 3","W.301-01","Trade Clean"
"1122065a-b387-5926-8934-1c695a2f2ab6","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 3","W.301-01","Wights - Sign Off"
"f254d796-d31a-44d1-93e9-8f8d4ac29c62","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 3","W.305-02"
"116a6463-1c5e-563e-8025-f1ab1e3bc797","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 3","W.305-02","Opening Prepared, Wrapped & Datums"
"aeaff7ee-073f-578c-94c2-e9dd15ccdafe","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 3","W.305-02","Seismic Installed As Per Shop Drawings"
"799bcca4-b259-5cf7-bede-ac4b26006386","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 3","W.305-02","Splicers & Soakers Sealed (provide photo reference)"
"cf7d5337-3469-5684-8fea-80535ec4586b","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 3","W.305-02","Panel Fitted & Locked Off"
"3ab0b1e4-e4f4-5769-81ce-48b8b2069e17","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 3","W.305-02","Airseal and Internal Flashings (Photo)"
"992c6a2b-7815-5a05-a4fe-a95f135875e4","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 3","W.305-02","External Flashings / Weather Seals / Drainage"
"e771d9d0-8bc2-5c68-8b95-ea1ef44c8128","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 3","W.305-02","Site Glazing Completed"
"e515afee-f35f-5c2c-a5ba-1c089bcdfee4","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 3","W.305-02","Trade Clean"
"6ffd8200-afa3-5261-894f-23fa82a3c428","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 3","W.305-02","Wights - Sign Off"
"97924791-04e4-4e05-9947-f9193d5a8126","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 3","W.305-03"
"a8d1a644-7bec-5a93-8b3e-f0d1597a5175","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 3","W.305-03","Opening Prepared, Wrapped & Datums"
"07ccbde4-dca4-559f-8ec3-2b01b9926a2a","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 3","W.305-03","Seismic Installed As Per Shop Drawings"
"ecf0af94-6770-5e0c-a2c0-06f3198bf1c0","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 3","W.305-03","Splicers & Soakers Sealed (provide photo reference)"
"08bdda22-bded-523a-9414-47b1acde8e9d","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 3","W.305-03","Panel Fitted & Locked Off"
"5818d061-0936-513a-a7f9-c9ace6bd9816","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 3","W.305-03","Airseal and Internal Flashings (Photo)"
"2aba0b3a-b3ef-57db-924d-1c5cf039164c","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 3","W.305-03","External Flashings / Weather Seals / Drainage"
"7f88c3f5-85d9-5b6b-8154-f616fd74721e","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 3","W.305-03","Site Glazing Completed"
"90753cfb-b5f9-59a8-8b6a-8fed8852c003","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 3","W.305-03","Trade Clean"
"7859fb1c-0234-57dc-b95e-644a1029fd51","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 3","W.305-03","Wights - Sign Off"
"0f3369cf-5d27-4dcd-a4ea-9f0a5c7c87b7","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 3","W.306-02"
"4730194d-6b6c-54fa-92d9-8de68f446db3","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 3","W.306-02","Opening Prepared, Wrapped & Datums"
"ab4b19f8-3de0-5d94-8901-2c0b245397f6","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 3","W.306-02","Seismic Installed As Per Shop Drawings"
"3bb421f7-17a1-5748-9629-152c442005ea","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 3","W.306-02","Splicers & Soakers Sealed (provide photo reference)"
"b6876509-537a-5c86-9bf9-c77ec2140b1b","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 3","W.306-02","Panel Fitted & Locked Off"
"1d7a8dd6-ed4b-5fd8-9d0a-46b88c7054bb","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 3","W.306-02","Airseal and Internal Flashings (Photo)"
"6ec3a5bc-d44c-5153-9638-033b864d7fc4","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 3","W.306-02","External Flashings / Weather Seals / Drainage"
"d5f10b13-2cbd-55f0-bfa7-8781758a0095","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 3","W.306-02","Site Glazing Completed"
"874e7be7-720c-5f30-9726-90f2c04a1168","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 3","W.306-02","Trade Clean"
"c62cb4df-911e-565b-99ec-d4ea19e81ee1","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 3","W.306-02","Wights - Sign Off"
"2ceb6806-45e2-4eff-b5a9-9c57a3b7fef5","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 3","W.306-03"
"fa61146c-3416-5bff-ac7c-9812746d7dea","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 3","W.306-03","Opening Prepared, Wrapped & Datums"
"644bffdf-288d-5765-8b68-75697faebf6e","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 3","W.306-03","Seismic Installed As Per Shop Drawings"
"1089bf2a-2db5-5c82-a34d-18e9cc1aa741","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 3","W.306-03","Splicers & Soakers Sealed (provide photo reference)"
"bf307d65-92cd-5851-a9fd-5a6dd455d2c6","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 3","W.306-03","Panel Fitted & Locked Off"
"3a587e0e-6376-572c-b7b6-46de57ba6ac2","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 3","W.306-03","Airseal and Internal Flashings (Photo)"
"6d32ec73-25fb-5ebb-82e8-263689efc224","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 3","W.306-03","External Flashings / Weather Seals / Drainage"
"f116459c-e319-5003-bf81-117e2fcdb024","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 3","W.306-03","Site Glazing Completed"
"f0d10c5e-6f99-5e31-be86-410172b39305","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 3","W.306-03","Trade Clean"
"84781209-4594-562a-bf3c-7d4794f3d75a","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 3","W.306-03","Wights - Sign Off"
"78a9e87f-35e3-4f10-8a18-e9469a6c4355","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 3","W.306-04"
"fa41defb-df3e-5dfc-9fb7-4a7fb96a6133","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 3","W.306-04","Opening Prepared, Wrapped & Datums"
"3000ceb3-1054-542e-86de-7e24c962438a","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 3","W.306-04","Seismic Installed As Per Shop Drawings"
"8ae837fe-7d52-5aad-a592-62c463e67d8f","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 3","W.306-04","Splicers & Soakers Sealed (provide photo reference)"
"0e94d357-2f25-5448-a6e4-5b7bbfe43d72","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 3","W.306-04","Panel Fitted & Locked Off"
"3ce00578-9770-5c86-a82b-fb4b216615d1","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 3","W.306-04","Airseal and Internal Flashings (Photo)"
"e83021a8-8172-5ad8-a942-cb3b2af3b201","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 3","W.306-04","External Flashings / Weather Seals / Drainage"
"50808421-cfc2-52c1-82af-7bcdb6ebc81b","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 3","W.306-04","Site Glazing Completed"
"7490cfbf-5308-5e66-a932-87ab40326584","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 3","W.306-04","Trade Clean"
"65f9ad8d-7acf-506a-b4d2-871142d8727e","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 3","W.306-04","Wights - Sign Off"
