"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"da115af4-b8d4-40ea-8310-0718e3f0e0fd","","work-in-progress","","folder","TRUE","FALSE","Construction"
"e136990f-ac23-4e4f-a9bd-041e9b0208e9","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1"
"a99cdbfe-df66-4ff4-8658-c87b36bfafc7","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A"
"971cb564-2d33-4c88-9e97-70e36e0a8baa","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","6) ITP-006 Stormwater"
"ceabd6d2-ecb2-494f-9be7-d88d2c0317ad","","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","Underscreed","SYM-PURL-PCON-1A-6 (F3)"
"d2a97b65-e4f0-4b97-af34-150f3768f05a","","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","Underscreed","SYM-PURL-PCON-1A-7"
"53882ad1-5551-49c9-9ad9-73eaaea60700","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","Bus Shelter"
"9e659b95-ad5c-43f9-931a-f6c66436d067","","pass","SYM-ITP-008 - Insitu Concrete Elements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","Bus Shelter","SYM-PURL-BUS-1A-1 - BUS SHELTER FOOTING "
"d57cc718-69db-4d3c-a7cc-31a242f5bb7e","","work-in-progress","SYM-ITP-008 - Insitu Concrete Elements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","Bus Shelter","1A - BUS TOTEM FOOTING "
"c183388b-5e7b-4fc3-85a5-8eb035566987","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","7) ITP-007 Subsurface Drainage"
"0b6764b5-f252-4652-b972-caebdffbab86","","pass","SYM-ITP-007 - Subsurface Drainage (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","7) ITP-007 Subsurface Drainage","SYM-PURL-SSD-1A-1"
"8eec6814-4fd2-4f8d-96de-bd7b3c4320c1","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","09) ITP-009 Tactiles "
"280c67f4-e567-4c53-8b22-32ebe54b3a63","","pass","SYM-ITP-009 - Tactiles (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","09) ITP-009 Tactiles ","SYM-PURL-TAC-1A (Tactiles 1A)"
"504e3964-d480-43f7-a81d-87eee987b1b4","","not-started","SYM-ITP-011 - LANDSCAPING (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","SYM-ITP-011 - LANDSCAPING (Rev A)"
"813fd350-f437-4782-83b9-859c5e821264","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","20) ITP-020 Paving "
"371d3b6f-5698-429d-901d-f57add5ff320","","pass","SYM-ITP-020 - Paving (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","20) ITP-020 Paving ","1A - Bluestone Paving "
"c9b8db36-c1b0-4ad7-946f-87158c04b173","","pass","SYM-ITP-020 - Paving (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","20) ITP-020 Paving ","1A - Bluestone Kerb "
"856a816b-dfc9-4dd0-9514-ab6b00976550","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","26) ITP-026 Structural Soil"
"b132522a-ab9a-4dbe-b142-44235a8bec31","","pass","SYM-ITP-026 - Structural Soil (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","26) ITP-026 Structural Soil","SYM-PURL-SSL-1A-1 - Structural soil 1A"
"c5bb3ace-35a9-49bc-bd42-219840b130d7","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B"
"2e3e6e73-6bfd-4e40-b87d-c7b356669818","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","1) ITP-001 Subgrade"
"d7805d7e-bbc7-475d-9f6e-88e3db46f06c","","work-in-progress","2114a193e37b0197960de039fb1403d1bbb266aec0ffea13b5036ec7ea2f1288","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","1) ITP-001 Subgrade","SYM-PURL-SUB-1B-1 (1B - FP1 Subgrade)"
"bcacbd08-35c2-4461-981b-e9f52bd7fc1a","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","2) ITP-002 Flexible Pavement"
"ba4726b3-663c-4d20-8d6e-c880abeaf13b","","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1B-1 (FP1 Lower Subbase (CL4))"
"80fe4b60-22e8-4b14-9820-35c4439bbb60","","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1B-2 (FP1 Subbase (CTCR))"
"9e40f3e3-4fa8-4cba-9dce-c4fcce3efec6","","not-started","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing"
"225ec078-5aff-4c3c-a690-9431185e2a6f","","not-started","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)"
"045c9325-31e7-4fbf-85cd-baa3f1a52ce1","","not-started","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)"
"491453b5-e97a-4cd7-88e3-66cded71a165","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","4) Concrete Pavements"
"8afdcd3b-b3c2-4baf-b66b-2e06dea141b4","","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","4) Concrete Pavements","1B - F3 #1 (Saigon Cnr)"
"d733a678-4aee-4e75-9f73-8b498b9d390d","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works"
"b45108bf-213e-4ab2-a176-9c425213ce2f","","pass","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)"
"158d5b58-548d-4162-a3e9-312c286ef5cd","","pass","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-2 (PV-2.1 to PV-2.1A - 1050mm RCP)"
"f13a5710-6134-48f9-b914-5e7394aa7ac9","","pass","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-3 (PV-2.1A to PV-2.2A - 1050mm RCP)"
"1b895603-41ca-47ae-a906-fc476a4ebde6","","pass","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-4 (PV-2.2C)"
"87d4364a-0334-4607-8c31-b13a844ebc3f","","pass","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-5 (PV-2.2A to PV-2.2B - 600x450 BC)"
"e451a0d9-71d9-42cc-9ea3-a09c799521ea","","pass","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-6 (PV-2.2 to PV-2.3A - 2x825mm RCP)"
"d0b04fda-661b-4d70-b06c-cfb03ac0c2a1","","pass","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-7 (PV-2.2A to PV-2.2 (1050mm RCP))"
"73585f17-29f1-4258-b165-7e3e16ec5523","","pass","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-8 (PV-2.3A to PV-GPT-2 (1050mm RCP))"
"668ae0a4-fc7e-4bc6-a260-729dde684130","","pass","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-9 (PV-2.3 to PV-2.4 (1050mm RCP))"
"39d7a46e-e310-4b57-8f6a-0fb5a31a0d74","","pass","SYM-ITP-006 - Stormwater (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-10 (PV-GPT-2 to PV-2.3 (1050mm RCP))"
"d1886343-011c-4ab4-b330-7f4411076490","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","8) ITP-008 Insitu Concrete Elements"
"0ab96ca9-30dc-467e-9552-87eb5937dcc8","","pass","SYM-ITP-008 - Insitu Concrete Elements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","8) ITP-008 Insitu Concrete Elements","SYM-PURL-ICE-1B-1 (STATION TOTEM FOOTING)"
"d95fcf6a-8d20-48a3-8879-8a126f82c24b","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","12) ITP-012 Stratavault"
"64aa2dd4-8306-4e75-ba95-93bc025e2066","","pass","SYM-ITP-012 - Stratavaults (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","12) ITP-012 Stratavault","SYM-PURL-STV-1B-1 (SV2)"
"67bdf82f-e894-4abf-bbfd-bce986733709","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","16) ITP-016 GPT"
"709d1ed6-3448-4d9a-a7ac-032d6cfb5974","","pass","SYM-ITP-016 - Gross Pollutant Trap & Diversion Structure PV-GPT-2 (RevA)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","16) ITP-016 GPT","SYM-PURL-GPT-1B-1 (PV-GPT-2)"
"7a946ddc-f307-454a-95e5-0ccd0d264b5b","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","17) ITP-017 Traffic Signals"
"a724ac42-aa56-48bc-8771-2f85497f8779","","pass","SYM-ITP-017 - Traffic Signals (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","17) ITP-017 Traffic Signals","SYM-PURL-TRS-1B-1"
"67f596ee-a843-4b02-a8de-bf3d3cf73824","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","18) ITP-018 Public Lighting"
"df650c9a-bdc9-4616-afd5-a4841a53e324","","pass","SYM-ITP-018 - Public Lighting (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","18) ITP-018 Public Lighting","SYM-PURL-PUL-1B-1"
"84fdd7df-1443-485b-b7be-14abe30d2a52","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","20) ITP-020 Paving Works"
"0cfe8ee7-f492-43a4-8942-a4f2e0cb368c","","pass","SYM-ITP-020 - Paving (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","20) ITP-020 Paving Works","SYM-PURL-PAV-1B-1 (BLUESTONE KERB)"
"60d50199-06a1-4a81-9389-969cb37095f5","","pass","SYM-ITP-020 - Paving (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","20) ITP-020 Paving Works","SYM-PURL-PAV-1B-2 (BLUESTONE PAVING)"
"7c74b6f4-15a8-49e7-8532-d8658e1c367f","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","7) ITP-007 Subsurface Drainage"
"12b1b518-2155-4905-a592-ac49a0044a67","","pass","SYM-ITP-007 - Subsurface Drainage (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","7) ITP-007 Subsurface Drainage","SYM-PURL-SSD-1B-1"
"3ddec8fa-948f-4b3e-94a7-be931a248e91","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","09) ITP-009 Tactiles "
"53342c0a-1f84-48dd-8428-3e9d34e9d56e","","pass","SYM-ITP-009 - Tactiles (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","09) ITP-009 Tactiles ","SYM-PURL-TAC-1B (Tactiles 1B)"
"3b5e8e77-b814-439c-a369-60d186923305","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","19) ITP-019 Cladding"
"45138ac8-b6c9-43cb-a5e3-ead682516cc7","","pass","SYM-ITP-019 - CLADDING (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","19) ITP-019 Cladding","1B -  VCCC Station Entry + Bus Stop Walls"
"c7922387-d697-4a55-9595-33ab5616bbfb","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1C"
"0490c703-4ffb-4da7-a5ed-99306c4fec2b","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1C","1) ITP-001 Subgrade"
"12cf2209-70e4-4538-bd01-6e4fef8f634c","","pass","SYM-ITP-001 - Subgrade Preparation (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","1) ITP-001 Subgrade","SYM-PURL-SUB-1C-1 (1C - FP1 Subgrade)"
"31168c31-8651-41c8-9ae6-21cf5175432a","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1C","2) ITP-002 Flexible Pavement"
"383ef63d-3119-4be1-b482-52410e61eae2","","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1C-1 (1C - FP1 Lower Subbase (CL4))"
"53834038-6d04-4f49-bc30-f3860615032e","","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1C-2 (1C - FP1 Subbase (CTCR))"
"08a783f2-997f-4c75-8687-5ebb9f921d06","","work-in-progress","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1C-3 (PA2 Subbase Ambo Driveway (CL2))"
"71ace846-93e5-4d94-9f29-7db1706ff186","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1C","6) ITP-006 Stormwater"
"6bfba079-76ae-46c9-871b-df484b3c8d8f","","pass","SYM-ITP-006 - Stormwater (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","6) ITP-006 Stormwater","SYM-PURL-SWD-1C-1 (PV-2.3 to PV-2.4.1 (300mm RCP))"
"145acbbb-d535-4bc8-a8cd-0080f44e8e70","","not-started","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1C","17) ITP-017 Traffic Signals"
"8f18f18b-036c-4a18-88ae-461e8a554ef1","","not-started","SYM-ITP-017 - Traffic Signals (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","17) ITP-017 Traffic Signals","SYM-PURL-TRS-1C-1"
"7dd6c988-4021-4e4e-99cf-a29018f65ef5","","not-started","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1C","18) ITP-018 Public Lighting"
"e7232f38-f5ca-4ee8-b295-f9517f2db55a","","not-started","SYM-ITP-018 - Public Lighting (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","18) ITP-018 Public Lighting","SYM-PURL-PUL-1C-1"
"7c8c935d-8f18-42ee-aaf9-ed9c805baacf","","not-started","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1C","3) ITP-003 Asphalt"
"8d4ace48-d6d7-478f-9068-4116a8613798","","not-started","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","3) ITP-003 Asphalt","SYM-PURL-ASP-1C-1 (BC)"
"59973842-c6ba-4169-9ab9-782a78451f86","","not-started","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","3) ITP-003 Asphalt","SYM-PURL-ASP-1C-2 (IC)"
"bca0134c-11d9-4dc7-9de9-b58e541c022f","","not-started","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","3) ITP-003 Asphalt","SYM-PURL-ASP-1C-3 (WC)"
"0ad6d607-cfa1-4ad9-a5c5-3b02501bf4c4","","no-status-not-started","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1C","Underscreed"
"37593cf2-f2c3-428e-bdab-b8751dd1e131","","no-status-not-started","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1C","09) ITP-009 Tactiles "
"aa0f60f0-9d76-4106-ad6c-337e954cb4ff","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1C","20) ITP-020 Paving "
"916f5ff8-e271-4928-a12e-968ecade654d","","pass","SYM-ITP-020 - Paving (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","20) ITP-020 Paving ","1C - Bluestone Paving "
"dfa691dc-1818-4d89-b6cb-578325aeac05","","pass","SYM-ITP-020 - Paving (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","20) ITP-020 Paving ","1C - Bluestone Kerb"
"dc4c4fa9-8bde-4b91-ba50-14478b305b70","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1D"
"8a31c085-c513-41c9-acc9-0dc7d0f3ca86","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","1) ITP-001 Subgrade"
"93eeb06a-b03e-44d0-8fed-4e1a6f043fcd","","work-in-progress","2114a193e37b0197960de039fb1403d1bbb266aec0ffea13b5036ec7ea2f1288","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","1) ITP-001 Subgrade","SYM-PURL-SUB-2E-1 (F9 Lot 1)"
"1b1e988a-6fd9-46ad-a9ab-5ad0e1164f31","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","2) ITP-002 Flexible Pavement"
"1978a8af-807e-4d96-b089-77dbdb8e9c2a","","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1D-1 (PA2 Subbase)"
"563d929f-9b53-46fb-8d61-881af7e08329","","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1D-2 (F3 Subbase)"
"4a8c03d7-88f8-44c5-a294-ed9b3867c5cb","","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1D-3 (FP1 LSB)"
"0e9c949e-a32a-479b-bdec-a0ab15e8d536","","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1D-4 (FP1 USB)"
"c3ba5bf9-f1c2-4e06-927d-81af50b304a7","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","3) ITP-003 Asphalt"
"b25a4a9f-1d6f-4ecd-bba0-562dbde6bf34","","work-in-progress","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","3) ITP-003 Asphalt","SYM-PURL-ASP-1D-1 (FP1 BC)"
"29426602-3107-49c7-bb72-c2a4a48c712a","","work-in-progress","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","3) ITP-003 Asphalt","SYM-PURL-ASP-1D-2 (FP1 IC)"
"af11f83a-8a58-4610-9ffb-5b27247009de","","work-in-progress","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","3) ITP-003 Asphalt","SYM-PURL-ASP-1D-3 (PA2 BC)"
"a43fd67d-a9f1-449f-8325-76a8201722df","","work-in-progress","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","3) ITP-003 Asphalt","SYM-PURL-ASP-1D-4 (PA2 WC)"
"db71fb78-d7a2-41e3-a4b5-511ee9c5ce2e","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","4) ITP-004 Concrete Pavements"
"23eaa7a8-d421-4931-9d07-3c4b6adfe08c","","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1D-1 (F3 #1)"
"e65f4826-3ac9-4b3b-9e94-5a6cfefb45d7","","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1D-2 (F3 #2)"
