resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
AC High wall mounted Fit Off,checklist,,,,,,,,AC High wall mounted Fit Off,,,
,step,,,,,,,AC-4.06,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC High wall mounted Fit Off,checklist,,,,,,,,AC High wall mounted Fit Off,,,
,step,,,,,,,AC-4.07,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC High wall mounted Fit Off,checklist,,,,,,,,AC High wall mounted Fit Off,,,
,step,,,,,,,AC-4.08,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC High wall mounted Fit Off,checklist,,,,,,,,AC High wall mounted Fit Off,,,
,step,,,,,,,AC-1.1.4,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC High wall mounted Fit Off,checklist,,,,,,,,AC High wall mounted Fit Off,,,
,step,,,,,,Cassette,,,,,
Cassette Rough In,checklist,,,,,,,AC-1.1.2,,,,
Cassette Rough In,checklist,,,,,,,AC-1.1.3,,,,
,step,,,,,,Ducted ,,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-1.1.1,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-9,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,CU-1.1,,,,
,step,,,,,CU-1.2,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-5.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-5.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-5.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-5.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-5.05,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-5.06,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-5.07,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-5.08,,,,
,step,,,,,,Cassette,,,,,
Cassette Rough In,checklist,,,,,,,AC-1.2.2,,,,
,step,,,,,,Ducted ,,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-1.2.1,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-10,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,CU-1.2,,,,
,step,,,,,CU-1.3,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-9.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-9.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-9.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-9.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-9.05,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-9.06,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-9.07,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-9.08,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-1.3.5,,,,
,step,,,,,,Cassette,,,,,
Cassette Rough In,checklist,,,,,,,AC-1.3.3,,,,
Cassette Rough In,checklist,,,,,,,AC-1.3.4,,,,
,step,,,,,,Ducted ,,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-1.3.1,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-1.3.2,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-11,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,CU-1.3,,,,
,step,,,,,CU-1.4,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-8.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-8.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-8.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-8.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-8.05,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-8.06,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-8.07,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-8.08,,,,
,step,,,,,,Cassette,,,,,
Cassette Rough In,checklist,,,,,,,AC-1.4.2,,,,
Cassette Rough In,checklist,,,,,,,AC-1.4.3,,,,
,step,,,,,,Ducted ,,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-1.4.1,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-12,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,CU-1.4,,,,
,step,,,,,CU-1.5,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-7.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-7.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-7.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-7.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-7.05,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-7.06,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-7.07,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-7.08,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-1.5.4,,,,
,step,,,,,,Cassette,,,,,
Cassette Rough In,checklist,,,,,,,AC-1.5.3,,,,
,step,,,,,,Ducted ,,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-1.5.1,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-1.5.2,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-13,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
,step,,,,,,,CU-1.5,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,,AC Outdoor unit (VRV) Fit Off,,,
AC Outdoor unit (VRV) Commissioning,checklist,,,,,,,,AC Outdoor unit (VRV) Commissioning,,,
,step,,,,,CU-1.6,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-6.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-6.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-6.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-6.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-6.05,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-6.06,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-6.07,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-6.08,,,,
AC High wall mounted Fit Off,checklist,,,,,,,AC High wall mounted Fit Off,,,,
,step,,,,,,Cassette,,,,,
Cassette Rough In,checklist,,,,,,,AC-1.6.2,,,,
Cassette Rough In,checklist,,,,,,,AC-1.6.3,,,,
,step,,,,,,Ducted ,,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-1.6.1,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-14,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,CU-1.6,,,,
,step,,,,,Fans,,,,,,
,step,,,,,,Exhaust Fan ,,,,,
Fans Rough In,checklist,,,,,,,EF-1.1,,,,
Fans Rough In,checklist,,,,,,,EF-1.2,,,,
Fans Rough In,checklist,,,,,,,EF-1.3,,,,
Fans Rough In,checklist,,,,,,,EF-1.4,,,,
Fans Rough In,checklist,,,,,,,EF-1.5,,,,
Fans Rough In,checklist,,,,,,,EF-1.6,,,,
Fans Rough In,checklist,,,,,,,EF-1.7,,,,
Fans Rough In,checklist,,,,,,,EF-1.8,,,,
Fans Rough In,checklist,,,,,,,EF-1.9,,,,
Fans Rough In,checklist,,,,,,,EF-1.10,,,,
Fans Rough In,checklist,,,,,,,EF-1.11,,,,
,step,,,,,,Laundry OA Intake ,,,,,
Ductwork Rough In,checklist,,,,,,,EF-1.3 OA Intake,,,,
Ductwork Rough In,checklist,,,,,,,EF-1.5 OA Intake,,,,
Ductwork Rough In,checklist,,,,,,,EF-1.8 OA Intake,,,,
,step,,,,,,RangeHood Run Only ,,,,,
Rangehood Rough In,checklist,,,,,,,Kitchen 4.09,,,,
Rangehood Rough In,checklist,,,,,,,Kitchen 5.09,,,,
Rangehood Rough In,checklist,,,,,,,Kitchen 8.09,,,,
Rangehood Rough In,checklist,,,,,,,Kitchen 6.09,,,,
,step,,,,Level 2,,,,,,,
,step,,,,,Stand Alone (Comms),,,,,,
,step,,,,,,Hi Wall ,,,,,
,step,,,,,,,AC-G-IT-2.1,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC Outdoor unit (Stand Alone) Fit Off,checklist,,,,,,,,AC Outdoor unit (Stand Alone) Fit Off,,,
,step,,,,,,,AC-G-IT2.2,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC Outdoor unit (Stand Alone) Fit Off,checklist,,,,,,,,AC Outdoor unit (Stand Alone) Fit Off,,,
,step,,,,,CU-2.1,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-10.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-10.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-10.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-10.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-10.05,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-10.06,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-10.07,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-10.08,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-2.1.4,,,,
,step,,,,,,Cassette,,,,,
Cassette Rough In,checklist,,,,,,,AC-2.1.2,,,,
Cassette Rough In,checklist,,,,,,,AC-2.1.3,,,,
,step,,,,,,Ducted ,,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-2.1.1,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-2.1.5,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-15,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
,step,,,,,,,CU-2.1,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,,AC Outdoor unit (VRV) Fit Off,,,
AC Outdoor unit (VRV) Commissioning,checklist,,,,,,,,AC Outdoor unit (VRV) Commissioning,,,
,step,,,,,CU-2.2,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-14.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-14.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-14.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-14.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-14.05,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-14.06,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-14.07,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-14.08,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-2.2.5,,,,
AC High wall mounted Fit Off,checklist,,,,,,,AC High wall mounted Fit Off,,,,
,step,,,,,,Cassette,,,,,
Cassette Rough In,checklist,,,,,,,AC-2.2.3,,,,
Cassette Rough In,checklist,,,,,,,AC-2.2.4,,,,
,step,,,,,,Ducted ,,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-2.2.1,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-2.2.2,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-16,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,CU-2.2,,,,
,step,,,,,CU-2.3,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-13.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-13.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-13.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-13.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-13.05,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-13.06,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-13.07,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-13.08,,,,
,step,,,,,,Cassette,,,,,
Cassette Rough In,checklist,,,,,,,AC-2.3.1,,,,
Cassette Rough In,checklist,,,,,,,AC-2.3.2,,,,
,step,,,,,,Ducted ,,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-2.3.3,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-17,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,CU-2.3,,,,
,step,,,,,CU-2.4,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-11.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-11.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-11.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-11.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-11.05,,,,
