"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c2b4352b-5cd7-4b5e-87e7-e035a3872231","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"d1f4f1e2-0ff1-41d8-b625-b1ce435a4722","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basements"
"2e7ce2d5-54c0-45ee-b8e0-073bb09eabe0","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 16"
"cb83082b-78e1-4a73-811e-12c75040c256","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 17"
"bc79ce04-0c6f-49a5-9975-70496fcbe2bc","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 18"
"3a7ce8d7-104c-4e27-afd4-e8ac251f4347","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 19"
"187b5b07-9f02-4ec5-95e6-36f88858b7a5","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 20"
"e9e86686-ed0f-4336-b593-be9cd10e2743","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 21"
"8fbd9b3c-8e16-4a0d-9834-9ebe383d2a43","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 22"
"9948855f-a7a6-4761-ae39-0c4db8501192","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 23"
"d6020203-d04e-4678-a2c9-61b96b9b52af","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 24"
"f00fb3bb-c5ba-483f-905b-14f536024fd0","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 26"
"42013a54-044c-43f2-a0ea-dfa7e5f3043a","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 27"
"92f86567-a04f-4ebb-a685-3e8715bfee8b","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 28"
"99de87a4-4c12-42cd-81ec-247b3866911e","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 29"
"60134e85-6e79-4a14-afca-e5463b4b7394","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 30"
"f1bf983f-a16e-4d33-81f2-1465af2da0cb","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 31"
"ed09f2f8-442d-4a9f-a2f7-21cb6e422f5d","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 32"
"f8f3b162-cb1f-42ab-a394-b4af46997a83","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 33"
"727d8784-492f-4778-873d-66dd3ccd40e7","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 34"
"36704a5c-0c87-4e04-bfb9-c68642ac4f42","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 35"
"a5142ca1-7bb6-4654-847e-7942e4a6e3f5","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 36"
"2bf6a4ed-bad5-4e74-a395-911f6ae5be1d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Plant Rooms"
"0e3f9c46-d3de-494b-b935-1e9a8c22880a","","checklist-flat","not-started","Plant Room Checklist","checklist-flat","FALSE","FALSE","Site QA","Plant Rooms","Level 13"
"75269843-001f-4317-8a7c-1e83324e6f0a","","checklist-flat","not-started","Plant Room Checklist","checklist-flat","FALSE","FALSE","Site QA","Plant Rooms","Level 25"
"3600086d-9314-43bb-abbf-10d490dd874b","","checklist-flat","not-started","Plant Room Checklist","checklist-flat","FALSE","FALSE","Site QA","Plant Rooms","Level 37"
