"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7bd1ed06-45bc-4865-9c7c-9153bf8b573b","","folder-normal","work-in-progress","","step","TRUE","FALSE","CC0399"
"2bb327fb-4c8e-4702-954a-8a8365da0449","","folder-normal","pass","","step","TRUE","FALSE","CC0399","CC0399 - ITP-002 - Site Clearing"
"5e37c23d-b5d9-4a61-80ef-449047b4896c","","checklist-sectioned","work-in-progress","CC0399 - ITP-005 - Crushed Rock Pavement Construction","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-005 - Crushed Rock Pavement Construction","SYM-CC0399-ITP-005-LOT-005 - Laydown Area 1 - Type A"
"ec86d74d-788a-44c9-9bc0-8ee871601e35","","checklist-sectioned","work-in-progress","CC0399 - ITP-005 - Crushed Rock Pavement Construction","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-005 - Crushed Rock Pavement Construction","SYM-CC0399-ITP-005-LOT-007 - Main Access Road 10-280 - Type A"
"4ff17b3c-40ba-418c-b2b6-03ffb44a89e2","","checklist-sectioned","work-in-progress","CC0399 - ITP-005 - Crushed Rock Pavement Construction","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-005 - Crushed Rock Pavement Construction","SYM-CC0399-ITP-005-LOT-008 - Main Access Road 280-480 - Type A"
"dbee793a-5260-42d8-8287-3c1627e3fd39","","checklist-sectioned","work-in-progress","CC0399 - ITP-005 - Crushed Rock Pavement Construction","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-005 - Crushed Rock Pavement Construction","SYM-CC0399-ITP-005-LOT-009 - Main Access Road - 480-560 - Type A"
"2a118455-3e85-470d-9bde-df1ae523fd30","","checklist-sectioned","work-in-progress","CC0399 - ITP-005 - Crushed Rock Pavement Construction","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-005 - Crushed Rock Pavement Construction","SYM-CC0399-ITP-005-LOT-010 - Chainage 10-280 - Class 3 Crushed Rock"
"9d26e0a9-84ca-48b7-8519-86ebf58c6d57","","checklist-sectioned","work-in-progress","CC0399 - ITP-005 - Crushed Rock Pavement Construction","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-005 - Crushed Rock Pavement Construction","SYM-CC0399-ITP-005-LOT-011 - Main Access Road 280-480 - Class 3 Crushed Rock"
"004d39e6-1ef7-4e76-a566-14174be9dc7b","","folder-normal","work-in-progress","","step","TRUE","FALSE","CC0408"
"47c2dbf3-ecf6-4525-80a3-72024bd3d08f","","folder-normal","work-in-progress","","step","TRUE","FALSE","CC0408","MREH BESS - PAV"
"f93ed9ed-8380-4977-86ff-9037380af339","","checklist-sectioned","work-in-progress","CC0399 - ITP-005 - Crushed Rock Pavement Construction","checklist","FALSE","FALSE","CC0408","MREH BESS - PAV","SYM-CC0408 - MREH BESS - PAV - 030 - West Detention CL3"
"3ab2d41f-1272-46be-bed2-9c598022f0b1","","checklist-sectioned","work-in-progress","CC0399 - ITP-005 - Crushed Rock Pavement Construction","checklist","FALSE","FALSE","CC0408","MREH BESS - PAV","SYM-CC0399-ITP-005-LOT-029 - MREH BESS - PAV - West Detention Capping"
