"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"416372f5-c273-4a25-952a-6b279f3e408a","","","","folder","TRUE","FALSE","Entire Village"
"abd79c05-4564-45f6-9da7-71fbb1bcc55c","","","Serviced Apartments - 315","checklist","FALSE","FALSE","Serviced Apartments","22. Serviced Apartment - 315"
"6e6e2fbc-8a4b-4c9c-bdf4-4010f62c80bc","","","Serviced Apartments/Independent Apartments Everest - 318/266","checklist","FALSE","FALSE","Serviced Apartments","23. Serviced Apartment - 318"
"178656ab-c476-4b2e-a4a3-6ea62d337a90","","","Serviced Apartments - 320","checklist","FALSE","FALSE","Serviced Apartments","24 and 25. Serviced Apartment - 320"
"05923947-2ff2-4389-91dd-e45fc2bb7448","","","","folder","TRUE","FALSE","Rest Home"
"22014dfd-b8e2-4232-a56a-69affc34e8d8","","","Rest Home Room/Hospital 3 - 314/434/458","checklist","FALSE","FALSE","Rest Home","26. Rest Home Room - 314"
"8859f5a6-820a-4088-83d2-5a591c1be06c","","","Rest Home Room - 316","checklist","FALSE","FALSE","Rest Home","27. Rest Home Room - 316"
"e98835c0-295a-4d6b-a13d-eec8afa0dba3","","","Rest Home Room/Independent Apartments - Tenzing - 329/450","checklist","FALSE","FALSE","Rest Home","28. Rest Home Room - 329"
"e42fed6f-a55e-4a44-98dc-49aaa1ec8378","","","Rest Home Room - 334","checklist","FALSE","FALSE","Rest Home","29. Rest Home Room - 334"
"314d6735-c3c0-4143-b8b2-b2435c423b0e","","","Rest Home Room - 335/336","checklist","FALSE","FALSE","Rest Home","30. Rest Home Room - 335"
"6e960502-41ab-410f-854a-a2e159bb6e4f","","","Rest Home Room - 335/336","checklist","FALSE","FALSE","Rest Home","31. Rest Home Room - 336"
"ad46c4a7-0431-414d-a0fa-d12ead4a2f88","","","Rest Home Room - 338","checklist","FALSE","FALSE","Rest Home","32. Rest Home Room - 338"
"b1b270f4-b044-4047-9311-b9c738437218","","","Rest Home/Independent Apartments - Shackleton/Cook/Everest/Ross - Lounge 2/341/G77/374/170/191","checklist","FALSE","FALSE","Rest Home","33. Rest Home - Lounge 2"
"84f6126a-7754-4207-88e4-eb4ae34376c5","","","","folder","TRUE","FALSE","Hospital"
"57fd2d77-3dee-4360-8fe7-3e851f1e768d","","","Hospital - Display - Hospital 2 - Ollivier","checklist","FALSE","FALSE","Hospital","4 and 154. Display - Hospital 2 - Ollivier"
"1da66efe-5ede-4b9c-b67c-be2ee49fb75f","","","Hospital - Hospital 2 - Room 203","checklist","FALSE","FALSE","Hospital","34 and 35. Hospital 2 - Room 203"
"8f40d7be-a430-4141-898f-a6a08306dee1","","","Hospital - Hospital 2/3 - Room 207/208/220/451","checklist","FALSE","FALSE","Hospital","36. Hospital 2 - Room 207"
"24a77357-a02b-4e85-979f-933108ceaa32","","","Hospital - Hospital 2/3 - Room 207/208/220/451","checklist","FALSE","FALSE","Hospital","37. Hospital 2 - Room 208"
"a612147c-4129-43af-802b-96b12aa4606a","","","Hospital - Hospital 2 - Room 210","checklist","FALSE","FALSE","Hospital","38 and 39. Hospital 2 - Room 210"
"bbd67f38-b2b8-4b8e-82b1-664de3ace0a0","","","Hospital - Hospital 2 - Room 212/219","checklist","FALSE","FALSE","Hospital","40. Hospital 2 - Room 212"
"1fcb4641-e97f-47f2-b6cd-ff3eb87ad9bc","","","Hospital - Hospital 2 - Room 212/219","checklist","FALSE","FALSE","Hospital","41. Hospital 2 - Room 219"
"b8b146fa-29ea-4513-bec8-5bed26cc9a50","","","Hospital - Hospital 2/3 - Room 207/208/220/451","checklist","FALSE","FALSE","Hospital","42. Hospital 2 - Room 220"
"2df15f8a-270e-4373-a573-e9e9416043bf","","","Hospital - Hospital 2/3/Independent Apartments - Tenzing - Room 221/238/435/442/447/452/455","checklist","FALSE","FALSE","Hospital","43. Hospital 2 - Room 221"
"801a2011-48f0-421d-bc1d-98ec16b24cf5","","","Hospital - Hospital 2 - Room 223/242","checklist","FALSE","FALSE","Hospital","44. Hospital 2 - Room 223"
"94067c42-03f8-4d63-a2fb-82017f2fa4b5","","","Hospital - Hospital 2 - Room 225","checklist","FALSE","FALSE","Hospital","45. Hospital 2 - Room 225"
"f18b3080-c072-4a53-af3b-50258829d5c1","","","Hospital - Hospital 2 - Room 226","checklist","FALSE","FALSE","Hospital","46. Hospital 2 - Room 226"
"df8027f8-a2c7-4b09-a6aa-0b6f63f6e611","","","Hospital - Hospital 2 - Room 235","checklist","FALSE","FALSE","Hospital","47 and 48. Hospital 2 - Room 235"
"12afa28f-2da7-4c9c-8e59-54f67c985628","","","Hospital - Hospital 2 - Room 236","checklist","FALSE","FALSE","Hospital","49. Hospital 2 - Room 236"
"49da8aba-c035-4eee-acbe-dfd0bc009fb3","","","Hospital - Hospital 2 - Room 237","checklist","FALSE","FALSE","Hospital","50. Hospital 2 - Room 237"
"15c09527-40d6-4b62-80b1-8efa6bea01a5","","","Hospital - Hospital 2/3/Independent Apartments - Tenzing - Room 221/238/435/442/447/452/455","checklist","FALSE","FALSE","Hospital","51. Hospital 2 - Room 238"
"33f0252d-eb03-4532-8432-042807d1da6a","","","Hospital - Hospital 2 - Room 223/242","checklist","FALSE","FALSE","Hospital","52. Hospital 2 - Room 242"
"a018e021-d23c-404d-8190-7baec7b0e169","","","Hospital - Hospital 3 - Room 434/458","checklist","FALSE","FALSE","Hospital","53. Hospital 3 - Room 434"
"22d4a70d-1330-4152-878f-c858ee0a9666","","","Hospital - Hospital 2/3/Independent Apartments - Tenzing - Room 221/238/435/442/447/452/455","checklist","FALSE","FALSE","Hospital","54. Hospital 3 - Room 435"
"503e7c52-dd9f-4b09-b1df-a1fa66374417","","","Hospital - Hospital 2/3/Independent Apartments - Tenzing - Room 221/238/435/442/447/452/455","checklist","FALSE","FALSE","Hospital","55. Hospital 3 - Room 442"
"2fbf1ee3-9094-4f07-b7ee-069a785bf6d6","","","Hospital - Hospital 2/3/Independent Apartments - Tenzing - Room 221/238/435/442/447/452/455","checklist","FALSE","FALSE","Hospital","56. Hospital 3 - Room 447"
"b931f71b-65fb-4e69-8897-2115ed35c55c","","","Hospital - Hospital 2/3 - Room 207/208/220/451","checklist","FALSE","FALSE","Hospital","57. Hospital 3 - Room 451"
"fbb0831f-dbf9-434f-b61a-46d00dcd7bba","","","Hospital - Hospital 2/3/Independent Apartments - Tenzing - Room 221/238/435/442/447/452/455","checklist","FALSE","FALSE","Hospital","58. Hospital 3 - Room 452"
"e3c49dc7-cc8c-4fda-9bd9-2d8890edff08","","","Hospital - Hospital 3 - Room 454","checklist","FALSE","FALSE","Hospital","59 and 60. Hospital 3 - Room 454"
"05455094-e705-4aee-a942-d1165802d2d3","","","Hospital - Hospital 3 - Room 457","checklist","FALSE","FALSE","Hospital","61. Hospital 3 - Room 457"
"83e7c6c1-8d43-45b2-85fb-2fdcd3f3284c","","","Hospital - Hospital 3 - Room 434/458","checklist","FALSE","FALSE","Hospital","62. Hospital 3 - Room 458"
"fe077df5-f643-451e-804c-e0b3ca0f568a","","","Hospital - Hospital 3 - Room 459","checklist","FALSE","FALSE","Hospital","63 and 64. Hospital 3 - Room 459"
"b9f68cd2-f5bb-4c10-9ff8-ede43f092f24","","","Hospital - Hospital 3 - Toilet","checklist","FALSE","FALSE","Hospital","65. Hospital 3 - Toilet"
"c2accfb7-b46b-43f5-a95a-df66398d59c0","","","","folder","TRUE","FALSE","Village Centre"
"4955afab-cd80-45c7-b65d-2221f00435eb","","","Village Centre - SA Main WC Women","checklist","FALSE","FALSE","Village Centre","66. Village Centre - SA Main WC Women"
"37ecadad-e19c-4993-bb1f-de2386c30cea","","","Village Centre - Sales Office","checklist","FALSE","FALSE","Village Centre","67. Village Centre - Sales Office"
"9f4e6ef3-92f4-4655-af69-1e5b37c73eaf","","","Village Centre - Gym","checklist","FALSE","FALSE","Village Centre","68. Village Centre - Gym"
"2555c2e3-2b7b-458b-8334-97c7f36d2f69","","","Village Centre - Gym F WC","checklist","FALSE","FALSE","Village Centre","69. Village Centre - Gym F WC"
"52c2da61-b465-4f89-abab-4baf084de0b0","","","Village Centre - Pool","checklist","FALSE","FALSE","Village Centre","70. Village Centre - Pool"
"980dce07-f53a-4261-8eb3-65c95861d71a","","","Village Centre - Lounge, by Bar area","checklist","FALSE","FALSE","Village Centre","71. Village Centre - Lounge, by Bar area"
"ff259a9d-597b-40fc-873c-e9de6a0f4806","","","","folder","TRUE","FALSE","Townhouses"
"ff9ce4d4-d86d-4b3c-950c-6b1bb144096e","","","Townhouse - 2","checklist","FALSE","FALSE","Townhouses","72. Townhouse - 2"
"88d95d44-b26e-4852-a310-69ea10f3bf9e","","","Townhouse - 3/4/37/39","checklist","FALSE","FALSE","Townhouses","73. Townhouse - 3"
"d404aa3f-1b42-49b2-967b-f6e833eb1f3d","","","Townhouse - 3/4/37/39","checklist","FALSE","FALSE","Townhouses","74. Townhouse - 4"
"060dc33c-d0db-44c2-9f6c-784ed73a136f","","","Townhouse - 6","checklist","FALSE","FALSE","Townhouses","75. Townhouse - 6"
"ca1a1608-1924-414d-8bd6-77d263df70f4","","","Townhouse - 7","checklist","FALSE","FALSE","Townhouses","76. Townhouse - 7"
"87dc4f10-bc83-45fe-bfca-8f44d2cc3810","","","Townhouse - 9","checklist","FALSE","FALSE","Townhouses","77. Townhouse - 9"
"363db1df-9f6f-452d-8063-d72f6d152356","","","Townhouse - 10","checklist","FALSE","FALSE","Townhouses","78. Townhouse - 10"
"6cc2ca95-4fb1-4a21-92a9-0a57d9421345","","","Townhouse - 11/15","checklist","FALSE","FALSE","Townhouses","79. Townhouse - 11"
"1c2e3b7b-8ae2-4b7e-acac-5561106e241e","","","Townhouse - 12A/16","checklist","FALSE","FALSE","Townhouses","80. Townhouse - 12A"
"583e7134-19e4-47c8-ad7b-5711e0570f75","","","Townhouse - 11/15","checklist","FALSE","FALSE","Townhouses","80. Townhouse - 15"
"a5c966e7-7170-48b2-9744-264bae5742d7","","","Townhouse - 12A/16","checklist","FALSE","FALSE","Townhouses","81. Townhouse - 16"
"b76f1fbf-f24d-49a6-8cd0-c4eb7e0228ac","","","Townhouse - 27","checklist","FALSE","FALSE","Townhouses","82. Townhouse - 27"
"def6c40d-8a88-4a54-bb77-5836f70c9298","","","Townhouse - 33","checklist","FALSE","FALSE","Townhouses","83. Townhouse - 33"
"b9687b93-7365-40ed-a575-cef8b834125f","","","Townhouse - 35","checklist","FALSE","FALSE","Townhouses","84. Townhouse - 35"
"34395683-7a99-4037-8e31-feeb45f2f0f8","","","Townhouse - 36","checklist","FALSE","FALSE","Townhouses","85. Townhouse - 36"
"650e5912-349f-41aa-8720-62565a9ac7ad","","","Townhouse - 3/4/37/39","checklist","FALSE","FALSE","Townhouses","86. Townhouse - 37"
"391b157f-23ae-47e6-b081-adaa9fcd7571","","","Townhouse - 3/4/37/39","checklist","FALSE","FALSE","Townhouses","87. Townhouse - 39"
"b9d052f5-f050-4b12-bd43-b0764d0ed83c","","","Townhouse - 43","checklist","FALSE","FALSE","Townhouses","88. Townhouse - 43"
"a7a3ef16-8b86-47af-9358-8c1cd6ffd9dd","","","Townhouse/Independent Apartments - Mallory - 56/67/332","checklist","FALSE","FALSE","Townhouses","89. Townhouse - 56"
"b0767e22-919e-4bf4-92ee-84f49b70dcdb","","","Townhouse/Independent Apartments - Mallory - 61/71/128","checklist","FALSE","FALSE","Townhouses","90. Townhouse - 61"
"44c1179b-7f36-4484-8515-28338292c37b","","","Townhouse - 63","checklist","FALSE","FALSE","Townhouses","91. Townhouse - 63"
"45f0af18-3747-4875-946c-6f0c6ac5e939","","","Townhouse - 66","checklist","FALSE","FALSE","Townhouses","92. Townhouse - 66"
"ce8f978c-8b62-4250-adde-f8a4f605c4f5","","","Townhouse/Independent Apartments - Mallory - 56/67/332","checklist","FALSE","FALSE","Townhouses","93. Townhouse - 67"
"87fe83d6-9926-4903-beed-855e73b5d917","","","Townhouse/Independent Apartments - Mallory - 61/71/128","checklist","FALSE","FALSE","Townhouses","94. Townhouse - 71"
"353cb719-c1c0-43f6-b7ae-936a3b3c70a1","","","Townhouse - 79/80","checklist","FALSE","FALSE","Townhouses","95. Townhouse - 79"
"8ad67f54-7789-4770-b3bc-f05deab269ad","","","Townhouse - 79/80","checklist","FALSE","FALSE","Townhouses","96. Townhouse - 80"
"71a3ee86-b469-45cc-8b4e-55b745fdff2c","","","Townhouse - 83/84","checklist","FALSE","FALSE","Townhouses","97. Townhouse - 83"
"d197e954-3258-4e64-acba-fbef37abb026","","","Townhouse - 83/84","checklist","FALSE","FALSE","Townhouses","98. Townhouse - 84"
"eec47e82-0b61-4d9c-8450-e5357a026a8c","","","Townhouse - 85","checklist","FALSE","FALSE","Townhouses","99. Townhouse - 85"
"0705b0d6-5c09-4cfe-80a4-894ba8772139","","","Townhouse - 87","checklist","FALSE","FALSE","Townhouses","100. Townhouse - 87"
"b076acfa-38f8-4196-a537-c7920e71c06c","","","Townhouse - 90","checklist","FALSE","FALSE","Townhouses","101. Townhouse - 90"
"7e56a1f6-3f7b-4413-a49a-1ed5e35ab249","","","","folder","TRUE","FALSE","Independent Apartments - Mallory"
"4e8a21fb-f814-470a-9bc4-97f5ea2da4ad","","","Independent Apartment - Mallory/Shackleton - 121/433/146","checklist","FALSE","FALSE","Independent Apartments - Mallory","102. Independent Apartment - Mallory - 121"
"b2ce007a-c4d5-42e3-b78c-4aa128bf08a2","","","Independent Apartments - Mallory - 122/430","checklist","FALSE","FALSE","Independent Apartments - Mallory","103. Independent Apartments - Mallory - 122"
"cf5ea906-1af0-4b6f-a2bd-38fdc817d562","","","Independent Apartments - Mallory - 126","checklist","FALSE","FALSE","Independent Apartments - Mallory","104. Independent Apartments - Mallory - 126"
"a2d13b72-9001-4257-a27a-d583c370c56b","","","Townhouse/Independent Apartments - Mallory - 61/71/128","checklist","FALSE","FALSE","Independent Apartments - Mallory","105. Independent Apartments - Mallory - 128"
"330d53ca-c1cb-4dc7-9436-17b936010579","","","Independent Apartments - Mallory - 130","checklist","FALSE","FALSE","Independent Apartments - Mallory","106. Independent Apartments - Mallory - 130"
"0972c08a-ea55-431d-a8ec-f51d2fbb07c5","","","Independent Apartments - Mallory - 221","checklist","FALSE","FALSE","Independent Apartments - Mallory","107. Independent Apartments - Mallory - 221"
"f33eb1b7-994b-4a97-b34d-d27c4b29da3c","","","Independent Apartments - Mallory - 226","checklist","FALSE","FALSE","Independent Apartments - Mallory","108. Independent Apartments - Mallory - 226"
"45b6382d-a952-47ee-b99e-d089d868f399","","","Independent Apartments - Mallory - 230","checklist","FALSE","FALSE","Independent Apartments - Mallory","109. Independent Apartments - Mallory - 230"
"cfbebae0-02d7-4c4d-8c46-42a308d15bf1","","","Independent Apartments - Mallory/Tenzing - 321/359","checklist","FALSE","FALSE","Independent Apartments - Mallory","110. Independent Apartments - Mallory - 321"
"bb99ade2-f67c-47b8-b052-7ca8492cd516","","","Independent Apartments - Mallory - 331","checklist","FALSE","FALSE","Independent Apartments - Mallory","111. Independent Apartments - Mallory - 331"
"18114381-9c4a-4425-8a46-eae7fb4ffc71","","","Townhouse/Independent Apartments - Mallory - 56/67/332","checklist","FALSE","FALSE","Independent Apartments - Mallory","112. Independent Apartments - Mallory - 332"
"b9565d44-fd91-45f0-9a36-cb1f49f57810","","","Independent Apartments - Mallory - 334","checklist","FALSE","FALSE","Independent Apartments - Mallory","113. Independent Apartments - Mallory - 334"
"6c5b50ba-d367-466a-b2f3-cb259e9fbdc2","","","Independent Apartments - Mallory - 427","checklist","FALSE","FALSE","Independent Apartments - Mallory","114. Independent Apartments - Mallory - 427"
"c50834bc-8f15-4159-89ee-8084c20800ad","","","Independent Apartments - Mallory - 122/430","checklist","FALSE","FALSE","Independent Apartments - Mallory","115. Independent Apartments - Mallory - 430"
"efe2b84a-905e-4fcd-9d11-b2321b7f8c28","","","Independent Apartment - Mallory/Shackleton - 121/433/146","checklist","FALSE","FALSE","Independent Apartments - Mallory","116. Independent Apartments - Mallory - 433"
"e88613bf-4947-4de7-8974-522ffe92e0d8","","","Independent Apartments - Mallory - 434","checklist","FALSE","FALSE","Independent Apartments - Mallory","117. Independent Apartments - Mallory - 434"
"901dac4f-401d-4dcb-80b4-ba69541e77b4","","","","folder","TRUE","FALSE","Independent Apartments - Scott"
"e233b02a-4fd3-4b37-b006-54a0aa68b00a","","","Independent Apartments - NC Equipment Cabinet - IA SCOTT - Carpark","checklist","FALSE","FALSE","Independent Apartments - Scott","3 and 153. NC Equipment Cabinet - IA SCOTT - Carpark"
"640d9ebe-6eac-40fe-a1fd-6bc71fcfd40b","","","Independent Apartments - Scott - 135","checklist","FALSE","FALSE","Independent Apartments - Scott","118 and 121. Independent Apartments - Scott - 135"
"092b5d91-f89d-4206-b312-3fbd83036857","","","Independent Apartments - Scott - 235/236","checklist","FALSE","FALSE","Independent Apartments - Scott","119 and 121. Independent Apartments - Scott - 235"
"742d3cc0-d431-49bb-a414-28dfc11db219","","","Independent Apartments - Scott - 235/236","checklist","FALSE","FALSE","Independent Apartments - Scott","120 and 121. Independent Apartments - Scott - 236"
"a8800bbc-108b-4cfb-b2ac-fb24283fefd0","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 136"
"9c85f6b8-fbc1-4a86-8b2b-604642de2022","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 137"
"5937e570-3b0a-437c-b985-89ae09b642f4","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 138"
"2061210a-116b-49ad-9f55-913b3e90e5f2","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 139"
"ba1cff5f-d819-4107-9023-b0f19b91d283","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 140"
"6a24066f-2b6e-448b-ba35-d927c4d8099e","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 237"
"2593dd69-a83b-425c-9681-576fb63e2144","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 238"
"e1515707-6210-409f-bb88-ce6faef63eef","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 239"
"9989acb5-eeb4-4eea-a350-7ceef50efa46","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 240"
"a4273355-33cf-4c99-aef6-ce3f7783d4b7","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 335"
"6e10aaba-800b-4e6b-983e-9e0e0131611f","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 336"
"5a15d91b-60ac-4cc4-a8f8-cb775410cad6","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 337"
"32bf4973-aabf-4c2f-b4fd-0dd4fb908fc5","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 338"
"329de236-d81a-4fb1-b942-e6e5f00c5525","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 339"
"2aa2e0c8-5def-46aa-8281-43c9dacf2e4e","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 340"
"58971a3a-169b-4d2f-a253-4c0368b810fe","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 435"
"566ea9dc-b25f-4264-b5a4-d4832956a2c6","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 436"
"dd3d610f-be8e-477b-9f1b-eb8cfaba75be","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 437"
"bb1a1056-a74a-4cf0-9cb2-93167a1a424a","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 438"
"15ad6b4a-0d08-4ee2-bdde-41985731cc65","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 439"
"0e5e5c6e-172a-45d4-8152-e63eecef144f","","","Independent Apartments - Scott - 136 to 440","checklist","FALSE","FALSE","Independent Apartments - Scott","121. Independent Apartments - Scott - 440"
"d3d8dbee-4b83-4459-9c2e-8d938926356b","","","","folder","TRUE","FALSE","Independent Apartments - Shackleton"
"b0868e03-8f83-41e9-a51e-e51e7f208d91","","","Independent Apartments - Shackleton - 146","checklist","FALSE","FALSE","Independent Apartments - Shackleton","122. Independent Apartments - Shackleton - 146"
"65eb6603-f54c-4d5d-bb2b-38163a7d26f9","","","Independent Apartment - Mallory/Shackleton - 121/433/146","checklist","FALSE","FALSE","Independent Apartments - Shackleton","123. Independent Apartments - Shackleton - 242"
"83299cab-2121-4eeb-977f-a092d8426aa0","","","Rest Home/Independent Apartments - Shackleton/Cook/Everest/Ross - Lounge 2/341/G77/374/170/191","checklist","FALSE","FALSE","Independent Apartments - Shackleton","124. Independent Apartments - Shackleton - 341"
"214e5ab2-57f0-4b23-b656-68aa5dae3771","","","","folder","TRUE","FALSE","Independent Apartments - Tenzing"
"1644b1c8-8669-4726-a279-3707bb54daeb","","","Independent Apartments - Tenzing - 150/159","checklist","FALSE","FALSE","Independent Apartments - Tenzing","125. Independent Apartments - Tenzing - 150"
"9aa0cad6-d7ab-45dd-95cf-74907203aa7a","","","Independent Apartments - Tenzing - 150/159","checklist","FALSE","FALSE","Independent Apartments - Tenzing","126. Independent Apartments - Tenzing - 159"
"b631bdc0-4812-4d44-aec4-91966929f0f5","","","Independent Apartments - Tenzing - 160","checklist","FALSE","FALSE","Independent Apartments - Tenzing","127. Independent Apartments - Tenzing - 160"
"8dbcf9c7-da73-4120-abe7-02a992f39069","","","Independent Apartments - Tenzing/Cook/Ross - 250/452/178/271/372/388","checklist","FALSE","FALSE","Independent Apartments - Tenzing","128. Independent Apartments - Tenzing - 250"
"90968278-f7d0-437d-ae40-86c0f2d9b589","","","Independent Apartments - Tenzing - 347","checklist","FALSE","FALSE","Independent Apartments - Tenzing","129. Independent Apartments - Tenzing - 347"
"95fc770d-2369-4d0c-ac78-e199e9889166","","","Independent Apartments - Mallory/Tenzing - 321/359","checklist","FALSE","FALSE","Independent Apartments - Tenzing","130. Independent Apartments - Tenzing - 359"
"e8021dd0-5e28-46ae-a3c7-ed07b740cd11","","","Rest Home Room/Independent Apartments - Tenzing - 329/450","checklist","FALSE","FALSE","Independent Apartments - Tenzing","131. Independent Apartments - Tenzing - 450"
"b740fab2-4d01-4d76-9407-ab041a71bb91","","","Independent Apartments - Tenzing/Cook/Ross - 250/452/178/271/372/388","checklist","FALSE","FALSE","Independent Apartments - Tenzing","132. Independent Apartments - Tenzing - 452"
"fcfb2b98-c9e9-4511-933b-e29750d53b67","","","Independent Apartments - Tenzing - 453","checklist","FALSE","FALSE","Independent Apartments - Tenzing","133. Independent Apartments - Tenzing - 453"
"37da2601-9dbf-4924-9794-bdaeb21261bb","","","Hospital - Hospital 2/3/Independent Apartments - Tenzing - Room 221/238/435/442/447/452/455","checklist","FALSE","FALSE","Independent Apartments - Tenzing","134. Independent Apartments - Tenzing - 455"
"6cb05623-e073-467c-b094-a88760484585","","","","folder","TRUE","FALSE","Independent Apartments - Cook"
"dc081278-5bac-4608-9b1e-d2952befe533","","","Rest Home/Independent Apartments - Shackleton/Cook/Everest/Ross - Lounge 2/341/G77/374/170/191","checklist","FALSE","FALSE","Independent Apartments - Cook","135. Independent Apartments - Cook - G77"
"ce2c3756-fbb5-4868-839b-fd5b76bcc344","","","Independent Apartments - Cook - Activities Female WC","checklist","FALSE","FALSE","Independent Apartments - Cook","136. Independent Apartments - Cook - Activities Female WC"
"420e8cd9-cc41-40f8-9dd7-402adf50a166","","","Independent Apartments - Cook - 175","checklist","FALSE","FALSE","Independent Apartments - Cook","137. Independent Apartments - Cook - 175"
