Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6
9a93f7c4-f16a-4bb9-a167-5a35572a44b1,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.14,ENSUITE Fit Off,
e49adaf4-3ed6-4464-bc6a-cfd8f6c70d96,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.15,ENSUITE Fit Off,
971d8e4e-a7df-4c0d-9351-1ea5979831be,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.18,ENSUITE Fit Off,
46af07bc-3e08-48ee-a31d-46a00a175708,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.27,ENSUITE Fit Off,
25b37187-58b9-49f6-be66-4bfb4989ab5a,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.28,ENSUITE Fit Off,
a44ca0a5-482d-411f-b247-f1a455561a25,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.32,ENSUITE Fit Off,
be6a2a4e-93a4-4d7f-82ee-f7c9d37b4b85,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.33,ENSUITE Fit Off,
239183a2-e674-4f62-b900-4eaa2058450b,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.01,ENSUITE Fit Off,
0a5d9306-a359-4fac-a575-584ff795ad3c,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.02,ENSUITE Fit Off,
dcab0600-678f-47a9-897d-ba63f2cc79c3,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.14,ENSUITE Fit Off,
3576da7d-f315-46fb-bf53-95cadfcf969c,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.15,ENSUITE Fit Off,
a6067d23-56bc-42e5-9efd-3bea646f8530,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.18,ENSUITE Fit Off,
a7128e54-0cc3-4f2f-9b40-9a2de44cd42d,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.27,ENSUITE Fit Off,
6f571396-54f4-4ea3-9876-5836f29ab160,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.28,ENSUITE Fit Off,
d8d0e1ec-afad-45fa-914b-362d0ac583a7,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.32,ENSUITE Fit Off,
3cacc08f-5cc6-4014-bb4e-7f88c3753eb9,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.33,ENSUITE Fit Off,
096fe9f1-6bad-4791-8c49-6646283f60e9,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 8,08.01,ENSUITE Fit Off,
a609706c-a99e-4c95-ae24-c78a9b7e85c1,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 8,08.02,ENSUITE Fit Off,
a88a10fb-3296-4070-b15a-a11ac5688d5a,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 8,08.14,ENSUITE Fit Off,
1474e2c1-a7ee-4ac5-b3ca-4b5a7ef25945,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 8,08.15,ENSUITE Fit Off,
327a7975-4a70-4653-a111-e1a848c3cda3,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 8,08.18,ENSUITE Fit Off,
d07f690b-b288-4475-874c-6b61795c5cae,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 8,08.27,ENSUITE Fit Off,
833a718c-c613-4fb2-a081-dd46186b847a,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 8,08.28,ENSUITE Fit Off,
ec0bd204-848b-4028-ba60-46d4daee092d,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 8,08.32,ENSUITE Fit Off,
8d956c10-9442-4506-b511-26f1f3d34891,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 8,08.33,ENSUITE Fit Off,
d3936bc7-2d84-4dcd-b6ee-a7edf5a7b613,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 9,09.01,ENSUITE Fit Off,
6b109b21-b434-4dd9-9722-5b51c968dd99,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 9,09.02,ENSUITE Fit Off,
2634e29d-8b8b-49d5-a96f-b91d47bffedf,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 9,09.12,ENSUITE Fit Off,
e01a81d6-0cb6-4754-90ec-6ba841e4cc8c,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 9,09.13,ENSUITE Fit Off,
63b55526-9043-4585-8905-685e28da2dd7,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 9,09.14,ENSUITE Fit Off,
29fb9f91-8500-4d0f-9e17-3f3371a1be90,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 9,09.23,ENSUITE Fit Off,
0a84b3b6-f0b2-4c09-940e-de51f0939530,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 9,09.24,ENSUITE Fit Off,
3bc71635-8ba3-4082-92d6-0aa609ab7684,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 9,09.25,ENSUITE Fit Off,
402d7f66-2656-485a-93f7-c88715311a7b,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 9,09.26,ENSUITE Fit Off,
7cf035d5-a74f-4550-ad41-ef24f5962b42,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 9,09.27,ENSUITE Fit Off,
4fead5fb-c4e9-4919-877c-fbce3d9e5b26,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 10,10.01,ENSUITE Fit Off,
8dc98a90-e85d-45ad-86ee-36f90a8443d1,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 10,10.02,ENSUITE Fit Off,
8706f42e-ea62-41b2-a8c0-6a41b9dacb0a,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 10,10.12,ENSUITE Fit Off,
c5b33782-8faa-456d-96b7-99a19da4a9da,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 10,10.13,ENSUITE Fit Off,
d750b8a3-65ce-4fe9-90cb-684bb45b8e58,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 10,10.14,ENSUITE Fit Off,
