"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"04580ef3-c649-440f-82a1-570ff7065ef4","","folder-normal","","","step","TRUE","FALSE","Ground"
"ca22566b-708b-45bb-b66e-1e64cf118f01","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.1-W1"
"83514af9-a5fb-5592-88f6-4199f3dfb415","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.2-W1","Glass installed correct way around"
"eea9c885-d66a-580a-b78b-dede0dc170bf","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.2-W1","Beads installed"
"b2719692-80c7-5e70-be24-2b3b3b5b9d69","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.2-W1","Wedge installed"
"3623693b-41e6-5bb9-824c-e15907c132ae","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.2-W1","Trade clean"
"1e4ff3dc-948f-433d-a5f8-bcb0109dbb2a","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.4-W3"
"4030c4cf-fe71-5415-9570-a87e51d256e2","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.4-W3","Frame prep"
"3406e17c-139f-5561-8fd6-2767c2bffd3e","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.4-W3","Glass installed correct way around"
"63e26489-9aad-5365-aa1f-db721bc2e83c","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.4-W3","Beads installed"
"ac9e2fc0-ff08-58f8-a3d3-baf1213f963d","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.4-W3","Wedge installed"
"31452962-36c8-55cf-bd07-6637f2c2ae62","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.4-W3","Trade clean"
"f5d464d0-f3e4-4a78-a356-09f6df48731c","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.5-W1"
"d3347bda-aadf-590a-a224-4839d3d82f69","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.5-W1","Frame prep"
"32575ef2-31ef-52af-b394-b218371ae0dc","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.5-W1","Glass installed correct way around"
"557fec1b-a538-5f71-b17a-9b66be372633","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.5-W1","Beads installed"
"16049fa7-f247-584e-8571-b2581027229b","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.5-W1","Wedge installed"
"90aea50d-1f28-5e53-9dea-91e290681512","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.5-W1","Trade clean"
"9e2320ab-20dd-4836-bfe9-5ced35079e39","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.6-W2"
"dfe61666-aaa4-597f-b98d-66ed023926f9","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.6-W2","Frame prep"
"19952f01-1212-5893-8963-f6cdac029797","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.6-W2","Glass installed correct way around"
"e1190087-90a8-590d-91e3-0618e61d1b0b","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.6-W2","Beads installed"
"bc822472-18e1-51ab-bcf5-0cfcbf70c6df","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.6-W2","Wedge installed"
"fe96340d-2bdc-510e-8b28-5c2f751dff3d","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.6-W2","Trade clean"
"f8a2f4da-5539-4264-8139-13a7eb242d04","","checklist-flat","","QA - Captive Skylight","checklist-flat","FALSE","FALSE","Ground","G.3-W1"
"bb2d3d5a-10fa-546b-9475-ffbc1093c412","","checkpoint-status","","QA - Captive Skylight:f5fe5b16-56ba-430c-9e5a-7eef1a13d0d8","","TRUE","TRUE","Ground","G.3-W1","Frame prep"
"d0ff118d-067b-5c2d-9bcc-594e3f322fe5","","checkpoint-status","","QA - Captive Skylight:0550e3c8-7c90-4ddf-81c2-31ddc188b403","","TRUE","TRUE","Ground","G.3-W1","Check feet are installed"
"eda02d42-6487-5fe2-ada8-34e56c24c4bc","","checkpoint-status","","QA - Captive Skylight:82d23771-08d3-4ecc-b947-9d071dcb7233","","TRUE","TRUE","Ground","G.3-W1","Glass installed"
"50e721a5-85fc-5d43-a90f-569efb349fd0","","checkpoint-status","","QA - Captive Skylight:4622ef1d-7353-41f3-91f5-6967474f0cb3","","TRUE","TRUE","Ground","G.3-W1","Beads installed"
"6f3d0a10-1063-53dd-b258-efa539d6cfcd","","checkpoint-status","","QA - Captive Skylight:da0ddde5-06fa-483b-8bed-bb836013c95c","","TRUE","TRUE","Ground","G.3-W1","Correct wedge installed"
"9a2df7bf-b00c-5144-87f0-0202ebd00e67","","checkpoint-status","","QA - Captive Skylight:9dc728d7-8d17-4594-8710-9dbce537a9b9","","TRUE","TRUE","Ground","G.3-W1","Silicone joints"
"f1bd43e1-f103-54f9-8ae8-6eb084a4597f","","checkpoint-status","","QA - Captive Skylight:1ad1d5a9-a061-44d6-b8c3-c87da1436671","","TRUE","TRUE","Ground","G.3-W1","Trade clean"
"55ddf93f-ff45-43fc-8855-547b1d57b9f8","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.4-W1"
"42f3c32e-e552-5380-ad81-7cab3c036269","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.4-W1","Frame prep"
"c3211e7c-dc82-5d7f-b2ff-ac30b630b0ee","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.4-W1","Glass installed correct way around"
"ce7a87d1-7a07-5bd8-a61c-cfe0edd4e49c","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.4-W1","Beads installed"
"fde2ac45-8d18-55e7-923b-51b75a6233e8","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.4-W1","Wedge installed"
"0d5d8f61-9938-5b51-a822-144dd0a66ea8","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.4-W1","Trade clean"
"d8346060-3c51-48f8-9f5c-411c26dadd79","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.5-W3"
"53c16222-53a6-5845-8360-47b6ac5d4438","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.5-W3","Frame prep"
"11adc9bb-9b48-53aa-831d-5a7599ff6ef7","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.5-W3","Glass installed correct way around"
"a63206f7-3d45-5fe3-9af2-6a25fcad3959","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.5-W3","Beads installed"
"69ac5451-49cf-510e-b37d-5fd202e27a32","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.5-W3","Wedge installed"
"d37dbd36-627c-501e-bac6-b4caba9de618","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.5-W3","Trade clean"
"c37c638f-f78b-4d15-b2a1-3c2f47489570","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.6-W1"
"2103270b-6748-53b7-9298-efd885b6fa91","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.6-W1","Frame prep"
"79f7fbd7-cf56-5e2c-b7f5-5746705f15ee","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.6-W1","Glass installed correct way around"
"dd5d4809-a15b-55ae-a7dd-0646659f97d0","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.6-W1","Beads installed"
"27fca9f6-3484-5000-aa1d-a1ded54cb7e8","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.6-W1","Wedge installed"
"ef8c249d-46e0-5de2-9a14-f388c0803280","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.6-W1","Trade clean"
"f3ad62d6-d9d6-4b1b-a69a-60fff51eb108","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.7-W1"
"78e0ec12-ebc1-5fae-814b-a660b583d715","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.7-W1","Frame prep"
"5612d5ac-fe8a-51b3-a4f2-501b4cf7087e","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.7-W1","Glass installed correct way around"
"83bd93d8-84cb-56d9-a40a-08b6a3104f61","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.7-W1","Beads installed"
"6363e122-a0bb-57d9-9bc9-0a0ed56a559e","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.7-W1","Wedge installed"
"e400fc4f-ee28-54e7-80d3-dae9d0617bd8","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.7-W1","Trade clean"
"0392fcf3-8ef4-41aa-87af-a9747af52c71","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.7-W2"
"a9b05b72-b36b-5538-8dcf-9d70881fb6d3","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.7-W2","Frame prep"
"d661d6be-35e2-5072-b9d7-1d6256abc24b","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.7-W2","Glass installed correct way around"
"4b4542ac-ed8c-51e4-93a2-e6258870e572","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.7-W2","Beads installed"
"b04b5190-a3e6-58fb-a6bc-c0831d68a19a","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.7-W2","Wedge installed"
"49a27a15-70c3-579e-bbb7-20248d91b251","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.7-W2","Trade clean"
"48eda5a4-96a0-4f51-84bc-89d0884940ab","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.5-W2"
"bc4c8b98-f10f-5cf9-9e07-64ce54cb67d1","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.5-W2","Frame prep"
"7dadd773-118e-5d4a-84a3-e47cd5720542","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.5-W2","Glass installed correct way around"
"11fd38ab-b1cd-51d5-8cfe-e9a5dac4e383","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.5-W2","Beads installed"
"171c8721-8036-5b8b-889c-99a137def6e0","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.5-W2","Wedge installed"
"cf5e7755-6e49-5884-ae77-eeaef439da77","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.5-W2","Trade clean"
"a42ab640-9a11-45cf-b7ec-d2e4c6f1eef1","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.4-W2"
"c189d7b9-5323-5fec-b2ba-eb32a87634dd","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.4-W2","Frame prep"
"007a9d53-c2e7-50fb-8c53-70377c00cb4f","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.4-W2","Glass installed correct way around"
"57aa65b4-430b-5be7-b1c1-c73528381c47","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.4-W2","Beads installed"
"dc697a64-e8e0-58f5-8b2a-d2b6cc565739","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.4-W2","Wedge installed"
"800263bb-edc0-5a85-9523-cb02c940e361","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.4-W2","Trade clean"
"f43a6bf8-4385-4b63-b0f1-0799011d337b","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.W104"
"11210fe0-e01c-5a12-a427-e8c75a6e06f9","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.W104","Frame prep"
"1916a228-44cc-5063-85e6-80c4681ab045","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.W104","Glass installed correct way around"
"41a4b7df-897c-57f2-a1c8-4bed180ed18d","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.W104","Beads installed"
"553a9768-bdaf-5d83-8126-d4068fe821a2","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.W104","Wedge installed"
"b775f69a-3997-560e-9df2-83db9600a5b1","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.W104","Trade clean"
"2e1eab7f-6f6e-4d00-860f-efc6b811c4c7","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.W107"
"2242c0cb-7c8b-5bfb-8191-2f2ee9807646","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.W107","Frame prep"
"dd8119a6-6ffe-5d77-9931-5b48c5383b54","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.W107","Glass installed correct way around"
"0b96f3f0-e52a-5511-8227-8ce873a8f4c1","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.W107","Beads installed"
"7380cc04-1473-51f4-ba88-021f5e89d035","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.W107","Wedge installed"
"527e5aee-78cf-5fae-ac1c-7ca40759488b","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.W107","Trade clean"
"b43e07d7-bc7c-4af6-b80a-8b1b38fe07d9","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.1-DE7"
"97e52c4d-3d16-5336-8863-02c4c88e5936","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.1-DE7","Frame prep"
"7883e678-1df8-574c-a6a8-ec1cb85c97da","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.1-DE7","Glass installed correct way around"
"037f56b2-07ca-57f6-b737-4f410a16482b","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.1-DE7","Beads installed"
"bcf7ff53-e1d5-5177-a1a8-30cb5b06a401","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.1-DE7","Wedge installed"
"10f73190-8c44-5947-9b63-e073641e1e55","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.1-DE7","Trade clean"
"a2e048fd-4906-479f-984a-14755974c641","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.2-DE7"
"bda5b8d0-2fe0-5668-b449-a446b0ea4806","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.2-DE7","Frame prep"
"984f023b-6625-5099-9bfc-8892862d9051","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.2-DE7","Glass installed correct way around"
"c6ad987d-99c3-5a70-8fb1-6ce3922aef71","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.2-DE7","Beads installed"
"0e28c23b-680a-576c-aafb-7c49ce4a18ac","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.2-DE7","Wedge installed"
"38b4a17f-3f23-5e07-a255-3d8de93f9317","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.2-DE7","Trade clean"
"4fd99c04-bfc8-47e5-94e9-db1700892c7e","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.3-DE7"
"acfbd2f4-1dc4-5a12-adba-0ade3c20bdce","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.3-DE7","Frame prep"
"fc4f6e6c-85a0-51a5-9c5a-7132cf69f931","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.3-DE7","Glass installed correct way around"
"dd65902c-be22-5ad7-94be-383ef43322be","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.3-DE7","Beads installed"
"090fa790-8ca5-5c24-8d43-cb57c7fe666f","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.3-DE7","Wedge installed"
"a5b6a6fb-477f-5998-9f5f-53d0ff0f878b","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.3-DE7","Trade clean"
"914f0afa-c6be-4c46-ae68-551449509973","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.5-DE10"
"fd4a4e3f-f8da-5299-85f6-1c19b424d813","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.5-DE10","Frame prep"
"5cda3acf-535e-539d-92a2-15eb6e280628","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.5-DE10","Glass installed correct way around"
"7172800b-e7fe-5735-b43d-cf305fd5b56b","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.5-DE10","Beads installed"
"0dc312b2-b9c2-5cc2-8d46-3ae52b15ca90","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.5-DE10","Wedge installed"
"16fc1e33-1445-58b2-a808-9f43c8456167","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.5-DE10","Trade clean"
"9d2ff11d-d072-49fa-94cd-9ada24accaeb","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.4-DE10"
"8ad2fc53-00f3-59c5-9654-3657da14d0e9","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.4-DE10","Frame prep"
"9eb07a1a-7ec8-5bac-9e1f-fff0b4fea01b","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.4-DE10","Glass installed correct way around"
"55f19062-60a7-536e-8f57-2672c0794042","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.4-DE10","Beads installed"
"07cc667b-64b9-5cec-a184-d7003c1a738d","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.4-DE10","Wedge installed"
"f36a884e-7cbd-5541-9648-34f1e50936e4","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.4-DE10","Trade clean"
"9edaa783-13b2-4501-9142-800c12156b67","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.6-DE7"
"b504a3f1-9d25-5a49-a377-6455136cda81","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.6-DE7","Frame prep"
