resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,407. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,408. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,409. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,410. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,411. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,412. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,413. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,414. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,415. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,416. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,417. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,418. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,419. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,420. ROOM (ACC),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,422. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,423. LIFT LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,424. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,425. HOUSE KEEPING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,426. SERVICE LOBBY,,,,,,,,,,,,,,,,,
,step,,,,Level 5,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,501. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,502. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,503. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,504. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,505. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,506. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,507. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,508. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,509. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,510. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,511. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,512. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,513. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,514. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,515. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,516. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,517. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,518. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,519. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,520. ROOM (ACC),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,521. STAIR 1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,522. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,523. LIFT LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,524. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,525. HOUSE KEEPING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,526. SERVICE LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,527. STAIR 2,,,,,,,,,,,,,,,,,
,step,,,,Level 6,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,601. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,602. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,603. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,604. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,605. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,606. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,607. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,608. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,609. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,610. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,611. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,612. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,613. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,614. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,615. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,616. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,617. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,618. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,619. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,620. ROOM (ACC),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,621. STAIR 1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,622. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,623. LIFT LOBBY,,,,,,,,,,,,,,,,,
