Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,,,,
3e231455-5627-5e9c-8db7-8fa5f8d43fd2,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1107/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
a41ca55a-4832-5104-bb50-48f9456fb9bc,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1107/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
cf79e550-a9ae-55e9-b965-612d755efbdc,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1201/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
7c2008e1-441f-5057-a5b6-b6fe7a456b4b,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1201/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
c9949cea-2c76-58e8-82c3-1c585644c76e,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1202/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
d05bc20c-2c7e-55c7-b2b8-121717a4e79a,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1202/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
38f1ee21-2114-5049-9d3e-f7b1e46ccbaf,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1203/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
032d872c-ec4e-5df1-a8fe-c6aa4949a904,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1203/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
851f2799-ca3b-597d-92cf-740ec40b84e6,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1204/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
f920ce94-aa37-5952-9629-6550c799694f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1204/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
f2e77888-511b-5e95-8647-ef5748a8e3b1,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1205/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
c3ee8db8-6f9f-5056-8b03-bc6b14ae56d4,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1205/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
68451366-de78-57d1-9461-720542443628,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1206/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
58d25dd3-6278-5eed-9d4d-7fb8e0ae4ff0,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1206/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
c7db4c22-094c-508e-9b99-2c0c5ed8db00,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1207/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
6afcb2a9-9e7c-5be5-8b39-6da1f089ba15,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 12,1207/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
1fa514a1-8fe0-563a-b3fd-f07dfd2c91f8,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,601/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
7fead4e4-0bc1-5348-afbb-fcb8e34ca0bb,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,601/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
be06c49b-52a3-5f0e-b69d-23c806c23a46,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,602/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
911f3095-fbfb-5c6e-97b2-967ecdcf4948,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,602/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
237256f2-4162-5ca2-a0a0-401d50a6c623,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,603/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
048c20f4-e251-5357-8a4b-c9e7bc6ae061,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,603/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
fe52a4d7-1d19-5d85-965c-d956e03e4db0,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,604/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
25cb8d87-8c1f-5d09-95b9-65c9e165e5c5,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,604/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
9fd8e51e-633f-583e-bdaf-62a2bf7a5f89,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,605/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
74405888-98f8-5ac8-bc51-41f9161c67ba,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,605/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
d175c91a-780e-5893-a250-de21291c0ff1,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,606/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
c2811c38-ed8d-5e51-bc88-841348e91c67,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,606/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
82d9f673-9fcf-5c01-a247-5b91a7137e60,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,607/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
29ea5b6f-e43e-50ea-9fea-69f88169b60d,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,607/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
38da909b-cdc9-576f-82fe-67f9f8d02fda,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,608/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
848306f8-5786-585f-86eb-211c40515aeb,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,608/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
6acc3657-a1b3-582e-943e-198af6a9c121,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,609/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
32601ff9-2661-5e28-b02b-3e74d2ef2af6,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,609/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
fe958a70-6a99-5670-9d71-82f662893f5c,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,610/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
742e8fb8-3899-56c4-967a-715ac3580b1e,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 6,610/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
4c6501cd-7305-5249-8f04-e89e8a420c8e,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,701/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
ca7a4e73-f21b-5a85-b1f1-1cb1c8c4b3e8,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,701/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
75e94fcc-6366-590f-af02-1f21190055c3,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,702/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
b4039227-38b1-5173-a551-0f20b11ec7e3,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,702/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
5cb774b9-b011-54c6-b7b2-af68fb66dcfd,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,703/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
0db43fdf-e956-58bf-bec8-03761823671a,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,703/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
dace598f-24ed-59bb-a521-7d25b89e4469,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,704/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
fcab8c2c-783b-55c1-8fa2-e3cbe83c320b,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,704/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
6dd581f5-c692-5396-96f1-488a27f11b38,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,705/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
57c6c48c-f691-51e4-ba74-edf260d8a8dc,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,705/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
3fa7f071-e1bb-5517-b63a-02ee151b5f86,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,706/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
a71cc554-655d-5317-8c55-91aa6128a2f4,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,706/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
082d6408-7b5a-5ba2-85c4-5706a11687ea,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,707/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
c7ba64a9-6f65-5298-a74c-9c8c8887962e,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,707/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
3e40dfa7-a54f-5c44-bd39-76dd5b79c651,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,708/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
ce66bf7d-e0ce-5906-9d0f-63eb715e9232,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,708/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
c9057965-de08-559e-addb-e82776fce74f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,709/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
6760b0e6-f8de-5af8-b060-aec3ccadbf93,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,709/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
4f16018c-d6e6-57b1-bf10-d4ab336bce89,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,710/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
55c65fb4-c4f2-59a2-bfd5-36c639c5afc9,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 7,710/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
2adc4e68-0a5d-5583-b5c9-ad24aee2fcfd,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,801/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
d3e8123e-0093-5c08-a850-67946976b8c2,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,801/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
9a3bd5fb-625d-535b-bca1-bae49ef769d9,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,802/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
b121f0fc-6b97-585c-b15f-44ccab3f4b62,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,802/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
bcdd34d7-7526-5f76-acef-75824bbf5714,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,803/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
d8990617-05c7-52ac-ad52-5a7d5651fd85,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,803/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
b9116aa8-c279-5a3f-8533-af26b4903e67,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,804/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
7745c54b-1fde-56eb-9a04-a5f764b639b3,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,804/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
9a921994-f386-538c-8d0f-39f8abb3a92a,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,805/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
d9a56831-372b-5139-9cdd-1196a52a1483,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,805/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
684b894b-31c4-5923-9af6-6475cd1ab68e,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,806/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
cb0406e5-9eb8-550f-9083-05274387fb87,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,806/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
43d49382-97cb-5eff-9a9e-204b6429498c,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,807/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
4fa8f36f-18a5-5935-96a2-0278703ea8f4,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,807/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
379624b3-c30a-547e-a573-0680129e6113,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,808/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
b8419b38-5e83-55e7-979e-e75319051bcf,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,808/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
dd884d8f-7985-5a73-9bd8-3a66e70bc9b6,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,809/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
877065ef-4e4c-5947-b58f-e08d4fad07d6,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,809/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
23b59526-df16-56ba-9304-231f7b389e93,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,810/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
50c1029e-e47a-52cc-b00b-040c1d556822,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 8,810/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
e50d8902-6ee6-573b-b3ed-630f77705c5d,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 9,901/139B,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
4ce46a1d-2b50-54e5-83ad-1eac3a55373d,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building B,First Fix,Level 9,901/139B,Other,For Studio apartments clothes dryer kit installed,,,,,,,
