"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8b19d7f2-a6bb-43f9-8a0c-ffa1cbd1cb5c","","folder-normal","fail","","step","TRUE","FALSE","Asphalt Production"
"a78ba421-8f61-4479-8883-c622f396be70","","folder-normal","work-in-progress","","step","TRUE","FALSE","Cold Planing"
"c44e8c7e-43db-4a08-86f8-24268286d15b","","checklist-sectioned","pass","734761a0fbc1f9b4c774da22362d4a76efd931f7df88db208240d78d65449782","checklist","FALSE","FALSE","Cold Planing","221106-PB-001"
"ef73433c-abae-4ef7-8221-9a9677950c8d","","checklist-sectioned","pass","734761a0fbc1f9b4c774da22362d4a76efd931f7df88db208240d78d65449782","checklist","FALSE","FALSE","Cold Planing","221107-PB-002"
"a08737f8-9770-4a01-a45c-4c2f35b95d59","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Cold Planing","Completed"
"7dc8f770-aaf8-48d6-8e1b-ee5f1ce9e3e2","","checklist-sectioned","pass","734761a0fbc1f9b4c774da22362d4a76efd931f7df88db208240d78d65449782","checklist","FALSE","FALSE","Cold Planing","221108-PB-003"
"79a6b46a-145a-48d4-9b69-af81e0dafabe","","checklist-sectioned","pass","734761a0fbc1f9b4c774da22362d4a76efd931f7df88db208240d78d65449782","checklist","FALSE","FALSE","Cold Planing","221109-PB-004"
"cc43016a-1145-4dd1-91fc-076a43c061e3","","checklist-sectioned","pass","734761a0fbc1f9b4c774da22362d4a76efd931f7df88db208240d78d65449782","checklist","FALSE","FALSE","Cold Planing","221114-PB-005 ITP005 - Cold Planning"
"debfdf3b-af87-489b-bf79-707c1d2d5d67","","checklist-sectioned","pass","77af6697294b98a49ea8c2cd08c0ba843ec0f28c792f5b2d466ff60d3d71c15d","checklist","FALSE","FALSE","Cold Planing","221115-PB-006 ITP005"
"649c149e-5b93-4bd9-ac97-392327973950","","checklist-sectioned","pass","77af6697294b98a49ea8c2cd08c0ba843ec0f28c792f5b2d466ff60d3d71c15d","checklist","FALSE","FALSE","Cold Planing","221116-PB-007 ITP005"
"2cfe3ff4-ceef-4fd5-81ee-1a2d784b9777","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221117-PB-008 ITP005"
"82dc9358-d7c5-457f-9047-556d1917e1d0","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221121-PB-009 ITP005"
"768834eb-7e50-4301-a556-2e7d3087ef0c","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221122-PB-010 ITP005"
"afc0b1b7-a84d-498c-be52-b6a20ec86532","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221123-PB-011 ITP005"
"06fa63f8-15af-4875-8ac8-c4ea3bb3605f","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221124-PB-012 ITP005"
"d2e65c56-fb63-4312-8baa-ff85ce4acda2","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221127-PB-013 ITP005"
"cef7174f-e740-4307-b0b6-02b04e3f0160","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221128-PB-014 ITP005"
"8d505087-f81e-43e3-bdfd-2435d2104828","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221129-PB-015 ITP005"
"e6edf1a4-1b19-4fbc-82de-e83a0e072859","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221130-PB-016 ITP005"
"c4247ed9-8afa-4d75-9e48-373245858ef7","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221201-PB-017 ITP005"
"b539294a-6c80-4f05-bcd4-95cabdab4e56","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221206-PB-018 ITP005 "
"619b15d7-8b31-420b-9797-df8fc976a7b6","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221207-PB-019 ITP005"
"246da52d-b185-455f-8966-35c8017155b9","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221208-PB-020 ITP005"
"742d0b67-5897-4b8f-8c63-fd1e47331230","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221209-PB-021 ITP005"
"448fc82d-41bd-4b12-aed1-54f094302f41","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221213-PB-022 ITP005"
"93c4adf3-1c16-4071-b237-b6cba3bc9718","","checklist-sectioned","pass","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","221215-PB-023 ITP005 "
"069cdd24-330c-48fb-a7c2-9cb612a68043","","checklist-flat","pass","ITP005 - Cold Planing - Prelim Works","checklist-flat","FALSE","FALSE","Cold Planing","221219-PB-024A ITP005 - Cold Planing - Prelim Works"
"20311ff7-60fa-455f-be3b-65d0c15482cc","","checklist-sectioned","work-in-progress","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Cold Planing","ITP005"
"8821a568-6185-4326-8994-b1f7bc055088","","folder-normal","fail","","step","TRUE","FALSE","Asphalt Placement"
"0ed62770-4730-407c-8334-dae0df7a4a40","","checklist-sectioned","pass","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Asphalt Placement","221027-PB-TRIAL ITP012 - Asphalt Placement"
"9b382b33-3f98-46c3-86b1-7a8e8c1e2411","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Asphalt Placement","221105-PB-000 ITP012 - Asphalt Placement"
"1804a6dd-6ffe-4cf5-a190-58ba862d6043","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Asphalt Placement","221106-PB-001 ITP012 - Asphalt Placement"
"f7018e64-bf8f-4f2e-a714-0c3933f14e4b","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Asphalt Placement","221107-PB-002 ITP012 - Asphalt Placement"
"921d8396-7256-491a-bef3-79ef1380aef9","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Asphalt Placement","221108-PB-003 ITP012 - Asphalt Placement"
"355335d5-dee8-4aa6-b91c-57e57ddabb31","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Asphalt Placement","221109-PB-004 ITP012 - Asphalt Placement"
"edf68a57-416a-4891-a5e1-5087e6cb0351","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Asphalt Placement","221114-PB-005 ITP012 - Asphalt Placement"
"3e11c045-e119-453d-a1d7-ba4ea244c504","","checklist-sectioned","pass","1b646f2c7db592a3d99e4e21c523929df2e056e7329177e5f64d3024379558c8","checklist","FALSE","FALSE","Asphalt Placement","221115-PB-006 ITP012 - Asphalt Placement"
"ed0ffecf-57d6-499b-a60d-b257735b1ea8","","checklist-sectioned","fail","1b646f2c7db592a3d99e4e21c523929df2e056e7329177e5f64d3024379558c8","checklist","FALSE","FALSE","Asphalt Placement","221116-PB-007 ITP012 - Asphalt Placement"
"4a477fc4-ace3-4c89-862a-77cea86e9a67","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221117-PB-008 ITP012 - Asphalt Placement - Main Works"
"dfed19cc-4b26-4112-9dd6-6838f772754d","","checklist-sectioned","fail","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221117-PI-008 ITP012 - Asphalt Placement - Main Works"
"46bfc971-17e4-4d5c-9e82-25336d9c2c29","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221120-PB-000 ITP012"
"e444652f-a697-4d21-bc02-207813d72bed","","checklist-sectioned","not-started","SYS - ITP012 - Asphalt Placement - Main Works (old version)","checklist","FALSE","FALSE","Asphalt Placement","221122-PB-009 ITP012 - Asphalt Placement - Main Works"
"22386270-8b43-448b-974f-e27a8684be41","","checklist-sectioned","fail","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221121-PB-009 ITP012 - Asphalt Placement - Main Works"
"f534d816-0a40-4d7b-ac75-3a4f4ba9ec04","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221121-PI-009 ITP012 - Asphalt Placement - Main Works"
"732cf642-ffa3-4fe4-af30-eaa5c4ae8763","","checklist-sectioned","fail","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221122-PB-010 ITP012 - Asphalt Placement - Main Works"
"8684c4fc-4b31-4803-8386-2a868e77da57","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221123-PB-011 ITP012 - Asphalt Placement - Main Works"
"61f5f28f-5827-4875-93f2-bf8bcc01cfe3","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221124-PB012 ITP012 - Asphalt Placement - Main Works"
"24738b54-e8d6-43aa-8b61-8f0c96e0e011","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221127-PB-013 ITP012 - Asphalt Placement - Main Works"
"f73c535a-1047-4293-a7c5-c313df5fe6c2","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221128-PB-014 ITP012 - Asphalt Placement - Main Works"
"2e5ef603-caf5-4c4d-9dad-ada3a9a20048","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221129-PB-015 ITP012 - Asphalt Placement - Main Works"
"684e2884-1d9e-4828-afdb-b7d9308aff52","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221130-PB-016 ITP012 - Asphalt Placement - Main Works"
"00d2138c-2528-4529-a9eb-9922661b6046","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221201-PB-017 ITP012 - Asphalt Placement - Main Works"
"13a08523-2114-4f29-8ad1-0c617f676e90","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221206-PB-018 ITP012 - Asphalt Placement - Main Works"
"71a077b2-2970-4df0-9061-4530e0dbb513","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221206-PI-018 ITP012 - Asphalt Placement - Main Works"
"436fda73-7858-4a05-b8e0-9ecaded6493c","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221207-PB-019 ITP012 - Asphalt Placement - Main Works"
"5e898d7d-e1a9-463f-be75-63a820bc6ad4","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221207-PI-019 ITP012 - Asphalt Placement - Main Works"
"bd3fa2f6-496c-467a-9377-c9638fc2a753","","checklist-sectioned","work-in-progress","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221208-PB-020 ITP012 - Asphalt Placement - Main Works"
"48e483d5-b65c-4aab-9cdd-68f7083b65dd","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221209-PB-021 ITP012 - Asphalt Placement - Main Works"
"18b0edb0-8c3f-4c29-bdb7-089717c643f6","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221213-PB-022 ITP012"
