"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b21ae1a3-c892-48fe-ab44-c237c6940c2d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"2d32a65d-11cd-4b61-96ba-3be2cac30995","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 3"
"3fc7feee-3764-4d18-a274-b775c5d74419","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 14","Speedpanel Checklist"
"be57de35-76b5-48cf-ab57-1a8a5ad7df5e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 15"
"09bdf888-644e-4f18-b0d6-8d0329b88ded","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 15","Set Out"
"17cb608e-320d-4816-bed5-34c4ed9de40a","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","Amenities"
"6c1b993c-74f5-476d-8ae9-85cb88b301df","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","North"
"623fdd67-17f3-4e31-a215-5aefa3300b20","","checklist-flat","pass","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","South"
"c22b53ed-b75c-4fb4-ae2e-9ef7cdde8f7b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 16"
"019adb52-4f7f-4014-89a6-bae9f3f6b0ef","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Amenities"
"6144dafa-e59e-4a58-94eb-172547d23462","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","North"
"71bffb4d-b8ef-4e6f-b5c3-62252a2e65df","","checklist-flat","not-started","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","South"
"c185f47f-4678-4300-8440-eb5fee132224","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 17"
"07d68ffa-71cf-4888-9471-313b6fedb486","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Amenities"
"ea3b0ae5-c0f5-4af0-8540-78b7f0a8c726","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","North"
"41da2101-298b-4ee6-8087-09bf0f4a4bd1","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","South"
"a3df5f4b-077a-49e9-9d69-d5fde93b8081","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 18"
"47c234a5-b26c-4bc3-a825-9a63a59d7ec0","","checklist-flat","not-applicable","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","Amenities"
"e5c99fd1-3b6a-4784-8bf5-f2a545344435","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","North"
"1ff71f27-1c50-41d8-914b-c9e59b794823","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","South"
"42081fd6-05c7-40e3-9668-12d2614729c2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 19"
"294d9d83-1dff-4114-9589-22b898fbdf31","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","Amenities"
"2e480da0-7fb9-4da7-b641-61e51e915967","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","North"
"9458fdf7-ecfc-4b37-93d9-6bff6c64ee0d","","checklist-flat","work-in-progress","Speedpanel checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","South"
"acea0946-3fe2-42fa-a5a9-44f5234d906a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 20"
"ac6840b4-f52c-4792-aa55-8eb31906aafa","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 20","Amenities "
"9124c2f0-99ca-4ab6-8448-778ac0f2aa33","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 20","Amenities ","Set Out"
"ee8bb054-7509-4dd9-8457-0cb133db7394","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Level 20","Amenities ","Amenity framing"
"af4529a1-32f6-48eb-8b96-05c9b4d70321","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 20","North"
"60c11c3a-23f1-4e75-9bdf-18ff1912879e","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 20","North","Set Out"
"116a3567-5bcb-4e7d-ad59-74a034b1842c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 20","South"
"43616730-3551-432d-821c-c2c58dcd5448","","checklist-flat","work-in-progress","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 20","South","Set Out"
"d206aeb9-bdae-4a24-a61a-984b604612db","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 21"
"6d169199-0b9c-4e3a-8ca9-00045cfd9a32","","checklist-flat","work-in-progress","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 21","Amenities"
"6a4400bd-83e4-4faf-a193-7bab8d02bdef","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 21","Floor Plate"
"672d685a-c8bd-44e1-b9ea-f2145efad14e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 21","North"
"dc6f3b61-7a59-4b77-8e19-3e38640f439b","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 21","North","Set Out"
"ccd389ba-c636-4711-bc69-bbb4de5215b4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 21","South"
"18c09546-8e31-47e5-b79b-b59ddc78a236","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 21","South","Set Out"
"3d39432f-da4a-4432-81eb-adef1a41a92d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 22"
"d66394fd-75dd-483f-9ba8-4d798df33cc1","","checklist-flat","work-in-progress","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 22","Amenities"
"7f91d3b3-5b91-4379-b5c5-d5bab4c40f61","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 22","Floor Plate"
"176c94c6-c80a-4365-8232-8a34a8ed5f92","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 22","North"
"3b5671c4-8d6b-4a8e-befe-d9e55e7225c0","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 22","North","Set Out"
"ef86daef-4ef9-4e0f-b10b-d20e2d662678","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 22","South"
"7310e133-7f38-4e1e-a1cd-7769c4b39710","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 22","South","Set Out"
"74a6fa51-de21-4b74-9cad-50281f351458","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 23"
"65aa39dd-8019-4cbf-b90d-80b728a2a4fe","","checklist-flat","pass","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 23","Amenities"
"c9ba4fa1-1e35-43bc-89e0-aee8a1d03735","","checklist-flat","work-in-progress","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 23","Floor Plate"
"1fd5f773-2496-4b13-87ae-6da3e10264c9","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 23","North"
"45755568-af73-4736-915b-7258dca093eb","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 23","North","Set Out"
"d6d45423-5616-4027-a8e4-6a4f8ee2aef5","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 23","South"
"4dd701d1-2ccb-4650-89b2-7677084ff8d9","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 23","South","Set Out"
"8fdfbb26-affc-4771-a2be-063bd9fdc446","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 24"
"b7b8e9ed-065d-4781-b1ad-cc4d34733fe3","","checklist-flat","pass","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 24","Amenities"
"289995ad-4bff-42c5-9fa9-4a519a90661c","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 24","Floor Plate"
"6ad1ce92-1ccf-4a9c-9119-ebe7fd569da5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 24","North"
"b94590f3-cdaf-4728-8e90-77054b3808a7","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 24","North","Set Out"
"cc2a0618-4412-40a4-a552-84e17499ac66","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 24","South"
"5a4474c7-7963-4ec2-a9bd-79a2df4490b1","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 24","South","Set Out"
"15c33dd8-d32b-4f2c-b575-e69d0c4d6d80","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 25"
"0427873f-b39d-4052-86c4-a1c4fd0733c7","","checklist-flat","work-in-progress","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 25","Amenities"
"8e398171-5c4f-495d-b256-8ffa2ffe916a","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 25","Floor Plate"
"74d7696b-5d08-4532-af3d-50e9df1c8de0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 25","North"
"356b4ee5-7fcd-4f12-9f99-ef8d2f2130df","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 25","North","Set Out"
"87d18a1e-d8bb-460b-a8a7-ad51c8680ced","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 25","South"
"9bc27a6e-2551-44a4-ae6b-484d0794a1e3","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 25","South","Set Out"
"97b2302d-87de-436b-826a-486492ddb566","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 26"
"33be135f-1f3c-4b9a-ad31-709ed06333b7","","checklist-flat","work-in-progress","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 26","Amenities"
"cc87fec2-6b17-4f32-b217-500e1b2893d5","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 26","Floor Plate"
"b29c3a6d-8a34-4eae-9005-6cafe73b981b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 26","North"
"2455c743-50bb-4529-85a1-84b4a9566593","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 26","North","Set Out"
"31cca93f-70c3-444a-89b2-dbcd17d8db0d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 26","South"
"51157f08-4ee1-4908-8b58-4bf055c42322","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 26","South","Set Out"
"1c321b0e-696a-462b-8b05-5a84c40c21c0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 27"
"d379cafc-beb0-46dd-aea5-b95dc2db47fb","","checklist-flat","work-in-progress","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 27","Amenities"
"9a39879c-3fcd-4400-9a4e-9427c2f002b4","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 27","Floor Plate"
"2fe906fa-ee28-4f73-8b5a-fea9d9c182c9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 27","North"
"1bab026a-9b6f-4d21-91ea-fb24b5e75a74","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 27","North","Set Out"
"1c050150-3685-4cd1-bf01-e45e42b70458","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 27","South"
"ef02519c-8f74-41f2-9fa4-c4a9f4f0e221","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 27","South","Set Out"
"6f1f79a5-1097-4c7c-8279-d6d064f97a9c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 28"
"a6f94c42-986b-490e-9a3b-7577c1aad521","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 28","Amenities"
"9509e30c-5517-44dc-acde-b2556291733a","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 28","Floor Plate"
"2202488f-45db-488d-9094-fe5e9d475d30","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 28","North"
"8ba01cf3-3b4a-4598-9d52-e2286e9ba032","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 28","North","Set Out"
"51f08f64-f198-4e47-a9ee-39827cd7c92a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 28","South"
"b7e98912-a028-4845-9cce-480491fea164","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 28","South","Set Out"
"46d6c72e-1ee7-4560-ac94-fb215072ade1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 29"
"b273707d-3cfc-4f9f-8117-15d40f79104c","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 29","Amenities"
"650324e3-d19e-4f6b-852f-369fb2d00867","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 29","Floor Plate"
"7da496e2-af82-41dd-84b1-10016c80fb5c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 29","North"
"d0a4827b-a467-40a0-94a3-6e8b533bf345","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 29","North","Set Out"
"c2ef1a06-7315-4e50-89c6-a8601f703966","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 29","South"
"6a907de1-87d3-41b3-b317-fad78271df9a","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 29","South","Set Out"
"5b961aa5-1b30-4e7a-a303-376a70bd4ed5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 30"
"8eb40c75-03c2-41cb-8b8f-06fa9539d056","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 30","Amenities"
"d4a27232-be51-4116-be35-be2eb2054b2e","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 30","Floor Plate"
"d2a0fe53-29fb-4f01-b800-b0174afe757f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 30","North"
"3716e4df-02d8-4c73-95e0-8c00528b83ff","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 30","North","Set Out"
"3850ebd2-5355-4511-bbf6-9905dd0bd2ea","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 30","South"
"1817080c-def1-481b-8517-927c60014f59","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 30","South","Set Out"
"5bf92ad4-fa11-49cd-8785-feb5108692b9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 31"
"c88286d0-fbe6-450e-838a-2d5b0925533e","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 31","Amenities"
"ee4a6764-74a4-4daa-a0af-bbd781b482b4","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 31","Floor Plate"
"5ad4a69b-c5ea-46e3-a58b-eaea96be478b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 31","North"
"dc99ecca-9b41-4464-bd1e-f80c496091b9","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 31","North","Set Out"
"598385f1-3b23-4602-9a25-1857b432244c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 31","South"
"dfa32e4c-fe11-493b-b92a-5fc1c71a6318","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 31","South","Set Out"
"69a365af-acd2-4e0b-bc3d-a78a737cef7a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 32"
"2c093809-ef2f-43b7-b04d-ab46c7336581","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 32","Amenities"
"160421e8-f063-4bae-aefd-e6b22dac0e05","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 32","Floor Plate"
"c5e10c17-33d5-4c8a-aec2-3c318d5ddc50","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 32","North"
"dea2ca44-12ef-493e-8bea-e3cae3ddc6bc","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 32","North","Set Out"
"974d6627-0d38-4648-886a-d4a1a002de78","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 32","South"
