Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,
2f454834-c1de-419f-8019-94c0f695fc9f,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,205,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
23adda4e-2daf-4c2b-aa98-6bd6c8d81a74,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,206,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
9ba92e7e-136c-4aab-bfb0-5cfd09dba1cf,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,207,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
e9910aa1-fb7c-4ac6-8864-ba5f2bb12688,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,226,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
9e852096-3dad-40ea-a04b-1d3bf98bbc18,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,227,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
8acfaeb3-c320-4592-8aec-963f488bec4a,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,228,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
13c06de8-0c3e-44b4-951a-2ab20e964206,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,229,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
4a2d34d6-30ee-4bb7-8a9c-a5b8cf91b8e5,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,230,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
a64d97df-3397-48e5-a60d-56a30bd755ba,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,231,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
99bd1966-6782-4a22-a911-19b14eca9ca7,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,232,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
bf165e1d-d802-4547-aa89-98033d2ef5b6,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,233,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
2329beed-c37d-4108-97ed-cda314cf8b22,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,234,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
8131e7d9-6df5-4574-a5de-2f5ab5fddd8a,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,235,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
c9baea47-1582-41ae-bea7-34cf6116963d,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,236,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
af4e470b-a009-4c52-8c9e-ae52e41af9bc,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,237,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
fe30c9c0-f8c6-473c-a0cb-782ac6adac18,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,238,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
8fb2ddb8-af5b-40e1-9764-e2edf9b6abe0,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,239,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
1b924710-e014-4301-b7c8-598bc797c61d,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,240,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
b7465032-a1f6-42e4-908a-7f678386ac60,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,241,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
0ba3923d-8919-4e3e-81d3-29b6e09bc73a,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,242,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
f57c69ae-8a75-40f3-b347-4ad199952731,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,243,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
27aca582-dca6-46c6-bde3-ed25939fa8e5,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,244,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
