"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8ed8bdbb-ef18-4b78-9346-19c5a50f7d70","","pass","","folder","TRUE","FALSE","Accessway Drainage"
"3c6f25dc-e255-4410-afe9-3b11d8a63dfc","","pass","ITP - Inverter Foundations","checklist","FALSE","FALSE","Inverter Foundations","ITP - Inverter Foundations"
"2b85d735-9371-4f38-9856-0962a1b28613","","pass","","folder","TRUE","FALSE","Light Pole Foundations"
"d8684d87-8e1b-416b-984a-22a3dc7c3875","","pass","ITP - Light Pole Foundations","checklist","FALSE","FALSE","Light Pole Foundations","ITP - Light Pole Foundations"
"82611185-eca0-4eb1-8e84-66673458908e","","work-in-progress","","folder","TRUE","FALSE","RMU1 - Northpower"
"585ddf5a-8209-4037-9dbe-7164a25ebbfe","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","RMU1 - Northpower","RMU1 Construction Photos"
"4280cb0c-2f94-413a-ad76-f277bc8f3a5f","","pass","","folder","TRUE","FALSE","RMU1 - Northpower","RMU1 Building Slab"
"e6835220-c03d-44ad-8901-227bc7fb9a94","","pass","ITP - RMU BUILDING SLAB","checklist","FALSE","FALSE","RMU1 - Northpower","RMU1 Building Slab","ITP - RMU1 Building Slab Foundation"
"6e0d9304-050b-40c3-9489-d86bd5203ea7","","pass","ITC Concrete Prepour","checklist","FALSE","FALSE","RMU1 - Northpower","RMU1 Building Slab","ITC Concrete Prepour Inspection - RMU1 Building Slab"
"1b995092-b821-4bf8-841c-0eaaf85e2701","","work-in-progress","","folder","TRUE","FALSE","RMU1 - Northpower","RMU1 Road Crossing Entrance"
"aa55e138-e938-4351-955f-2e5d25f71a51","","work-in-progress","ITP - Internal Roads","checklist","FALSE","FALSE","RMU1 - Northpower","RMU1 Road Crossing Entrance","ITP - RMU1 Road Crossing Entrance"
"37c8cf8a-a97c-4670-b605-c27d1386ecc9","","pass","","folder","TRUE","FALSE","RMU1 - Northpower","RMU1 RMU & LST"
"737a0e3b-ea4c-405d-b9e5-e563a067566b","","pass","ITP - RMU BUILDING SLAB","checklist","FALSE","FALSE","RMU1 - Northpower","RMU1 RMU & LST","ITP - RMU1 Outdoor RMU and LST"
"b8f972f3-1881-429a-a40c-3872676664d6","","pass","ITC Concrete Prepour","checklist","FALSE","FALSE","RMU1 - Northpower","RMU1 RMU & LST","ITC Concrete Prepour Inspection - Outdoor RMU"
"5e8b0b74-f39e-47a2-989e-12a8047bd125","","pass","ITC Concrete Prepour","checklist","FALSE","FALSE","RMU1 - Northpower","RMU1 RMU & LST","ITC Concrete Prepour Inspection - LST"
"5f8ad368-48a2-4974-81a6-20b677750748","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","RMU1 - Northpower","RMU1 RMU & LST","RMU to Building Conduit Installation"
"8495e077-22f7-48a0-8db8-838386bc2980","","no-status-not-started","Upload Attachments","checklist","FALSE","FALSE","RMU1 - Northpower","RMU1 RMU & LST","RMU to NP Poles Conduits"
"1845cc51-0b4e-4fd2-bc50-9680bff43072","","no-status-not-started","Upload Attachments","checklist","FALSE","FALSE","RMU1 - Northpower","RMU1 RMU & LST","Outdoor RMU Canopy"
"bfeeae43-66c4-44c0-93b2-131ebf14292f","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","RMU1 - Northpower","RMU1 to RMU2 Conduit Installation"
"76663e5b-7107-47ce-a426-2e07cffc2ce1","","work-in-progress","","folder","TRUE","FALSE","RMU2 - Solar Farm"
"8a22628b-9a2d-49a1-9038-2fa904393404","","work-in-progress","RMU2 Building Drainage ITP","checklist","FALSE","FALSE","RMU2 - Solar Farm","ITP RMU2 Building Drainage"
"74d93751-a858-48ba-8bef-cc74f6eebc70","","pass","ITP - RMU BUILDING SLAB","checklist","FALSE","FALSE","RMU2 - Solar Farm","ITP - RMU2 Building Slab Construction"
"69eb7168-3bbc-4fad-a015-42dcb686c0a0","","no-status-started","","folder","TRUE","FALSE","CIVIL Drawings"
"aa6bb967-2789-4d33-80a9-f8de32cf3cf3","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","CIVIL Drawings","Internal Roads Drawings"
"90b50e76-7aae-4388-a5be-d848b49116da","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","CIVIL Drawings","Drainage Drawings"
"f11be9a0-c959-444d-a09d-e6328a336472","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","CIVIL Drawings","Inverter and Light Pole Foundation Drawings"
"1b9ec65b-38f0-4e20-9dcd-2b1a45e72413","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","CIVIL Drawings","Laydown Drawings"
"21a51a18-20d7-4e4f-9f1a-41ae8240af06","","no-status-started","","folder","TRUE","FALSE","Calibration Certificates"
"b1c66040-54a1-43c0-b2af-f99a42f518ab","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Calibration Certificates","Calibration Certificates"
"d8106805-abfc-4778-a1e7-5f60c7b954ac","","no-status-not-started","","folder","TRUE","FALSE","Producer Statement"
"8f83b384-69a7-45d1-8d22-f4140a9f8bc4","","no-status-not-started","Upload Attachments","checklist","FALSE","FALSE","Producer Statement","Civil Works Producer Statement"
"1ed996cf-bc39-4c0f-b670-922a79ee0a3e","","no-status-not-started","","folder","TRUE","FALSE","As-Built Information"
"05173404-a377-45d0-a2d2-0453b4397d50","","work-in-progress","","folder","TRUE","FALSE","Electrical Trenching ITP"
"5903eed3-81d1-41fe-9036-21571a2712f2","","work-in-progress","ITP - Electrical Cable Trenching & Installation","checklist","FALSE","FALSE","Electrical Trenching ITP","ITP - Electrical Cable Trenching & Installation"
