resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
"(LATEST) Risers (CW, HWF & HWR, Rainwater/Non Potable)",(LATEST) Risers (Gas),,,,,,,,,,,folder-with-checklists,,,,,Pour 1,,,,,,
"(LATEST) Risers (CW, HWF & HWR, Rainwater/Non Potable)",(LATEST) Risers (Gas),,,,,,,,,,,folder-with-checklists,,,,,Pour 2,,,,,,
,,,,,,,,,,,,step,,,,Level 18,,,,,,,
"(LATEST) Risers (CW, HWF & HWR, Rainwater/Non Potable)",(LATEST) Risers (Gas),,,,,,,,,,,folder-with-checklists,,,,,Pour 1,,,,,,
"(LATEST) Risers (CW, HWF & HWR, Rainwater/Non Potable)",(LATEST) Risers (Gas),,,,,,,,,,,folder-with-checklists,,,,,Pour 2,,,,,,
,,,,,,,,,,,,step,,,,Level 19,,,,,,,
"(LATEST) Risers (CW, HWF & HWR, Rainwater/Non Potable)",(LATEST) Risers (Gas),,,,,,,,,,,folder-with-checklists,,,,,Pour 1,,,,,,
"(LATEST) Risers (CW, HWF & HWR, Rainwater/Non Potable)",(LATEST) Risers (Gas),,,,,,,,,,,folder-with-checklists,,,,,Pour 2,,,,,,
,,,,,,,,,,,,step,,,,Level 20,,,,,,,
"(LATEST) Risers (CW, HWF & HWR, Rainwater/Non Potable)",(LATEST) Risers (Gas),,,,,,,,,,,folder-with-checklists,,,,,Pour 1,,,,,,
"(LATEST) Risers (CW, HWF & HWR, Rainwater/Non Potable)",(LATEST) Risers (Gas),,,,,,,,,,,folder-with-checklists,,,,,Pour 2,,,,,,
