"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c2eff460-49cb-43a9-a53e-735e625ae1d4","","folder-normal","","","step","TRUE","FALSE","Level B1"
"0fa5e898-8773-4c05-9f9f-4d1859d27f1c","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level B1","B1-CP5"
"5fafc9a3-97b5-42d1-998d-d55c5481d765","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level B1","B1-P1"
"3882070b-5975-4145-b3dc-747987539647","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level B1","B1-P2"
"6c2dfc06-8868-47ab-969b-28ba432939d3","","folder-normal","","","step","TRUE","FALSE","Level G"
"bcc0f593-3304-485c-a05c-a88cfe8b5448","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C1"
"4bf6523e-2530-4b34-988b-068988d8998d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C3"
"deb579e4-340c-46cf-b1e1-db1b97dff048","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C5"
"af2561f6-41a8-4753-b548-074c8c569bb5","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C6"
"c56710da-1c76-4dfc-9378-7c7b32e272f4","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C7"
"4caf292b-83c4-41ab-9358-ef773580f7f2","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C9"
"ce10e36b-c468-4f53-8ebe-11b4a6e7e6ac","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C10"
"5b6adb3b-653b-41bc-a00b-adb48c98aa99","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C11"
"b9b637be-f423-4402-8d4d-df11d4687926","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C15"
"77ace6b7-37b5-4369-be17-64c7203e86da","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C16"
"2222db73-1ceb-4be6-a212-aa327f740e98","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C17"
"42a29f74-a2a9-4517-9d00-9ba97306f9ef","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C19"
"db8b174a-46f1-4eec-b105-e0270606b3b2","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C20"
"83b80280-b5ae-496b-897d-f0b6b23a36b9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-C22"
"40a84bd2-f54a-43d2-97ff-4acc115ebf89","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-CP1"
"3e6a4abd-70ce-46f4-9e18-2d09ca997fa7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-CP2"
"255ed18c-2e48-4b45-bc04-dd1909d65ec0","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-CP3"
"29b66e2e-12c5-4d00-bbbc-5810e4fa59c2","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-CP4"
"3415a7c5-8ad9-479e-9bf4-8bc659638938","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-CP5"
"ab239afd-3490-47d3-86a1-5d965b142ba7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-P2"
"49c35238-8444-467d-9432-9255fccf6622","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-P3"
"0aa93f51-b1b0-4ce6-84a6-7a5c33fcb07b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-CP2"
"b728de7c-5283-4445-8177-24942375af8f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-CP3"
"be9acef7-267a-4f84-988e-de7a6ea089ea","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level G","G-CP4"
