"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dffd111e-9a15-4fd8-9dfe-a9aaa625df94","","work-in-progress","","folder","TRUE","FALSE","Underslab and Drainage"
"0bfef45d-a6ec-4f58-94e2-96a6399fcc45","","pass","","folder","TRUE","FALSE","Underslab and Drainage","Dispatch Office"
"94f1cace-2549-4a53-89a0-0355615823d3","","not-started","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","Water Tanks and Pumps","Underfloor Check"
"101428f9-81d3-46ef-86c7-dccdd0704d6e","","not-started","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Water Tanks and Pumps","Inslab Pipe Work"
"a4ba843f-e8c5-4bc6-875b-4841f4246fd2","","not-started","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Water Tanks and Pumps","Drainage"
"854be412-1e20-452f-a5c4-0c760f424c66","","not-started","","folder","TRUE","FALSE","Underslab and Drainage","Irrigation"
"2db4b8e2-6995-4072-b937-415a3c007dc9","","not-started","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","Irrigation","Underfloor Check"
"aa0912c9-527a-433b-9922-97eedbd5a263","","not-started","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Irrigation","Inslab Pipe Work"
"d956a22e-ed15-480d-a8e0-4a65a6a1639e","","not-started","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Irrigation","Drainage"
"84bc0b17-b3f1-4017-bbc9-3eb82703a28b","","fail","","folder","TRUE","FALSE","1st Fix and 2nd Fix"
"287e55ac-f4e4-4108-8e20-27cab09a04c6","","fail","","folder","TRUE","FALSE","1st Fix and 2nd Fix","Dispatch Office"
"ca6a65a8-b2ab-41cd-ba59-c010e3ebfa5a","","fail","First Fix QA","checklist","FALSE","FALSE","1st Fix and 2nd Fix","Dispatch Office","First Fix QA"
"2e1d240a-f20e-48cc-9ef7-a07234f93828","","not-started","Second Fix QA","checklist","FALSE","FALSE","1st Fix and 2nd Fix","Dispatch Office","Second Fix QA"
"1a63bbd6-6afd-4b31-be66-1e0b2c039ab7","","fail","","folder","TRUE","FALSE","1st Fix and 2nd Fix","Main Office"
"553b9613-ae6a-4e80-915f-69d5a255d55c","","fail","First Fix QA","checklist","FALSE","FALSE","1st Fix and 2nd Fix","Main Office","First Fix QA"
"632cdcca-1f12-4698-9331-52eff358a814","","not-started","Second Fix QA","checklist","FALSE","FALSE","1st Fix and 2nd Fix","Main Office","Second Fix QA"
"8e0c401a-305f-4e4b-ae46-997ab4215912","","not-started","","folder","TRUE","FALSE","1st Fix and 2nd Fix","Coolstore"
"ec692890-492b-4036-bf91-3c1ccd38a131","","not-started","First Fix QA","checklist","FALSE","FALSE","1st Fix and 2nd Fix","Coolstore","First Fix QA"
"274e20b4-72e0-4612-b91c-93e15d71e184","","not-started","Second Fix QA","checklist","FALSE","FALSE","1st Fix and 2nd Fix","Coolstore","Second Fix QA"
"80ecd850-052f-4f41-9fac-f02b248f16ed","","not-started","","folder","TRUE","FALSE","1st Fix and 2nd Fix","Water Tanks and Pumps"
"d4118cb2-5bb7-4128-a51c-2e250227f5f8","","not-started","First Fix QA","checklist","FALSE","FALSE","1st Fix and 2nd Fix","Water Tanks and Pumps","First Fix QA"
"2973d49d-832b-4b91-a9bb-54c11e8a6715","","not-started","Second Fix QA","checklist","FALSE","FALSE","1st Fix and 2nd Fix","Water Tanks and Pumps","Second Fix QA"
