"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b786c72c-17f8-4f2f-bbef-2629cced52bb","","folder-normal","","","step","TRUE","FALSE","Site QA"
"a1a6ded3-5f09-4a8f-aa0d-cf1c38a1788a","","folder-normal","","","step","TRUE","FALSE","Site QA","Pre Installation"
"b690fe2d-2566-45a2-9376-1a892a7a8d7b","","folder-normal","","","step","TRUE","FALSE","Site QA","Pre Installation","Parish"
"8882da60-6ae5-4e3e-938a-588b36ebb652","","folder-normal","","","step","TRUE","FALSE","Site QA","Pre Installation","Parish","Level 1"
"11f55ada-fcab-4901-9391-167691af228a","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-14"
"979527b9-5d54-4b4e-8f7f-4e9b5713e152","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-15"
"b9fc15a2-b5b0-4d59-aedc-9418e549a67d","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-16"
"329e8c33-3788-48a5-8649-bd175db37131","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-17"
"5dc0d44e-9be8-4a42-925d-50dce9e76bb1","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-18"
"410e1996-45a4-4fc4-9e9b-2330aea6b29f","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-19"
"cdcd01ae-b74d-47ae-a12f-66f9ae998453","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-20"
"c3c797b5-b5c6-4421-9f34-e4e99600e166","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-21"
"4ef0dcfb-436e-4020-9804-7b7349b6f2be","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-22"
"85e8548a-4dd1-4a13-b890-615896074218","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-23"
"a16de9b9-181f-43bb-b4be-21fa9dd2467e","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-24"
"2f64b353-482c-4c8f-a8fb-30f217094cdd","","checklist-flat","","Pre Installation","checklist-flat","FALSE","FALSE","Site QA","Pre Installation","School","Level 3","SC3-25"
"80741989-2b90-4fa1-9918-65aa885478c8","","folder-normal","","","step","TRUE","FALSE","Site QA","Post Installation"
"aca91de9-7b72-4ddc-a64a-3552cfdd418b","","folder-normal","","","step","TRUE","FALSE","Site QA","Post Installation","Parish"
"672dbc12-330e-4d78-a76c-2a465a51f403","","folder-normal","","","step","TRUE","FALSE","Site QA","Post Installation","Parish","Level 1"
"1ebdaf3b-8afd-4d33-9f34-e4ddaf03fc8c","","checklist-sectioned","","Post Installation","checklist","FALSE","FALSE","Site QA","Post Installation","Parish","Level 1","PA1-01"
