"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"df298116-9e44-4254-a6a4-90503c2b88a7","","fail","","folder","TRUE","FALSE","Site QA"
"21cad415-329b-4d46-982a-40f34abf8d04","","pass","Inground works","checklist","FALSE","FALSE","Site QA","Inground Works"
"9a560122-d01e-4fb3-b607-aa0b0ffd353c","","work-in-progress","Commercial Kitchen","checklist","FALSE","FALSE","Site QA","Commercial Kitchen (Basement)"
"4778d249-c5e7-4008-9d9c-fc31af04c74a","","pass","","folder","FALSE","FALSE","Site QA","Penetrations"
"f097c5ce-cc0d-487f-874f-276c1883f326","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Mezzanine"
"4380dc76-9b00-41fe-9c0c-a803ea2d5533","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 16"
"6bfc6ef2-8899-4ca4-aef5-363d95059a6b","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 17"
"456c814f-4ab0-4d61-8a73-f18997213bd3","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 18"
"eb28cabb-dc0c-4711-add2-0d5e1f8df7cb","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 19"
"1ebf1aab-b2e5-43eb-835f-84a229036cec","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 20"
"cd7b93ff-116c-4480-8e43-d68f6c04c902","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 21"
"ecd902c9-079e-474b-a01f-f9006a360411","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 22"
"8133e50a-9340-4c08-9a36-c1beace2cd35","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 23"
"cd65190b-45c9-4199-b138-1f7a5470e071","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 24"
"39e6d551-a35e-479d-85f7-f009f1888069","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 25"
"0fbe3885-7918-440c-b45b-38e907475208","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 26"
"2121dfb2-0bea-4838-953f-bf86c4c30fe8","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 27"
"7ba9bf8d-3553-4c90-bc41-4821e577c1d5","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 28"
"85649953-4bf8-4141-92ac-9fbaf850e971","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 29"
"6f120093-751e-4c9e-8d83-18fd79932706","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 30"
"60e5adcc-03e0-4984-bede-c4c46d4cff14","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 31"
"9e35c57d-4aad-4d6d-8917-3390b38be97c","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 32"
"4ac0b867-e3df-4e88-8f47-f6d86e349473","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 33"
"9d97dcae-1db4-45f6-97ba-d1c8e5380e9c","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 34"
"e15d674f-342b-4380-9826-139175ffcec6","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 35"
"84e90dd9-323e-4e93-9a92-7acece347e49","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 36"
"f6cdc13f-7b19-4512-ab3c-4a49ebda9c49","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 37"
"1a084122-51f5-4b0f-a8b7-a572f004e4fe","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 38"
"94664b95-eb54-46b1-8bce-b3e66f4f61cc","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 39"
"325c3395-63df-4646-ba33-f23bcbf8b3af","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 40"
"745f9c50-bdd2-49e7-9123-3fd1d94a7b87","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 41"
"7acf0f53-a9d8-4ba7-9491-acd50c095e44","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 42"
"fda3d81a-59e0-4bed-bcf7-5c4ab38c1c05","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 43"
"59779ef9-09c6-4f7f-9d4b-c23153042b80","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 44"
"e8e735b2-023c-4bf7-b9b8-f19c8659e4bb","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 45"
"e6df2d29-5723-4d37-ab94-302b66f5a73b","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 46"
"01651945-9b98-457d-ab33-3bb206a56a70","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 47"
"ef7e6e83-c78e-47d1-b1f8-25f9fae6e48d","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 48"
"a7160257-8ae1-4f9b-9ab6-8ca9e66c1e12","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 49"
"aa5b5dfc-4a4d-4bdc-b891-6e5153c00a67","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 50"
"57c5f550-7469-4858-83d9-6206f67489db","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 51"
"c566da3a-8037-4bd9-81ef-127a56cbb8f6","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 52"
"b322ae72-257e-44f7-a196-1ee022f87fd4","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 53"
"87ea6be5-5bdf-4236-9704-c8105fe91426","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 54"
"d5ee8a4f-f6e9-4094-8982-6956fe0d1f21","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 55"
"dce95711-5b83-414c-8145-80b427b34c37","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 56"
"c0a1872a-5aef-4370-b962-1242549d56b4","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 57"
"c2602523-78e4-49cf-9742-4f3fa75f68a2","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 58"
"126dd2b2-73fa-4b61-b0a2-6768cd91f12e","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 59"
"0983aad8-af4a-4d8f-8712-e723d6a790f2","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 60"
"09698d74-2f8e-43d2-a3e8-f6e5bd2b3a72","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 61"
"9c6f0d2a-5d4b-4cc1-8c0e-e27c3eec44b4","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 62"
"ef5e2dde-77bf-444f-8ade-3447843f9262","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 63"
"a23d9a72-d712-46d0-8667-1e38f60c8997","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 64"
"f8bfb94e-e3c4-41d7-b3d4-c27de53638e9","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 65"
"b02c3d37-999a-43bc-8939-680adfb86916","","work-in-progress","","folder","TRUE","FALSE","Site QA","Drains"
"8057dcda-7f47-4eff-be5b-b5f53b3ad642","","work-in-progress","","folder","TRUE","FALSE","Site QA","Drains","Basement"
"1be05395-a07d-4b7a-aa9e-761b3a4fc0be","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains","Basement","Male Amenities"
"cf0dcf05-174c-4384-8aef-6a46ec15442b","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains","Basement","Female Amenities"
"bf99f406-9463-49e6-bccf-21b33109ad02","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains","Basement","DDA Amenities"
"fde275d6-86f3-49c0-8d4b-20059d41b502","","work-in-progress","","folder","TRUE","FALSE","Site QA","Drains","Basement","Foyer bar drains"
"88b76ff7-2a52-4159-aae1-9cbfd2968d3b","","work-in-progress","Drains","checklist","FALSE","FALSE","Site QA","Drains","Basement","Foyer bar drains","Drains"
"b714aa63-d067-4d9d-ace0-6fd8d080adb0","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains","Lower Ground"
"77be8378-ef57-4ce2-940d-d0de13c7c587","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains","Ground"
"7ae56220-a730-4510-baa4-fe2c5fd958cf","","pass","","folder","TRUE","FALSE","Site QA","Drains","Hotel"
"7524f2b3-ae62-4749-ab9b-7dfd4f2bc112","","pass","","folder","TRUE","FALSE","Site QA","Drains","Hotel","Level 1"
"5c7394db-67ee-4a8d-a612-5e45f30374b1","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.01"
"89281cd1-8ae5-4dfd-9e12-6b7309a8eb6a","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.02"
"7b885055-ee54-4a05-9fb7-b038ae427963","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.03"
"109670ec-8162-4ccc-8221-00446a0aed58","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.04"
"6a088e39-daf6-43c0-abcc-6ed9b3d72baa","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.05"
"983b2637-fa3f-4f3d-a955-5d43ad4ac571","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.06"
"9692402f-5068-4d1c-9094-5ba1406b8c38","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.07"
"9706dedb-049d-4e93-99d5-d4e6cd137f08","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.08"
"a38785f5-1bbe-48f6-86c5-a658d425ce52","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.09"
"807f9b72-b957-46c3-9149-617aba087eb2","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.10"
"650ee053-c9c7-4be2-a130-123038584ba2","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.11"
"59f2c148-c031-42cc-919d-9d8c1d7cbadf","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.12"
"77ea1be6-e1df-4675-adb1-86bbc3084ed5","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.13"
"2c53a5ef-cf94-4546-9726-535972a61807","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.14"
"9d2aee3a-9959-413a-995b-b539d4dbab6e","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.15"
"079db84d-0a1d-4a19-9d7e-4c22aef0f069","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.16"
"d1b76112-fabc-4edd-9121-95c3b8a216ea","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.17"
"60b615c4-38b0-41e2-9fee-9d8eaf9ad502","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.18"
"f08186a6-445d-4619-a88c-9a061112c579","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.19"
"126145be-01b2-4f1e-8e53-a9ca6d4d558a","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 1","1.20"
"0ffbc7b0-ba7a-465f-a745-d30c5bb65286","","pass","","folder","TRUE","FALSE","Site QA","Drains","Hotel","Level 2"
"2e7efd3a-20b6-4b03-8a66-cbf4f5c9596b","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.01"
"5961a83c-6863-4814-9bcd-a6e8c9695e30","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.02"
"042014ac-c25d-4bb0-b096-9c10fe7b138b","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.03"
"855e6551-93db-4982-8104-572c7509a45b","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.04"
"5c3f982a-a6cb-4a0f-855b-f7e64a2dc170","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.05"
"af676d08-2620-425c-8b48-061700216bfd","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.06"
"e8ad6685-e957-43dd-82f2-5560f7180f18","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.07"
"da49942d-e774-4529-b33a-b18079521bf2","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.08"
"1f550222-c5ba-4b49-abc0-faa709a96c9c","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.09"
"d1d775f0-b578-47d7-90d8-7d4f8e683a16","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.10"
"f8003ec0-be84-4ad0-821a-3f950bddee16","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.11"
"71b1d4be-8092-4a1b-bcaf-c822b09ab090","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.12"
"95ea7caf-4d05-4316-b112-c1e5739bd31b","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.13"
"23f7ac09-fe1c-480e-852e-b271021a0ea9","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.14"
"7e5fecd8-202e-4866-8d45-6bc9dd7faffc","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.15"
"3fa39b38-9c85-44ec-b1de-9b31a0c26d00","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.16"
"7a195988-a202-4d9d-b6fa-1e22bab7c1d4","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.17"
"b87d4224-95a7-45c0-bed6-43c93470de76","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.18"
"95e42deb-951a-42cb-9a7e-79364d1e1e86","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.19"
"02ca607f-8e89-47ea-98c0-d2446edfa1af","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.20"
"c0b3e4b9-ddcb-44dc-970e-f7dc00c1c871","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.21"
"064b767a-45e0-42eb-b8c1-d2b0578459af","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.22"
"5f4df737-db52-4014-a73e-a90e0bcf5059","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 2","2.23"
"ee62ea29-c01a-455a-a340-49ca592dec5d","","pass","","folder","TRUE","FALSE","Site QA","Drains","Hotel","Level 3"
"62236252-58aa-4f72-a6d1-5e281d067fe5","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.01"
"af9263b5-3cfc-495d-8b64-b285fddd32f0","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.02"
"942ce3ae-b477-4184-a3d4-14077ad66a5b","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.03"
"a079a373-e967-479f-9f44-6de9df61b560","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.04"
"7e9c76c1-f2dc-41d3-89e3-1211053f22e5","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.05"
"e6e35388-4aaf-489c-991b-d16964ad0eb0","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.06"
"d38529b9-ac63-4afd-8340-5db0fa0a2fe5","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.07"
"6e0b7c18-d343-4dea-908e-158f38a1ba9e","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.08"
"8e369d97-bf45-4b5e-96bc-c9fb1dfebac5","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.09"
"fef572ad-6ceb-443d-a6bb-0651d6ac9157","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.10"
"d37c9cf3-6ae6-4a18-8806-4ba2bd860650","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.11"
"ec7de9c6-57e3-451a-aceb-4d22d3e18fd0","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.12"
"f16f7ed0-bed9-4393-9254-1baea04bdf74","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.13"
"92d02510-9466-4dd6-aa46-5c0532415f41","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.14"
"0dca32c0-35fb-42f0-8ba4-c6d627849bbe","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.15"
"0e3d0b88-00c4-4be3-86d0-75697cbcb334","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.16"
"ce0c1517-b51c-4cb8-8c4a-60ab19913000","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.17"
"adb9a5e9-af58-4c7a-8814-31f97b284c7e","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.18"
"bcbd209c-aaee-4cc0-b842-1afa9b80b056","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.19"
"e3d34adc-06f6-48c2-92d7-dcea5396793d","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.20"
"6df5a5e9-033b-4055-b64e-99efb9d0e39b","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.21"
"ceb719b3-ad84-493d-8f86-122394024120","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.22"
"db869b04-da11-44cc-bc25-847d19c4b20d","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 3","3.23"
"0a7fb139-54e1-4b59-87ff-75bb0a220ad9","","pass","","folder","TRUE","FALSE","Site QA","Drains","Hotel","Level 4"
"5a34eb44-5d94-4dcb-942a-3138f6325ca4","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.01"
"17f6be44-59c3-4bc1-b5be-466064558491","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.02"
"509dc9c4-4982-4492-b729-2e1247a4ddbf","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.03"
"5dc4916d-2d96-4b30-bf81-53281521a93b","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.04"
"07bb1af0-9692-4e2e-99ac-c71c27773404","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.05"
"6fa1022d-975b-4c48-ab84-aeb9faf1f718","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.06"
"1494343b-9cf7-4e0d-af99-802888e710e1","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.07"
"2b851a29-acf4-48de-b201-ab4b0d1f2c44","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.08"
"8b283eb9-2f4c-43d5-8753-29bc7ea95959","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.09"
"f792f19b-b221-4531-84f7-1743a7c85538","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.10"
"8e20f298-71ef-4f26-84b8-660a0eb1b9a8","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.11"
"d62f7f7a-0a00-4a70-8bf5-0d6f198b25c4","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.12"
"f82a6323-844e-45cc-8223-9eb8bc240604","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.13"
"98623645-de62-4b85-a5d3-1f86c52880ed","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.14"
"73318649-3bb2-4755-9bcb-855f8de6ba59","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.15"
"6f440573-ad99-42d0-9617-1316262d54a5","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.16"
"ad47a3a5-36ea-4fad-a30a-a30bff51a69b","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.17"
"b72b356e-5e2c-4b5c-b08e-902304d9a4e5","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.18"
"efe823af-b22f-41c8-9e74-9cac3aff5f9e","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.19"
"a32b3d3b-9093-4f01-b924-216e12f2bbc0","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.20"
"3fe9f016-6af2-4d9b-86d0-a9586dba4e98","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.21"
"04706a91-fc1b-4a8d-9508-fa8bc296f12a","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.22"
"13bf3602-32ff-4c26-8f5b-771581f76ca9","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.23"
"9f31320e-d000-4027-81bf-68c98b7cbcc5","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.24"
"185bd092-96fe-4815-b30d-518f2f299872","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 4","4.25"
"794ce119-7565-47b9-97fb-250b4ebc41aa","","pass","","folder","TRUE","FALSE","Site QA","Drains","Hotel","Level 5"
"d1d53829-3452-45f4-bb81-a3bd96bce447","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 5","5.01"
"6132eb3c-5c91-40a1-a0c5-13e5a306478a","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 5","5.02"
"d099b9b5-b5d8-4b32-a648-0be5b3549f98","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 5","5.03"
"7cc844bd-4efa-4a64-81ca-e81c8a7e4623","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 5","5.04"
"d40d3914-5782-44db-a3f5-8ab75561809c","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 5","5.05"
"c7853c37-5112-47a1-a3ed-6a36a8138db5","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 5","5.06"
"9f40b686-0831-4bf7-9e2c-eb46cd65b0d4","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 5","5.07"
"0c906b3f-9367-4cdf-9c01-7936a679ffe3","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 5","5.08"
"73b21f42-621f-449c-90bc-64b649c5c9fe","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 5","5.09"
"d475df90-1472-4495-8213-a5735dc6ea45","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 5","5.10"
"125f7da7-7e6f-45ac-a7e2-6c27ed5fdd9d","","pass","Drains","checklist","FALSE","FALSE","Site QA","Drains","Hotel","Level 5","5.11"
