"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0dee120f-46ff-40b6-bc27-9abdf9a34d7f","","work-in-progress","","folder","TRUE","FALSE","NORTH"
"26c7f29c-0b1e-4f60-a6f6-e61d4220adf4","","not-started","","folder","TRUE","FALSE","SOUTH"
"3609ba3c-6df1-4ae4-95e1-a980400ac0ae","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-01"
"32b71bea-4a2b-44e1-935a-884a9981a0e5","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-02"
"29b93a3d-3d3d-42ab-92ef-36dbf6e68baf","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-03"
"a20b3fa4-f9bb-482d-b647-88f824d607f2","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-04"
"765587a2-5e35-491a-8762-edc9d3c01f1e","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-05"
"e956cf77-21a3-4e56-a128-8886604ed99f","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-06"
"b7559628-d854-4a9c-8b94-cfdbd0e4f379","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-07"
"7484833b-4525-405d-82cb-3da64b3f7e03","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-08"
"84e5b1a2-a23c-4176-89dc-2b4f7c3648a9","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-09"
"c36b8dd2-5aa0-44c0-bb44-5a189438d4b5","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-10"
"d9370306-9eec-4dcc-9f2d-eda10d6dbcd5","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-11"
"0b4d2397-944a-4396-89e2-37878f369068","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-12"
"bab0d5d0-95a6-4f66-9e16-83fafaa3ab69","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-13"
"28da31d6-d9a6-444c-a5a6-93f7e245588d","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-14"
"d5dc5a5a-bb98-4dd5-93d1-001162034153","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-15"
"2a4d1f0a-22f4-45d7-ad53-1109003a99d7","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-16"
"b12985c4-99c1-485f-983c-dc19cd083e7c","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-17"
"3c2dedee-2e71-4dbd-ac58-e1f4d394baf6","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-18"
"a06c6689-f645-4a07-8a85-0f9d48607cb9","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-19"
"8d184bcc-22f8-446e-9423-fefe38f0d980","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-20"
"72afd9a8-2963-407d-a0e4-ab660ab909d4","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","SOUTH","SW-21"
"e2715b28-21a8-4500-ba66-4c62aaf7b9fb","","not-started","","folder","TRUE","FALSE","EAST"
"b2ef791d-d4bf-4c83-ada5-dc30a24a5461","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-01"
"35d10bc2-308b-45cc-8206-5a1bd169e57f","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-02"
"5b2f2811-7e32-4b14-b573-dc05ef30ea3e","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-03"
"11dbd90b-b984-45e0-92b0-24163e382a64","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-04"
"73a6d890-743d-4a7e-b328-d2626023a98b","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-05"
"4e20c907-bf4d-4de2-b3e7-f44b24910ec9","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-06"
"d8ae38db-4209-4dd5-953b-cf4ec21cf76a","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-07"
"98103993-93c7-4d52-b33f-3b84ef3f3a69","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-08"
"1ec4c5e9-ff4a-402c-9a44-e2e5a0d2a6a1","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-09"
"a45e3a5d-af43-4143-8bca-cd52dd2b2a2b","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-10"
"a5e0777d-0a2d-447f-8634-77faa5955865","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-11"
"1c4ffecf-841d-45a1-ad2b-e0e7503c52d9","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-12"
"434988d7-95e8-4223-ad6e-d78bbb79b059","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-13"
"2d4fdcdc-b5ce-4434-b0db-100fd6125fe2","","not-started","Seismic Suite (Structurally Glazed Curtain Wall - No Brackets)","checklist","FALSE","FALSE","EAST","E-14"
