"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bed8abd1-1c80-4c04-b464-ede749650133","","work-in-progress","","folder","FALSE","FALSE","MGMT Site Safety Inspections"
"a8fec07a-7266-43ec-893e-9ad6dce1174c","","work-in-progress","","folder","FALSE","FALSE","MGMT Site Safety Inspections","2024"
"66fb75b3-0d75-55b7-a51c-418b047c6ce8","","work-in-progress","5f60c45c39647343ca458f5d166d3df516d65dbba6289c97c234a377b05c3636","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WREO_Site Safety inspection_AD_12092024"
"6fbb5320-7c74-50c7-a5e5-398ceba32c3f","","pass","e462b10f7bb08192fa4556d32bd7e32f3841e2ed3ec83d2782e1857a2c7a4960","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WTUN Storage_Site Safety Inspection_AD_12092024"
"b83f50c9-a01b-50ec-81db-d6f13cb3b5ea","","pass","5f60c45c39647343ca458f5d166d3df516d65dbba6289c97c234a377b05c3636","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WREO_Site Safety inspection_KB_18092024"
"e42312bd-65d7-5464-beeb-b800a28217b4","","pass","e462b10f7bb08192fa4556d32bd7e32f3841e2ed3ec83d2782e1857a2c7a4960","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WTUN Storage_Site Safety Inspection_KB_19092024"
"9c35bfb9-f80d-5244-9932-5a7f6793a1d4","","pass","e462b10f7bb08192fa4556d32bd7e32f3841e2ed3ec83d2782e1857a2c7a4960","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WTUN_Site Safety Inspection_KB_24092024"
"64b78060-1eb0-59a4-814e-b2f2bbfa827f","","pass","65a4588df74f2d6f370e06eca29b6101f6d857cdff66ea95ce88e41f254fef93","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WPC_Site Safety Inspection_KB_24092024"
"8218a502-ac21-45c4-8899-01517de7de9a","","pass","WG-04-CH-02 Site Safety Inspection","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WPC_Site Safety inspection_FD_06112024"
"e9c0c2ae-4c7a-4a14-8c27-4cf89ef337ee","","pass","WG-04-CH-02 Site Safety Inspection","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WREO_Site Safety inspection_FD_06112024"
"ddb67bdd-07f2-4d23-9db5-da735ef2e888","","pass","WG-04-CH-02 Site Safety Inspection","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WTUN Storage_Site Safety inspection_FD_06112024"
"d676b83e-ced8-44f2-9208-ee6ec93f252a","","work-in-progress","WG-04-CH-02 Site Safety Inspection","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WPC_Site Safety inspection_AS_"
"726a9117-aa1d-43a7-aa58-8b96aaf43c5e","","not-started","WG-04-CH-02 Site Safety Inspection","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WREO_Site Safety inspection_AS_"
"6fae43be-489a-4fc0-8e72-6129c2f065e8","","not-started","WG-04-CH-02 Site Safety Inspection","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WTUN_Site Safety inspection_AS_"
"dbb1ec45-6cac-4147-8b99-3256d6b65681","","no-status-not-started","","folder","TRUE","FALSE","MGMT Site Safety Inspections","2025"
"f312440e-64a3-4887-b275-648f031bac67","","work-in-progress","","folder","FALSE","FALSE","HS Rep Site Safety Inspections"
"c138033d-7e9f-4c2a-9bd6-8dd7e9638b71","","work-in-progress","","folder","FALSE","FALSE","HS Rep Site Safety Inspections","2024"
"43b5c8b7-c346-5316-be90-692825483d35","","work-in-progress","19e6b2b55070dbce433016c47cbb5d52cc7d34b05d1ed5959b609cc35feb0824","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WPC Factory_Duplicate_HS Rep Site Safety Inspection_Rakesh_18072024"
"90a54048-0f5b-5a75-8715-989be15739aa","","work-in-progress","e8ecac6f0a1753c25ffe7ab2b476d12f7a10b2495d76235b9d201638b294a6e5","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WPC Factory_HS Rep Site Safety inspection_Rakesh_18072024"
"4427443e-27ee-5e64-bf0d-a31d7b852d6c","","work-in-progress","e8ecac6f0a1753c25ffe7ab2b476d12f7a10b2495d76235b9d201638b294a6e5","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WREO_HS Rep Site Safety inspection_Garry_30072024"
"34c0de78-1dd7-56e0-b811-8333080a0a96","","work-in-progress","e8ecac6f0a1753c25ffe7ab2b476d12f7a10b2495d76235b9d201638b294a6e5","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WREO_HS Rep Site Safety inspection_Fritz_01082024"
"f55db289-92b0-5225-ba77-4d25a1e493bd","","pass","e8ecac6f0a1753c25ffe7ab2b476d12f7a10b2495d76235b9d201638b294a6e5","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WPC Factory_HS Rep Site Safety inspection_Henry_13082024"
"3d12f961-8109-5f3c-be7c-29e3303f409a","","work-in-progress","e8ecac6f0a1753c25ffe7ab2b476d12f7a10b2495d76235b9d201638b294a6e5","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WPC Factory_HS Rep Site Safety inspection_Marcelino_29082024"
"b865c7ff-bcdb-5029-944c-e20d3ee60a98","","work-in-progress","e8ecac6f0a1753c25ffe7ab2b476d12f7a10b2495d76235b9d201638b294a6e5","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WTUN Storage_HS Rep Site Safety inspection_Paulo_18092024"
"82615d94-4e33-50f1-9de5-280043fbf521","","work-in-progress","e8ecac6f0a1753c25ffe7ab2b476d12f7a10b2495d76235b9d201638b294a6e5","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WPC Factory_HS Rep Site Safety Inspection_Cenon_19092024"
"8f516e4f-cb62-56f8-bd34-c4907144b2f0","","work-in-progress","e8ecac6f0a1753c25ffe7ab2b476d12f7a10b2495d76235b9d201638b294a6e5","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WPC Storage_HS Rep Site Safety inspection_Henry_08102024"
"e5bc976b-0346-5c47-8808-1dd8612586a4","","work-in-progress","e8ecac6f0a1753c25ffe7ab2b476d12f7a10b2495d76235b9d201638b294a6e5","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WPC Outside_HS Rep Site Safety Inspection_Oliver_11102024"
"75ea3856-c1ab-566c-8d3d-359c30125977","","work-in-progress","e8ecac6f0a1753c25ffe7ab2b476d12f7a10b2495d76235b9d201638b294a6e5","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WPC Factory_HS Rep Site Safety inspection_Rakesh_16102024"
"5ece0cbe-263f-571c-9fbf-68e08cf87b60","","work-in-progress","e8ecac6f0a1753c25ffe7ab2b476d12f7a10b2495d76235b9d201638b294a6e5","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WPC Outside_HS Rep Site Safety Inspection_Fritz_25102024"
"77b66aaf-d58f-402a-ac28-bd0e7c60e98a","","pass","WG-04-CH-01 – Site Safety Inspection HS Rep","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WPC Storage_HS Rep Site Safety Inspection_Garry_19112024"
"aa5cc9f3-ac8a-4003-8fbe-ae5e6a787f92","","pass","WG-04-CH-01 – Site Safety Inspection HS Rep","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WTUN Storage_HS Rep Site Safety Inspection_Marcelino_22112024"
"859db029-bd72-45e3-aa73-abca5199b946","","pass","WG-04-CH-01 – Site Safety Inspection HS Rep","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WREO Factory_HS Rep Site Safety inspection_Paulo_25112024"
"e4ac2177-a3a7-457a-b93e-dc59508d9f3c","","not-started","WG-04-CH-01 – Site Safety Inspection HS Rep","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WREO_HS Rep Site Safety inspection_Oliver_Dec 2024"
"f1c52624-f251-4123-a793-16c7df14fc94","","not-started","WG-04-CH-01 – Site Safety Inspection HS Rep","checklist","FALSE","FALSE","HS Rep Site Safety Inspections","2024","WPC Factory_HS Rep Site Safety inspection_Cenon_Dec 2024"
"44acd0ce-3bf0-4f69-8753-50dd6bb036c0","","no-status-not-started","","folder","TRUE","FALSE","HS Rep Site Safety Inspections","2025"
"35096d52-7780-43d5-8d19-892a1b4406df","","no-status-not-started","","folder","TRUE","FALSE","Accident / Incident Reports"
"271f235b-f1b4-4ea8-9f0b-80105cc35d51","","no-status-not-started","","folder","TRUE","FALSE","Accident / Incident Reports","2024"
"4d0c3432-ba00-4083-8027-79feb0f66798","","no-status-not-started","","folder","TRUE","FALSE","Accident / Incident Reports","2025"
"3d7b0295-ad55-4807-8e91-a178723e79e4","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts"
"424ff34c-7687-477d-a734-c378a5e04396","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC"
"d73b406b-f5ae-4897-898f-365ae6d53428","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Cranes"
"a8d4df9b-fe4e-42b6-b28a-1d3bd37efa69","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Cranes","Crane #164646"
"e7e4a129-4c58-467b-8579-2943f2f54125","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Cranes","Crane #164678"
"3b81e935-9772-4021-9986-375f22991c68","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Cranes","Crane #164679"
"e1e3acfe-7f84-4026-a020-d37cbd77d8f7","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Cranes","Crane #167841"
"48c98d7b-daaa-4d6e-8e4e-c855ee2e6702","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Cranes","Crane #167842"
"dab34c0b-3f80-4550-9eb7-ed2993344ca8","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Cranes","Crane #164176"
"614048ff-ecdd-4a33-a3e7-d8012bbc7f86","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Cranes","Crane #164177"
"8f7615ef-8039-4105-89a9-66058030efab","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Cranes","Crane #C10249"
"fcf78248-4bfc-4a14-aec8-19e1e56e679e","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Cranes","Crane #164647"
"78063e83-17a8-4c86-ad94-dea7e4e4afe5","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Workshop"
"9b92b60d-b9fe-40ec-a3a9-5f9aadefc536","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","WaH Safety Items"
"abd589c9-65d9-4ac9-91af-f97c953e94f2","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Waterblaster EAST"
"99c92dd2-b6e9-467c-ab0f-d17a4c9ad2f9","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Waterblaster WEST"
"c6166893-5254-455d-a44f-32982e3b6b66","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Oxyacetylene"
"f698b166-3d27-4a43-b328-2b1e48f19339","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Ladders"
"39f832c3-b55e-474c-8b8b-25ecf36b2110","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Arc/Mic Welding Machine"
"ee1e76d1-9883-4ddd-a14b-2122dd362aac","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Stressing Jacks"
"753c5518-920b-4f6d-bd46-361d01efc76a","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Boilers"
"f3785a42-0037-45ab-b656-08e4fe0ba071","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Boilers","REX 30"
"4e1a9199-2cc7-4a99-b567-2dd9539fbfee","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WPC","Boilers","PTL 500"
"6f4b5452-e6d2-4628-9beb-0be480341409","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO"
"1719d6cd-d435-433b-8271-45e757ed6c85","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","Cranes"
"5a264b3f-083b-4973-8ac9-b7293238e66f","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","Cranes","Crane #168666"
"d53925ba-7a7a-4f26-89f4-5a5301a3ff25","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","Cranes","Crane #168667"
"673d3404-7918-43a8-b524-1dd5372fb26c","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","Cranes","Crane #168668"
"a66a148b-e3ff-45d9-b432-c57ed697a616","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","MEP"
"e6d2c81d-954c-45de-8dc6-671225211109","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","MEP","Mini Syntax 16"
"fdd7ad3f-bec8-4716-9ee2-2d08afa384b3","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","MEP","Syntax 28"
"df8d357c-b845-49df-959d-3d9bc0b0bc58","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","MEP","P140 SE (Unit 1& 2) & C40 SE"
"1c6bfe4d-7f53-44e4-b10d-3dce407ffcee","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","Compressor"
"3096fd58-0663-44f2-8d3e-f2f2964fe52b","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","Schnell Prima 13 V7"
"3ed9d4a5-5996-46fe-b63d-767c9684f988","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","Schnell CER40"
"f62a5bcb-3acf-4dfc-86f7-0cf6e22440b7","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","Linisher"
"5d1fefd1-ac54-4f62-a805-ec12f35cb87b","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","Ladders"
"93b33748-4d89-4e23-8e52-f0afa9997e79","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WREO","Arc/Mic Welding Machine"
"472ace0f-b5e8-42bd-a0e9-82e6ff3cfb91","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WG"
"aaf0aa90-6ad1-457a-898c-1dfb9be892f3","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WG","FORKHOISTs"
"d2b1c367-e5d6-44ef-a853-025485306ad2","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WG","FORKHOISTs","Forkhoist 3T"
"267437cd-a6d9-4b8d-9b36-32c7df68b216","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WG","FORKHOISTs","Forkhoist 8T"
"c67a53d8-b91b-4b0e-87b5-b82f61b13e85","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WG","FORKHOISTs","Forkhoist 12T"
"afc2e8a2-8ffd-4445-a94d-274a5fe9ca1a","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WG","FORKHOISTs","Forkhoist 20T"
"53d62499-bfff-4cc9-ac28-8838f6666e3e","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WG","Manual Pallet Trolley"
"6dc6be2f-be4a-4bae-aded-30b7cc4c5b9e","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WG","Ride on Sweeper"
"f42db31a-5e9d-451b-a78d-52a443f944e9","","no-status-not-started","","folder","TRUE","FALSE","Plant & Equipment Prestarts","WG","Truck XJ3261"
