"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1af8a80f-0ce4-4e28-a5dc-92e42fa476b5","","pass","","folder","TRUE","FALSE","FHC-ITP-001 - Clearing & Grubbing"
"66d64386-b27a-480c-aab4-63d0c8ab1212","","pass","FHC-ITP-004 - Type A Fill Placement Rev5","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill Placement","201-0069 - WGS - MCP - Type A Fill Placement - Lot 3"
"f6d223fe-f8c8-4e2d-8ec8-47714d58d333","","pass","FHC-ITP-004 - Type A Fill Placement Rev5","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill Placement","201-0070 - WGS - MCP - Type A Fill Placement - Lot 4"
"c241ef5e-3ec2-4d85-9524-1aa5650fe6f8","","pass","FHC-ITP-004 - Type A Fill Placement Rev5","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill Placement","201-0071 - WGS - MCP - Type A Fill Placement - Lot 5"
"4787257a-3157-4271-a1c6-7388aa02e04e","","pass","FHC-ITP-004 - Type A Fill Placement Rev5","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill Placement","201-0072 - WGS - MCP - Type A Fill Placement - Lot 6"
"96c8ac84-7a74-4b1d-8bf6-07c8b1275234","","pass","FHC-ITP-004 - Type A Fill Placement Rev5","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill Placement","201-0172 - WGS - MCP - Type A Fill Placement - Lot 7"
"c3e01072-f9c8-4fe3-a20f-d2f20e63a408","","pass","FHC-ITP-004 - Type A Fill Placement Rev5","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill Placement","201-0173 - WGS - MCP - Type A Fill Placement - Lot 8"
"f7ff252b-1386-42a4-90f8-815047ebf359","","pass","FHC-ITP-004 - Type A Fill Placement Rev5","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill Placement","201-0174 - WGS - MCP - Type A Fill Placement - Lot 9"
"7d5851fe-f23f-4bd8-944d-52b0442d01bd","","pass","FHC-ITP-004 - Type A Fill Placement Rev5","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill Placement","201-0175 - WGS - MCP - Type A Fill Placement - Lot 10"
"57b3427e-e476-4e8a-bd09-de76bb4bfa0c","","pass","FHC-ITP-004 - Type A Fill Placement Rev5","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill Placement","201-0176 - WGS - MCP - Type A Fill Placement - Lot 11"
"58982660-94a3-424f-965b-41b24515de88","","pass","","folder","TRUE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock"
"02d969ae-d785-481d-9b1e-3e23f95233df","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0094 - WGS - MCP - Class 2 Crushed Rock Base - Lot 1"
"3de03749-9c80-4c7c-8d03-7c1eef9e732c","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0095 - WGS - MCP - Class 2 Crushed Rock Base - Lot 2"
"c2551f1c-f5af-4219-898c-8f0101ca035f","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0096 - WGS - MCP - Class 2 Crushed Rock Base - Lot 3"
"967bd2b3-33a4-4034-baf9-4109abf0866c","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0097 - WGS - MCP - Class 2 Crushed Rock Base - Lot 4"
"c2b46bc8-3c1a-42bd-b730-c544b15033e7","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0159 - WGS - MCP - Class 2 Crushed Rock Base - Lot 5"
"dd47d3a6-bbd8-47e4-9ed9-c0cf98950dbe","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0160 - WGS - MCP - Class 2 Crushed Rock Base - Lot 6"
"84fff5fe-78d4-4c3d-af89-29493f58a206","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0161 - WGS - MCP - Class 2 Crushed Rock Base - Lot 7"
"51b0393b-142e-4cd9-82d0-6c19c4db0752","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0162 - WGS - MCP - Class 2 Crushed Rock Base - Lot 8"
"b82ef0d2-93dc-4603-8458-90d3c6c635e5","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0163 - WGS - MCP - Class 2 Crushed Rock Base - Lot 9"
"7c9ebecc-9ede-4067-9c7d-2ab2458d3e3d","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0164 - WGS - MCP - Class 2 Crushed Rock Base - Lot 10"
"3360a582-2e4f-4e33-bd53-ead6e05ab978","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0165 - WGS - MCP - Class 2 Crushed Rock Base - Lot 11"
"e19739b6-6a58-414b-a2d5-b646bd644f7c","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","201-0166 - WGS - PoT - Class 2 Crushed Rock Base - Lot 12"
"e0b1ecda-c032-4c09-9b86-a44f2ec78ab8","","pass","","folder","TRUE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock"
"15e33eab-7cde-494a-b877-d3cd811f952d","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","201-0081 - WGS - MCP - Class 3 Crushed Rock Base (Stormtrap) - Lot 1"
"8e8786e8-2fb6-4d78-a043-ebecc364066c","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","201-0082 - WGS - MCP - Class 3 Crushed Rock Base - Lot 2"
"385ae50c-39cc-477f-8a7a-038fd5221a69","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","201-0083 - WGS - MCP - Class 3 Crushed Rock Base - Lot 3"
"567b946a-8132-4fb0-97cb-d0579836282f","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","201-0084 - WGS - MCP - Class 3 Crushed Rock Base - Lot 4"
"8a4a1239-0757-4899-b9ad-70ff7ae17b0a","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","201-0085 - WGS - MCP - Class 3 Crushed Rock Base - Lot 5"
"8280106c-14c0-449a-a834-6e16e2ab7048","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","201-0086 - WGS - MCP - Class 3 Crushed Rock Base - Lot 6"
"29f2c29f-3e50-4776-831f-6809f212de1d","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","201-0087 - WGS - MCP - Class 3 Crushed Rock Base - Lot 7"
"2e568994-2f2d-4bdd-ac0e-472a191ead6b","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","201-0167 - WGS - MCP - Class 3 Crushed Rock Base - Lot 8"
"8d1f9089-96af-4280-aded-697e7f0e5f3a","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","201-0168 - WGS - MCP - Class 3 Crushed Rock Base - Lot 9"
"b22913f4-b0ff-43df-96d0-1627d44011f3","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","201-0169 - WGS - MCP - Class 3 Crushed Rock Base - Lot 10"
"85f64700-3945-4c32-8993-a3f1db4a7411","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev4","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","201-0170 - WGS - MCP - Class 3 Crushed Rock Base - Lot 11"
"bd9c9edb-9c74-4d40-b836-36a463852180","","pass","","folder","TRUE","FALSE","FHC-ITP-008 - Stormwater Drainage"
"d8be2823-9c8a-40fe-b5c1-97abdd2b6718","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0043 - WGS - MCP - Stormwater Drainage - Lot 1 - 1-1 - 1-2 "
"fddf651c-eed2-47cf-b8cc-a2a8245a46d1","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0044 - WGS - MCP - Stormwater Drainage - Lot 2 - 1-2 - 1-3"
"aa4a092e-657b-478a-a4b4-96983d57e0b4","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0045 - WGS - MCP - Stormwater Drainage - Lot 3 - 1-6 - 1-7"
"42beb8b2-ded4-44f1-b649-48600722790e","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0046 - WGS - MCP - Stormwater Drainage - Lot 4 - 1-7 - 1-8"
"76827cfa-a1b9-4600-aab9-1c09ba23b5de","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0047 - WGS - MCP - Stormwater Drainage - Lot 5 - 1-8 - 1-9"
"4485f782-0271-49c5-b50e-205a75de6cd5","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0048 - WGS - MCP - Stormwater Drainage - Lot 6 - 1-9 - 1-10"
"f7d20756-9fc5-40b4-b699-a44ca14475f2","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0049 - WGS - MCP - Stormwater Drainage - Lot 7 - 1-10 - 1-11"
"0ea8f6f3-90d1-484e-b09b-04852064851e","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0050 - WGS - MCP - Stormwater Drainage - Lot 8 - 1-11 - 1-12"
"cf89d7b2-b8e1-426a-b3e3-2b5f2846966f","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0051 - WGS - MCP - Stormwater Drainage - Lot 9 - 1-6 - 2-1"
"9e163bef-b983-42f3-848d-b6c953338d82","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0052 - WGS - MCP - Stormwater Drainage - Lot 10 - 2-1 - 7-1"
"d53ada77-8d7a-4111-8a9b-403c7a1eaa8a","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0053 - WGS - MCP - Stormwater Drainage - Lot 11 - 7-1 - 7-2"
"136d7b8a-5594-45b8-942a-fe746757af48","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0054 - WGS - MCP - Stormwater Drainage - Lot 12 - 3-1 - 3-2"
"57d91acb-3d29-42c8-9849-ca1da2eb2143","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0055 - WGS - MCP - Stormwater Drainage - Lot 13 - 3-2 - 3-3"
"235e0c2e-76ae-4672-a10c-e2c36797131b","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0056 - WGS - MCP - Stormwater Drainage - Lot 14 - 3-1 - Storm Trap"
"30ba945a-8487-4f44-a6bd-aeabdd41d294","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0057 - WGS - MCP - Stormwater Drainage - Lot 15 - 5-1 - 5-2"
"f47d9af3-3a31-4150-909e-bc0259b4a1a9","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0058 - WGS - MCP - Stormwater Drainage - Lot 16 - 5-2 - 5-3"
"74377f86-b37f-4d2a-96c9-11dd9b277d58","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0059 - WGS - MCP - Stormwater Drainage - Lot 17 - 5-3 - 5-4"
"7d528f59-7bec-4490-ae7b-a13905840364","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0060 - WGS - MCP - Stormwater Drainage - Lot 18 - 5-4 - 5-5"
"011e94f0-6d57-48f6-b21a-f922fce44ff4","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0061 - WGS - MCP - Stormwater Drainage - Lot 19 - 5-1 - StormTrap"
"ffed082c-13e1-48e9-bfd2-d81ff7a99ce4","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0062 - WGS - MCP - Stormwater Drainage - Lot 20 - 1-8 - 8-1"
"a23fbd65-27a5-46d2-ad28-424af85b8ec9","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0063 - WGS - MCP - Stormwater Drainage - Lot 21 - 9-1 - 9-2"
"9b2327aa-ca88-4d47-9249-be31736f0be6","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0064 - WGS - MCP - Stormwater Drainage - Lot 22 - 13-1 - Headwall"
"61cc6b92-322d-4ac4-9c7f-7bb6bd5914bb","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0065 - WGS - MCP - Stormwater Drainage - Lot 23 - 9-3 - 9-4"
"09fb1792-2951-46aa-893a-da4e1b26bb74","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0016 - WGS - WCP - Stormwater Trench Drain (ACO) - Lot 1 (Stage 2) "
"3bddcd2c-2623-4afa-bd42-816ad95ea288","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0017 - WGS - WCP - Stormwater Trench Drain (ACO) - Lot 2 (Stage 2 Extension)"
"1bf8afc9-ac4a-49fc-8550-4dd980be1e2e","","pass","FHC-ITP-008 - Stormwater Drainage Rev4","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","201-0187 - WGS - WCP - Stormwater Trench Drain (ACO) - Lot 3 (Stage 3)"
"effd21d3-09d8-4fb2-b1b4-b90bb5f9dd5e","","pass","","folder","TRUE","FALSE"," FHC-ITP-010 - StormTrap Construction"
"b012c423-a3a9-49f3-988d-3c3d01a5d062","","pass","FHC-ITP-010 - StormTrap Construction v2 Rev1","checklist","FALSE","FALSE"," FHC-ITP-010 - StormTrap Construction","201-0042 - WGS - MCP - StormTrap Installation - Lot 1"
"7be325f5-d861-41f5-8ab1-2827fbfaf9a3","","pass","","folder","TRUE","FALSE","FHC-ITP-013 - General Concrete Paving"
"2a7d4ef8-cba6-447a-89de-f8f97c3ef102","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0102 - WGS - MCP - Footpath Paving - Lot 1"
"b1345660-f346-42b2-b4c6-b9f8ab92d70d","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0103 - WGS - MCP - Footpath Paving - Lot 2"
"4892c9f0-a78f-41da-a011-e562ea3d3d98","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0104 - WGS - MCP - Footpath Paving - Lot 3"
"cd5065f0-c16f-4262-8819-36e227812d59","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0105 - WGS - MCP - Footpath Paving - Lot 4"
"d33f30e6-f1ed-40ab-9b91-593e4c9f206a","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0106 - WGS - MCP - Footpath Paving - Lot 5"
"28d466eb-684a-41bd-b100-97448d4ac075","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0107 - WGS - MCP - Footpath Paving - Lot 6"
"63dc0b5f-68a8-4e19-9693-56474dcb8c56","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0108 - WGS - MCP - Footpath Paving - Lot 7"
"32715142-e08b-4821-9a86-d51fcaf054f4","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0109 - WGS - MCP - Footpath Paving - Lot 8"
"12218ba7-ed2b-449a-8cbc-f496c2fead60","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0007 - WGS - WCP - Footpath Paving - Lot 1 (Stage 2)"
"65b3e6c2-bc9d-49fe-9c27-23d27cea97cf","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0008 - WGS - WCP - Footpath Paving - Lot 2 (Stage 2)"
"862e7b77-6bbf-42b9-853d-65dac32ea517","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0009 - WGS - WCP - Footpath Paving - Lot 3 (Steps)"
"93deeacd-6fd1-4234-b5c8-3139fdf03fa9","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0010 - WGS - WCP - Footpath Paving - Lot 4 (Patch with Bollard Pour)"
"56721745-93be-4bf9-91dc-42135386ef8f","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0181 - WGS - WCP - Footpath Paving - Lot 5 (Stage 3)"
"cf863f0e-80fd-4c5f-8e64-998489d04bf8","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0182 - WGS - WCP - Footpath Paving - Lot 6 (Stage 3)"
"630de382-f7ca-470d-a432-a30bc1866c55","","pass","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","201-0183 - WGS - WCP - Footpath Paving - Lot 7 (Stage 3 & Comms Pit Surrounds)"
"003a4d16-18a1-4b3e-ae24-1c4e653ef181","","pass","","folder","TRUE","FALSE","FHC-ITP-014 - Subsurface Drainage"
"9e5ff779-d2c6-46e5-8068-ed32c72cf941","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0073 WGS - MCP - Subsoil - Lot 1"
"fbf71385-0013-4964-b06a-a380878dedb7","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0074 WGS - MCP - Subsoil - Lot 2"
"6c7e6f8e-1e2f-4395-9aa1-a83230e91dc9","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0075 WGS - MCP - Subsoil - Lot 3"
"17bab4bd-d9e8-42fd-8662-f3ff33074af4","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0076 WGS - MCP - Subsoil - Lot 4"
"84b00dd9-6e25-4abc-81b9-c7717abc5be9","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0077 WGS - MCP - Subsoil - Lot 5"
"ea20bdf8-1804-42ba-936f-89f2bcc2732f","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0078 WGS - MCP - Subsoil - Lot 6"
"41568c69-d38f-492b-b076-99ed9f74c5cb","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0079 WGS - MCP - Subsoil - Lot 7"
"53771180-a93f-48aa-844a-537b1e45b585","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0080 WGS - MCP - Subsoil - Lot 8"
"35e8eb63-0401-4610-8d32-0ef837b14930","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0142 WGS - MCP - Subsoil - Lot 9"
"1ff3f258-6d87-46e7-8bba-b3a894e01ae1","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0186 WGS - PoT - Subsoil - Lot 10"
"1b080195-9bae-4d8d-a9b2-ff711fe25d1b","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0011 - WGS - WCP - Sub-surface Drainage - Lot 1 (Stage 2)"
"a67282b4-40f3-47d2-b3eb-18d198bd1279","","pass","FHC-ITP-014 - Subsurface Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","201-0012 - WGS - WCP - Sub-surface Drainage - Lot 2 (Stage 3)"
