"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27ecec3e-83a1-43b5-a603-a7408af41efa","","not-started","Commisioning","checklist","FALSE","FALSE","Level 2","203","Commisioning"
"d2a36e3b-5599-4662-b5a1-39d3baf139de","","work-in-progress","","folder","TRUE","FALSE","Level 2","204"
"30cf58db-d279-41de-ac01-25071c82bed4","","pass","Penetrations","checklist","FALSE","FALSE","Level 2","204","Penetrations"
"07792b27-9614-4bd8-93b3-1347c675a7b8","","not-applicable","Inground Drainage","checklist","FALSE","FALSE","Level 2","204","Inground Drainage"
"ba2d3c4e-f889-4f5f-a3b8-8ab0c8c0298b","","work-in-progress","Drains","checklist","FALSE","FALSE","Level 2","204","Drains"
"d17c3f86-1a1f-4055-a88a-a87982605742","","not-started","Rough In","checklist","FALSE","FALSE","Level 2","204","Rough In"
"419373b4-225d-4327-90a8-0be42c0f1bcc","","not-started","Corridor","checklist","FALSE","FALSE","Level 2","204","Corridor"
"2701627e-4b14-4575-b361-9565a6aa4dff","","not-started","Fit Off","checklist","FALSE","FALSE","Level 2","204","Fit Off"
"6dbedd4c-8456-4dd2-9405-edf1b9695a5a","","not-started","Commisioning","checklist","FALSE","FALSE","Level 2","204","Commisioning"
"b77ab128-c0f5-4642-8479-f052941385ee","","work-in-progress","","folder","TRUE","FALSE","Level 2","205"
"80fa719f-eaa0-4496-af20-8fa83d93203c","","pass","Penetrations","checklist","FALSE","FALSE","Level 2","205","Penetrations"
"e385d755-0b0f-478e-beab-745186bea4a7","","not-applicable","Inground Drainage","checklist","FALSE","FALSE","Level 2","205","Inground Drainage"
"b054ff12-495f-4e70-a98d-a23f29c2d80a","","work-in-progress","Drains","checklist","FALSE","FALSE","Level 2","205","Drains"
"344fa825-2496-4e06-b0dd-2e0cd842c793","","not-started","Rough In","checklist","FALSE","FALSE","Level 2","205","Rough In"
"3f061b6d-7d09-48b0-9aca-e157444be170","","not-started","Corridor","checklist","FALSE","FALSE","Level 2","205","Corridor"
"d463e348-0898-4734-9f9e-f72514ea3f90","","not-started","Fit Off","checklist","FALSE","FALSE","Level 2","205","Fit Off"
"0087f771-5dd9-4e99-b226-961fd6561eff","","not-started","Commisioning","checklist","FALSE","FALSE","Level 2","205","Commisioning"
"afbdf98e-138e-4ab5-9ba3-c15b9d9f4060","","work-in-progress","","folder","TRUE","FALSE","Level 2","206"
"6c935fd3-96c0-436a-83a7-a4e6d8f23d73","","pass","Penetrations","checklist","FALSE","FALSE","Level 2","206","Penetrations"
"9bcc1bec-7978-4b99-a58c-22e84d54b489","","not-started","Inground Drainage","checklist","FALSE","FALSE","Level 2","206","Inground Drainage"
"8bc8c9b7-bb77-4e29-a2bb-fb2ed2668c43","","not-started","Drains","checklist","FALSE","FALSE","Level 2","206","Drains"
"27c1d3ab-eab2-4f04-bb11-d11e914f8a4a","","not-started","Rough In","checklist","FALSE","FALSE","Level 2","206","Rough In"
"671ec7b0-86ca-401d-8940-23b0eeddd73b","","not-started","Corridor","checklist","FALSE","FALSE","Level 2","206","Corridor"
"b9791fad-e70b-4393-b23d-287afb366756","","not-started","Fit Off","checklist","FALSE","FALSE","Level 2","206","Fit Off"
"b93f1bd3-b032-4dcb-ab17-85843aa3222f","","not-started","Commisioning","checklist","FALSE","FALSE","Level 2","206","Commisioning"
"59fe78aa-d6cc-42e7-917e-c96277842e7a","","work-in-progress","","folder","TRUE","FALSE","Level 2","207"
"b8852c02-4955-4474-ab94-b078787c6dea","","pass","Penetrations","checklist","FALSE","FALSE","Level 2","207","Penetrations"
"a722dca5-9fc6-4aae-9fb0-0d95f9a17649","","not-started","Inground Drainage","checklist","FALSE","FALSE","Level 2","207","Inground Drainage"
"86ad0925-d74a-482d-8a70-1346f8542d95","","not-started","Drains","checklist","FALSE","FALSE","Level 2","207","Drains"
"e586a0b5-454a-41ea-8dcd-7f57d06c0363","","not-started","Rough In","checklist","FALSE","FALSE","Level 2","207","Rough In"
"ef008f84-3ab6-42c9-9f60-734ca005e172","","not-started","Corridor","checklist","FALSE","FALSE","Level 2","207","Corridor"
"c386f299-0920-4786-9089-534f3ddd1739","","not-started","Fit Off","checklist","FALSE","FALSE","Level 2","207","Fit Off"
"514d095f-10f3-459c-91ed-ccf0c2616eaa","","not-started","Commisioning","checklist","FALSE","FALSE","Level 2","207","Commisioning"
"fa7c4b69-8ba4-4198-83a6-7c10f8a43fe3","","work-in-progress","","folder","TRUE","FALSE","Level 2","208"
"78797250-2573-46de-99a6-bca3e0b77672","","pass","Penetrations","checklist","FALSE","FALSE","Level 2","208","Penetrations"
"efc364c9-eb65-44b1-966c-a5eb8b01b11c","","not-started","Inground Drainage","checklist","FALSE","FALSE","Level 2","208","Inground Drainage"
"f6ff4bd7-aefa-4c30-9780-3ddc900f444f","","not-started","Drains","checklist","FALSE","FALSE","Level 2","208","Drains"
"ce09a512-8a3b-4359-b10e-7ade4508ebe4","","not-started","Rough In","checklist","FALSE","FALSE","Level 2","208","Rough In"
"0402cfc6-190c-45ef-b501-8284a4441703","","not-started","Corridor","checklist","FALSE","FALSE","Level 2","208","Corridor"
"ab7d2f35-b0b2-4f55-8178-40be29bf5790","","not-started","Fit Off","checklist","FALSE","FALSE","Level 2","208","Fit Off"
"d46a2f4a-be6b-45e9-b134-acaf348257a7","","not-started","Commisioning","checklist","FALSE","FALSE","Level 2","208","Commisioning"
"a7e541db-2198-4a1e-aa41-f42fcf6a496a","","work-in-progress","","folder","TRUE","FALSE","Level 2","209"
"eb46545b-8c0b-4dbf-a60b-f63ec849ee41","","pass","Penetrations","checklist","FALSE","FALSE","Level 2","209","Penetrations"
"00302fbe-9fc2-4b1e-af9d-cdf1d3501fbe","","not-started","Inground Drainage","checklist","FALSE","FALSE","Level 2","209","Inground Drainage"
"810d93a0-b0ab-4f7a-94a0-01a308f7717f","","not-started","Drains","checklist","FALSE","FALSE","Level 2","209","Drains"
"6a39a01c-4dd9-4269-9fcf-850259544e52","","not-started","Rough In","checklist","FALSE","FALSE","Level 2","209","Rough In"
"4b7acd2e-e780-4fa1-aeae-b23917222f60","","not-started","Corridor","checklist","FALSE","FALSE","Level 2","209","Corridor"
"a02a51d5-c4e5-4c7c-a63f-adac53c76d2b","","not-started","Fit Off","checklist","FALSE","FALSE","Level 2","209","Fit Off"
"3b1bff9a-d39d-4ea4-b5d5-4151d853fc24","","not-started","Commisioning","checklist","FALSE","FALSE","Level 2","209","Commisioning"
"9a2c7d40-d30f-41bc-a9c4-aadae962b3be","","work-in-progress","","folder","TRUE","FALSE","Level 2","210"
