"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"763f98ef-8fff-4ea1-8827-4071a87094de","","folder-normal","work-in-progress","","step","TRUE","FALSE","Fabrication & Site QA"
"7f209718-a7a3-4b36-b686-3354bcd184ed","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation"
"3d61952e-6b8d-4c44-b398-fbc3d7f540cc","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 11"
"141cc6c4-d163-4c9a-b405-27ebf362101d","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 11","N-L11-1"
"af3f37a6-66cd-489d-acb6-61ba89b14959","","checklist-flat","pass","Fabrication Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 18","N-L18-1","Fabrication"
"b4be64bc-2637-4d91-b20f-5f7b16c3996b","","checklist-flat","pass","Receival of Panels Onsite Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 18","N-L18-1","Receival of Panels Onsite"
"6378586c-eeb6-4082-93b3-d84049287191","","checklist-flat","pass","Removal of Non-Compliant Cladding Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 18","N-L18-1","Removal of Non-Compliant Cladding"
"4b7f4b32-e94c-4f20-b68d-8274cdb86d34","","checklist-flat","pass","Installation of Panels Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 18","N-L18-1","Installation of Panels"
"1daecbcf-b75d-4052-90d2-d1f90a83f4fd","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 19"
"f870f124-30b0-4fc5-9b9d-86ad583bad18","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 19","N-L19-1"
"f9dffc8b-270d-489f-b88a-73d0f8208991","","checklist-flat","pass","Fabrication Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 19","N-L19-1","Fabrication"
"2b4307d3-336b-4c18-922e-ea3b276c27bb","","checklist-flat","pass","Receival of Panels Onsite Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 19","N-L19-1","Receival of Panels Onsite"
"9007fb3a-cb6f-4c16-b062-0dd9132e18d4","","checklist-flat","pass","Removal of Non-Compliant Cladding Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 19","N-L19-1","Removal of Non-Compliant Cladding"
"f84232d9-e3a3-40b6-8d6c-b4f9fa96799b","","checklist-flat","pass","Installation of Panels Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 19","N-L19-1","Installation of Panels"
