"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c3011f97-a33d-460d-944c-35eaf2918817","","","","folder","TRUE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU"
"85fef1ec-a2e0-46b3-b369-c5b27297e5b4","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.014"
"12344a34-a2e5-4b80-8157-dc7408c9b992","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.015"
"1d21cd35-f6c8-4e11-a021-40a6a90bbfae","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.016"
"2127998c-47cb-40b0-9e47-dd0451681bfb","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.019"
"7efe64f5-1287-4553-a120-3455cc12f5c5","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.020"
"687782dc-72a2-4a1a-a57a-3565a5b8ada3","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.027"
"b4bab7cd-b6c4-4478-933a-eacd89cde9ef","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.028"
"e9f691c1-692a-4865-ab40-643c947c8960","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.041"
"19afb79f-ffaf-422e-a8f9-bd9de46ee8b4","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.042"
"ec1b63b9-ea3a-426b-9c04-c63dd7b2efb2","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.043"
"faa8c5d0-9c26-4ad7-8b51-f7c2c57ad77f","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.044"
"9217642b-7256-4f06-90b7-ed5271c929a6","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.045"
"20b6b4df-e99e-4ae2-93aa-84439980f572","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.046"
"4fb583c6-e16c-4c1f-9f92-5e2650c2bfe7","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.047"
"971bce6b-0ab1-456a-b93c-060330b2b93d","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.048"
"51b08270-abec-4b0f-8ea3-ec1ba4afda2e","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.049"
"5d14838d-1e5d-475e-b893-c890d51a4fe3","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.050"
"759cca8b-a759-4932-9db4-3e2e576ed435","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.052"
"69e13b58-79f9-4fcc-a417-788de3ce9159","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.053"
"0b1e42c6-2048-4dfb-a5a2-bc71bc7e6d52","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.054"
"a3a1c210-0cb5-49ff-b9a6-2fcac9800ca9","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.055"
"f67db83b-5df9-47ab-a490-20c846565b10","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.056"
"dd825152-e01c-4e58-9bb0-077e7734310c","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.057"
"bdcfc498-3d75-445f-9636-2d9f4fdb31b3","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.058"
"e640b1b8-2dfc-473f-a17f-6f7542e73c5a","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.060"
"cc3eb7fa-7ac9-40d5-abbd-7950c0c5e515","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.082"
"3abeb9c1-8cf9-4d7a-ac1e-0d6ce7b95d31","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.083"
"c929b28b-6e39-4deb-8e07-562a105d996d","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.084"
"d06e8341-1938-4ad7-9f2c-3cb837eb2ce3","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.085"
"ba99ffa9-9964-4e12-9a23-d5dd476a8a51","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.086"
"87af1316-3746-4c22-ad7b-2fcdb2aaf6be","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.087"
"996c897f-00c4-4b39-903d-5921abc819c2","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.088"
"7fa6aab6-f54b-4c0c-acd1-c0e1bdec46a4","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.089"
"355a40fa-1759-4f44-ad10-0617533e013a","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.090"
"6c0a08f6-996c-47a7-ac5a-f921668615db","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.091"
"5aba1e42-7ace-47f8-818f-a4b0fc3a5111","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.094"
"a6c1152e-df12-446f-9e67-4d28ce6161d8","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.097"
"2436076c-b2b3-49b7-bac9-bfb9533ac783","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.140"
"d969c340-06a5-48eb-a9b6-b2af754368ce","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.141"
"2fbf2743-79ee-4804-9602-e22f311577d6","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.340"
"6c38930a-5454-4735-8eac-92cb0ddb4018","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.010"
"5a36e0e3-d308-41b0-a824-0d59bccf5203","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.011"
"b3233af0-6a9d-4a68-8837-ac2e655bbd4d","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.012"
"9daf5fbc-4a63-4c7e-9205-9f2e6e48afb1","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.013"
"6da0d510-a85c-4a60-abc2-d5bec164963a","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.154"
"ea2657b1-6bd4-47f0-bb39-b7cca349114d","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.156"
"829e65e5-7f7c-4a6f-861c-82dd1184ea0b","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.157"
"61d7d9a4-403f-47ec-992f-669bcbf2d3fa","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.158"
"fcf35cb5-ab96-469b-86ea-5b333161f0f9","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.159"
"0424e076-fdce-4bd1-a11b-e338845ecd7b","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.160"
"c1ef08da-9a20-4206-81a5-d0143c6be818","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.162"
"2bb97b4a-054e-4edb-90ab-8353a52dea0e","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.163"
"2c100837-920b-47a4-a460-cde3e74f5457","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.166"
"030f646d-7237-4a66-b10f-4ddf7b035bc6","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.170"
"4310e718-500d-4ced-944f-cc23be03aaca","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.172"
"cd413743-7fa9-4913-9c67-85fa5dc09af4","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","04.E.173"
"a28d76c7-aa4d-424d-8e2e-40bf8c3b4d38","","","","folder","TRUE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture"
"d8b3efc5-8747-4ccf-af6e-4810a5cb06a8","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.A.160"
"92518f82-7ba1-48ba-a9cb-1e18125a7035","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.001"
"96bf1e52-9120-42aa-b43e-cf6c73d4093d","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.002"
"52a4bc06-bb58-43e2-981c-afea024691ec","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.004"
"51a940d1-e6a1-4e88-80b7-147a53e524ca","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.007"
"15b25a85-0b97-43d4-81d6-ed4f13a1532a","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.008"
"afc0a056-291a-4783-897c-999bc9cdc950","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.011"
"0e667669-e123-447b-8e31-00a8a5f6b76e","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.013"
"8f561bcf-7fda-4bb8-b2ab-9646d0ee4e4d","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.014"
"5ff70a5a-21af-48df-aa4e-bbed96cb4d1f","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.019"
"acf0a0a6-9eb2-4b90-a426-17502c56213b","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.021"
"e73f9e87-2bce-49c1-b2ff-c1db79db55ed","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.022"
"50b560d6-06a7-4e73-a896-c32953691aef","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.023"
"841c2157-2ac9-4355-9827-d056ad017613","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.025"
"327ab544-1d1a-40cf-b9fb-a572b4186d6d","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.026"
"8b6f43b2-7c55-4fff-baf8-aeb81991cacf","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.029"
"20fc7b4e-db6c-4fbc-ad91-09b20ea3716c","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.030"
"c02a8a6e-bf4d-4105-95ac-63fd66d90b91","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.033"
"0b147595-1d07-49df-97d8-990acff1ca0c","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.039"
"05286e22-170c-495b-a9bd-7df5536703c3","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.040"
"914aea86-2b5b-444c-8ebb-f177a814afe5","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.042"
"463abdfe-f9ca-4b77-9f92-d9c72817de7e","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.043"
"937670a5-e834-48e3-b25c-578d92c1d247","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.048"
"595dec21-1412-4725-9a6b-15e773472ec8","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.049"
"4e982e74-c1c7-4cbe-a7b1-edfc41514bb5","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.050"
"a5739780-e077-4a8f-8a80-a9cd2704bcc5","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.052"
"5fb147c8-9f00-40d4-b46e-5e16bf85ad84","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.055"
"ac90bb91-08dd-4cbe-8fb4-fef264a0018a","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.083"
"577a2fc6-442e-471d-95ba-86a95b43b008","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.084"
"a3a110a6-9853-443a-bc9e-dfbc0fc3e475","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.087"
"00799be4-8b2f-4929-894c-5b203fca6058","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.099"
"c2f23b1a-8e58-49b4-925b-697c0825ab6d","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.119"
"1b399ff7-5c3b-4d20-9632-80db5d2847f6","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","B1.B.170"
"80ef943a-33a0-40aa-8aa1-54769169ea5e","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","LG.A.002"
"c129b869-e49f-4d9f-9d75-6187ae428c64","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","LG.A.003"
"4ec6383f-8b9a-422a-aa95-b091b4173070","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","LG.A.006"
"270ef517-6fa3-4624-b939-f2f6c6044e96","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","LG.A.007"
"51c32300-3749-4afa-9383-841429d67fc3","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","LG.A.010"
"ae1fbef3-0391-4781-b984-e11c830cc79d","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","LG.A.013"
"005c6039-f31c-4441-b368-6a712ec9ee66","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","LG.A.016"
"3f645a49-b531-487d-abaa-1f5bef89563a","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","LG.A.018"
"cff3241f-ef2a-4495-983b-07421ba7bd01","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - WH Furniture","LG.A.029"
