"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e10b8f7a-bd66-4aa7-bfeb-d3fcb305d4b2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"8e42b0cd-4f1e-45fc-abf8-3aaefee7a0dd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building A"
"6a06562a-6f2d-426d-806b-606ac9e34782","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","11"
"eb261349-08fa-4ce2-a4fa-b19091f947b6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","12"
"7e5893f5-7a5d-4331-a3be-5355fa9a93ea","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building A","13"
"7268f258-21c1-4830-8f81-abccf80c89f4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building A","13","1/192"
"2e43f982-c2f3-40cc-8b71-51bbc561939f","","checklist-flat","work-in-progress","Defect","checklist-flat","FALSE","FALSE","Site QA","Building A","13","1/192","Defect 192"
"3b2f37d6-220b-471c-97bd-fe4c775f26ff","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B"
"b95cac87-0240-4cd0-9687-c1410f44437a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Basement 2"
"e3d1f925-def1-4cac-ba05-c2c132451639","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Basement 1"
"27935848-3643-4bf0-8be0-078d795c5b9e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Ground Floor"
"1b4834b5-fa92-4390-8f01-5c9f3a62a43e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","1"
"c4584854-c45f-4d63-b33e-4e5f4594ab41","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","2"
"5394a55f-0cdb-47d3-9c7d-1dd0a123a180","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","3"
"a17aef5b-e0f4-4132-a3a4-ae89baee40ee","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","4"
"569b7a11-d588-44d2-9fa7-28cef57bcc1d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","5"
"6ed1a572-fd63-45a2-ad1b-1b1ceac49922","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","6"
"c5fa043a-6484-4d56-8d12-8d30628f2d9a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","7"
"d75ad6ce-727d-4869-bb09-d1bc4bdc48d8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","8"
"1cffbb5a-4eda-4054-a0ca-faa535b73150","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","9"
"b8b92c61-f75a-410b-a0b8-20fc1ad74b86","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","10"
"c489d087-ee08-40b6-bc37-de2f3aed68f1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","11"
"44fe9307-aaeb-4ea3-96d5-44ec1a5474bb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","12"
"55a3829a-8004-4a3a-89a7-4070de05a727","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","13"
"2685aeda-29b1-4dbd-b3cd-fcd638218243","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C"
"a49dd0aa-b254-4ea0-b9ef-a7648838daac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","Basement 2"
"9ffb3f37-3f5e-490c-861b-66236854eabe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","Basement 1"
"fb2e9bf6-5879-4c34-9448-3b1532587b2b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","Ground Floor"
"82f491bf-8d07-48c2-a294-9701c7ee461c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","1"
"529dc0ab-f5b1-49a0-9361-7b8007d19918","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","2"
"8e1484c6-a088-4fd7-879c-87295ebcfcf1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","3"
"8a3cbd8e-4da7-4e29-8865-a019f3cdd022","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","4"
"d1e5f531-6dc6-482d-a839-b89eee150f2b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","5"
"c1d8daa6-5d41-41e6-9183-e108875d2dc2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","6"
"8539dd2f-ebfe-4de5-9f1f-f9ec8eba39ea","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","7"
"71b80d54-3fbe-4993-8dda-9cd0e16111d4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","8"
"f908e08b-8327-44fb-bbbe-876589cabacf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","9"
"2bfdef95-d643-4fd1-8b45-e6aa10c344a6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","10"
"36e879be-0c78-47a6-9f91-3d2f77a94ea3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","11"
"b154c9f4-233a-4fca-b239-174694269180","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","12"
"5973aff9-1d22-47e5-8927-2c9dba7842bf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","13"
"a263aaf4-0a84-4da0-a145-c76825ce0c12","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D"
"d37f8c04-fe8a-4123-92ad-ce6c45f12eb2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","Basement 2"
"dbd159c5-ad66-42c8-85a7-dd5ce5d3bdd5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","Basement 1"
"fc553c02-bf5c-417a-b74b-6e0e37149139","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","Ground Floor"
"56db8bcc-e985-4535-baef-61d35a87b46d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","1"
"a3066da3-a7dd-4367-a8a9-ad4434b0b44d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","2"
"1ea36cad-7e2c-48d2-86ea-a145f9473ce2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","3"
"675b0714-eb54-44fd-b332-b77dfe36f403","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","4"
"393ae018-bbca-4204-890b-3e7c6728d167","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","5"
"2cc336d5-7d10-481c-a12b-31abf30c990c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","6"
"9966d1b5-f220-4d9e-98d9-e1364fc715a7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","7"
"a6d6d04f-2443-44e8-960f-5ba1d7330378","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","8"
"28827d52-ccb0-4d8e-b040-3e2e26b17495","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","9"
"96153357-97ef-4a7b-8607-97ae9e5cbdf3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","10"
"5b38fb51-850b-4bb5-a883-6d229c05094b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","11"
"5a9b7f96-ed03-448d-8139-edd5862de230","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","12"
"d19c1f1c-73bd-4ed1-9ec5-2fa3f7e3850c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building D","13"
"09dfbbf5-5557-406b-9617-de0709736274","","folder-normal","not-applicable","","step","TRUE","FALSE","Site QA","Carpark"
"ba819548-82ed-44a0-96c5-b5fd4e19e221","","folder-normal","not-applicable","","step","TRUE","FALSE","Site QA","Carpark","2/202"
"0c39e625-bb56-467c-befd-75643bce1fcf","","checklist-flat","not-applicable","Defect","checklist-flat","FALSE","FALSE","Site QA","Carpark","2/202","2/202"
