Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
LEVEL 01-04 Progress,,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,BB401,,BB401,BUILDING BB,LEVEL 04,Site QA
,,BB402,,BB402,BUILDING BB,LEVEL 04,Site QA
,,BB403,,BB403,BUILDING BB,LEVEL 04,Site QA
,,BB404,,BB404,BUILDING BB,LEVEL 04,Site QA
,,BB405,,BB405,BUILDING BB,LEVEL 04,Site QA
,,LEVEL 04 - BUILDING C,grouping,LEVEL 04 - BUILDING C,,,
,,C401,,C401,BUILDING C,LEVEL 04,Site QA
,,C402,,C402,BUILDING C,LEVEL 04,Site QA
,,C403,,C403,BUILDING C,LEVEL 04,Site QA
,,C404,,C404,BUILDING C,LEVEL 04,Site QA
,,C405,,C405,BUILDING C,LEVEL 04,Site QA
,,C406,,C406,BUILDING C,LEVEL 04,Site QA
,Columns,,,,,,
,,Roughin,,Roughin,,,
,,Apartment Commissioning,,Apartment Commissioning,,,
,,Concrete Pours,,CONCRETE POURS,,,
,,Aerial Drainage ,,Aerial Drainage ,,,
,,Pressure Services,,Pressure Services,,,
,,,,,,,
Connections / Basement / Roof Progress,,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,SERVICE CONNECTIONS,dynamic,SERVICE CONNECTIONS,CONNECTIONS,Site QA ,
,,CONCRETE POURS,dynamic,CONCRETE POURS,BASEMENT ,Site QA ,
,,INGROUND SERVICES,dynamic,INGROUND SERVICES,BASEMENT ,Site QA ,
,,BASEMENT WORKS,dynamic,BASEMENT WORKS,BASEMENT ,Site QA ,
,,ROOF,dynamic,ROOF,Site QA ,,
,Columns,,,,,,
,,Connections,,CONNECTIONS,,,
,,Basement,,BASEMENT ,,,
,,Roof,,ROOF,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
