"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a9b6dcf7-1cec-488c-a400-5d68c8ffc2ed","","work-in-progress","3c69f12d1f4922dc91e598ed395b3f0d5f9438c9496bc2490102c9623590dbf6","checklist","FALSE","FALSE","Site QA","Cast-9 BN38-E and BN38-W","Byford U-Beam Stage-1 Casting BN38-E"
"e77229ab-aaa1-4423-83d6-5bdb515998ac","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-9 BN38-E and BN38-W","Byford U-Beam Stage-2 Casting Checklist BN38-E"
"696f6a5d-58d5-49df-a54d-0b6dc8fbe1e8","","work-in-progress","3c69f12d1f4922dc91e598ed395b3f0d5f9438c9496bc2490102c9623590dbf6","checklist","FALSE","FALSE","Site QA","Cast-9 BN38-E and BN38-W","Byford U-Beam Stage-1 Casting BN38-W"
"f5e21f13-cbad-45a9-9ebd-229c5ed8e68f","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-9 BN38-E and BN38-W","Byford U-Beam Stage-2 Casting Checklist BN38-W"
"c6dade1e-a715-44c8-91e8-5167dd05241b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-10 BN33-CE and BN34-E"
"e16bd55d-ee35-416c-84ed-12a7e73a3a9e","","work-in-progress","3c69f12d1f4922dc91e598ed395b3f0d5f9438c9496bc2490102c9623590dbf6","checklist","FALSE","FALSE","Site QA","Cast-10 BN33-CE and BN34-E","Byford U-Beam Stage-1 Casting BN33-CE"
"b141ee88-8b0c-4f12-bf8c-0427b6d1d915","","pass","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-10 BN33-CE and BN34-E","Byford U-Beam Stage-2 Casting Checklist BN33-CE"
"14bd3eb5-e627-55ef-aab8-f3a009e22cb2","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-1 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-10 BN33-CE and BN34-E","Byford U-Beam Stage-1 Casting BN34-E"
"8ca206e1-8fce-41a5-b4ff-49b9c2f06e36","","pass","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-10 BN33-CE and BN34-E","Byford U-Beam Stage-2 Casting Checklist BN34-E"
"93679e77-5009-41a5-bce5-30057f0ffc7e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-11 BN34-CE and BN34-W"
"fd2da95a-08f9-444e-aa18-104f6381f379","","work-in-progress","b537a4dce822092a5bd34d9cf402d8bc7e9d705074b6185916307026b87daf14","checklist","FALSE","FALSE","Site QA","Cast-11 BN34-CE and BN34-W","Byford U-Beam Stage-1 Casting BN34-CE"
"a1025218-63a8-41fc-ab60-8553ab89c106","","pass","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-11 BN34-CE and BN34-W","Byford U-Beam Stage-2 Casting Checklist BN34-CE"
"ed7e6774-d452-4110-8fef-ccec42ecce68","","work-in-progress","3c69f12d1f4922dc91e598ed395b3f0d5f9438c9496bc2490102c9623590dbf6","checklist","FALSE","FALSE","Site QA","Cast-11 BN34-CE and BN34-W","Byford U-Beam Stage-1 Casting BN34-W"
"f2c54c9b-4c07-4fbe-a04a-e48de97426f3","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-11 BN34-CE and BN34-W","Byford U-Beam Stage-2 Casting Checklist BN34-W"
"2fc2ee78-72e5-4409-a239-020a8306d5ee","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-12 BN42-E and BN06-W"
"d27c6ea3-5f03-4886-9dea-54c4e3c5830e","","work-in-progress","b537a4dce822092a5bd34d9cf402d8bc7e9d705074b6185916307026b87daf14","checklist","FALSE","FALSE","Site QA","Cast-12 BN42-E and BN06-W","Byford U-Beam Stage-1 Casting BN42-E"
