Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,
,,201-586 SOP,,201-586 SOP,Level 5,Fitout,Building North,Site QA,,,,
,,201-590 DB,,201-590 DB,Level 5,Fitout,Building North,Site QA,,,,
,,201-590A Comms,,201-590A Comms,Level 5,Fitout,Building North,Site QA,,,,
,,201-591 Store,,201-591 Store,Level 5,Fitout,Building North,Site QA,,,,
,,201-592 Control Room,,201-592 Control Room,Level 5,Fitout,Building North,Site QA,,,,
,,Building North - Fitout - Level 5 - Consult,dynamic,Consult,Level 5,Fitout,Building North,Site QA,,,,
,,Building North - Fitout - Level 5 - Office,dynamic,Office,Level 5,Fitout,Building North,Site QA,,,,
,,Building North - Fitout - Level 6,grouping,Building North - Fitout - Level 6,,,,,,,,
,,201-600L4 Lobby,,201-600L4 Lobby,Level 6,Fitout,Building North,Site QA,,,,
,,201-600L5 Lobby,,201-600L5 Lobby,Level 6,Fitout,Building North,Site QA,,,,
,,201-600S5 Stair 5,,201-600S5 Stair 5,Level 6,Fitout,Building North,Site QA,,,,
,,201-600S6 Stair 6,,201-600S6 Stair 6,Level 6,Fitout,Building North,Site QA,,,,
,,201-660 Riser 7,,201-660 Riser 7,Level 6,Fitout,Building North,Site QA,,,,
,,201-666A Riser 8,,201-666A Riser 8,Level 6,Fitout,Building North,Site QA,,,,
,,201-678 Riser,,201-678 Riser,Level 6,Fitout,Building North,Site QA,,,,
,,201-600C8 Circulation,,201-600C8 Circulation,Level 6,Fitout,Building North,Site QA,,,,
,,201-664 Scanner Studio,,201-664 Scanner Studio,Level 6,Fitout,Building North,Site QA,,,,
,,201-666 PHOTOGRAPHY Studio,,201-666 PHOTOGRAPHY Studio,Level 6,Fitout,Building North,Site QA,,,,
,,201-667A Store,,201-667A Store,Level 6,Fitout,Building North,Site QA,,,,
,,201-668 FIELD STORE,,201-668 FIELD STORE,Level 6,Fitout,Building North,Site QA,,,,
,,201-670 Artefact Store,,201-670 Artefact Store,Level 6,Fitout,Building North,Site QA,,,,
,,201-674 Freezers,,201-674 Freezers,Level 6,Fitout,Building North,Site QA,,,,
,,201-676 XRF,,201-676 XRF,Level 6,Fitout,Building North,Site QA,,,,
,,201-690 DB,,201-690 DB,Level 6,Fitout,Building North,Site QA,,,,
,,201-690A Comms,,201-690A Comms,Level 6,Fitout,Building North,Site QA,,,,
,,Building North - Fitout - Level 6 - Lab,dynamic,Lab,Level 6,Fitout,Building North,Site QA,,,,
,,Building North - Fitout - Level 7,grouping,Building North - Fitout - Level 7,,,,,,,,
,,201-700C8 Circulation,,201-700C8 Circulation,Level 7,Fitout,Building North,Site QA,,,,
,,201-760 Riser 7,,201-760 Riser 7,Level 7,Fitout,Building North,Site QA,,,,
,,201-761 MDLS,,201-761 MDLS,Level 7,Fitout,Building North,Site QA,,,,
,,201-762 Plantroom,,201-762 Plantroom,Level 7,Fitout,Building North,Site QA,,,,
,,201-778 Riser 9,,201-778 Riser 9,Level 7,Fitout,Building North,Site QA,,,,
,,Riser 8 Riser 8,,Riser 8 Riser 8,Level 7,Fitout,Building North,Site QA,,,,
,,201-700S6 Store,,201-700S6 Store,Level 7,Fitout,Building North,Site QA,,,,
,,201-771A Store,,201-771A Store,Level 7,Fitout,Building North,Site QA,,,,
,,201-790 DB,,201-790 DB,Level 7,Fitout,Building North,Site QA,,,,
,,201-790A Comms,,201-790A Comms,Level 7,Fitout,Building North,Site QA,,,,
,,Building North - Fitout - Level 7 - Lobby,dynamic,Lobby,Level 7,Fitout,Building North,Site QA,,,,
,,Building North - Fitout - Level 7 - Lab,dynamic,Lab,Level 7,Fitout,Building North,Site QA,,,,
,,Building North - Fitout - Level 8,dynamic,Level 8,Fitout,Building North,Site QA,,,,,
,,Building East - Fitout - Level 1 - Zone A,grouping,Level 1 - Zone A,,,,,,,,
,,201-124 COMMS,,201-124 COMMS,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-100 L2 Lobby,,201-100 L2 Lobby,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-100E1 Lift 1,,201-100E1 Lift 1,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-100L3 Lift Lobby,,201-100L3 Lift Lobby,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-100L4 Lift Lobby,,201-100L4 Lift Lobby,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-100L5 Wind Lobby,,201-100L5 Wind Lobby,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-100L6 Lift Lobby,,201-100L6 Lift Lobby,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-100S3 Stair,,201-100S3 Stair,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-100S4 Stairs,,201-100S4 Stairs,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-100S5 Stair 5,,201-100S5 Stair 5,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-101 End of Trip,,201-101 End of Trip,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-101A Drying,,201-101A Drying,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-101B ACC,,201-101B ACC,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-107 DB,,201-107 DB,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-109 Refuse and Recycling,,201-109 Refuse and Recycling,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-133 CLNR,,201-133 CLNR,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-134 Services,,201-134 Services,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-140C Kitchen,,201-140C Kitchen,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-153 DB,,201-153 DB,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-155 ACC,,201-155 ACC,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-156 GN,,201-156 GN,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-157 Male,,201-157 Male,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-158 Female,,201-158 Female,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-159 Service Access,,201-159 Service Access,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-192 PLANTROOM,,201-192 PLANTROOM,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-192A HV SWITCHROOM,,201-192A HV SWITCHROOM,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-192B Transformer Room,,201-192B Transformer Room,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,201-190 Fire Pump Room,,201-190 Fire Pump Room,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,Building East - Fitout - Level 1 - Zone A - Breakout,dynamic,Breakout,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,Breakout
,,Building East - Fitout - Level 1 - Zone A - Studio,dynamic,Studio,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,Building East - Fitout - Level 1 - Zone A - Store,dynamic,Store,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,Building East - Fitout - Level 1 - Zone A - Circulation,dynamic,Circulation,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,Building East - Fitout - Level 1 - Zone A - 201-112 MECO/Black Box,dynamic,201-112 MECO/Black Box,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,Building East - Fitout - Level 1 - Zone A - SHWR,dynamic,SHWR,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,Building East - Fitout - Level 1 - Zone A - GN,dynamic,GN,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,
,,Atrium - Level 4 - Zone B Atrium,dynamic,Level 4 - Zone B Atrium,Atrium,Site QA,,,,,,
,Columns,,,,,,,,,,,
,,AV Data Cabling,,Av Data Cabling,,,,,,,,
,,AV Data Cabling (Including Speaker Cabling),,Av Data Cabling (Including Speaker Cabling),,,,,,,,
,,AV Equipment,,AV Equipment,,,,,,,,
,,Backbone Installation,,Backbone Installation,,,,,,,,
,,Backbone Installation (Fibers and Lectern Copper Ties),,Backbone Installation (Fibers and Lectern Copper Ties),,,,,,,,
,,Backbone Installation (Lectern Fiber),,Backbone Installation (Lectern Fiber),,,,,,,,
,,Data Cabinets,,Data Cabinets,,,,,,,,
,,Data Cabinets (Lectern Comms Terminations),,Data Cabinets (Lectern Comms Terminations),,,,,,,,
,,Data Outlets,,Data Outlets,,,,,,,,
,,Data Outlets (General Cables),,Data Outlets (General Cables),,,,,,,,
,,Data Outlets (General Outlets),,Data Outlets (General Outlets),,,,,,,,
,,Data Outlets (General Data Cables),,Data Outlets (General Data Cables),,,,,,,,
,,Data Outlets (General Data Outlets),,Data Outlets (General Data Outlets),,,,,,,,
,,No QA in this room,,No QA in this room,,,,,,,,
