Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,
65a8bc8b-ab28-41d5-9cff-6a5c53b3118f,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CRL-ITR-004 - Fans (AOT-WEL3-SPR-FAN-002),,,,,
996cd6ff-f2e8-4809-b053-a0336af1fe01,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CRL-ITR-004 - Fans (AOT-WEL3-SPR-FAN-003),,,,,
7a651698-e3e8-4899-88f2-f489ebd4fcc8,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CRL-ITR-004 - Fans (AOT-WEL3-SPR-FAN-004),,,,,
d766eaa7-232b-4a37-93aa-aca21edbc7f1,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-001),,,,,
8fd9c4d4-5639-4bb0-9be4-5029c1b1ae19,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-002),,,,,
eadefc9a-545b-48cc-9b6e-2dc1b01bece5,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-003),,,,,
bb9db30e-1a93-43de-bb56-cb16c295ca6b,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-004),,,,,
fba8c236-8b94-4c68-8550-66369c2a34fb,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-005),,,,,
9894fa46-06b3-40c4-96a1-803744954a83,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-006),,,,,
822d61b0-108f-4eda-afe5-c310cf27e022,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-007),,,,,
21289cf2-4623-4b50-9fe2-a50351515f01,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-008),,,,,
65bc628f-6121-4602-b677-342732810e38,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-009),,,,,
b7cd5095-3cae-4dca-ad92-be2d1f476589,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-010),,,,,
13efbaf5-cb60-470c-a576-acf6232939da,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-011),,,,,
0e61470f-b45c-4db9-beb4-6e6027ca6ac0,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),CRAC Units,CRL-ITR-010 - Crack Unit Installation (AOT-WEL2-ASS-CCU-001),,,,,
835b79d9-83df-4b85-80ab-fe9698a37aed,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 130611 (Piping),CRAC Units,CRL-ITR-010 - Crack Unit Installation (AOT-WEL2-ASS-CCU-002),,,,,
