"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cad5c2cf-2bbc-471d-9b0f-29c27bd4145e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"22c6b3a4-9a68-4edf-be71-587f5a4ea06f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour1"
"e9d657cd-69ed-4e4c-bc71-45560baa470c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour14"
"18b57007-711d-4759-aa9b-71d102ecc1ed","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour14","Suspended Slab"
"733da70f-68c9-40a0-b4bf-cad21ed96237","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour14","Dincel Walls"
"6dbd9f1f-2b52-4b55-bef2-3e5dfbaff641","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour15"
"472d8ef4-bec7-47a7-b3c4-0b2971d646f1","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour15","Suspended Slab"
"80380838-5467-490b-a37f-2610bba484f7","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour15","Dincel Walls"
"cd88960f-54b4-419c-b1b9-1bc5e0eeedca","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour16"
"a070c2ed-f268-4743-afed-c2f4f2538c50","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour16","Suspended Slab"
"32d06531-84fb-44b4-a470-e3e8aa4240b1","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour16","Dincel Walls"
"e7274b72-8c0b-4267-bbbd-b45147ffab03","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour17"
"e029b579-25a4-431f-9c5d-53e0d2f9b50f","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour17","Suspended Slab"
"072df933-1a5b-41b4-910c-a40d4dc339fd","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour17","Dincel Walls"
"c0414767-826a-4367-a7b6-d5c7c499a447","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour18"
"e65a8d39-4ca7-4351-b46b-7a80d25cedb9","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour18","Suspended Slab"
"8feb4c3f-3f09-4903-8840-4e67532b40ea","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour18","Dincel Walls"
"de6d3083-2d08-426b-8939-fc071ef27c6b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour19"
"f91440dd-a3bf-4224-9c1c-3c5724e57e3a","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour19","Suspended Slab"
"970a402b-f48a-427c-ba96-49da14b82338","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour19","Dincel Walls"
"7c7f7811-f33d-41ae-b3b2-fec7965dee43","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour20"
"e7a9630f-ee2d-4cb1-943b-0ceb609e2217","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour20","Suspended Slab"
"b8f8dbd3-fc8d-4751-acb2-55098d5dc516","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour20","Dincel Walls"
"59db0561-c11b-4e72-9d2b-c3320cc35f1e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour21"
"afb14314-2720-4c11-ac5a-1fee64b9652b","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour21","Suspended Slab"
"4a9c32e6-d9f3-4c01-aa89-c89459a4c077","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour21","Dincel Walls"
"b8cad651-aea9-4b38-bc6c-2ffa2c502ac4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour22"
"b71b297c-182f-4369-8db7-cdce5e4e8ec1","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour22","Suspended Slab"
"38730cd2-cb4d-49d1-951b-f9d25fd01174","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour22","Dincel Walls"
"02e5e230-9c79-4952-9592-751f84eae558","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 5 A LG"
"3741ee70-6f4b-4a09-aaff-bb5f32c8a52f","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 A LG","Columns"
"bb708afe-a8db-4e41-a9fa-cda2e7ac7d5b","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Building 5 A LG","Stairs"
"5bbfe92a-4fdf-4e1a-8520-47631f7dcbde","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 5 A L1"
"500d4032-1112-458a-bb13-9a3857ca66bd","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 A L1","Suspended Slab"
"b9fd4bc2-4db0-4ee2-9657-833d363bb95f","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 A L1","Columns"
"afd59e51-8a3e-43c4-8281-33ee0712fd72","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Building 5 A L1","Stairs"
"34d69fdc-17d3-4e28-8b6d-712bb092d613","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 5 A L2"
"3375b7d7-e9bf-453c-a8b5-bcfc4196da7a","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 A L2","Suspended Slab"
"c563b4a5-dd91-480d-87e3-20770440787e","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 A L2","Columns"
"15a954c8-6a89-4f7f-ae66-e7e2e8116a1f","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Building 5 A L2","Stairs"
"42a97251-9c20-4efb-811b-f652885a720e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 5 A L3"
"f628d856-6ea7-4f40-a95f-811d2c0248ec","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 A L3","Suspended Slab"
"39f4d831-365f-45fa-b443-a9d19cbbe315","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 A L3","Columns"
"e9887918-8859-4efd-8d2d-d94a252372d8","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Building 5 A L3","Stairs"
"70690344-e297-4881-8e3d-072c236c09e3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Roof"
"556d9c31-2166-4441-b76d-193fb2f7a3f2","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Roof","Suspended Slab"
"9f2cf55b-8072-44cc-97cb-871abd01c417","","checklist-sectioned","not-started","Core Lids Checklist","checklist","FALSE","FALSE","Site QA","Roof","Core lids"
"13faa7f8-00d0-479b-8671-0b02c330f990","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Roof","Stairs"
"52d205c6-3dc5-4afe-beb9-71cf10aeb318","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 5 B LG"
"96f48b96-e4e8-4186-aa5e-495610b2e1ff","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 B LG","Columns"
"6eef8775-4954-42dc-83fa-29df46489a40","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Building 5 B LG","Stairs"
"61936923-2502-4dcc-a011-e62910a327df","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 5 B L1"
"22044396-9fe7-4e43-a537-dfc2991fdc07","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 B L1","Suspended Slab"
"75da2319-bb7a-477e-8061-64c7db95906a","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 B L1","Columns"
"cad8ffd9-3837-4b2a-a826-f4bdc22f06de","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Building 5 B L1","Stairs"
"a46ab3d0-d1fa-4d86-ba06-32ce0f778538","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 5 B L2"
"0a4f45b5-3a07-43cd-93d6-d26c794c1f90","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 B L2","Suspended Slab"
"bc6f7bb1-7989-4102-9a0f-a35fdb1213e5","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 5 B L2","Columns"
"bfbc1146-b09d-4079-ad3d-fcee00cff629","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Building 5 B L2","Stairs"
"8afeb127-8fe5-405b-95b0-6123ac111ac7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Roof"
"c10ed286-3209-49cf-9441-fc2484306bac","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Roof","Suspended Slab"
"6a3613d7-81ea-4d91-9950-16208243994b","","checklist-sectioned","not-started","Core Lids Checklist","checklist","FALSE","FALSE","Site QA","Roof","Core lids"
"70e0b45f-5ea8-49eb-8868-7a758575f6df","","folder-normal","work-in-progress","","step","TRUE","FALSE","Variations / SI"
"18f5b7dd-0679-4f0f-838f-c7116d6b966d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","December 21"
"a365d68f-3de9-4b69-8c0c-513eef1062ae","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","January 22"
"c2ffed3d-9d5f-4799-a52a-8af4ea2f22aa","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22"
"a6358e57-90c8-441e-81f5-686d67106035","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","Friday 04/02/22"
"08b0565c-a2b3-4ca9-aee4-7747742fbbc9","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Friday 04/02/22","ACF- 04 Capping Beam Variation / Site Instruction"
"4836f3e1-fc82-4257-be1a-ca60a0e860cc","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","Saturday 05/02/22"
"500edeaa-73bb-4af3-9f2e-e9ac9669fa4d","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Saturday 05/02/22","ACF - 5 Edge Board move Variation / Site Instruction"
"7c0b313d-75c0-4040-9f7d-c2f45d0925de","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","Monday 7/02/2022"
"e3b81a71-1743-4b42-89c0-8587318823d2","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Monday 7/02/2022","ACF - 6 Cantilever over Rock Variation / Site Instruction"
"736a001c-c6de-4d11-813b-cbddffe96164","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","February 22","Tuesday 8/02/22"
"e0c7eae8-ca7f-48a2-bf7e-ab2d4fbc9fee","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","09/02/22"
"ed05d499-e799-4f32-ae2b-73bea481494d","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","09/02/22","ACF - 7 Reo Place Walls Variation / Site Instruction"
"9cc32ee2-2a3e-476e-a506-8e2dba6da50c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","February 22","Thursday 10/02/2022"
"bef7f6cb-ee30-4a25-9250-6895dd37211d","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","Friday 11/02/22"
"c404641f-1741-4be4-8cc2-7c6a650fdd40","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Friday 11/02/22","ACF - 8 Variation / Site Instruction Building 3 Cantilever edge protection and soffit"
"155f6c7a-3b23-44ed-a690-3040ba9f3f8e","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Friday 11/02/22","ACF - 9 Variation / Site Instruction place reo in Dincel wall"
"7787dd06-e65f-4899-98c8-72f7bc6d4266","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","Monday 14/02/2022"
"488a3ada-3eb7-4a01-8565-572985a9a939","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Monday 14/02/2022","ACF - 10 Variation / Site Instruction building 3 cantilever "
"df0f5d70-6491-400f-b91b-613dcd62780d","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","Tuesday 15/02/2022"
"f703d3ad-9026-4c5d-9f8f-5f68107e4fb6","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Tuesday 15/02/2022","ACF - 11 Variation / Site Instruction bearing plates pour 1"
"1f6fc7e8-c234-40f3-8010-c5c36507a99a","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","Wednesday 16/02/2022"
"34e2aa6a-be65-43fb-bb1d-fb0ddabd5587","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Wednesday 16/02/2022","ACF - 12 Variation / Site Instruction access to pour 2"
"fb9a2c9c-be26-4fa6-8dd1-72c993a5415e","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Wednesday 16/02/2022","ACF - 13 Variation / Site Instruction placement of reo in Dincel wall under pour 2"
"f5999679-ae70-4a13-85e9-d13c919f6efa","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","Thursday 17/02/2022"
"25e2bfc7-82de-420d-b9b1-2c71fafc647c","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Thursday 17/02/2022","ACF - 14 Variation / Site Instruction reo to dincel walls under pour 2"
"ca9c09b4-9172-4ce9-b665-bdb169604864","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","February 22","Friday 18/02/2022"
"f0a91c1a-0516-4e43-a920-28a7e789ab12","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","February 22","Saturday 19/02/2022"
"abd01de8-397f-4728-8984-497a9c1127d3","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","Tuesday 22/02/2022"
"9683e7d5-4615-459e-953e-5475f4d788ce","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Tuesday 22/02/2022","ACF - 15 Variation / Site Instruction building 3 cantilevered slab , interface between soffit and rock wall"
"8393d17b-6562-4095-8dd8-fb80e027c6cd","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","Friday 25/02/2022"
"adf74489-c334-4c0a-bb83-49b8b77de6b2","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Friday 25/02/2022","ACF - 16 Variation / Site Instruction #SI-22 Rebate Building 4 pour 2 Eastern edge"
"00613c42-8be7-408c-ae43-c1e2ea4b0fce","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","February 22","Tuesday 08/03/2022"
"f6692476-c9e5-41cf-8b25-fa335c56f0a9","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","February 22","Tuesday 08/03/2022","ACF - 17 Variation / Site Instruction #SI-22 Rebate Building 4 pour 2 Eastern edge"
"2878c83f-8059-408d-8c65-b39ccd0ea9ae","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","March 22"
"4638a463-3cf2-4956-a0b6-3d9f0537c96b","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","March 22","Wednesday 09/03/22"
"002c6944-9d73-4368-86c0-624a67ecdc59","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Wednesday 09/03/22","ACF - 18 Variation / Site Instruction step down for concreter in pour 2"
"54abef73-4d73-4462-bcb8-4009bcf9fc66","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Wednesday 09/03/22","ACF - 19 Variation / PUMP WORKS"
"1b8963e1-ab6b-4182-b633-6df7704d585c","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","March 22","Thursday 10/03/2022"
"1d29b1e0-a24e-4eb2-b553-692f2ea8884e","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Thursday 10/03/2022","ACF - 20 Variation / Works for PUMP WORKS"
"5f0b2356-9fec-410d-a730-176597841f9a","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","March 22","Friday 11/03/2022"
"053a83cf-2a43-4bce-8f68-dc946ceed861","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Friday 11/03/2022","ACF - 21 Variation / Site Instruction PUMP WORKS"
"e24f1b1e-32f2-43f3-a563-ba6241cbe5df","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","March 22","Tuesday 15/03/2022"
"fd032247-e81a-4516-b105-2bf7d04a47e5","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Tuesday 15/03/2022","ACF - 22 Variation / Site Instruction Placing Reo in Dincel Wall under Pour 4, Capping Beam 3"
"8a84f7a0-98bc-4623-835c-39affb617439","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Tuesday 15/03/2022","ACF - 23 Variation / Site Instruction boxed grated drain Pour 3 chronological order, marked as pour 4"
"2f9034f1-bc37-4e7d-8eae-57dd89a2ea04","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Tuesday 15/03/2022","ACF - 24 Variation / Site Instruction. Form step down FOR CONCRETER in Pour 3 (chronological order but marked as pour 4) "
"940c1574-9809-4d83-94dc-da12ff72e65f","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Tuesday 15/03/2022","ACF - 25 Variation / Site Instruction PUMP WORKS"
"64a6c2e5-0aff-4be4-a934-c03ecfd96a1d","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","March 22","Wednesday 16/03/2022"
"493e339f-f000-45a6-9434-03cc4ce870cb","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Wednesday 16/03/2022","ACF - 26 Variation / Site Instruction reo placement in dincel wall"
"10deb18e-8a93-4bfc-95b3-59434c03be55","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","March 22","Friday 18/03/2022"
"e462ac1b-7053-44e7-a250-e39be7d29619","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Friday 18/03/2022","ACF - 27 Variation / Site Instruction PUMP WORKS"
"7c44ce93-623c-4b70-8d25-43c39f997c94","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","March 22","Wednesday 23/03/2022"
"24d2d638-e5c0-4d5d-ba82-e09b59a4a218","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","March 22","Thursday 24/03/2022"
"3c125d53-7a0a-4ed8-82b3-2aaf05738ba8","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Thursday 24/03/2022","ACF - 28 Variation / Site Instruction PUMP WORKS"
"5303bee5-774a-4865-b290-35c3802a4381","","folder-normal","pass","","step","TRUE","FALSE","Variations / SI","March 22","Friday 25/03/2022"
"13679fb5-c34c-4049-a047-dfb5277646c8","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Friday 25/03/2022","ACF 29 Variation / Site Instruction Tie steel to help steelie on the pour"
"c6905ca7-4da6-44d1-b049-cc30bb8e52c9","","checklist-flat","pass","Z - SYS - Variation / Site Instruction (old version)","checklist-flat","FALSE","FALSE","Variations / SI","March 22","Friday 25/03/2022","ACF - 30 Variation / Site Instruction Set up Task Lighting for concreters for pour 4"
